#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-19T16:49:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61e8406795e9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/table1}&key:source=J/A+A/640/A1/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/640/A1/table1
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=nbstars07
#-out=pmRA*
#-out=pmDE
#-out=plx
#-out=AgeNN
#-out=AVNN
#-out=DMNN
#-out=DistPc
#

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_table1:
#Name: J/A+A/640/A1/table1
#Title: Mean cluster parameters
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	RA_ICRS	(F7.3)	[] Mean right ascension of members (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of members (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	nbstars07	(I4)	Number of members with proba over 0.7	[ucd=meta.number]
#Column	pmRA*	(F7.3)	Mean proper motion along RA of members, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F6.3)	Mean parallax of members	[ucd=pos.parallax.trig]
#Column	AgeNN	(F5.2)	? Age (logt) of the cluster	[ucd=time.age]
#Column	AVNN	(F5.2)	? Extinction Av of the cluster	[ucd=phys.absorption]
#Column	DMNN	(F5.2)	? Distance modulus of the cluster	[ucd=phot.mag.distMod]
#Column	DistPc	(F6)	? Distance in parsecs (converted distance modulus)	[ucd=pos.distance;pos.heliocentric]
Cluster	RA_ICRS	DE_ICRS	nbstars07	pmRA*	pmDE	plx	AgeNN	AVNN	DMNN	DistPc
 	deg	deg	 	mas/yr	mas/yr	mas	[yr]	mag	mag	pc
-----------------	-------	-------	----	-------	-------	------	-----	-----	-----	------
ASCC_10          	051.870	+34.981	  65	 -1.737	 -1.368	 1.459	 8.42	 0.63	 9.10	   660
ASCC_101         	288.399	+36.369	  69	  0.934	  1.288	 2.488	 8.69	 0.19	 8.08	   412
ASCC_105         	295.548	+27.366	 113	  1.464	 -1.635	 1.783	 7.87	 0.41	 8.77	   567
ASCC_107         	297.164	+21.987	  57	 -0.155	 -5.156	 1.109	 7.23	 1.69	 9.70	   870
ASCC_108         	298.306	+39.349	 188	 -0.519	 -1.690	 0.838	 8.03	 0.34	10.32	  1160
ASCC_11          	053.056	+44.856	 245	  0.926	 -3.030	 1.141	 8.39	 0.60	 9.69	   867
ASCC_110         	300.742	+33.528	  65	  0.271	 -3.132	 0.497	 8.90	 0.75	11.47	  1971
ASCC_111         	302.891	+37.515	 136	 -1.150	 -1.524	 1.166	 8.44	 0.39	 9.65	   851
ASCC_113         	317.933	+38.638	 175	  0.800	 -3.679	 1.762	 8.46	 0.13	 8.75	   563
ASCC_114         	324.990	+53.997	 134	 -3.716	 -3.421	 1.066	 7.68	 0.92	 9.79	   908
ASCC_115         	329.280	+51.558	  32	 -0.549	 -0.543	 1.311	 8.12	 0.72	 9.32	   731
ASCC_12          	072.400	+41.744	 139	 -0.634	 -2.794	 0.941	 7.97	 0.70	10.10	  1048
ASCC_123         	340.299	+53.986	  49	 12.093	 -1.407	 4.262	 7.65	 0.00	 6.81	   229
ASCC_127         	347.205	+64.974	 117	  7.474	 -1.745	 2.633	 7.26	 0.43	 7.88	   376
ASCC_128         	349.949	+54.435	  68	  1.236	  0.186	 1.509	 8.40	 0.41	 9.13	   669
ASCC_13          	078.255	+44.417	  85	 -0.473	 -1.743	 0.898	 7.50	 0.70	10.24	  1115
ASCC_16          	081.198	+01.655	 175	  1.355	 -0.015	 2.838	 7.13	 0.20	 7.69	   344
ASCC_19          	081.982	-01.987	 149	  1.152	 -1.234	 2.768	 7.02	 0.13	 7.70	   346
ASCC_21          	082.179	+03.527	  90	  1.404	 -0.632	 2.866	 6.95	 0.10	 7.66	   341
ASCC_23          	095.047	+46.710	 120	  1.098	 -0.598	 1.594	 8.37	 0.34	 9.00	   630
ASCC_29          	103.571	-01.670	  46	 -1.008	 -1.019	 0.944	 7.97	 0.19	10.12	  1057
ASCC_30          	104.271	-06.230	  46	 -1.595	 -0.171	 0.897	 8.24	 0.35	10.14	  1067
ASCC_32          	105.714	-26.512	 186	 -3.307	  3.477	 1.230	 7.40	 0.26	 9.53	   805
ASCC_41          	116.674	+00.137	 123	  0.646	 -3.990	 3.352	 8.33	 0.00	 7.39	   300
ASCC_58          	153.657	-55.001	 133	-13.276	  2.786	 2.060	 7.72	 0.25	 8.46	   491
ASCC_6           	026.846	+57.722	 111	 -0.838	  0.211	 0.621	 7.54	 0.72	11.01	  1590
ASCC_66          	168.367	-55.437	  22	-11.331	  2.969	 0.999	 7.77	 0.07	 9.94	   971
ASCC_67          	175.280	-61.013	  26	 -6.766	  0.919	 0.482	 7.57	 0.58	11.50	  1999
ASCC_71          	185.033	-67.509	  76	 -9.272	 -1.351	 0.786	 8.11	 0.53	10.52	  1269
ASCC_73          	189.281	-67.203	  57	-11.539	 -2.945	 1.518	 8.53	 0.23	 9.08	   655
ASCC_77          	212.694	-62.331	 141	 -4.243	 -3.220	 0.842	 7.91	 0.64	10.28	  1136
ASCC_79          	229.731	-60.798	 113	 -2.914	 -4.232	 1.176	 7.27	 0.41	 9.58	   825
ASCC_85          	251.853	-45.555	 105	  0.170	 -4.102	 1.119	 7.85	 0.56	 9.59	   829
ASCC_87          	255.658	-28.421	  45	 -1.180	 -3.814	 1.270	 7.92	 0.57	 9.45	   774
ASCC_88          	256.886	-35.564	 121	  0.919	 -3.282	 1.097	 8.39	 1.45	 9.85	   931
ASCC_9           	041.671	+57.743	  48	  0.166	 -1.099	 0.406	 7.47	 2.23	11.88	  2376
ASCC_90          	264.777	-34.874	  58	 -1.630	 -2.681	 1.713	 8.91	 0.32	 8.73	   557
ASCC_97          	279.263	-19.139	  20	 -2.331	 -6.508	 1.740	 8.05	 1.17	 8.89	   598
ASCC_99          	282.170	-18.488	  63	  5.188	 -1.311	 3.367	 8.55	 0.47	 7.28	   285
Alessi_1         	013.343	+49.536	  45	  6.536	 -6.245	 1.390	 9.16	 0.08	 9.19	   689
Alessi_10        	301.233	-10.555	  70	  1.469	 -7.879	 2.233	 7.96	 0.33	 8.36	   469
Alessi_12        	310.875	+23.871	 307	  4.303	 -4.639	 1.816	 8.13	 0.10	 8.68	   544
Alessi_13        	051.762	-35.821	  48	 36.332	 -4.709	 9.584	 7.55	 0.10	 5.11	   105
Alessi_15        	100.767	+01.672	  17	 -0.182	  0.469	 0.093	 7.53	 2.18	14.01	  6338
Alessi_17        	113.853	-15.098	  15	 -1.526	  1.557	 0.264	     	     	     	
Alessi_18        	114.295	-26.386	  24	 -1.261	  1.790	 0.126	 6.71	 2.48	14.29	  7199
Alessi_19        	274.741	+12.311	  60	 -1.005	 -7.073	 1.710	 7.41	 0.31	 8.79	   573
Alessi_2         	071.602	+55.199	 159	 -0.904	 -1.046	 1.589	 8.55	 0.52	 9.09	   657
Alessi_20        	002.593	+58.742	 119	  8.195	 -2.341	 2.311	 6.97	 0.60	 8.08	   412
Alessi_21        	107.690	-09.363	 113	 -5.475	  2.602	 1.720	 7.82	 0.29	 8.85	   587
Alessi_24        	260.764	-62.693	 156	 -0.488	 -8.999	 2.059	 7.86	 0.34	 8.50	   502
Alessi_3         	109.275	-46.142	 164	 -9.875	 11.958	 3.566	 8.80	 0.14	 7.37	   297
Alessi_31        	267.698	-11.853	 165	 -1.164	 -4.122	 1.477	 8.38	 1.75	 9.26	   712
Alessi_37        	341.961	+46.342	 133	  0.351	 -1.569	 1.384	 8.14	 0.47	 9.21	   695
Alessi_43        	132.631	-41.738	 284	 -5.546	  3.869	 1.032	 7.06	 0.99	 9.81	   917
Alessi_44        	295.325	+01.592	 175	  0.463	 -2.325	 1.496	 8.35	 0.71	 9.16	   679
Alessi_5         	160.819	-61.081	 297	-15.411	  2.503	 2.501	 7.83	 0.62	 8.14	   424
Alessi_53        	097.352	+09.180	  27	  0.431	 -0.201	 0.198	 7.88	 1.93	13.79	  5736
Alessi_59        	103.078	+02.196	  10	 -0.540	  0.283	 0.227	     	     	     	
Alessi_6         	220.058	-66.127	 164	-10.472	 -5.559	 1.100	 8.63	 0.70	 9.74	   886
Alessi_60        	105.619	-01.120	  67	 -0.830	 -0.653	 0.336	 8.35	 0.83	12.35	  2953
Alessi_62        	284.026	+21.597	 142	  0.245	 -1.074	 1.591	 8.84	 0.78	 9.07	   650
Alessi_8         	232.408	-51.227	  50	 -5.899	 -5.729	 1.479	 8.07	 0.19	 9.12	   668
Alessi_9         	265.974	-47.028	 183	  9.916	 -9.157	 4.822	 8.45	 0.00	 6.66	   215
Alessi_Teutsch_11	304.127	+52.051	 110	 -0.139	 -1.295	 1.520	 8.16	 0.37	 9.01	   634
Alessi_Teutsch_12	255.421	-58.981	  41	 -2.134	 -8.952	 1.632	 7.94	 0.35	 9.03	   641
Alessi_Teutsch_3 	118.228	-53.022	  87	 -5.378	  8.926	 1.417	 8.02	 0.47	 9.20	   693
Alessi_Teutsch_5 	332.218	+61.103	 127	 -1.895	 -3.207	 1.111	 7.27	 1.02	 9.79	   907
Alessi_Teutsch_8 	180.649	-60.935	 319	 -6.625	  1.630	 0.967	 8.07	 0.49	 9.98	   989
Andrews_Lindsay_5	281.079	-04.931	  58	 -0.901	 -3.562	 0.137	     	     	     	
Antalova_2       	262.462	-32.541	  27	  2.037	 -1.650	 0.842	 7.08	 1.15	10.12	  1056
Archinal_1       	283.709	+05.550	  65	 -0.225	 -1.578	 0.526	     	     	     	
Arp_Madore_2     	114.683	-33.845	  29	 -0.513	  1.225	 0.039	 9.48	 1.49	15.35	 11751
Auner_1          	106.060	-19.748	  41	 -0.280	  1.015	 0.093	 9.49	 0.99	14.77	  8984
Aveni_Hunter_1   	354.175	+48.205	  82	 -0.184	 -2.087	 2.348	 7.02	 0.75	 8.03	   402
BDSB30           	333.667	+61.433	  33	 -1.579	 -3.005	 1.109	     	     	     	
BDSB91           	096.319	-10.551	  32	 -3.183	  1.150	 1.033	 7.15	 1.80	 9.91	   961
BDSB93           	104.297	-08.202	  32	 -2.410	  1.021	 0.770	 7.20	 1.77	10.39	  1196
BDSB96           	106.332	-12.327	  65	 -3.843	  1.071	 0.844	 6.90	 1.22	10.29	  1144
BH_111           	167.320	-63.834	  27	 -8.176	  2.941	 0.339	 8.29	 1.28	12.27	  2850
BH_118           	170.765	-58.549	  61	 -4.406	  1.450	 0.065	 9.28	 1.07	14.72	  8807
BH_121           	174.661	-63.387	 174	 -6.000	  0.630	 0.387	 6.42	 1.11	11.91	  2413
BH_132           	186.720	-64.058	  52	 -6.220	 -0.177	 0.362	 8.20	 1.24	12.03	  2541
BH_144           	198.808	-65.920	  73	 -5.111	 -0.375	 0.045	 9.17	 1.68	14.92	  9649
BH_150           	204.506	-63.346	  43	 -6.395	 -1.534	 0.178	 7.34	 3.76	13.73	  5580
BH_151           	205.051	-61.731	  29	 -5.853	 -1.878	 0.176	 7.20	 4.06	13.49	  4989
BH_164           	222.311	-66.465	 204	 -7.368	-10.714	 2.364	 7.51	 0.17	 8.21	   438
BH_19            	121.768	-32.355	  45	 -2.897	  3.547	 0.190	 8.49	 1.96	13.30	  4563
BH_200           	252.484	-44.182	  94	 -0.025	 -1.132	 0.406	 8.21	 2.02	11.82	  2314
BH_202           	253.779	-40.947	  95	 -1.869	 -3.802	 0.551	 8.58	 1.84	11.22	  1752
BH_205           	254.053	-40.636	  55	 -0.150	 -1.083	 0.569	 6.79	 1.23	11.03	  1604
