,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2181272125666228352,305.52026746962343,51.76523552634682,-0.0152823180070625,-1.5840250921423298,1.4461171855304074,13.256275,0.82
1,2181272984659436928,305.2280413937465,51.5159740354181,-0.1688462579634942,-1.4328140994306393,1.51997605261671,17.46354,0.9
2,2181278138620197248,305.1301274791316,51.66171197065628,0.1015286054001933,-1.5288927950760174,1.513358805781451,11.395924,1.0
3,2180843827222963072,309.89224970567807,52.39130716963416,-0.3679528869606342,-1.0777067229396342,1.5420830534947343,16.83647,0.92
4,2181252952931555072,304.99221105372146,51.47084687324874,0.0329973980930269,-1.152623940935946,1.4724078305979555,17.024502,0.67
5,2181255083235365120,304.95007198560967,51.61825759381316,-0.0008639794348728191,-1.2009353394434408,1.5490474376516874,13.173493,1.0
6,2234006008996445568,300.2094843829019,55.76973731701128,-0.0368475751084312,-0.9113986710050992,1.5507078956352316,16.090982,0.7
7,2089154800967539712,301.6173606851611,52.03820864991602,-0.1954266486255377,-1.1495516102037586,1.4900796095446192,17.334785,0.8
8,2084491806515699328,303.68118008939143,48.665796287257855,-0.2688231121023805,-1.0462247482661415,1.4474762443368705,16.393818,0.54
9,2183427374611681792,308.2788543218455,54.08427045722287,-0.1433928035855669,-1.4892364531709106,1.5169619260806253,15.490406,1.0
10,2184444766465180544,305.2593651109028,52.82781212046077,-0.3207094818499981,-1.0953491839037812,1.5494028530861286,17.544033,0.83
11,2184450019203577984,305.5415098955423,52.955322145949566,0.0182023620507546,-1.2225043523068906,1.500547284209086,17.55292,0.69
12,2184461667156122752,304.5589969326372,52.558084826115376,-0.2345640454311682,-1.0788985727278972,1.551818436443959,17.702991,0.74
13,2184249500071543296,304.5864671646283,51.45924958885415,-0.1197120859935626,-1.4917008670782592,1.4306961617747107,14.752431,0.83
14,2184474144042135552,304.878909175735,52.94601931183359,0.0227177075273882,-1.1109445131811624,1.5604001321397951,17.862417,0.72
15,2184729432594818560,304.14216759135047,53.72546132225447,-0.1116039050388528,-1.5086564292820794,1.5657017211993436,17.797047,0.69
16,2184486135590803200,304.75544885360733,52.9736205166814,-0.3880884485988647,-1.08961230941178,1.5513686093187076,17.423082,0.64
17,2184496099915440256,305.1777998735068,53.0350866541588,-0.0154713700433363,-1.0520314199058074,1.5888713333178648,16.302408,0.84
18,2184262144455385216,304.7357479207038,51.7530534620512,-0.0169759889002421,-1.3480816071687527,1.4995191736421063,11.797609,1.0
19,2184272173198474880,304.2481031480197,51.82766960151853,0.0057430144900659,-1.2468814644042123,1.475172633539143,17.8232,0.74
20,2184272589815763200,304.48265852350335,51.7022611091742,-0.0262112375602532,-1.5196268769262995,1.510549689148322,14.640958,1.0
