,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3026954931454516480,112.45481988277396,-17.316110790921112,-3.0622659667971237,1.8432578151830128,0.7733197733912879,15.495813,0.92
1,3026957199197064576,112.6807645591954,-17.330282358696422,-3.094157975588282,1.853638781092012,0.694648094675261,16.5558,0.54
2,3026959054622770048,112.74137433102722,-17.256761375491628,-3.008866426282625,1.8679778834506449,0.7540316531578648,14.157034,1.0
3,3026960978768200192,112.63160940091429,-17.243062240036057,-3.080463323627855,1.847326655767693,0.8378979163000183,12.744831,0.27
4,3027207166297545984,114.385736821938,-16.953079970111542,-2.97851640944691,1.9230816175668788,0.8056099685124429,17.495584,0.35
5,3026974688303867136,112.44995047460048,-17.169143640904327,-2.9490317861319646,1.9147068634594049,0.8165169932333278,14.402086,0.46
6,3026975547297142912,112.60345934745294,-17.14355129070106,-2.996610811908882,1.9874059297613105,0.8073015041850465,17.39165,0.32
7,3026982281807376128,113.88166333536262,-18.16457005620312,-2.930186802762134,1.997444085514975,0.751462641256487,17.396534,0.25
8,3026672043427070976,113.21400268055147,-18.0111758744857,-3.1104740961110173,1.9830644307745424,0.708847395180109,16.135065,0.42
9,3027266505563811584,113.31575099875307,-17.418848543531865,-2.9494949660653926,2.0021122273963106,0.7264661862549123,16.946276,0.39
10,3027271586500829696,113.16513305780644,-17.319107680398634,-2.996432742564239,1.9143120922527064,0.7571416335808427,17.745253,0.39
11,3027282345402585088,112.96569824859417,-17.354169183091123,-3.038490179504704,1.8552698104401832,0.7488836019599353,15.598039,0.93
12,3027282482841533568,112.98198431563256,-17.340362478879094,-3.19771601768434,1.833705656745216,0.7820025372082626,17.892271,0.14
13,3027282517201258240,112.99800633468016,-17.322942307640844,-3.05973241496416,1.9896549926487164,0.7062010077500389,13.12947,0.85
14,3027041999033394688,114.15372142012112,-17.50955968212225,-3.1147437220887557,1.8500975801353363,0.7093565839627581,16.959873,0.41
15,3027284784944689024,113.07667178127107,-17.242054581096372,-3.0080003240146853,1.9952986436312836,0.6950386434274988,15.884647,0.66
16,3027285231621265024,113.11780158610794,-17.221834027301348,-3.041130174920647,1.9438213133876436,0.7421929950833317,13.98834,1.0
17,3027286056254255360,113.00436388906002,-17.274928925764097,-3.026391325189029,1.969332497202888,0.7322746727053838,16.18464,0.78
18,3027286674729598464,112.90800859381328,-17.264223321079314,-2.938743633866333,1.8417672884436629,0.779139854179725,13.427151,0.95
19,3027286949607509888,112.8813050595856,-17.25420575642987,-3.03959364270209,1.8836845020081503,0.7660401885564067,15.023722,1.0
20,3027287087046437120,112.92796385977232,-17.252490027563052,-3.0880624369165366,1.950878090748665,0.6861331186925735,16.524849,0.56
21,3027287293204858240,112.919730027278,-17.240388297607304,-2.951760434874147,1.7972985697998491,0.7733680636703524,13.857472,0.82
22,3027288147896376320,113.08043696052825,-17.21780618028062,-2.958717288821258,1.951943566936857,0.8110255723347011,12.4944515,0.52
23,3027288427076053760,113.0578512774721,-17.194408274760182,-3.0535217516878905,1.9037608678416056,0.7144186681280775,16.046257,0.77
24,3027288564514963712,113.0822251813372,-17.17567358214772,-3.0128405684504003,1.88528177561571,0.8254627936860333,16.491348,0.47
25,3027288667594329856,112.98315572309386,-17.22925259412036,-2.89915503277159,1.7758679514021267,0.7324092139779604,13.380498,0.19
26,3027289629666848384,113.03501681422568,-17.14260670647848,-3.074602147869083,1.8874622160180587,0.7588704759274993,14.386173,0.99
27,3027289698387273472,113.01754428590117,-17.137412901728972,-3.051967204842479,1.706267790249315,0.8088131742038088,16.724623,0.12
28,3026447438119145728,112.50934822279451,-19.01995019932848,-3.198705792314151,1.8269793505735312,0.7296785371720443,16.97193,0.18
29,3027295367743111936,113.069043087439,-17.128815962293196,-3.046649472144232,1.8806519425703956,0.722120254202424,16.31872,0.69
30,3027295848779357952,113.13149373929828,-17.099099369772393,-3.011340776290828,1.9825025260468332,0.7950043201927898,17.14308,0.3
31,3027296089297544192,113.09386065012792,-17.090274331699707,-2.996361107118455,1.900473290695224,0.7557170593767427,13.998004,1.0
32,3026465305184006912,113.14503032109386,-18.877914052155305,-2.975577880775204,1.837035661459912,0.7812261847206298,17.337952,0.41
33,3027056601923358080,113.6239516919417,-17.681051619019684,-2.9422805828201755,1.8271964627310089,0.7807587553538965,14.730243,0.86
34,3027061927682706304,113.75723456909084,-17.66474730702082,-3.0647911514583317,1.7894729975115158,0.81282171337267,17.376152,0.34
35,3026479736274450304,112.61670615619288,-18.764135613337377,-2.915856669940037,1.841065506850916,0.7311291067827409,14.197351,0.79
36,3027329624402657792,113.44020375713512,-16.854929615347523,-3.1496938210336065,1.8797816673393075,0.70290959255325,15.695143,0.53
37,3027079794746481024,113.52400698463236,-17.525678821777394,-3.068186422545057,1.8853653850151533,0.7731062842310056,15.844409,0.78
38,3027334262967205248,112.86092481242862,-17.202045120265645,-2.911293681794002,1.871826154864089,0.7478556032015785,15.81421,0.7
39,3027334366046406016,112.88357712813782,-17.20374162152867,-2.934026104404021,1.914388825878808,0.6934310843648857,16.656628,0.47
40,3027334503485323904,112.90481597666631,-17.18982914522301,-2.9057906754523337,1.9884926518591248,0.7493057564071604,8.648487,0.55
41,3027334572204851840,112.87272578792016,-17.21020876471457,-3.0815156008419176,1.86425421193832,0.758328066111014,15.635406,0.94
42,3027335740435919744,112.8282819308538,-17.152290424787644,-3.075980119893619,1.9909075652156176,0.7191049006668272,15.878211,0.6
43,3027335740435921024,112.81915028200336,-17.147247106475184,-3.012607241961561,1.910915820057279,0.7677568142888058,16.187769,0.86
44,3027337046105908992,112.90123237792402,-17.14729402328368,-2.982721816903908,1.9185353262836315,0.7602447126538867,14.441214,1.0
45,3027337183544825984,112.90786242825618,-17.12452691499253,-3.012769855907452,1.892385084963546,0.7665802030043757,16.905832,0.68
46,3027337320983807616,112.87736523591371,-17.126337680922536,-3.159626187537717,1.8544125114778771,0.7609732146083091,15.152883,0.51
47,3027337527142184576,112.89337126657917,-17.09531454327435,-3.042274267651852,1.773897060037156,0.8365222207136194,16.909134,0.39
48,3027338832812324352,112.83634528155196,-17.12120187082253,-3.0657388614376067,1.9288066920101112,0.7661548928230967,16.302544,0.68
49,3027339623086395392,112.69928680151622,-17.10664051918073,-2.9654229027685584,2.005142294015088,0.759363377976278,14.690255,0.86
50,3027339657446126080,112.719987414418,-17.112154654647505,-3.056693621448485,1.8976871195020424,0.7632869826603532,15.0029125,0.98
51,3027342715462511360,113.06715672487562,-17.07464606697736,-3.076988585060485,1.7639648726625945,0.7204199986553362,16.426569,0.28
52,3027343505736432896,113.069892037329,-17.02566934188758,-2.936251535698946,1.9758322959824084,0.7680389081320979,16.981083,0.37
53,3027089896510512640,114.02283765155498,-17.453688698558857,-2.906705833970713,2.062006088746005,0.7357945204647803,16.505983,0.19
54,3027348556617988480,112.89316173003192,-16.930535474443023,-3.0426695255270864,1.9490642787154877,0.7685537712861269,16.879198,0.56
55,3027111714944238592,113.71992754363332,-17.249961068349855,-2.891939620649906,2.0655514734443563,0.7150817265396316,17.720207,0.17
56,3026553712792825984,112.61887147172862,-18.382649734542053,-2.95801505425129,1.91454031089996,0.7299049295364438,16.29446,0.8
57,3026859445742275328,112.38196392167995,-17.984601259991774,-2.9887999953808984,1.959764993070808,0.7828483409117155,17.018064,0.44
58,3026612399223001600,113.72826401349808,-18.071017411353964,-3.0818290874844942,1.822475016201702,0.7739817897094405,15.511091,0.85
59,3026884764566709120,112.88013750853936,-17.618547661057697,-2.9872686516806386,1.9512820312616563,0.7741388501284162,14.716838,0.95
60,3026886005820244992,113.06199963933555,-17.65813659553622,-3.097058115983633,1.8017698906198008,0.7855464962192802,12.099137,0.92
61,3026888273562927360,113.1348094166005,-17.572750027479,-3.055296372488798,1.903168844322298,0.7556453205124593,14.876415,1.0
62,3026888922095126272,113.0676971856818,-17.564865709575496,-3.106845578211565,1.735375059489792,0.7632517889477336,17.987328,0.14
63,3026889063836919296,113.10011695602238,-17.5644665307944,-2.9260202760249534,2.036434628120242,0.7411837953289376,15.894079,0.38
64,3026904834955795456,112.86601253496322,-17.447099986359074,-3.03588941824222,1.901299805330642,0.7277934346261506,16.58502,0.79
65,3026905968828214016,112.96686609075662,-17.40824921185922,-2.922036681935762,1.8237275992677175,0.8042111033083544,16.554806,0.42
66,3026906312424515072,112.8800626062542,-17.437072919509703,-3.067381147243599,1.7921140429233708,0.8452733154687623,16.485836,0.29
67,3026907102698315520,112.9470859877139,-17.35879677467483,-3.0077855831678137,1.8847920954000297,0.7414794896131421,15.476722,0.97
68,3026908958124362240,112.80461976244555,-17.385198669573832,-3.1053571904972834,1.8354954596737725,0.8007030240250511,16.146141,0.55
69,3026909301721753344,112.76103516624516,-17.363221644481435,-3.121499787318663,1.6945584372452946,0.7754172419006659,16.705727,0.17
70,3026909851477469312,112.8560128777302,-17.35631851104149,-2.9840472554037287,2.0207376486411923,0.7915928345509863,17.99615,0.18
71,3026910091995581952,112.9058111090342,-17.350605588241734,-2.854614037924616,1.8828551788316497,0.7837897691655968,16.091017,0.4
72,3026910195074799360,112.88575920875408,-17.33965064685734,-2.93790620414608,1.923684995142784,0.7229095060327532,15.588594,0.89
73,3026910469952800512,112.82731747492288,-17.365859404718325,-3.056546975967045,1.768688181220257,0.7701830940835789,14.948563,0.79
74,3026911019708535040,112.85358908169698,-17.329286995299036,-3.0188949377010545,1.909179835107592,0.7376656126132387,14.167365,1.0
75,3026911088428000000,112.84486141874932,-17.316176354123154,-2.9549029421851225,1.8889183433774532,0.7734115571138964,15.460853,0.94
76,3026911363305902336,112.82442650171733,-17.300736224521618,-2.875938227126229,1.9532202917286217,0.7924318789795083,16.70128,0.28
77,3028261254350196608,113.46306958549316,-16.005101776467626,-3.104830312011704,1.8303932029474383,0.7702365618158002,16.522793,0.57
78,3028264140568240384,113.3849090741501,-15.98158992838935,-3.22322150875181,1.775600019807903,0.7682165601225805,16.49484,0.17
79,3027977644767321600,111.28656298585096,-16.695946335412287,-2.9481565021247738,2.0047272326967294,0.7307863146025664,11.45177,0.81
80,3028285718485013504,113.51759486195424,-15.902021310405743,-2.9528291269041422,1.786284145526392,0.7419074534018277,17.09618,0.32
81,3028021389015953152,111.23717177178372,-16.399160181809904,-3.153147868502192,1.884491929794256,0.7721114720662545,15.24372,0.39
82,3028029257395904000,111.48253733525704,-16.27880905553671,-2.97386728112937,1.797615467266639,0.7912122515798763,16.2736,0.53
83,3028039457933664512,110.7210962329214,-16.522636902552943,-3.159619229976521,1.8156804620696612,0.7015056313231369,12.804139,0.26
84,3028313756022906368,113.5605046133805,-15.557984415812989,-3.10316845954393,1.759368219122093,0.7260914427053736,16.039265,0.35
85,3027460908660054016,114.19708945678238,-16.293544932035537,-2.937816711879201,1.9310307813767995,0.6708832789894975,17.553469,0.25
86,3027731942578901632,112.44360487671727,-16.990290503078526,-2.908870967956989,1.97928365792672,0.7478741892658094,16.496826,0.43
87,3028331584433096064,113.13269189746876,-15.695210807721264,-3.053763066847051,1.847413993218604,0.7789351267391947,17.562775,0.45
88,3028065953595470848,110.72899708636731,-16.196720384931826,-2.9035053558266943,1.81589882235095,0.8121607993797179,15.048726,0.43
89,3027745067998538368,111.97269140278046,-16.932321096733624,-3.1175853956539794,1.839034082685215,0.8191139827734629,13.886258,0.32
90,3027750462477970560,112.20044494222404,-16.83187548957263,-2.927503426361331,1.8722609118537448,0.7867960900913454,13.583297,0.95
91,3027482731399287296,113.56129348317558,-16.40257510286536,-3.0050517418328253,1.7996458494522856,0.8250253007425986,13.149095,0.5
92,3028089558735926400,111.2328820312886,-15.931881191400064,-2.84398039924792,1.794087525877918,0.7827176032960662,14.259411,0.21
93,3027765065366490624,111.60610270118735,-17.0775175401245,-3.00446507317596,1.7528702830746066,0.8051291814561515,13.506091,0.46
94,3027492420845622528,113.34980439665068,-16.45621993390953,-3.001412471378464,1.9870730070264344,0.6870476593896897,17.9334,0.33
95,3028122544086578560,112.56248713157927,-16.625135457620406,-3.0757468643381083,1.888546814539869,0.7190210438541651,15.015731,0.92
96,3028124021554652032,112.6910992602016,-16.579460593141018,-3.058764927952751,1.967927751660275,0.7210513103983354,17.63665,0.33
97,3028125945700822400,112.37002133500678,-16.753668651505105,-2.954027041700506,1.8086520296776063,0.8024286860665872,16.102406,0.64
98,3027809492507968256,111.67791225912843,-16.729531196075566,-3.003543328272427,1.8497165489022656,0.8416365088562586,17.142467,0.45
99,3028136562859760640,112.62399896624184,-16.530032303653904,-3.010399215072664,1.830932354667559,0.6822591890809044,17.660564,0.28
100,3028136700298746240,112.57622481844776,-16.524074769111447,-3.059723309191809,1.963978699800334,0.7453594150878797,16.590387,0.58
101,3028400273851508096,112.05785004882732,-16.08931033497535,-2.9616371622813635,1.9863003664344687,0.6866459685997779,14.115204,0.75
102,3028535204544962304,112.47613527336212,-15.55530752838487,-3.108218736691146,1.7701847058627251,0.802830877392322,14.069136,0.59
103,3028147901572755328,112.76733850621852,-16.504227723381597,-2.943229228684426,1.9272160846728923,0.7681016816225322,14.257007,0.98
104,3028161198792063104,112.70567319114537,-16.42715862801893,-3.132769351408633,1.7536238385431837,0.8138982096552246,13.726127,0.24
105,3027557528243996416,111.36970250441097,-17.87104218134638,-3.057194582554043,1.8819941415759371,0.7501619813209655,17.91249,0.26
106,3028174324211966720,112.8111484389635,-16.2080336226467,-3.1010828698871418,1.904521681811908,0.730479802344351,17.572313,0.32
107,3028450129831603200,111.90571936683804,-15.631209306291884,-2.9743787906409924,2.011845438671531,0.6900193037213487,14.568392,0.68
108,3028453119128625920,112.22841975345024,-15.61339744163524,-2.961085076799022,1.8279312617581256,0.7491983254950885,14.133529,0.97
109,3028187690151392128,112.3941707606338,-16.410660450881995,-3.058876305421382,1.8679669111731585,0.8095401540652815,16.763422,0.51
110,3028188205545391360,112.30000401098786,-16.424076869916146,-3.020766671519421,2.0562833551349358,0.755974147071269,12.891708,0.36
111,3028482118747588224,111.16837295901313,-15.728779510272489,-3.0762684057374536,1.751976345076523,0.8026451580111926,16.801456,0.37
112,3028219816504469632,112.41623934691872,-16.129447531203752,-3.1727815001920585,1.7972554737554916,0.7768091084934452,13.630779,0.39
113,3027353641859472768,112.75518075605436,-17.00462600143456,-3.060327216025528,1.87504867709013,0.7578646998732439,13.729769,1.0
114,3027355325486543232,112.7773573452519,-16.93080224926077,-2.985703255540227,1.8498618007202297,0.7630998425457157,15.960291,0.93
115,3027355600364428160,112.76792248211235,-16.910229285788233,-2.991888775216061,1.9424965838427235,0.7201818440629001,13.005127,0.99
116,3028602755786388352,112.2679022471197,-15.28190507933378,-2.8433362490317373,1.8036403370540768,0.7827577261747214,12.00229,0.17
117,3027360238929059072,112.85917344644096,-16.929188946925937,-2.92627890334467,1.9270147213283892,0.7285129594742825,16.615713,0.6
118,3027362506671624448,112.96764336191556,-16.83552122976504,-2.9692418035451853,1.8392790398883263,0.8336242901120562,16.606638,0.45
119,3027363193866352896,112.97155846701988,-16.7960479126593,-3.0244077963100797,1.907067803437278,0.7339176828408699,15.293154,0.96
120,3027367042157090816,112.84642152689824,-16.761172667978276,-2.992894334061755,1.9113189771994707,0.7440337425960651,15.098495,0.97
121,3027374223342287744,113.12881656084076,-16.80220683641118,-3.041627451261052,1.8126698985932603,0.7254840643473763,16.028776,0.71
122,3027391162694108416,112.96488432702546,-16.67178721978688,-3.04756484059178,1.8947042732122965,0.7432223387489433,15.162901,0.97
123,3029038643422058624,114.47072435377216,-15.64628806945995,-3.1734353749833866,1.7548829683556646,0.7370960860135963,15.548673,0.22
124,3029051867629209088,114.41226907120549,-15.572988111826517,-2.824597288991109,1.896989736912384,0.7087437510332519,16.606985,0.18
125,3029057128970056576,114.22391894905142,-15.461931923823478,-2.936375092094247,1.8427325987768128,0.705357985579325,11.072785,0.54
