,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5836023075426720128,239.4863825125434,-56.61651815766187,-1.8867934234940344,-10.57321155411971,1.2557825408766436,15.063903,0.5
1,5836097567350087168,238.83738430199057,-56.01790091389714,-1.8433017221491317,-10.798332985293747,1.3548342713791182,16.098244,0.93
2,5836127735160443392,240.79746862074865,-56.94548369497149,-2.783492043006353,-10.8929766963326,1.4476698113947808,14.201002,1.0
3,5836104301816390144,241.25679040346688,-57.22694068262987,-3.01175660875854,-11.098011595187062,1.4951736739117552,13.968406,0.71
4,5836159724080581120,241.11458761649288,-56.67434038851888,-2.858146312913276,-10.67654570423619,1.442032613430749,14.038594,0.89
5,5836248715808596736,241.7037102131588,-56.45349845214234,-2.708784353809061,-11.085364344424676,1.4885625362905042,14.892519,0.96
6,5836267716746560640,241.5726160902012,-56.18707659006124,-2.557314926305884,-10.80620462895078,1.4359039395654296,17.542215,0.61
7,5836256859067913088,242.008522371876,-56.25829072235795,-2.788941733941756,-10.710985506894144,1.4346661135244272,10.4154,0.99
8,5836165320320077824,241.36916951474885,-56.52056719984592,-2.965162400120238,-11.138742216392348,1.479467238073799,12.9454775,0.66
9,5836165393438244352,241.43963473614588,-56.52366886596414,-2.978541535733341,-11.029330043007596,1.4972075160867366,16.535862,0.8
10,5836355196651284096,241.5668260621399,-55.64934747391171,-2.8770522088494097,-11.071795623478938,1.4513214109432575,15.379454,0.89
11,5836312865448862336,241.9965907783309,-55.55264374689038,-1.5673961536330885,-10.063337479591551,1.3917800230719886,16.42024,0.48
12,5836295479418809600,242.24432023478272,-55.72366205730243,-2.6531772173379333,-11.194725269490617,1.440226647295085,14.579321,0.75
13,5836298365637314176,241.98012899465567,-55.8951831614385,-2.4459128032462587,-10.553534258770425,1.4338714999535722,16.73391,0.96
14,5927702553881717248,250.494010506722,-56.992200259364864,-2.7278221171300348,-11.051658547694265,1.3934699004168285,14.064834,0.73
15,5834914217910130560,241.24426052674076,-58.23965306990648,-2.925173723876616,-10.968309777551807,1.4193559375615947,14.926557,0.86
16,5836496415167529344,239.601256341242,-55.61349439236985,-1.525252364359433,-10.818683327533368,1.3759278965327095,14.721016,0.87
