,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5853714217454933120,213.3964303274753,-63.892157176817086,-6.641799159330665,-4.558497617720213,1.1439914866270366,15.146733,0.26
1,5853809840616785792,214.10038450032377,-63.18882523782084,-6.535649331330539,-4.806933994456017,1.013569256479507,12.776475,0.65
2,5853812692475719040,214.4164510625536,-63.0422918439311,-6.698155585029947,-4.723383924847491,1.0724456430940237,13.999666,1.0
3,5853821419849812608,213.73264616567772,-63.04624197274375,-6.637106890972042,-4.85981214776987,1.0198530273978477,15.797797,0.58
4,5854166597775006208,216.03448080018688,-62.67986593918172,-6.750855452771633,-4.583168103348624,1.0885589638592263,12.959497,0.97
5,5854350972095907072,215.6277664249931,-61.94387892887519,-6.915560274302789,-4.648624523289314,0.9905708147204714,14.814883,0.7
6,5854361314377770368,216.27891145055185,-61.66515767586636,-6.813671996473729,-4.709435131798578,1.042991046967011,13.239516,1.0
7,5854369251478131840,216.56617869183387,-61.70954482748184,-6.779020171722707,-4.925807592855872,1.043544658672331,17.852982,0.18
8,5854379559400446848,217.07809290571225,-61.46478325704376,-6.596094149421178,-4.75788621710736,1.070888408623351,17.87503,0.29
9,5854381174308598144,216.6204206589732,-61.65763001076441,-6.771726941735664,-4.838829869243195,1.0258727191995776,14.937904,0.73
10,5854309632998729088,217.6361599300476,-61.82025804973436,-6.697419524403714,-4.7002770528436,1.107009397377401,17.68444,0.5
11,5854393058442881920,216.94317570453148,-61.34253568797231,-6.6953642370819,-4.704416436804032,1.0418124027401214,12.391495,1.0
12,5854393062764220672,216.94424626926772,-61.34252711678212,-6.737537990948787,-4.800965339372738,1.0970192991629877,13.838045,0.91
13,5854393505119480320,217.0375168723712,-61.3190886409107,-6.751590114011888,-4.531460618290509,1.0521114250719124,12.449338,1.0
14,5854393853052798080,216.7238147372281,-61.42290525070569,-6.570248951584259,-4.809688472136291,1.054394493494467,16.008688,0.72
15,5854397048508588160,216.82879135613967,-61.296271448475,-6.751509176804516,-4.838733173218124,1.0881320222901387,13.447858,0.94
16,5854551632947410432,216.1191961831155,-61.52962549509501,-6.9085167124524265,-4.7942083845735,1.008354083030933,16.761005,0.38
17,5854552663739440768,215.88571343087324,-61.57899248070377,-6.809266960339859,-4.783011568636649,1.0967916205988624,16.804565,0.71
18,5854553243546408704,215.7774594037716,-61.56383349952375,-6.9036436143471,-4.589271471940704,1.0484780964933471,12.574627,1.0
19,5854556065353708672,216.0095656925805,-61.41514567384169,-6.669869625643812,-4.6793888722110815,1.061113709308694,15.210226,1.0
20,5854556202792657792,215.9523277162912,-61.41273100808071,-7.0259309772591045,-4.61265405287481,1.0181722782232443,11.952137,0.34
21,5854556340231620736,215.9974441842643,-61.385719181351554,-6.674562784691326,-4.812846692542932,1.045964304833534,11.676761,0.95
22,5854559295176043008,215.6313323706846,-61.57230612460235,-6.85084454029986,-4.58192650236282,1.026966846402135,17.07154,0.76
23,5854559570047497856,215.60491038262717,-61.54332115567891,-6.672582068637153,-4.677794313611333,1.0382481004375388,14.066213,1.0
24,5854563452697877248,215.35478301669696,-61.50493097821735,-6.827084780400572,-4.712040944650804,1.0538160005585413,16.516008,0.95
