,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,6060065504515371648,192.13606124202263,-58.12023290130996,-8.05835531440688,-1.100240924563831,0.7736647403467762,16.972605,0.5
1,6060300838683022080,194.9602989495478,-57.95956451337781,-8.010685590298026,-1.3025128126581018,0.7618221701716182,13.082241,0.23
2,6060260942710465024,193.34445996935236,-57.854478829333296,-8.065644862045499,-1.3395884486762475,0.7084288409887296,16.27144,0.12
3,6060065092198465536,192.1003741965252,-58.161218441835615,-8.050217457196034,-1.1232043391810258,0.7162895674886041,14.229366,0.31
4,6056388810687185792,192.07491222252617,-60.60097238112759,-8.087566151676771,-1.1300801728800032,0.7986589088829948,16.116154,0.81
5,6056485906973480192,192.3765356938344,-60.00161642055793,-8.222794012411308,-1.2698651975916924,0.7668493961769856,15.504654,0.73
6,6056494535612023680,192.9114041842063,-59.81265940556173,-8.293835033045973,-1.0772101511164751,0.7569256577846252,17.968372,0.2
7,6056369397433739776,192.45232425785795,-60.75690775129394,-8.122031553848204,-1.2331518854898311,0.7705171946913981,17.005201,0.28
8,5863492071235007104,195.3193266586818,-61.803324363082005,-7.978400923232897,-1.1141009894453506,0.7359342351792484,14.983272,0.29
9,5863627654769433728,197.09737854581127,-61.23949076383106,-8.280215405435335,-1.1703333579331656,0.8399541067635635,13.708428,0.15
10,5863574878208366720,197.21019637207735,-61.41878234285099,-8.28216744018789,-1.004062090559207,0.7870960573111836,14.242037,0.66
11,5863579516773137408,197.25539246083235,-61.325132828821374,-8.098820613932274,-1.0109256226313654,0.8305506522038757,15.129058,0.23
12,6061852352693690112,198.3204969491043,-60.16191098965379,-8.198826173649877,-0.8901744061561281,0.744888543478563,13.902328,0.22
13,6061965151373914496,199.0608114656497,-59.30536010626212,-8.239279437650204,-1.0976023216250006,0.8214186889289316,17.337547,0.45
14,6061981197364864000,199.29316318623668,-59.0634580199506,-8.157544166247257,-1.1670045279469046,0.8323928762796781,15.018719,0.63
15,6057238801889067776,196.23847718851724,-58.36394123958434,-8.179358625544197,-1.0927290705709758,0.7488254603871466,15.647828,0.87
16,6057100057273581184,194.15112422961565,-59.12484069633732,-8.205937469444585,-0.9384424689408865,0.7562831750378627,17.232454,0.27
17,6057192175740269312,194.36067020784512,-58.495995917403896,-8.194388784706112,-0.8756527879799434,0.7521669132036115,11.837577,0.18
18,6057060990247606912,193.35794529513248,-59.56750008632949,-7.971508338776145,-1.1312716285319822,0.7846698542763249,16.75717,0.26
19,6057075077741453056,193.74172605224945,-59.26071342017912,-8.00492514629177,-1.3324620814857713,0.7875048889538383,15.971243,0.14
20,6057210867419485056,195.47255621558315,-58.64332349436749,-7.993676342642992,-1.2796357079543177,0.7481337510336614,17.73508,0.11
21,6057332191665723008,195.9036771486401,-57.65605827631354,-7.967180469953081,-1.2020045505148995,0.8054117134028834,14.564173,0.28
22,6056705641846063616,192.74547129715305,-59.43990677939565,-8.231831020144268,-0.9195964090538488,0.7518040959721783,15.982455,0.31
23,6056717525965690880,191.7242590661682,-59.81270417178693,-8.216414238607364,-1.116980473420099,0.7899127167567457,16.087154,0.85
24,6056721103730048640,191.9458282362146,-59.635754940270665,-8.301008855687751,-1.2277254197123495,0.7880026880569108,14.535275,0.67
25,6056732167540502656,191.1010828578032,-59.63362347556742,-8.237332152362447,-1.0184629270016874,0.7885034100880641,17.878925,0.34
26,6056734160431639680,191.42011679995184,-59.55341421021148,-8.195862149822373,-1.3239544858856376,0.7279550172048392,15.870384,0.28
27,6056828443539411072,194.90138311376697,-59.66388599566165,-8.274625938878039,-1.0150813483783552,0.7891165871860899,11.649749,0.73
28,6056828546619085312,194.9122533844277,-59.64655552492633,-8.261054002531765,-1.041056481878496,0.7985803924277876,14.452365,0.71
29,6056828718417636608,195.0126402248526,-59.64091231453504,-8.238887159716278,-1.28373417061374,0.7692091954610237,17.960306,0.12
30,6056828752777420160,195.06135919447,-59.61963814740584,-8.081647013815262,-1.0462826612505136,0.8192808130552456,16.42153,0.39
31,6056828782802527872,195.01027515175903,-59.6275742822067,-8.253174167851792,-1.3580851976181854,0.7867216079467741,13.026208,0.18
32,6056828782802528128,195.03185954580596,-59.631212911871344,-8.225924980938531,-0.9962007195419316,0.776233998738479,12.310443,0.93
33,6056828787137133952,195.0281986812147,-59.62821101438695,-8.000157913693489,-1.12827171875422,0.7722180399282816,13.033458,0.87
34,6056828817176708352,195.04051285665503,-59.61828771051018,-8.197393103874319,-0.8734486307546593,0.7432782063724587,12.05319,0.17
35,6056828821496887040,195.0458609492568,-59.62378519457294,-8.089258539573944,-1.2913576126780275,0.7865209436998737,13.8405485,0.8
36,6056828890186664320,194.98213436647288,-59.62739795100921,-8.13277874293705,-1.1927408641891528,0.8122265713408068,11.048378,0.78
37,6056828920241492608,194.93369954840563,-59.63322902575738,-8.167912641395608,-1.1900506707071492,0.7422535132160619,16.823671,0.69
38,6056828958935939328,194.9735560541017,-59.61559734793818,-8.016072868163189,-1.2408349730245265,0.7674461491638143,14.407191,0.74
39,6056829057680433408,194.9947294944141,-59.61220667634914,-8.26103485615318,-1.146773112032335,0.7502445194847227,15.129231,0.89
40,6056829096374889088,195.0440491728589,-59.58802611326888,-8.183282755226651,-0.9987788985012612,0.7427938921316027,12.660797,0.95
41,6056829096374891136,195.0486932234644,-59.59432383886247,-8.161151974780859,-1.1003858306659606,0.8467947945947479,10.744962,0.22
42,6056829126399913728,195.10640571508543,-59.65786108855418,-7.974883695318794,-1.0259808679414248,0.7483732319753374,11.752165,0.17
43,6056829199454012672,195.1041611436068,-59.65131563644889,-8.11637252857559,-1.059051529138014,0.7542451563574528,11.638246,0.97
44,6056829233813757824,195.11229363192385,-59.64787334811511,-8.116393571666364,-1.2807603277164223,0.7904943591563716,14.195045,0.86
45,6056829233813766656,195.12577505899583,-59.640032817602645,-8.308230125827562,-1.3073163537457075,0.792786680322208,13.205839,0.27
46,6056829268173520128,195.168407795282,-59.64471240108331,-8.08591519923976,-1.167906341593114,0.8246271081764668,16.422993,0.52
47,6056829405612448128,195.0954881945229,-59.64059515405639,-8.147600955943384,-1.0855915418462438,0.7440145890857313,11.461217,0.98
48,6056829435637556352,195.11450597676705,-59.627102463408505,-8.334723919805175,-1.198456758718041,0.7608932345904972,12.916087,0.51
49,6056829508691680128,195.10555616879165,-59.61829695833381,-8.124502310615544,-1.221710383543427,0.7662833528371363,14.1623535,0.99
50,6056829577411190272,195.17401261248293,-59.60351428783408,-8.086711609735469,-1.3176924407267925,0.7455723905218073,14.05815,0.4
51,6056829577411191168,195.1789783819238,-59.60490915742986,-8.161886296043631,-1.0635762714707564,0.8300692771917718,13.186395,0.57
52,6056829611770914944,195.13460901359483,-59.60741973202396,-8.094388175757127,-1.1971085741483152,0.7387899742162142,17.113556,0.46
53,6056829955368327296,195.2209167542364,-59.59222714950344,-8.02904716685737,-1.1193919273801698,0.7635442943939765,13.7976675,0.95
54,6056830225911551232,195.0765290369788,-59.62594078712363,-8.196129165733165,-1.277582231018085,0.766708159439668,15.016754,0.89
55,6056830230246175488,195.0792711055039,-59.62054374677849,-8.184013071817992,-1.3717884971430658,0.7458888976000861,17.501348,0.12
56,6056830294645501952,195.0827296091854,-59.609986289204514,-8.1563502122524,-1.162345418804267,0.7678763096405574,12.393469,1.0
57,6056830298935470336,195.06823539683157,-59.61401455659967,-8.22569091597369,-1.2150969385378276,0.8456192362743448,14.37379,0.22
58,6056830298965657984,195.075202136871,-59.60878193572393,-8.062128353770495,-1.1303428505402358,0.7734374146094123,14.548738,1.0
59,6056830333325424512,195.10940987220616,-59.586560888317685,-8.102337791424157,-1.0070936210874937,0.8256896645808728,15.698809,0.25
60,6056830432069358592,195.1428234815752,-59.581032694589744,-8.119757779735135,-1.197084680446634,0.8103495910378854,9.747169,0.91
61,6056830436404640512,195.12146174470547,-59.59252379010149,-8.17987638198407,-1.0973928470554588,0.7822473194783217,13.801132,1.0
62,6056830436404642816,195.11413436399448,-59.58309341128661,-8.106660693278444,-1.1723665339906322,0.7735492247392648,13.093229,1.0
63,6056830500789466496,195.0638335600427,-59.60358999439151,-8.189377842942815,-1.2444521483212796,0.7994525761909771,13.745599,0.92
64,6056830573843639424,195.0647314718277,-59.58637318437072,-8.220252664701512,-1.0993507857585785,0.7666661110546962,14.155056,1.0
65,6056830573843639552,195.0705362336216,-59.58524629203665,-8.14813992086317,-1.1326817969031662,0.7405014076660217,11.830615,0.96
66,6056830573843640064,195.0571607167581,-59.591117131948735,-8.269272289086743,-1.2115148221103986,0.7721233573921061,13.21764,0.99
67,6056830603868080768,195.1024304415104,-59.560125236641404,-8.213264875315996,-1.31943760302932,0.7586112939637265,16.698668,0.3
68,6056830608203376000,195.10525556894208,-59.57163236304603,-8.083018564251597,-1.3141699394816726,0.7850562170699471,13.802105,0.54
69,6056830642563081984,195.12981710475137,-59.57478433281706,-8.313627031941849,-1.208629611546429,0.757286128988126,14.939234,0.64
70,6056830676922828288,195.15036081251452,-59.56610673486279,-8.192646985034905,-1.1051903694514178,0.75804299523254,14.620435,0.99
71,6056830883081274112,195.22317160897543,-59.54630614196264,-8.18277102093983,-1.098445270387943,0.7494523576920661,11.586375,0.99
72,6056830947465467008,195.2795041883115,-59.54135656125142,-8.259156242926831,-1.249679189380252,0.7850560604004274,13.644931,0.92
73,6056830951800400384,195.26221100046615,-59.53587511521349,-8.155883057213956,-1.2121318133988932,0.7582913198062874,14.305393,0.97
74,6056830986160491264,195.22940122986824,-59.53894566020199,-8.319777192493492,-1.3371817286792678,0.7453914861294043,16.914835,0.14
75,6056830986160491520,195.2340436259393,-59.5384730146924,-8.191987459942712,-1.1290550196292386,0.7422939976484624,16.95429,0.61
76,6056831084904422144,195.20715232488547,-59.53757150327311,-8.090721731500874,-1.1380487955327427,0.8170876849948561,16.837702,0.47
77,6056881185742716672,193.6886944909932,-59.47937555836394,-8.266791374616991,-1.0680347002961814,0.7720431009656612,14.120242,0.99
78,6056832910306365952,194.37786541343496,-59.75549550054606,-8.187302329518948,-1.0700716441201,0.7825034076197636,16.013628,0.89
79,6056833421365224320,194.5445809079694,-59.70474727417472,-8.068060615278265,-0.979348769855086,0.7080899219876773,17.337559,0.18
80,6056834147257168768,194.7222702334007,-59.69999725810175,-8.168921119330411,-1.1544369896929785,0.8648052726831061,16.482977,0.26
81,6056834215976654592,194.77157609166275,-59.692978912711,-8.123732836916385,-1.1284855200526478,0.7742320588812936,15.1017275,0.98
82,6056834284696139392,194.759620879914,-59.68529670550832,-8.156004638421443,-1.1522669467599065,0.7511893224611611,16.513294,0.76
