,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5984053658675566080,242.8462376798261,-47.66595222688829,-6.960086975809851,-4.259681064242661,1.776685871235032,17.597216,0.69
1,5984375536374330496,239.7805341656404,-48.265533074719016,-6.525381734319254,-4.289383184829767,1.6714311570889095,16.537582,0.82
2,5984547923506817152,238.77947990100844,-47.96000553714148,-6.617322113653934,-4.246735880478321,1.7742755934368135,14.725821,1.0
3,5984550053810650496,238.54807849003925,-47.97547862785721,-6.725939772120052,-4.232572205615082,1.8175308798224004,14.367928,1.0
4,5984550912804217728,238.42626047586643,-47.93512484018095,-6.531891166587776,-4.111421662705438,1.6030859911460555,16.542976,0.58
5,5984551222041862400,238.51042549317435,-47.904019752890434,-6.694690508173596,-4.307030103715549,1.7909580020615712,17.052853,0.8
6,5984551634358645632,238.60108193058733,-47.92957460477551,-6.520492999542877,-4.293601326129794,1.8042207014207932,17.19675,0.71
7,5984469377142011520,238.7872422573272,-48.33798859961441,-6.651524737940403,-4.167327641936126,1.8821242382959509,17.959517,0.56
8,5984553833381820672,238.80080973324465,-47.9441466390457,-6.734322402645537,-4.257154684897087,1.7998368976716388,11.498918,1.0
9,5984554245698725888,238.78256121573324,-47.89191232360597,-6.647517893290427,-4.095917661851987,1.8223440001403408,14.204558,1.0
10,5984555517009136768,238.76667635092568,-47.82272081463711,-6.537196336663855,-4.044590536926016,1.7797767907432196,17.285223,0.88
11,5984557853473019776,238.8671930221469,-47.70578379522262,-6.617863209541422,-4.034624598386867,1.759025176040172,10.725525,1.0
12,5984558575026557056,238.62154019103676,-47.794262353990526,-6.80636605106561,-4.208997691780793,1.7623815863365289,16.542042,0.98
13,5984561048927229056,238.7488536707245,-47.67954415074109,-6.328270419108998,-4.19613690761034,1.7503074485739931,15.867939,1.0
14,5984561048927942784,238.7506525846347,-47.67005289389278,-6.887049426238756,-4.175885000207142,1.7986745496274137,16.958904,0.64
15,5984563694627589120,238.40760813198847,-47.81025570152278,-6.649335479727252,-4.098791719052871,1.7619386321576715,14.470205,1.0
16,5984563832066000256,238.33398927947303,-47.86319821126507,-6.566609321676939,-4.124179970324004,1.7548573748707976,10.872229,1.0
17,5984563900786831488,238.34694915713385,-47.848726106809046,-6.8215791748544135,-3.981758457993137,1.7499965570884286,10.222355,1.0
18,5984564106943992960,238.29121822776924,-47.82567714782096,-6.806059789812009,-4.1860652817553055,1.6951258254042345,16.606411,0.9
19,5984565717524027520,238.45264282999392,-47.74556217922028,-6.807584418523319,-4.063900150055716,1.7720073650793622,11.7791605,1.0
20,5984566546485506432,238.4188571765669,-47.72559443674568,-6.5227760329960525,-3.971608064798676,1.6753559251072832,15.262944,0.99
21,5984566993162216320,238.4064631401224,-47.65826938550962,-6.522129379484914,-4.2949691032520665,1.7353712617054704,15.832467,0.99
22,5984567645997119872,238.29070045274415,-47.78338849401582,-6.585930093439417,-4.119845686229392,1.844129314878428,17.214725,0.67
23,5984569570142604160,238.28369362029835,-47.69688637542673,-6.636383597996161,-4.24226011063707,1.743760287267356,15.372217,1.0
24,5984571150690662400,238.280347563987,-47.61767333491405,-6.992700970301519,-4.069236327124602,1.715040260759722,15.489574,0.84
25,5984571631726747392,238.54582033751495,-47.69951287513948,-6.899635384403469,-4.088178360840186,1.720304310725711,17.040058,0.78
26,5984571631726760960,238.5290308644663,-47.69923339265722,-6.772593670924145,-4.266802113263449,1.7346730160904695,14.014152,1.0
27,5984572284561860224,238.5359147842654,-47.65185136747347,-6.577950825076419,-4.028206026306707,1.7470898791032805,17.038916,0.96
28,5984573143555387776,238.48536678620744,-47.62456132792912,-6.527349746772849,-4.321236366594405,1.7578502160260394,15.4538145,1.0
29,5984574139987812992,238.5873716144408,-47.57671382521472,-6.639348095189252,-4.327601775013932,1.7628587114616174,15.025055,1.0
30,5984574547976782976,238.6008093755341,-47.54471184810889,-6.8227385858155,-4.211169955224026,1.7513792342618453,11.831871,1.0
31,5984576785687768704,238.4249971612517,-47.5464199492275,-6.698014977228754,-3.89051466494766,1.7498968816151086,17.394354,0.73
32,5984577575961791232,238.35999425721732,-47.51401977497802,-6.248694574492052,-4.253410392101733,1.7720666687160755,15.412431,0.98
33,5984500472706169600,238.76748167883943,-48.00360659666143,-6.6290600357434535,-4.067336854667409,1.707473093365708,16.608438,0.98
34,5984578469314982784,238.4802923353252,-47.47915190470477,-6.636967017213923,-4.166695760819749,1.7653517841971338,14.4094515,1.0
35,5984579362668206976,238.4248426276957,-47.44877296941714,-6.860940473215939,-4.033995022461464,1.7129271031508302,16.389278,0.94
36,5984579736298021504,238.42400166447607,-47.4281607912896,-6.715434437664223,-4.116098234067055,1.702706820057518,16.948967,0.9
37,5984506004624013952,238.96781275091615,-47.98156640467463,-6.173042789932167,-4.312537993081252,1.825228958697924,16.374258,0.46
38,5984506279501947264,238.9341234212353,-47.95297411611999,-6.80216244752004,-4.289774039067972,1.7870948341786832,15.926907,1.0
39,5984506618774040832,238.8485167264189,-47.97213015505203,-6.769323258158538,-4.13058002727384,1.7839814043258728,12.197072,1.0
40,5984506756214249472,238.8583792585003,-47.93922000373655,-6.827977975321849,-4.084684190708112,1.833286923784667,17.81042,0.66
