,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2174164573272915200,324.88418881663,53.67707657575,-3.923,-3.431,1.0731,15.157914,1.0
1,2174164882510547456,324.83232711662,53.6999726408,-3.385,-3.514,1.0516,17.219534,0.5
2,2174158869556212352,324.86479201005,53.55307397277,-3.686,-3.549,1.056,17.156296,0.6
3,2174151379132918400,324.69368753351,53.37158850277,-4.082,-3.501,1.1293,17.784866,0.4
4,2174169933391426048,324.2977045883,53.4936469527,-3.529,-3.496,1.037,15.10108,0.8
5,2174156155136682240,324.63283825306,53.48942436269,-3.505,-3.435,1.0889,17.512072,0.5
6,2174162855285829760,324.75749028385,53.60838183234,-3.735,-3.295,1.0723,12.448069,0.8
7,2174168146685168384,324.53921618118,53.54220533705,-3.69,-3.387,1.1174,12.804704,0.9
8,2174165432266360576,324.90468339721,53.7409450539,-3.614,-3.502,1.1145,16.996307,0.8
9,2174180859788639104,324.6005898959,53.84237210749,-3.61,-3.379,1.0805,17.357683,0.6
10,2174180237006054528,324.54726531026,53.79321035913,-3.641,-3.372,1.0827,13.32352,1.0
11,2174174846834597760,324.71149037153,53.63128770716,-3.941,-4.287,1.0304,17.137363,0.2
12,2174171509630708992,324.25799685934,53.60459659465,-3.996,-3.453,1.1626,16.262403,0.8
13,2174172682170777600,324.49837676556,53.63528729165,-3.881,-3.478,1.0999,12.70753,0.8
14,2174181753142033920,324.74775659947,53.85937412671,-3.64,-3.37,1.0798,11.849034,0.9
15,2174175534029254528,324.64020974536,53.65299914439,-3.908,-4.242,0.9953,16.972488,0.2
16,2174174778115012864,324.6404583119,53.64058718391,-3.757,-3.808,0.9885,17.656912,0.5
17,2174176289943477760,324.64127785939,53.72299835439,-3.94,-3.334,0.9816,9.3181,0.6
18,2174176427382432000,324.66909745567,53.73571407587,-3.535,-3.435,1.0508,17.219357,0.8
19,2174178179729275008,324.8292600944,53.78440591121,-3.755,-3.331,1.0832,12.809667,1.0
20,2174173060127891456,324.50737585946,53.67868355786,-2.967,-3.458,0.9843,13.874398,0.1
21,2174182749574436096,324.74511936695,53.90489511212,-3.585,-3.352,1.0806,15.491001,0.9
22,2174181787501771904,324.73624503505,53.85430536568,-2.941,-3.407,1.0873,10.946531,0.1
23,2174178248448746240,324.81732740165,53.80308168973,-3.815,-3.42,1.065,17.152838,1.0
24,2174174189690938240,324.48349243079,53.73988333995,-3.931,-4.109,1.0365,17.469246,0.5
25,2174274421337841792,325.01929908039,53.93723041725,-3.586,-3.004,1.0424,10.796469,0.3
26,2174274868029409152,325.04312257012,53.99765055724,-3.26,-3.246,1.0417,14.062841,0.2
27,2174275383425483392,325.10392298434,54.03344084639,-3.708,-3.47,1.048,17.272905,0.8
28,2174273665438597504,325.07512425344,53.91955298613,-3.686,-3.783,1.0669,15.266085,0.6
29,2174273905956766848,325.14815286567,53.95619555323,-3.674,-3.499,1.0308,13.150483,1.0
30,2174276173699278976,324.96437851189,53.95212632278,-4.532,-3.409,1.0296,11.41335,0.6
31,2174275383425481344,325.09540719351,54.03582628743,-3.698,-3.274,1.0414,13.548773,1.0
32,2174230578332437248,324.59461507868,53.95823423587,-3.99,-3.561,1.0412,16.617111,0.9
33,2174273008298225792,324.95841459164,53.90715371185,-3.717,-3.423,1.031,12.252593,1.0
34,2174234460982866048,324.62515292483,54.05499449285,-3.756,-3.491,1.0751,14.467567,1.0
35,2174272291048977536,324.90839032168,53.84856572342,-3.726,-3.437,1.0485,14.797409,1.0
36,2174268064801441280,325.24335072021,53.95871737812,-3.67,-3.318,1.0777,15.892776,0.9
37,2174276104979796736,324.91242391543,53.94022427933,-4.065,-3.04,1.1626,14.698181,0.4
38,2174276242418750080,324.95186432245,53.96249784459,-3.733,-3.433,1.0712,15.559649,1.0
39,2174276379857693568,324.88790507127,53.95887508563,-3.57,-3.213,1.142,11.678948,0.5
40,2174275830101878144,324.80775476235,53.9190720737,-3.732,-3.345,1.0498,15.684464,1.0
41,2174274313965964928,325.15223069361,53.98486499668,-3.852,-3.393,1.1181,11.819183,0.8
42,2174251361659282176,324.33241715604,54.17699227344,-3.602,-3.381,1.0823,16.715748,1.0
43,2174225527450449024,324.32153767226,53.85002111091,-3.709,-3.471,1.0925,12.514481,0.9
44,2174254973740814848,325.08696927518,53.68039722602,-3.905,-3.275,1.0978,11.805027,0.3
45,2174272909524151168,324.98538783531,53.91070120706,-3.878,-3.497,1.0646,12.679278,0.9
46,2174274180834665856,325.11979806346,53.96732992334,-3.64,-3.457,1.0654,10.863943,0.9
47,2174245799696191232,324.25347666317,54.02015937667,-3.048,-3.222,0.9916,17.710894,0.2
48,2174275039828115456,325.13398966892,54.00149851452,-3.729,-3.283,1.1621,14.877339,0.7
49,2174271088457922176,324.94778536513,53.79143188331,-3.527,-3.449,1.0366,14.992278,0.9
50,2174233705068495488,324.53901970402,53.98716246477,-4.621,-3.804,1.0115,17.177101,0.6
51,2174247719531895552,324.49419389812,54.14578610478,-4.462,-3.279,0.9516,17.446434,0.5
52,2174274490072305792,325.05730097038,53.95057309871,-3.712,-3.274,1.0769,12.618698,0.9
53,2174274382687073280,325.04465358881,53.9421640589,-3.526,-3.629,1.1689,17.373156,0.5
54,2174272943883886720,324.99472747654,53.92698152903,-3.547,-3.58,0.9699,14.969202,0.7
55,2174276620360824704,324.78797636197,53.93010240734,-3.942,-3.922,0.954,17.45818,0.4
56,2174261880048367744,325.24384714972,53.91430401398,-3.761,-3.467,1.0983,16.09975,0.9
57,2174273905941832064,325.14794819575,53.95582952335,-3.118,-3.811,1.0966,15.511128,0.4
58,2174273218761785984,324.97674686169,53.93910582282,-4.037,-3.855,0.9496,12.926256,0.5
59,2174230131655736320,324.66346532237,53.94824782576,-3.715,-3.432,1.0684,15.212401,1.0
60,2174229719338875520,324.62788567662,53.9302749622,-3.707,-3.483,1.0533,13.646139,1.0
61,2174273115682574336,324.96597348895,53.9257649129,-3.756,-3.395,1.1179,13.351185,1.0
62,2174261605170455552,325.15047013819,53.88834512014,-3.261,-3.643,1.1036,11.94935,0.5
63,2174261983127574784,325.16153222599,53.90329375412,-3.921,-3.384,1.0197,16.864305,0.9
64,2174229650619394816,324.58668433859,53.92081730013,-3.832,-3.384,1.0514,15.239778,1.0
65,2174273248814079744,325.0714730986,53.87568504393,-3.627,-3.289,1.0005,12.275774,0.8
66,2174243325795005440,324.11178365955,54.05533831882,-2.776,-3.791,1.1399,13.673201,0.6
67,2174256107596975360,325.27876508615,53.74938031279,-3.573,-3.445,1.0848,13.280764,0.9
68,2174276482936904320,324.90431661568,53.97895074446,-4.016,-3.448,1.0862,16.76942,0.6
69,2174229852463237376,324.68754907506,53.93448391317,-3.698,-3.472,1.1028,12.942198,1.0
70,2174276723455068032,324.84262910177,53.96444633942,-3.707,-3.341,1.0179,14.975191,0.9
71,2174248754633990272,324.47798428084,54.21216180966,-3.281,-3.176,1.0937,17.936403,0.2
72,2174227726473890176,324.54650933424,53.85427320927,-3.719,-3.399,1.0517,15.725295,0.9
73,2174268129213494656,325.24593040325,53.9688387671,-3.694,-3.209,1.1099,17.074133,0.7
74,2174276620376009344,324.78788663137,53.9304120377,-4.374,-3.255,1.0966,15.47732,0.5
75,2174243463233958400,324.14372541852,54.07293994027,-3.693,-3.297,1.0389,16.834852,0.8
76,2174229719338879872,324.63791421056,53.92532465742,-3.893,-3.36,1.1654,10.781464,0.9
77,2174268270959864448,325.27067400713,53.99606771044,-4.0,-3.276,1.1581,16.056473,0.9
78,2174262567243181824,325.38983404489,53.81395100278,-3.641,-3.208,1.0686,15.941244,0.6
79,2174250919297313920,324.23912514561,54.19886130041,-3.953,-3.749,1.0909,17.052883,0.7
80,2174256107612189440,325.27833644305,53.74855626633,-3.547,-3.508,1.0632,12.775702,1.0
81,2174274215194411264,325.14940980631,53.95893439963,-3.373,-2.82,1.0299,17.288689,0.3
82,2174274009035988096,325.16664154704,53.95156600725,-3.698,-3.339,1.1015,15.815452,1.0
83,2174256176331661952,325.2552297584,53.75482291387,-3.917,-3.373,1.0562,15.806059,0.7
84,2174274180834664448,325.12408494713,53.97094864935,-3.758,-3.637,1.0342,16.40474,0.8
85,2174262567228406016,325.38381128603,53.81789791995,-3.944,-3.45,1.1537,17.748758,0.5
86,2174262189286000640,325.18418256582,53.92708508381,-3.04,-3.398,0.9879,13.886555,0.1
