,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,1935807288627341056,342.53249329871,45.27391132269,0.363,-1.808,1.4488,16.768269,0.8
1,1935803783930951552,342.51790761201,45.19098664981,0.487,-1.268,1.377,17.537407,0.1
2,1935945655293770752,343.56715102311,45.9402015128,0.526,-1.859,1.4544,16.227167,0.5
3,1935920263446876800,343.37860700708,45.60614153381,0.496,-2.032,1.4173,15.703539,0.2
4,1935947029683441024,343.63540802092,46.00617116619,0.56,-1.623,1.4384,13.269234,1.0
5,1983917897369826176,342.37270013825,45.7831781286,0.247,-0.956,1.4483,9.824098,0.4
6,1983931263307881600,342.01950257428,45.92536768479,0.662,-1.598,1.4165,14.677869,0.9
7,1983901473415443328,343.08571630426,46.04607376554,0.174,-1.167,1.4581,15.429321,0.8
8,1983974895877186688,342.95444334079,46.48009260298,0.373,-1.647,1.4704,15.634484,0.9
9,1983971704720621952,342.90910253692,46.41216136784,0.363,-1.197,1.5673,12.944487,0.2
10,1984009118177323008,343.4977183685,46.42479154466,0.249,-1.971,1.2543,17.921816,0.2
11,1983937860377771648,342.16777742658,46.01861933136,0.534,-1.456,1.4019,17.490528,0.8
12,1983891234213161856,342.77050248216,45.76798964248,0.633,-1.804,1.3973,16.71631,0.8
13,1983969368258420352,342.80234635718,46.3124218065,0.48,-1.5,1.3961,14.611409,1.0
14,1983962388931972864,342.54154876305,46.18904649988,0.442,-1.551,1.3992,12.201283,1.0
15,1983923051330699520,342.34015839667,45.89734692224,0.499,-1.841,1.2443,8.437548,0.6
16,1983918653284068736,342.3749645271,45.80037219008,0.177,-1.633,1.4373,14.706394,1.0
17,1983944831106781568,342.5977465543,45.98233396875,0.563,-1.833,1.3691,12.344469,0.8
18,1983944594886809216,342.61478515151,45.9651565623,0.588,-1.879,1.366,16.552746,0.4
19,1984000734402424192,343.33187777732,46.21837152215,0.193,-1.756,1.4477,15.0752,0.4
20,1983930090780056064,341.8486870216,45.85818583247,0.65,-1.527,1.3495,11.84471,1.0
21,1983958819818332032,342.40851749081,46.00706301842,0.351,-1.468,1.3957,12.920305,1.0
22,1983960091128640768,342.40406929125,46.07645745755,0.397,-1.662,1.3328,15.732018,1.0
23,1983939750163520512,342.31781591494,46.07909286342,0.637,-1.385,1.4008,17.365221,0.6
24,1983934321324732672,342.12759485564,45.92391123306,0.424,-1.791,1.4836,16.823486,0.8
25,1983966924417770240,342.53790729452,46.30909661018,0.142,-1.24,1.4539,17.691227,0.8
26,1984004651410478336,343.57442286589,46.33719735967,0.483,-1.734,1.3033,12.775826,0.8
27,1983980741332237696,343.48766440216,46.06957643891,0.399,-1.305,1.4416,15.146568,0.9
28,1983898071801241088,342.93591457184,45.88758514797,-0.057,-1.56,1.2672,17.872456,0.3
29,1984000188944122240,343.23253202541,46.21909829991,-0.266,-2.323,1.4758,13.123971,0.1
30,1983929064284630784,341.86516716841,45.82350656705,0.277,-1.561,1.4599,14.806777,1.0
31,1984007709427830528,343.50622321525,46.33619151385,0.946,-1.604,1.4543,17.918694,0.1
32,1983971704720675456,342.90774954012,46.41160761026,0.606,-1.526,1.4764,15.366693,0.9
33,1983958987317964416,342.42318562718,46.02352323051,1.119,-0.958,1.2106,16.993687,0.1
34,1984135428873587072,341.74934025726,46.08014031131,0.284,-1.629,1.3822,13.976689,1.0
35,1984131821101263616,341.97953440896,46.19632044056,0.47,-1.779,1.5076,16.859724,0.8
36,1984126838939188096,342.09932423698,46.09158746999,0.424,-1.671,1.3738,9.825298,1.0
37,1984126254823637120,341.98618299416,46.02996015029,0.34,-1.672,1.4458,14.724324,1.0
38,1984055164525599872,343.31669986605,46.52390443013,0.517,-1.484,1.411,14.762787,1.0
39,1984142541339569536,341.7562006138,46.26600592576,0.278,-1.675,1.3557,16.491838,1.0
40,1984132405213024384,342.06973833118,46.24659245201,0.354,-1.755,1.426,11.013911,1.0
41,1984133917045413760,342.11476912576,46.27583335384,0.436,-1.631,1.4256,10.988567,1.0
42,1984133573444553344,342.2392119542,46.31174586703,0.48,-1.125,1.4847,10.845844,0.4
43,1984137559177529472,341.8706687384,46.1654941146,0.272,-1.566,1.3834,14.039492,1.0
44,1984122642753423488,341.66654573126,45.96588866466,0.366,-1.731,1.3438,16.796034,0.9
45,1984117836687577984,341.83338418736,45.88595794799,0.239,-1.48,1.4903,13.878328,1.0
46,1984119966991354496,341.95374477565,45.96833151683,0.34,-1.66,1.398,13.871186,1.0
47,1984073100309110400,343.24232465092,46.75809424805,0.624,-1.519,1.4172,15.418114,0.9
48,1984120448027685376,341.85802619094,45.96346260298,0.3,-1.577,1.4614,16.095236,1.0
49,1984134741678743296,341.65161059584,46.01021239329,0.337,-1.828,1.2289,17.63846,0.6
50,1984073169028497024,343.34106039058,46.58724525509,0.317,-0.942,1.4697,14.158734,0.2
51,1984069492536478976,343.09412803743,46.57227248682,0.624,-1.503,1.2551,16.028252,0.9
52,1984127045097617280,341.9988735804,46.04936863472,0.492,-1.351,1.1995,17.628288,0.5
53,1984127045097616768,341.99952853748,46.05015258253,0.206,-1.584,1.4349,14.640825,1.0
54,1984138589969673856,341.85131439751,46.20772567107,0.414,-1.642,1.3448,7.897414,0.8
55,1984134638600063104,342.20264898847,46.34630712508,0.271,-1.651,1.395,12.461245,1.0
56,1984131473206380928,341.94708576805,46.15826795433,0.129,-1.726,1.4873,17.47176,0.8
57,1984142094662978176,341.86474060062,46.28003938139,0.371,-1.647,1.3685,15.876123,1.0
58,1984141991583764224,341.84830490746,46.26109063268,0.367,-1.762,1.3563,17.057747,0.9
59,1984138830487838080,341.8148673507,46.21621076532,0.169,-1.623,1.2825,12.463066,1.0
60,1984139002286530048,341.89139562717,46.25202412927,0.385,-1.444,1.4748,10.960647,1.0
61,1984131718022012288,341.96876480899,46.17844340406,0.55,-1.72,1.3859,16.555895,0.9
62,1984138521250190976,341.79258964689,46.21640402948,0.26,-1.788,1.3419,12.194904,0.9
63,1984142227804241792,341.81379753576,46.27987676304,0.758,-0.734,1.4697,11.88579,0.1
64,1984131958540184064,342.03074424714,46.18710300642,0.801,-1.725,1.2752,16.899036,0.9
65,1984136012989131904,341.63312817082,46.08382231808,0.523,-1.699,1.2365,16.245417,0.8
66,1984142884936946560,341.7425632894,46.3083599746,0.297,-1.527,1.3578,15.652253,1.0
67,1984131236985679872,342.044317522,46.18022269202,0.372,-1.333,1.2412,14.608361,0.7
68,1984145255759060480,342.00124740225,46.31053836845,0.957,-1.483,1.3602,14.22058,0.2
69,1984220778464059648,341.89332258112,46.81568280965,0.46,-1.275,1.4005,16.20345,0.8
70,1984191057290126720,341.66788747521,46.36600960461,0.292,-1.354,1.3693,10.283784,1.0
71,1984192770979905408,341.57234394018,46.37694495276,0.315,-1.237,1.344,16.748745,0.9
72,1984191194729078912,341.71133510564,46.39017637941,0.362,-1.679,1.418,13.999822,1.0
73,1984151470572185984,342.012052209,46.45200383629,0.008,-1.267,1.2866,17.829132,0.5
74,1984191744484890240,341.78133423664,46.43921792807,0.129,-1.593,1.4573,11.588062,1.0
75,1984158960995035648,342.42084423861,46.38904875671,0.563,-1.519,1.2201,17.513819,0.8
76,1984192672197822464,341.63723801688,46.39493458343,0.428,-1.372,1.2092,17.541033,0.6
77,1984158552977966592,342.37368478985,46.42896392635,0.32,-1.363,1.3201,17.31027,0.9
78,1984166146480439424,342.67640803152,46.55772774124,0.586,-1.943,1.3035,16.91365,0.3
79,1984194630702909312,341.72866882748,46.43850327313,0.124,-1.381,1.3619,16.34139,0.8
80,1984185903330115584,342.74815832918,46.83875862451,0.437,-1.831,1.2973,15.695259,0.6
81,1984146080392783232,342.09420037803,46.34490915766,0.207,-1.473,1.3343,13.096302,1.0
82,1984184116623717376,342.62083754652,46.80004360053,0.267,-1.339,1.3569,15.267497,1.0
83,1984144087527967616,342.03280749494,46.25176863777,0.408,-1.615,1.3394,9.363737,1.0
84,1984219953830337408,341.81076893244,46.78484810118,0.359,-1.54,1.4107,14.488306,1.0
85,1984210985938328448,341.44282214441,46.59376918908,0.316,-1.513,1.3935,13.689347,1.0
86,1984146458350057600,342.19666219034,46.36972728496,0.358,-1.623,1.2627,8.985862,0.8
87,1984149000970380928,341.86897812046,46.33315161908,-0.482,-1.491,1.4174,13.608128,0.4
88,1984146355270841984,342.166222875,46.3587532639,0.08,-0.986,1.4022,13.173719,0.7
89,1984147519201883648,342.19143733267,46.41909990522,0.389,-1.75,1.4446,13.128304,1.0
90,1984146492709794816,342.22242791891,46.38975608262,0.414,-1.742,1.4412,16.646267,0.8
91,1984155907278273664,342.46420356034,46.37045354438,0.46,-1.675,1.4047,12.600233,1.0
92,1984156044717225856,342.49379908533,46.3925546588,0.46,-1.622,1.4533,15.432725,0.9
93,1984210264383829504,341.56248821339,46.59491723711,0.238,-1.51,1.2903,15.665923,1.0
94,1984188583388808320,341.52039545615,46.23327177053,0.351,-1.682,1.4073,13.938066,1.0
95,1984237649096055040,342.53006088355,47.00219333816,0.351,-1.422,1.4015,11.085005,0.9
96,1984151440512095360,342.08183736244,46.48725586518,-0.135,-1.914,1.3037,11.327798,0.4
97,1984188029335831296,341.62256807409,46.23329517333,0.057,-1.725,1.4638,17.735235,0.6
98,1984145977313571328,342.06737122755,46.30807688149,0.107,-1.569,1.3595,14.738345,1.0
99,1984147282983617280,342.09973399185,46.39984143548,0.603,-1.74,1.3977,10.892858,1.0
100,1984203564235176960,342.08208528675,46.65362623021,0.917,-1.594,1.4225,15.026778,0.5
101,1984148038897862656,341.93630862733,46.31402686633,0.358,-1.548,1.3838,16.101938,1.0
