,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2203273215886607616,330.88139905891,60.90136743638,-1.527,-3.082,1.1234,14.774611,0.8
1,2203320013863799296,330.65635303302,61.05660609823,-2.331,-3.705,1.0346,14.964959,0.6
2,2203276853723688704,331.00215003941,60.98712321828,-1.364,-2.759,1.0062,16.7726,0.7
3,2203294587656719488,331.89027749742,61.17406386782,-1.365,-3.243,1.0371,17.003006,0.6
4,2203293969181439104,331.86305683331,61.14079780441,-1.751,-3.183,1.0973,10.699427,0.9
5,2203289296257122432,331.69405704019,61.16741838441,-1.086,-3.638,1.1792,13.675929,0.1
6,2203315512737211008,331.90215194191,61.51301896164,-1.645,-3.007,1.1962,17.70896,0.8
7,2203294690736058624,331.93045138127,61.20051903943,-1.977,-3.231,1.1713,17.042158,0.7
8,2203320941576685568,330.44377595247,61.01360470792,-2.048,-3.295,1.0707,13.2602,0.8
9,2203297847526881408,332.13440691678,61.33880550028,-2.305,-3.25,1.2341,17.931887,0.9
10,2203294278419061248,331.85586507713,61.18016716431,-1.841,-3.24,1.0409,17.848282,0.7
11,2203294480271874432,332.00631858658,61.20011283658,-2.304,-3.101,1.1843,17.397041,0.7
12,2203284172349530624,331.68300258662,60.99982312368,-1.954,-3.383,1.2077,12.82835,0.9
13,2203316406091313792,330.49411642008,60.89862937603,-1.829,-2.98,1.1408,12.894649,0.8
14,2203309465423363840,331.93566985917,61.33544079021,-1.82,-3.037,1.0908,15.022734,0.7
15,2203279538090265344,330.98885714328,61.06513182699,-1.758,-3.131,0.9955,16.104101,0.5
16,2203294965613810816,331.80170543786,61.18653372285,-1.049,-3.539,1.0444,16.35291,0.2
17,2203289055738811264,331.74953318186,61.15872884743,-1.975,-3.927,1.1359,14.166895,0.3
18,2203281324797499264,331.66794050156,60.90337838767,-1.278,-2.418,1.1949,16.347569,0.1
19,2203297920551313024,332.0767165645,61.32768366891,-2.697,-2.909,1.1988,16.544912,0.9
20,2203309534142830976,331.91621777779,61.34325537349,-2.214,-3.108,1.1606,12.078482,1.0
21,2203272185106390912,330.97139008285,60.86486870646,-2.133,-2.788,1.0968,17.669767,0.3
22,2203313897820303104,331.81955626824,61.42414397518,-1.546,-2.931,1.1171,17.990423,0.5
23,2203292045036141184,332.13637344583,61.16675816425,-2.415,-3.27,1.0631,17.821653,0.4
24,2203291941956924288,332.10568620913,61.15414510637,-2.31,-3.278,0.9896,12.525403,0.4
25,2203293037162854912,332.06285533411,61.19904190588,-2.493,-3.263,1.151,16.853281,1.0
26,2203309705941557120,332.0394216956,61.33824534878,-2.403,-3.63,1.1425,17.916426,0.9
27,2203283622593684480,331.81191898089,60.9949007,-2.219,-3.363,1.1451,17.723606,1.0
28,2203265519316843392,330.72259608495,60.76068839294,-1.693,-3.161,1.0592,15.978473,0.6
29,2203289571134989056,331.94946740214,61.04403443373,-2.573,-3.532,1.2146,16.367262,1.0
30,2203290120890806784,332.05096131947,61.08865023663,-2.174,-3.517,1.0901,16.732952,0.9
31,2203291941956928512,332.10121713891,61.14337539937,-2.439,-3.238,1.1046,15.94387,0.9
32,2203275518000963584,331.14950117527,61.02805424565,-2.421,-3.279,1.146,11.909863,0.9
33,2203309053106468224,331.82794564998,61.35382632709,-0.927,-2.989,1.099,16.335629,0.3
34,2203299771671277568,331.3398899971,61.13041837635,-1.083,-3.374,0.9626,17.05484,0.1
