,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4054714522044045696,262.48808526729,-32.60332681343,2.133,-1.635,0.8258,12.952124,0.8
1,4054714526339697024,262.48789959057,-32.60448603017,1.415,-1.292,0.9525,17.645826,0.3
2,4054714835587906944,262.55438584016,-32.57621240905,1.858,-1.128,1.0286,15.767849,0.4
3,4054713770425140736,262.58715032494,-32.61170020316,1.981,-1.6,0.8,17.247173,0.6
4,4054716931535176576,262.60851801181,-32.50824099079,1.83,-1.547,0.8667,17.809877,0.7
5,4054708444679800192,262.42457007366,-32.6501814245,2.145,-1.407,0.7907,15.321759,0.6
6,4054714178447476608,262.46758894529,-32.63957860586,2.266,-1.576,0.8686,16.663017,0.9
7,4054715144828789504,262.52241024639,-32.5532029053,1.837,-1.611,0.8842,17.237288,0.6
8,4054714595072975360,262.47186678206,-32.59297844623,1.755,-1.937,0.8817,12.363935,1.0
9,4054714144086866560,262.49802813135,-32.63968185832,1.561,-2.006,0.7073,17.28552,0.7
10,4054716343109553664,262.59014568558,-32.55325441464,1.567,-1.723,0.909,12.38191,0.6
11,4054713869208982912,262.55902625747,-32.62525389494,2.508,-2.371,0.8283,16.950516,1.0
12,4054715484116749952,262.6009947286,-32.58547179698,2.708,-1.113,0.9455,17.538721,0.7
13,4054717270823272704,262.62785373918,-32.47622572091,1.7,-0.865,1.0244,17.993055,0.2
14,4054761667916415232,262.42075718905,-32.5926900541,2.168,-1.769,1.0455,17.45091,0.7
15,4054761805355372032,262.45082349526,-32.56393416132,1.981,-1.44,0.8868,13.59114,0.5
16,4054764309306416512,262.60480281372,-32.43516894519,1.362,-1.458,1.0495,17.883692,0.2
17,4054765413127961472,262.55431008995,-32.39834639359,1.646,-2.059,0.9212,15.846787,1.0
18,4054762389470935936,262.49419802977,-32.51438342345,1.529,-1.418,0.8588,13.852341,0.1
19,4054766375200664576,262.40381360209,-32.46967695439,1.87,-1.476,0.9438,14.668681,0.5
20,4054761457446674816,262.43206628351,-32.58957723048,2.528,-1.69,0.9184,17.541374,0.7
21,4054760396606238848,262.21912894145,-32.54185015815,2.145,-1.565,0.9044,17.816853,0.4
22,4054761977138606336,262.49812701584,-32.55140525624,2.622,-1.106,0.8067,13.742418,0.8
23,4054762007218059904,262.47736706262,-32.55031523282,2.372,-1.797,0.7998,17.011837,1.0
24,4054761908434614400,262.44164460723,-32.53184459362,1.445,-2.324,0.9117,15.379638,1.0
25,4054761457446655872,262.43473277686,-32.6015032022,1.414,-1.783,0.9345,17.649872,0.5
26,4054761908434611456,262.43688638635,-32.54075017098,2.358,-1.573,0.8161,15.664099,0.9
27,4054762728756348800,262.42472251942,-32.52565985722,2.358,-1.224,0.8508,11.659295,0.8
28,4054762694396610688,262.40940092541,-32.52789560641,2.025,-1.357,0.9194,12.067751,0.5
29,4054763037993994496,262.44477240058,-32.52782055187,2.161,-1.178,0.8612,11.749982,0.7
30,4054760602764676736,262.21571140543,-32.53624477133,2.566,-1.385,0.6865,16.738888,0.7
31,4054762282091001472,262.44291616712,-32.53184188843,1.914,-1.505,0.8131,17.607843,0.6
32,4054765619286422656,262.50312121622,-32.38973305854,2.035,-1.716,0.761,14.882739,0.8
33,4054763042305985280,262.44434083018,-32.52282005184,1.986,-1.327,0.8791,12.098411,0.5
34,4054763072354477568,262.45758500789,-32.51441141781,2.845,-1.534,0.9251,17.81043,0.8
35,4054761594886471168,262.45601426523,-32.56970026895,2.143,-1.512,0.8985,15.712843,0.9
36,4054763111010370688,262.43262173806,-32.50053921401,1.856,-1.35,0.8443,17.527433,0.5
37,4054769845534337024,262.45096657802,-32.31742955475,2.008,-1.889,0.8531,17.341446,0.8
38,4054761766685168768,262.41890620408,-32.56301177849,1.947,-1.747,0.8728,16.722435,0.7
39,4054761530477446272,262.46242437815,-32.58680130015,2.122,-1.472,0.877,15.580623,0.8
40,4054765065220115584,262.45966727767,-32.42533663744,2.16,-1.811,1.0282,17.28474,0.5
41,4054760396591568000,262.21623930205,-32.5370081343,2.25,-1.193,0.6665,16.500334,0.6
42,4054766065963034112,262.3320373299,-32.50037982309,2.221,-1.146,0.7154,17.343271,0.6
43,4054765035165812736,262.45278896857,-32.44409688797,2.219,-1.315,0.7226,17.55329,0.6
44,4054763763860447872,262.5624088369,-32.49786905199,2.129,-1.894,0.8857,17.419344,0.8
45,4054762698708619904,262.40400282681,-32.52765495776,2.0,-1.611,0.8109,12.371839,0.7
46,4054862548119719936,262.52651125874,-32.34920383092,1.872,-2.174,0.8474,14.311413,1.0
47,4054862578178440320,262.54612636141,-32.33702780307,1.776,-1.082,0.8255,14.67133,0.2
48,4054858184432863616,262.6278218335,-32.41657643733,2.324,-0.959,0.8168,15.344819,0.8
