,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4282463959006960896,283.70190819672,5.55911088565,0.007,-1.565,0.7384,17.646585,0.9
1,4282463860224652160,283.72112479228,5.57080329488,-0.597,-0.93,0.2512,15.708168,0.8
2,4282463757145436928,283.70434837329,5.55590367781,-0.247,-1.677,0.5444,13.199324,1.0
3,4282463757145437568,283.70447974927,5.5582311839,-0.18,-1.672,0.3813,15.706424,1.0
4,4282461759983658496,283.60664153894,5.4873268281,-0.48,-1.143,0.5546,17.852276,0.7
5,4282458667607204096,283.66457044096,5.48505469704,-0.188,-1.574,0.4013,17.92597,0.8
6,4282462004798930560,283.66499499086,5.49412623373,0.063,-1.845,0.3543,15.800281,0.7
7,4282463718488781824,283.70333882231,5.542285758,-0.184,-1.523,0.2553,16.687168,0.9
8,4282458122148294784,283.75645568364,5.48393513385,0.175,-1.797,0.5382,16.321781,0.7
9,4282463688425948160,283.71981332048,5.54338913042,-0.433,-1.615,0.4304,17.227646,1.0
10,4282465337693426048,283.72467315897,5.62685355981,-0.159,-0.737,0.5247,17.373302,0.9
11,4282463684129046400,283.72628497492,5.54525633344,-0.392,-1.59,0.6338,17.827799,0.9
12,4282459015501706880,283.69326674369,5.48888346734,-0.914,-1.259,0.3083,16.436,0.7
13,4282462309739506432,283.65556630537,5.53810011229,0.17,-1.342,0.4889,16.803461,0.9
14,4282457946052676352,283.72681418878,5.45755242423,0.157,-1.844,0.6611,17.372957,0.7
15,4282458740623592960,283.7185631621,5.47136536429,-0.514,-1.785,0.2306,17.35771,0.9
16,4282465234612898432,283.65409879184,5.62912614011,-0.65,-1.384,0.6746,17.489056,0.9
17,4282463654066214144,283.706580769,5.54128181292,-0.356,-0.66,0.2971,17.424286,1.0
18,4282464169462310656,283.71435473629,5.59372509582,-0.441,-1.706,0.9187,17.889347,0.9
19,4282460660472056192,283.74053036425,5.52495115772,-0.268,-1.738,0.5135,17.652218,1.0
20,4282462172300545536,283.70662629346,5.52579051988,-0.638,-1.119,0.5521,17.867441,1.0
21,4282463722785691648,283.70894578627,5.54638665838,-0.602,-1.522,0.836,17.263754,0.8
22,4282462107878146432,283.66939836995,5.51313604484,-0.598,-2.165,0.3663,17.792725,0.5
23,4282462206660284544,283.6790155794,5.52773764261,-0.25,-1.692,0.4979,16.95005,1.0
24,4282460797911269632,283.76258279116,5.54670091459,0.397,-2.228,0.6667,17.656267,0.6
25,4282462073518408832,283.65973652158,5.51583650153,-0.159,-1.564,0.5174,16.05697,1.0
26,4282458117851387520,283.76005479071,5.48290067483,0.174,-1.512,0.7883,17.447079,0.8
27,4282464543122530688,283.71643288804,5.60794539075,-0.158,-1.17,0.6099,16.545795,1.0
28,4282462245316946560,283.683243301,5.53620905608,-0.275,-1.628,0.4947,16.40144,1.0
29,4282460729191537280,283.73479997121,5.53131516468,-0.154,-1.524,0.5539,15.391286,1.0
30,4282462515897950976,283.66502319377,5.56082041567,-0.26,-1.692,0.5422,16.750042,1.0
31,4282463241749516672,283.63819563127,5.55553701417,-0.712,-1.272,0.6107,16.841276,0.8
32,4282463959006962176,283.7028196742,5.56083202083,0.117,-1.87,0.5276,17.820229,0.7
33,4282463821568010112,283.74785379297,5.56388561553,-0.228,-1.524,0.5373,16.08773,1.0
34,4282464233885124608,283.76397253508,5.58570035313,-0.198,-1.3,0.2868,17.622656,1.0
35,4282463654066207488,283.71293810421,5.53188725726,-0.104,-1.401,0.6238,17.237257,1.0
36,4282458981141952128,283.69107323441,5.48399382462,-0.727,-1.369,0.6178,16.933628,1.0
37,4282463963303875456,283.70256343363,5.57156620455,-0.242,-1.671,0.7696,15.515205,0.9
38,4282458564527974272,283.66555445361,5.4664455392,0.321,-1.366,0.2972,17.835665,0.7
39,4282463963303874816,283.69337467535,5.56331651181,-0.231,-1.476,0.4329,14.995986,1.0
40,4282463855927750272,283.72606333026,5.56793007965,-0.208,-1.762,0.4685,17.862297,0.8
41,4282463855927750144,283.72679181636,5.5689076945,-0.161,-1.35,0.579,17.090322,1.0
42,4282459183003296128,283.70891394008,5.51076898811,-0.933,-1.211,0.5221,15.811776,0.8
43,4282463752848309120,283.7099309176,5.55004422292,-0.071,-2.016,0.4468,13.090381,0.8
44,4282459217363037312,283.71526805206,5.5147390632,-0.855,-1.88,0.7289,17.942738,0.7
45,4282463649769094272,283.70728647436,5.54166124471,-0.025,-1.732,0.5293,12.834826,1.0
46,4282463757145436032,283.70945813467,5.55958474618,-0.229,-1.46,0.5772,14.861123,1.0
47,4282462137940802176,283.68973677648,5.51920788557,-0.621,-1.479,0.3497,17.558712,1.0
48,4282461214524773248,283.7852095128,5.56496445184,-0.334,-1.565,0.4818,16.695417,1.0
49,4282463684129047808,283.72656432009,5.5473659407,-0.578,-1.362,0.6542,17.682991,0.9
50,4282463718488787072,283.70548081556,5.54679802307,-0.203,-1.537,0.6379,15.640282,1.0
51,4282457293217624448,283.73861747749,5.42545109816,-0.095,-1.547,0.7273,17.744778,0.9
52,4282463722785692032,283.70121092246,5.54117421054,-0.247,-1.409,0.4666,17.546352,1.0
53,4282462176597460992,283.69666758771,5.52600159323,-1.004,-1.242,0.1369,16.613247,0.9
54,4282463757145433600,283.71328838616,5.55786468611,-0.303,-1.548,0.5267,15.954194,1.0
55,4282463684129051776,283.72037049714,5.55523526135,-0.249,-1.649,0.3721,17.10103,1.0
56,4282463860224649216,283.72235435953,5.56571406035,-0.183,-0.984,0.3744,17.554787,0.9
57,4282463924647221760,283.69634986057,5.55728642486,-0.522,-1.893,0.7537,17.253996,0.8
58,4282465367756254976,283.69206793862,5.6240833721,-0.561,-0.695,0.914,17.928785,0.7
59,4282465367756255616,283.70084816959,5.62835674768,-0.235,-2.1,0.3416,17.485365,0.7
60,4282488182622797568,283.76878293457,5.64500635448,0.183,-1.665,0.4155,15.914404,0.9
61,4282484815368412160,283.81284531785,5.59694476634,-0.185,-1.21,0.5946,16.746239,1.0
62,4282465573914687232,283.69542090908,5.63543527084,-1.111,-1.115,0.5575,17.704159,0.9
63,4282489041615998336,283.75169993302,5.67235370922,-0.601,-1.23,0.6343,17.612875,0.7
64,4282488152559684224,283.79163022588,5.63851873806,-0.183,-1.629,0.5209,15.432208,1.0
65,4282465475132376192,283.74329848522,5.63488226545,0.185,-1.411,0.6751,17.614546,0.9
66,4282489045912904960,283.75953809473,5.66651967331,0.211,-1.791,0.5117,16.878038,0.8
67,4282652937571066624,283.65359164577,5.64527785012,-0.65,-1.97,0.4452,17.85495,0.6
