,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5588811178717528448,114.56026421714,-33.91366529553,-0.989,1.605,0.0511,16.964231,0.2
1,5588811625395959168,114.55594860086,-33.89186528239,-1.329,1.689,0.1731,17.225677,0.1
2,5588804448511325952,114.70979122215,-33.93898058544,-0.843,1.781,0.0974,16.910393,0.1
3,5588805818600229376,114.64315528609,-33.87092371882,-0.558,1.23,0.0469,16.655474,0.8
4,5588818226766054528,114.64964613313,-33.80467485957,-0.453,1.109,0.048,14.887969,1.0
5,5588805754181031552,114.67470187027,-33.86141325634,-0.82,1.741,-0.0067,17.193218,0.1
6,5588806029058938752,114.65356057854,-33.82783387589,-0.706,1.604,0.0628,16.607996,0.4
7,5588805960339462272,114.66705925823,-33.85068317982,-0.676,1.148,0.0535,16.716188,1.0
8,5588808125002929920,114.73258633593,-33.76716736558,-0.336,1.847,0.0442,15.162337,0.1
9,5588805685452741504,114.68607438051,-33.86749797489,-0.347,1.341,0.1457,16.900238,0.7
10,5588806162196633472,114.69085488412,-33.83381987755,-0.36,1.116,0.0895,17.075108,0.9
11,5588807987563985536,114.71799779897,-33.7804459218,-0.265,1.886,0.1812,16.639637,0.3
12,5588805960339460864,114.67117800489,-33.847460908,-0.28,1.308,0.1188,17.224266,1.0
13,5588805715521002624,114.66666777053,-33.87528068249,-0.976,1.251,0.1274,17.641085,0.2
14,5588811591036214400,114.58258133233,-33.89544762072,-1.179,1.77,0.0933,15.790244,0.2
15,5588811767135281536,114.57888635836,-33.87136250243,-0.483,1.529,0.0266,17.078163,0.7
16,5588805337563919616,114.71327751357,-33.86094851989,-0.331,1.291,-0.0026,17.270277,1.0
17,5588799706867270144,114.63174248381,-33.91282137086,-1.13,1.69,0.0673,16.753435,0.2
18,5588806127837945216,114.68050963127,-33.84469072334,-0.384,1.226,0.0715,16.510906,0.9
19,5588805887319720064,114.63198731215,-33.86610605943,-1.102,1.774,0.0155,15.512099,0.2
20,5588799500708848640,114.6200002192,-33.93826252437,-0.555,1.383,0.002,16.313679,0.8
21,5588799775586755968,114.60180622426,-33.91201632262,-0.823,1.564,0.0518,16.974195,0.1
22,5588803585217231360,114.80604950264,-33.87216853635,-0.804,1.519,0.1503,17.031752,0.3
23,5588805341864518656,114.71583827748,-33.85792443589,-1.14,1.802,0.0325,17.8476,0.3
24,5588805303204151808,114.70774448236,-33.87132496663,-0.133,1.309,0.2049,17.140358,0.6
25,5588806166497874176,114.69907583812,-33.83685396141,-0.377,1.295,-0.0095,17.132757,1.0
26,5588806441375783424,114.67377510369,-33.80518345505,-0.593,1.407,-0.0324,17.495106,0.8
27,5588807021191238912,114.78922148749,-33.80721056661,-0.705,1.681,0.0878,17.896399,0.1
28,5588817947588009984,114.56970353658,-33.82390381754,-1.104,1.231,0.1527,17.779444,0.3
29,5588806166497877120,114.68962535335,-33.83294846514,-0.602,1.167,0.0393,16.171059,0.9
30,5588818261125783296,114.65968201671,-33.78685341306,-0.274,1.206,0.0668,17.39904,0.9
31,5588805715521027712,114.67112335419,-33.86795351192,-1.2,1.925,0.0297,16.870474,0.1
32,5588806132138143872,114.68523264718,-33.84320920382,-0.429,1.299,-0.0738,17.14135,0.9
33,5588806338296574208,114.67700147273,-33.83044429781,-0.566,1.176,0.0868,16.936792,0.9
34,5588806132138146048,114.6870984946,-33.85533963382,-0.314,1.289,0.0731,16.586092,0.9
35,5588805204425367296,114.75660355805,-33.86081234197,-0.917,1.622,0.1043,17.24535,0.2
36,5588805410583797376,114.7465261673,-33.84162277612,-1.091,1.639,0.0724,17.242893,0.1
37,5588806132138139904,114.69308411488,-33.84219379027,-0.622,1.228,-0.0776,15.318807,0.9
38,5588802112048907392,114.7991982105,-33.88904167623,-0.947,1.661,0.0795,15.088291,0.2
39,5588818158046576512,114.65911515591,-33.81563051761,-0.642,1.509,0.0046,17.290146,0.4
40,5588806063418665728,114.69774454915,-33.85904722242,-0.435,1.457,0.1395,17.023067,0.9
41,5588802112048910080,114.79640150768,-33.89826387808,-1.021,0.826,0.0048,17.264727,0.6
42,5588805066986421760,114.7407565848,-33.88384399884,-0.864,1.479,0.0069,17.819786,0.3
43,5588818772222309248,114.54757271288,-33.80353514178,-0.716,1.38,-0.0478,17.621393,0.6
44,5588820357069769984,114.74528525461,-33.72477649482,-1.348,1.822,0.1219,16.75637,0.1
45,5588805376224061696,114.73969308017,-33.85174944091,-1.159,1.457,0.0979,17.737417,0.3
46,5588806677593789824,114.78360198231,-33.847880391,-0.817,1.092,0.0526,17.859636,0.7
47,5588802112048909440,114.79762076588,-33.89732456658,-0.459,1.57,0.0424,17.127954,0.8
48,5588807124270475136,114.78819570808,-33.79817591714,-0.377,0.897,0.204,17.6048,0.3
49,5588806372656309888,114.68155382639,-33.83002216818,-0.68,1.084,0.0728,17.166357,0.8
50,5588807261709430272,114.82670809879,-33.79767508104,-1.248,1.668,0.0768,16.609913,0.2
51,5588806162197721472,114.69822554935,-33.83082766566,-0.657,1.422,0.1205,16.997091,0.6
52,5588805960339459584,114.66842999512,-33.84020123952,-0.726,1.25,0.094,17.19103,0.7
53,5588805234484641664,114.71368246232,-33.88505600803,-0.578,0.961,0.0425,17.20426,0.9
54,5588802142108180480,114.7782220678,-33.88704032454,-0.701,1.688,0.0748,16.923985,0.2
55,5588806029058941696,114.64943362641,-33.83150686779,-0.544,1.127,0.0059,15.160496,1.0
56,5588806029058943488,114.65368095002,-33.84465949644,-0.459,1.32,0.0438,17.02513,0.8
57,5588818020607641216,114.61018162268,-33.81309279481,-1.054,1.384,0.0728,16.888588,0.4
58,5588804517230624512,114.7003840611,-33.91935731391,-1.297,1.618,0.0662,16.49997,0.2
59,5588805891620003712,114.62309051094,-33.8587839959,-1.115,1.831,0.207,12.659295,0.1
60,5588806200857603840,114.71492086914,-33.83268873265,-1.125,1.686,-0.0371,17.64058,0.1
61,5588801386193763712,114.72241627062,-33.96361353163,-1.003,1.778,-0.0552,17.51817,0.1
62,5588805651101991424,114.67775920935,-33.88807531817,-0.464,1.168,0.0062,15.840961,1.0
