,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2932568214762558336,106.01452989351,-19.80261995786,-0.519,1.242,0.2274,17.564482,0.3
1,2932568794575769728,106.07175051746,-19.74626987394,-0.005,1.236,-0.1235,17.913973,0.5
2,2932567935582088448,106.03142670463,-19.8180478339,-0.103,0.685,0.1964,17.943151,0.1
3,2932567935582086528,106.03903752596,-19.81908930015,-0.827,1.618,0.1274,17.07199,0.1
4,2932571788175312000,106.05013298417,-19.73844964904,-0.206,1.296,0.107,16.879194,0.4
5,2932568833237814784,106.05661408489,-19.7453958558,-0.296,1.03,0.1643,17.778027,0.6
6,2932571886952320000,106.03958944843,-19.71814772571,-0.413,1.255,-0.0694,17.896215,0.6
7,2932571478937680768,106.01270872944,-19.73657240354,-0.323,0.783,0.1058,17.902065,0.8
8,2932568558359912704,106.0776972462,-19.76891034011,-0.637,1.013,0.1532,17.725298,0.3
9,2932568489640437376,106.08059752734,-19.77426712519,-0.015,1.401,0.2926,17.655685,0.2
10,2932568798878068352,106.07895797225,-19.74673848435,-0.189,0.697,0.1507,17.141136,0.7
11,2932567046531795584,106.09688193396,-19.82778203811,-0.281,0.904,0.1402,14.861314,0.9
12,2932568558359916416,106.06979480624,-19.77155102121,-0.503,0.824,0.1152,17.628336,0.3
13,2932572922046669056,106.00108092238,-19.68615645511,-0.208,1.277,0.0712,13.340249,0.6
14,2932572097412948480,106.02600300424,-19.70391203132,-0.045,0.57,0.1899,15.129797,0.5
15,2932568764518342400,106.06312452248,-19.7576673501,-0.631,1.231,0.0085,17.990202,0.5
16,2932571822535042176,106.05259293704,-19.72348266951,-0.311,0.879,0.0894,14.438193,1.0
17,2932578930698888064,106.0364065452,-19.66048752816,-0.32,0.665,0.2569,17.754715,0.4
18,2932568073021090176,106.06616351145,-19.79964885643,-0.416,1.32,0.2461,17.991043,0.3
19,2932568867597549312,106.06388406146,-19.74612775614,-0.439,0.954,0.0144,16.514923,0.7
20,2932568111683328512,106.07304713858,-19.79649430296,-0.557,1.922,0.0295,16.919113,0.2
21,2932568798878071552,106.06942049199,-19.74633425822,-0.397,1.078,0.0176,16.612818,0.7
22,2932568867597546624,106.06338938217,-19.73943929431,-0.195,0.897,0.1383,16.085392,1.0
23,2932568592719639936,106.08598203492,-19.75608490013,-0.387,1.071,0.2622,16.844381,0.7
24,2932568592719640064,106.08879564019,-19.75858405444,-0.241,0.764,0.2223,17.40479,0.6
25,2932568798878070528,106.06910985097,-19.74555582757,-0.289,0.966,-0.0373,17.08817,1.0
26,2932568455280705792,106.03748216289,-19.75735571153,-0.318,0.789,0.0008,17.858862,1.0
27,2932568554057535616,106.08015634781,-19.76583592646,-1.1,1.022,-0.0319,17.75655,0.1
28,2932573025125876352,106.0239865496,-19.67979053546,-0.431,0.381,0.06,15.91638,0.4
29,2932567836805382912,106.14167709938,-19.76097432013,-0.681,0.978,0.1572,14.423153,0.2
30,2932568627079370752,106.1109660965,-19.75820580461,-0.138,0.343,0.2339,17.303661,0.4
31,2932572299269316352,106.04535337305,-19.68038954618,-0.48,0.874,0.3291,17.971106,0.1
32,2932568798878073088,106.06505971693,-19.74816513433,-0.088,0.892,0.2549,17.298025,0.5
33,2932568798878073344,106.06386187271,-19.7477616382,-0.202,0.98,0.0175,15.555093,1.0
34,2932568764518342016,106.06734070584,-19.76034607646,-0.224,1.015,0.1758,16.265856,0.9
35,2932568764518342272,106.05817773217,-19.75422043407,-0.076,0.97,0.2581,16.648844,0.7
36,2932568833237816320,106.05509816946,-19.74757338686,-0.191,0.795,0.0708,15.938742,0.9
37,2932568764518339840,106.06358527765,-19.75344868238,-0.795,1.734,0.1352,17.464182,0.1
38,2932571788175315072,106.04275377905,-19.73667532994,-0.718,1.798,0.1669,16.910673,0.2
39,2932571788175315712,106.04594493961,-19.74011574206,-0.407,1.44,0.0029,17.548197,0.5
40,2932567007869130112,106.120834649,-19.8273419337,-0.334,1.535,0.2023,16.311335,0.1
41,2932574601375391744,106.11473168532,-19.7227833157,-1.026,0.333,0.1967,17.934893,0.1
42,2932577972928179200,106.10470340037,-19.67049523526,-0.252,1.546,0.0121,17.129156,0.2
43,2932568347899058176,106.04861438497,-19.77956336263,-0.26,1.489,-0.1635,17.932966,0.4
44,2932568382258841728,106.05204002816,-19.76758354249,-0.321,1.217,-0.0143,17.834442,0.8
45,2932567871165130112,106.11743297376,-19.76857136809,0.178,1.256,0.2017,17.552198,0.1
46,2932578140424904704,106.07415391684,-19.6609604192,-0.346,1.155,-0.1958,17.483648,0.5
47,2932568932014779520,106.08886889729,-19.7308853749,-0.494,1.651,0.0533,16.671238,0.2
48,2932568691500392192,106.08771968961,-19.74659429451,-0.512,1.005,-0.1021,16.377941,0.9
49,2932573540522185856,106.17231674122,-19.75686625785,-0.247,0.837,0.1498,16.550953,0.8
50,2932572024391341312,106.0656485968,-19.69900981581,-0.631,1.633,0.0385,17.417671,0.2
51,2932566737293812992,106.0018879762,-19.80428371998,-0.042,0.272,0.3573,16.10179,0.2
52,2932577865546921344,106.09671689864,-19.68318410279,-0.282,0.907,0.2682,15.656612,0.7
53,2932568279179565184,106.00133106978,-19.78444556789,-0.264,1.852,0.1961,17.800215,0.1
54,2932568382258810624,106.05439093854,-19.77441109783,-0.406,1.005,0.0163,17.963207,0.8
55,2932568347899070720,106.04327270105,-19.77520118544,-1.038,1.198,0.1146,17.823261,0.1
56,2932566462415905792,106.03275060451,-19.8238087985,-0.609,0.949,0.1653,16.084843,0.2
57,2932571886958144640,106.04029602322,-19.71179674481,-0.523,2.023,0.1264,16.881231,0.2
58,2932567282747072512,106.09472520702,-19.81272624292,-0.403,1.105,0.1546,17.690008,0.6
59,2932566496775649664,106.01100146463,-19.82621963859,-0.061,0.954,0.0393,16.33764,0.8
60,2932577972928178304,106.10590343937,-19.66978456061,-0.312,1.596,0.175,17.732239,0.1
61,2932567218330142336,106.06415071796,-19.82435184322,-0.32,1.29,0.2983,16.671394,0.3
62,2932578041647656192,106.09873436277,-19.66743976493,-0.551,1.838,0.1153,16.345156,0.2
63,2932567458848538112,106.11953236114,-19.81319117476,-0.639,0.681,0.3085,15.67709,0.1
64,2932572922046665856,106.01194560068,-19.68647853849,-0.055,1.37,0.1254,15.518565,0.1
65,2932568146043068672,106.04791161605,-19.78537043575,-0.569,0.837,0.0653,16.917002,0.7
66,2932567321409347968,106.07277202859,-19.80257747274,-0.455,1.057,0.0539,15.937994,0.7
67,2932568485339470720,106.07987546486,-19.78041966124,-0.958,0.371,-0.0495,17.808596,0.1
68,2932571547657166976,105.98481551282,-19.74172115251,-0.345,0.99,0.116,16.776443,0.9
69,2932566909092752256,106.08053721835,-19.84828234641,0.005,1.327,0.0805,16.367596,0.2
70,2932577968626168064,106.10378476764,-19.67331525711,-0.47,1.926,0.3156,17.880339,0.1
71,2932568420920977792,106.02441246816,-19.77352373628,-0.529,1.148,0.0013,17.968609,0.6
72,2932568077323595520,106.05997064379,-19.80209302192,-0.289,1.029,0.0875,16.480036,1.0
73,2932574811832262912,106.11431831996,-19.71986687196,-0.682,1.755,0.1571,16.990902,0.2
74,2932568828935477632,106.05062137377,-19.7548543496,-0.394,1.688,0.0571,17.311714,0.4
75,2932573781040119040,106.13204865511,-19.75096192295,0.019,1.004,0.2447,17.90477,0.6
76,2932572028693460608,106.0621128155,-19.6982731022,-0.224,1.191,0.2721,16.641397,0.5
77,2932567660704215424,106.10536732915,-19.80605503579,-0.379,1.379,0.1337,16.131735,0.3
78,2932571371556110464,106.02306795911,-19.75684053766,-0.182,1.017,-0.0883,17.947214,0.8
79,2932568730158578816,106.11270430751,-19.73761895085,-0.271,1.547,0.1428,15.682101,0.1
80,2932577835489242112,106.0775302734,-19.70207025899,-0.632,2.042,0.2265,17.051971,0.1
81,2932578935000866560,106.03607858539,-19.66375192428,-0.319,0.689,-0.0651,17.967693,0.9
82,2932567012171950336,106.11192675296,-19.82932964536,-0.717,1.309,0.2058,16.434721,0.1
83,2932568283482285440,105.99775630048,-19.78883746499,-0.338,1.56,0.0094,15.07625,0.1
84,2932572234851891840,106.04604814276,-19.69092850728,-0.554,1.133,0.1126,16.477465,0.7
85,2932572303571363968,106.043581262,-19.67636479284,-0.573,1.946,0.0851,17.46806,0.2
86,2932567420186039040,106.13479316466,-19.80807157178,-0.292,1.237,0.1014,16.802584,0.6
87,2932568695798849152,106.088364374,-19.74567540458,-0.441,1.077,0.0545,16.139256,0.8
88,2932567321409352448,106.07307060182,-19.81480112519,-0.827,1.933,-0.0263,17.754915,0.2
89,2932568386561232128,106.04653643942,-19.76907104505,-0.346,0.859,0.0592,17.307999,1.0
90,2932573025125879424,106.01763601012,-19.68478692901,-0.689,1.444,0.2024,17.460287,0.1
91,2932568386561230848,106.04835471261,-19.76776918225,-0.738,1.396,0.2109,16.854967,0.1
92,2932568970676752128,106.07642671924,-19.72536774944,-0.409,0.902,-0.0782,17.432947,0.9
93,2932571788169746048,106.04493911445,-19.74127919921,-0.69,1.376,0.3458,17.953133,0.2
94,2932567012171947776,106.11327458589,-19.82576782068,-0.417,0.395,0.2819,17.20666,0.2
95,2932568798878070016,106.06954289712,-19.74388561248,-0.319,1.1,0.0174,17.043308,0.7
96,2932574773170401792,106.153394269,-19.70194786834,-0.804,1.676,-0.0259,17.837576,0.3
97,2932568386561233408,106.04659327504,-19.77275755204,-0.349,1.005,0.0458,17.548521,0.8
98,2932568833237822592,106.04615053001,-19.75342307152,-0.171,0.9,-0.0035,15.81653,1.0
99,2932568867597542912,106.06411592888,-19.73212371047,-0.479,1.202,0.0446,16.87546,0.6
100,2932568867597552000,106.06017339158,-19.74617248275,-0.207,1.031,0.1617,15.101866,0.9
101,2932571685096106624,106.00903756152,-19.72668522262,-0.406,1.23,0.0895,17.684156,0.5
102,2932571685096107776,106.00504487894,-19.72662665169,-0.656,1.435,0.1206,17.445925,0.1
103,2932568798878068608,106.0717300968,-19.74261614142,-0.437,0.941,0.0841,15.982493,0.9
104,2932568833237820800,106.04471744463,-19.74887241289,-0.292,0.951,0.0471,15.832139,1.0
105,2932568760215976576,106.05859943418,-19.76311206955,-0.444,1.095,-0.1595,17.966213,0.6
106,2932568386561227776,106.05116662952,-19.76314630793,-0.387,1.153,0.1251,15.989388,0.8
107,2932568558359918592,106.06771909335,-19.77285650355,-0.347,1.156,0.0035,17.0011,0.7
108,2932568863295257088,106.06584112613,-19.74353782373,-0.119,0.947,0.1015,15.871669,1.0
109,2932568833237814528,106.05523310419,-19.74383832888,-0.208,0.825,0.168,17.979322,0.7
110,2932572887686940928,105.99160260588,-19.69877250359,0.005,1.374,-0.0315,17.890244,0.2
111,2932568867591904000,106.06613711419,-19.73786552351,-0.773,1.351,0.1002,17.642788,0.1
112,2932571925614251392,106.06563222646,-19.7169158326,-0.312,0.893,0.188,16.743065,0.8
113,2932567527568001024,106.14745795975,-19.8038010684,-0.461,1.204,0.1465,17.213078,0.4
