,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,1942137035332495104,352.44306100245,49.13314757566,-0.685,-2.076,2.4763,16.567682,0.8
1,1942134978045837952,352.30008684743,49.05539840677,-0.659,-1.735,2.1259,17.244022,1.0
2,1942140613042897664,352.51470540404,49.2036875668,-0.48,-1.975,2.3744,15.548072,1.0
3,1940098472054121088,355.64251584655,47.94636074438,0.19,-2.281,2.4086,17.989658,1.0
4,1940053666955407488,354.56535006185,47.72832467313,0.22,-2.427,2.4017,17.67966,1.0
5,1940075897705597568,355.74621746946,47.64388978412,0.211,-2.921,2.476,17.514687,1.0
6,1940051781467754752,354.73800381942,47.7544398921,0.215,-2.568,2.4146,15.606168,1.0
7,1940037689676208512,354.66795325673,47.57367763282,0.15,-2.826,2.3173,17.081476,1.0
8,1940031230047955968,354.52024037255,47.38771562027,0.168,-2.633,2.3047,10.035725,1.0
9,1940046009032040320,354.94126166632,47.77602618628,-0.216,-2.125,2.2651,16.233322,1.0
10,1940019616455843200,353.78858889903,47.38614810982,-0.475,-2.647,2.4135,17.647375,1.0
11,1940330816902939776,354.46889303302,48.41275554598,0.303,-2.316,2.2707,17.482143,1.0
12,1940332191292438272,354.46499096395,48.4965598601,0.095,-1.534,2.3284,9.51614,1.0
13,1940335627266253312,354.51890123688,48.57988944624,0.024,-2.211,2.2948,17.177643,1.0
14,1940330507665286912,354.36212987439,48.39046973662,0.205,-2.287,2.2086,17.83326,1.0
15,1940330679463973376,354.42325754698,48.42368919138,-0.23,-1.878,2.3479,15.98569,1.0
16,1938794245104089344,353.4497930567,47.93792801458,-0.492,-2.198,2.3645,17.438662,1.0
17,1938780230630012160,353.46420536554,47.81989261517,-0.34,-2.406,2.4837,16.777224,1.0
18,1938773736639196800,353.29986982234,47.62146120733,-0.732,-2.385,2.3335,17.180079,1.0
19,1938776859077051264,353.4589957014,47.74643062694,0.244,-2.449,2.1968,17.738565,1.0
20,1940212962999923072,353.73178488934,47.56831784393,-0.357,-2.462,2.3085,15.704436,1.0
21,1940157128426221824,355.55385224037,48.13418727291,0.835,-1.656,2.3762,15.312727,1.0
22,1939978767023544192,354.57770859,47.23009562941,0.105,-2.598,2.3029,14.966876,1.0
23,1940000031403854464,354.01299199232,47.19635444703,-0.367,-2.606,2.4144,12.805133,1.0
24,1939987597476650880,354.92009152141,47.42596244779,0.146,-2.588,2.3949,16.35291,1.0
25,1939988525189568384,354.88947442754,47.45100335853,0.187,-2.725,2.2242,9.239293,1.0
26,1939985089215729920,354.74279117749,47.4009632783,0.022,-2.897,2.3257,17.113167,1.0
27,1939982512235358464,354.76629982638,47.39985742121,-0.101,-2.46,2.339,13.135604,1.0
28,1939958971517310336,354.37931938731,47.23083744948,0.246,-2.994,2.1438,17.832699,1.0
29,1939956295754619520,354.47234327237,47.25225111741,-0.229,-2.857,2.5532,17.144104,1.0
30,1939985845129954816,354.80535954381,47.47291379122,-0.154,-3.113,2.3297,9.646876,1.0
