,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3051059490512862464,104.31789457969,-8.09812527462,-1.615,0.988,0.4755,15.843105,0.5
1,3051056977951162624,104.27719793491,-8.19401214899,-2.38,0.985,0.8189,15.046191,1.0
2,3051050797499074560,104.20233827451,-8.24887433968,-2.695,0.797,0.4745,17.559889,1.0
3,3051050866218551808,104.19858618182,-8.24720746189,-2.831,0.607,0.7351,11.618786,1.0
4,3051058047403865728,104.21711859801,-8.17551903318,-1.783,0.259,0.3792,13.712971,0.5
5,3051057566367523328,104.29446580158,-8.16598666961,-2.563,0.923,0.6593,16.33863,1.0
6,3051057566367523456,104.29390533678,-8.16596380914,-2.722,1.083,0.734,16.691685,1.0
7,3051057497648046080,104.30108736949,-8.16368795556,-2.07,1.365,0.9157,17.136814,1.0
8,3051057497648046208,104.30911876517,-8.17155244516,-2.318,1.362,0.7392,15.261075,1.0
9,3051058459720723456,104.24037191396,-8.15325015624,-2.152,1.376,0.7832,14.496227,1.0
10,3051057360209095808,104.28818137979,-8.1918442103,-2.85,1.184,0.7628,12.955274,1.0
11,3051057463288309888,104.2790757874,-8.17006785859,-2.479,0.672,1.097,12.979701,1.0
12,3050869790395740672,104.34040036765,-8.17654571327,-2.086,1.141,0.7499,15.351964,1.0
13,3050871302224209920,104.36630080258,-8.15657660301,-2.236,0.688,0.813,13.518614,0.9
14,3050868656524384896,104.3690347813,-8.21824819009,-2.236,1.026,0.8493,16.402912,1.0
15,3050869756036013312,104.32335590482,-8.18302496976,-1.451,1.024,0.4462,16.694159,0.5
16,3050869412438647040,104.31500397158,-8.21146221124,-2.303,0.755,0.8226,17.126781,1.0
17,3050869343719173760,104.33037769759,-8.23011682429,-2.637,0.387,0.4184,17.875263,0.8
18,3050869683017200128,104.29684883545,-8.19634829395,-2.48,1.225,0.7505,12.82447,1.0
19,3050869343719177088,104.3184232917,-8.22452451261,-1.645,0.467,0.7391,11.545539,0.7
20,3050869721676287744,104.29927301469,-8.19036903677,-2.594,0.6,0.9144,17.376877,0.9
21,3050869721676288640,104.29467123692,-8.18781389573,-2.383,0.845,0.7523,15.771861,1.0
22,3050869343719169664,104.32823506043,-8.22083085374,-2.376,0.918,0.676,16.181263,1.0
23,3050869687316553088,104.29500106646,-8.1936435372,-2.418,1.164,0.6971,16.20097,1.0
24,3050867934969913856,104.34831875341,-8.26800239042,-2.31,1.283,1.0345,17.348047,1.0
25,3050868931402327296,104.30424766206,-8.23637605229,-2.56,0.986,0.5563,16.627863,1.0
26,3050869274999711744,104.26878651795,-8.21032258079,-2.422,0.927,0.7491,16.84719,1.0
27,3050869683017200256,104.29746356416,-8.19679619849,-2.265,1.874,1.0049,14.719569,1.0
28,3050869721676285568,104.29901593929,-8.18652742752,-2.467,1.15,0.5641,16.402256,1.0
29,3050869687316557312,104.29562102367,-8.20223849892,-2.394,0.929,0.7442,13.339832,1.0
30,3050868897042605440,104.27608072164,-8.24631167748,-2.637,1.131,0.9357,17.894533,1.0
31,3050867969329674624,104.30620270247,-8.28644956389,-2.238,1.308,0.5676,16.50183,1.0
32,3050868897042598784,104.28499229246,-8.23982426617,-2.724,0.888,0.7385,13.262117,1.0
33,3050863158966314880,104.2351562148,-8.26059095151,-2.147,1.886,0.4153,15.998349,0.6
34,3050862884088405632,104.26327398848,-8.27744172739,-2.406,0.94,0.9409,16.805878,0.9
35,3050869614295185024,104.30392000972,-8.209200574,-2.233,0.962,0.8978,17.361273,1.0
