,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5964392462295691776,252.63723997269,-44.28649450093,0.425,-1.161,0.2795,15.90556,0.3
1,5964406244853994240,252.53907101012,-44.14427088602,0.075,-0.929,0.5755,17.632637,0.8
2,5964407340065364480,252.43515785516,-44.19343320306,0.523,-0.766,0.2922,17.74837,0.3
3,5964403457414822912,252.45340196104,-44.2788385165,0.337,-0.312,0.4614,17.106205,0.2
4,5964407305705627520,252.40570816315,-44.19251376397,0.06,-1.105,0.2878,16.594372,0.8
5,5964407340065362560,252.43429720054,-44.1958011494,0.218,-1.105,0.3726,15.37941,0.8
6,5964404007170676608,252.47526303568,-44.24306122069,-0.148,-1.635,0.2844,17.275038,0.2
7,5964405587718543104,252.51158745875,-44.20605308583,-0.047,-1.16,0.3606,12.731981,1.0
8,5964404110249913216,252.47242043838,-44.22391349576,-0.387,-1.42,0.3363,17.410225,0.2
9,5964407619254813184,252.37007402515,-44.20951717493,-0.065,-1.206,0.4157,15.104437,1.0
10,5964406313584760832,252.50880384007,-44.12537437455,0.006,-0.967,0.4654,15.195389,1.0
11,5964407413096386688,252.41753821369,-44.17886833243,-0.033,-1.143,0.3096,15.035222,0.9
12,5964405518999253120,252.53494911369,-44.18314586935,-0.054,-1.116,0.3732,16.284893,0.9
13,5964405209761608064,252.59997230534,-44.18035653023,0.332,-1.47,0.4353,17.486614,0.2
14,5964407649303016448,252.3704477008,-44.19118247025,-0.028,-1.178,0.4227,14.065123,0.9
15,5964402873299251712,252.55639799513,-44.30368584705,0.485,-1.324,0.3885,17.052124,0.2
16,5964402808879700608,252.55712920562,-44.31121194888,-0.888,-1.116,0.2878,17.341017,0.1
17,5964405656438197888,252.4903141636,-44.19032149901,0.065,-1.079,0.5525,16.588776,0.8
18,5964405518999243136,252.53718851275,-44.1883500941,0.902,-1.431,0.494,17.02648,0.2
19,5964405214073022336,252.59748004117,-44.18600459202,-0.294,-0.837,0.3067,15.62519,0.2
20,5964403977122440448,252.48434770127,-44.25186209114,-0.917,-0.863,0.5475,12.921153,0.1
21,5964403667873256576,252.53926629217,-44.2836898483,-0.467,-1.28,0.3937,17.849972,0.2
22,5964403354335579008,252.47109127121,-44.31664097561,0.912,-0.917,0.5657,17.5634,0.1
