,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2163412650910771968,313.33542609098,46.33349259629,-2.949,-4.632,0.5323,17.766163,0.1
1,2163405989434951040,313.25597570389,46.23728874061,-2.462,-4.425,0.4989,14.337087,1.0
2,2163410387481781248,313.54069569969,46.33360768531,-2.476,-3.906,0.4585,16.665524,0.1
3,2163407982299946752,313.46213375242,46.21617895207,-2.555,-4.505,0.3799,17.19632,0.6
4,2163409734646669952,313.46415595279,46.32949805901,-3.058,-4.465,0.4872,17.86669,0.2
5,2163409184890790656,313.42510148922,46.28043848521,-2.167,-4.931,0.4172,16.989223,0.3
6,2163404134009548928,313.22597484643,46.16662188721,-2.485,-4.613,0.3965,16.291739,0.3
7,2163408184144537856,313.45110539241,46.23567709707,-2.11,-4.166,0.3531,17.674946,0.5
8,2163412341673048704,313.34427574883,46.29979927124,-2.227,-4.179,0.4783,17.676662,0.4
9,2163404202722062848,313.24988397727,46.18143223985,-2.376,-4.935,0.4175,16.1876,0.1
10,2163409975164854784,313.47084201855,46.34478777769,-2.568,-4.737,0.3741,16.550018,0.2
11,2163412376032799232,313.36286902454,46.30412766755,-2.587,-4.543,0.5264,16.155123,0.5
12,2163408566415590528,313.52998433514,46.25919143307,-2.055,-4.799,0.5833,17.452198,0.3
13,2163406328718758144,313.31210729351,46.2704804111,-2.665,-4.082,0.4156,17.403763,0.4
14,2163404408886924800,313.19513480662,46.19584894387,-2.731,-4.519,0.4035,17.515419,0.1
15,2163404134009024896,313.22533842033,46.16250420062,-2.203,-4.853,0.4191,15.407424,0.1
16,2163404546325901696,313.22013118103,46.21508080738,-2.691,-4.094,0.5079,15.807811,0.4
17,2163409111857595136,313.43557088401,46.26111969485,-2.605,-4.751,0.3817,17.915058,0.2
18,2163404202728526080,313.24976706646,46.18176225177,-2.105,-4.741,0.3701,16.361095,0.2
19,2163404267134262144,313.23780294225,46.1929232062,-2.901,-4.404,0.5279,17.028927,0.2
20,2163412345986652800,313.34638573825,46.29533098473,-2.16,-4.019,0.4561,17.669458,0.2
21,2163402828339054976,313.32138729309,46.20465385456,-2.339,-4.699,0.5438,13.095576,0.6
22,2163403687332398464,313.18866475277,46.12168540259,-2.375,-4.437,0.4899,15.64039,0.9
23,2163403618612925952,313.19751769566,46.12072296111,-2.612,-4.138,0.3963,16.77033,0.2
24,2163404305807699456,313.18999036113,46.1671351385,-2.374,-4.54,0.4312,14.205687,0.7
25,2163400285718302592,313.22801158979,46.06263973843,-2.138,-4.194,0.5589,16.213623,0.5
26,2163395677199678336,313.61735781038,46.20298441223,-2.806,-3.992,0.4251,16.487389,0.4
27,2163396609226619008,313.53483889952,46.21932466344,-2.222,-4.219,0.3895,16.587093,0.4
28,2163398464652598528,313.58941205701,46.29575633048,-2.561,-4.467,0.4151,17.325,0.2
29,2163375512346360192,313.21708530346,45.95053217505,-2.671,-5.066,0.4128,17.378239,0.2
30,2163389939123140608,313.47586502206,46.11782562026,-2.621,-4.57,0.4755,15.860682,0.8
31,2163374275395366144,313.03260792901,45.90490741707,-2.706,-3.98,0.3869,16.34251,0.1
32,2163387950571961216,313.37706523019,46.04478726076,-2.414,-4.585,0.4139,17.89941,0.2
33,2163379807305239552,313.08488766408,46.07491105999,-2.727,-4.542,0.36,17.802977,0.2
34,2163389634199567616,313.43441587906,46.10339757066,-2.077,-4.302,0.5586,16.697622,0.4
35,2163399220566427136,313.29384461321,46.01245561257,-2.851,-4.401,0.4409,15.639824,0.1
36,2163393894807421184,313.68168090423,46.1790257582,-2.416,-4.501,0.4895,16.020773,1.0
37,2163387813132973568,313.35098571253,46.02270732743,-2.744,-4.093,0.3991,16.51631,0.3
38,2163399628569166848,313.31503905204,46.04097014861,-3.093,-4.464,0.407,17.190893,0.1
39,2163387911898384896,313.3398002759,46.04140826318,-2.195,-4.321,0.53,15.075422,0.8
40,2163399319331528576,313.30421715922,46.04344687711,-2.367,-4.617,0.4435,17.121223,0.8
41,2163390836790187008,313.70954384882,46.04012741223,-2.577,-4.599,0.5154,17.068161,0.4
42,2163389737278440960,313.46325545963,46.08158742995,-2.355,-4.575,0.4979,17.211546,0.1
43,2163386262630780928,313.34580016289,45.95259997282,-2.761,-4.013,0.3664,17.581974,0.2
44,2163399392364746112,313.27062929939,46.02810528069,-2.465,-4.403,0.4109,16.879288,0.3
45,2163384205360588032,313.562616503,45.97671888869,-2.059,-4.703,0.52,17.149761,0.5
46,2163383582571186560,313.48697295981,45.95439903718,-2.256,-4.807,0.3868,17.9521,0.2
47,2163393894806915584,313.68609921268,46.17727712156,-2.727,-4.08,0.531,16.496128,0.5
48,2163387572607244544,313.38812227814,46.01190076037,-2.531,-4.504,0.4644,17.653599,0.3
49,2163402377348494464,313.32040919025,46.14336277293,-2.209,-4.316,0.3533,17.05858,0.2
50,2163386370023930880,313.35651380261,45.95713846836,-2.392,-4.681,0.4505,16.436756,0.6
51,2163401419589793792,313.39312956794,46.10901309345,-2.414,-4.508,0.4651,15.282677,0.8
52,2163375443626675456,313.2289372715,45.95151998454,-2.484,-4.469,0.4714,13.237292,1.0
53,2163383685653016064,313.56456371484,45.88732821384,-2.534,-5.042,0.4479,17.775267,0.3
54,2163388431608685312,313.43240490847,46.02722309331,-2.454,-4.45,0.4707,15.245342,1.0
55,2163388362889208448,313.43788698712,46.01780444727,-1.925,-4.335,0.5128,14.075866,0.3
56,2163391901942057216,313.60956100059,46.11552519129,-2.316,-4.226,0.482,17.870796,0.6
57,2163398258494132096,313.58102796392,46.25466869126,-2.012,-4.739,0.4899,17.790142,0.4
58,2163388740846059520,313.51834184437,46.06769358332,-2.354,-4.477,0.436,15.703498,0.8
59,2163387194657640960,313.33048924946,45.97843344183,-2.643,-4.918,0.5252,17.32162,0.1
60,2163385541076398464,313.58261522292,46.02685336224,-2.323,-4.727,0.4274,17.669392,0.5
61,2163388912645091968,313.48729377555,46.06382261196,-2.571,-4.535,0.439,16.300297,0.4
62,2163375851630132352,313.22439977679,45.99291846719,-2.413,-4.198,0.4449,15.722831,0.4
63,2163384583317726976,313.58265131185,45.98167703557,-2.404,-3.912,0.4593,14.62589,0.4
64,2163386743667185024,313.40954554974,45.99152516183,-2.544,-4.483,0.4067,17.430239,0.9
65,2163389668559286272,313.40542260195,46.11371454921,-2.507,-4.231,0.3726,17.08749,0.3
66,2163362421285906304,313.35925185904,45.8759037518,-2.461,-4.589,0.3552,17.854555,0.2
67,2163401694467702784,313.37619949689,46.1420135247,-2.037,-4.257,0.3774,15.159122,0.5
68,2163399869087444224,313.34390174634,46.08716552853,-2.445,-4.469,0.4535,15.266649,1.0
69,2163382659172185856,313.40926555765,45.86415605343,-2.141,-4.071,0.5673,16.116798,0.5
70,2163385923347327360,313.38426099873,45.89839024947,-1.986,-4.219,0.424,17.43076,0.4
71,2163390321394087680,313.66815622299,45.99954135192,-2.678,-3.999,0.5096,12.793405,0.5
72,2163377092893872768,312.99423953333,45.90235943269,-2.302,-4.086,0.4194,14.154403,0.2
73,2163387229017397632,313.34738624173,45.98786478275,-2.694,-4.341,0.4423,17.446077,0.2
74,2163378944008371968,313.00390097995,46.03573418209,-2.399,-4.357,0.3614,15.581669,0.4
75,2163399323639072896,313.29518989549,46.03397552208,-2.297,-4.459,0.3936,16.660439,0.6
76,2163390763756685440,313.64597524727,46.05397426975,-2.323,-4.47,0.3983,16.999176,0.4
77,2163381727145174016,313.49608029186,45.84257680534,-2.233,-4.306,0.4034,17.847422,0.5
78,2163398052335715968,313.59208772631,46.25805000229,-2.873,-4.345,0.4498,17.679276,0.3
79,2163379425044687360,313.10679023813,46.01570145009,-2.235,-4.947,0.4929,17.612259,0.2
80,2163385854628065664,313.56431953666,46.06758437956,-2.106,-4.189,0.5197,16.142488,0.5
81,2163390007842622976,313.44083993312,46.11407656712,-2.646,-4.804,0.4897,16.668295,0.2
82,2163399632882947456,313.31285546455,46.04308201155,-2.573,-4.408,0.516,16.198563,0.8
83,2163394959959118976,313.53233072761,46.12314534588,-2.081,-4.174,0.4701,16.612234,0.7
