,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3032635455201800832,109.42097724159,-14.12010127141,-1.658,1.075,0.7464,14.161934,1.0
1,3032634768007004288,109.36027917585,-14.18425934955,-1.63,1.005,0.6866,13.307666,1.0
2,3032635386482285696,109.3898956383,-14.13422672156,-1.122,0.723,0.6933,16.421446,0.3
3,3032635077244632960,109.43659123182,-14.14678457852,-1.898,0.581,0.5773,16.693132,0.1
4,3032634767999465088,109.35360850001,-14.17551806085,-1.334,0.865,0.8449,17.251972,0.4
5,3032687952577824768,109.26820895417,-13.98041796662,-1.773,1.114,0.7512,16.624096,1.0
6,3032689022035153920,109.38738720496,-13.946185308,-1.598,0.868,0.76,11.207441,1.0
7,3032686616853522432,109.25626823109,-14.03154517086,-1.921,0.789,0.6648,13.288244,0.8
8,3032685482977456512,109.38019382323,-14.00036488118,-1.559,0.845,0.8009,15.72648,1.0
9,3032706648580707456,109.22669378202,-13.79673245997,-1.569,0.811,0.766,16.654947,0.9
10,3032706408062558976,109.16876495713,-13.80690985913,-1.628,0.956,0.6795,14.231771,1.0
11,3032688197401485312,109.22946267828,-13.9739136142,-1.863,1.102,0.7561,17.79142,0.4
12,3032689533125816704,109.28418008886,-13.96209080108,-1.679,1.035,0.7829,17.464403,0.9
13,3032687097889853440,109.27207863099,-14.01342940294,-1.566,0.691,0.6856,11.816693,0.9
14,3032687956883311232,109.26733820637,-13.99316632406,-1.46,0.9,0.6551,13.709944,0.9
15,3032687029170375040,109.28171190295,-14.01596524193,-1.419,1.165,0.6688,14.91349,0.9
16,3032701593394065792,109.26144089514,-13.91296244911,-1.516,0.717,0.6918,17.012514,0.7
17,3032688506639098368,109.34832509502,-13.98663326188,-1.385,0.93,0.8403,16.96614,0.9
18,3032687956883310080,109.26885305169,-13.99070831223,-1.891,0.901,0.734,14.583697,0.9
19,3032687956883310208,109.26766816629,-13.98912009077,-1.214,0.435,0.6901,16.228409,0.2
20,3032689984107851520,109.29526678556,-13.91435965588,-1.618,0.886,0.6293,15.438176,1.0
21,3032688197396460288,109.22940988802,-13.9687596416,-1.423,1.49,0.5741,17.891083,0.3
22,3032685482982240256,109.37797734272,-13.99816976451,-1.548,0.848,0.7523,15.493611,1.0
23,3032701941296589952,109.22847450183,-13.89478773718,-1.394,1.325,0.547,16.992138,0.3
24,3032687853804099328,109.25174327271,-13.99685207327,-1.312,0.642,0.7793,16.99008,0.9
25,3032687162303820416,109.2977443229,-13.99881649493,-1.547,1.059,0.6943,17.736473,0.9
26,3032685517341975168,109.39258746281,-13.99289693069,-1.583,1.127,0.7275,14.507759,1.0
27,3032684005513487104,109.43635145698,-14.06653441816,-1.626,0.733,0.6102,15.142526,0.9
28,3032706506836886912,109.19491152703,-13.81435934422,-1.94,1.039,0.8817,17.726194,0.6
29,3032684177312176768,109.43652408554,-14.05048340519,-1.723,0.975,0.5902,16.442299,0.6
30,3032685242464064896,109.41756887372,-14.01609717195,-2.177,1.357,0.6282,17.557768,0.2
31,3032697092268609408,109.41838213172,-13.80219303085,-2.066,1.685,0.7388,16.918398,0.1
32,3032704032935486080,109.05107770007,-13.91260144667,-1.158,0.53,0.8265,17.967041,0.1
33,3032695649160559616,109.48005837419,-13.87150275827,-1.369,1.565,0.6275,17.916563,0.2
34,3032682764260371584,109.38665212795,-14.0698058081,-1.574,0.81,0.7046,17.892895,0.8
35,3032685620421182848,109.42412113964,-14.00615424237,-1.509,0.925,0.6764,14.621416,1.0
36,3032684211671908864,109.4516158369,-14.04901105745,-1.96,0.059,0.7979,17.68027,0.1
37,3032685448622509312,109.35770884306,-14.01157445451,-1.489,1.124,0.6906,15.049905,1.0
38,3032683524477175680,109.32911462054,-14.06169926571,-1.875,1.44,0.6894,15.234706,0.3
39,3032685135082420096,109.36682194544,-14.04246611191,-1.338,0.855,0.6463,17.533895,0.6
40,3032682008345930496,109.35041568338,-14.12171557311,-1.647,0.929,0.7178,16.350805,0.9
41,3032689464406344960,109.2966046784,-13.96220600192,-1.589,0.865,0.7463,16.428629,1.0
42,3032699948432008704,109.21569822247,-13.96068179621,-1.554,1.652,0.8017,15.427021,0.1
43,3032683657613666944,109.36352861332,-14.04470439598,-1.716,0.997,0.5659,17.190062,0.4
44,3032689399992275328,109.37224505849,-13.91526485111,-1.7,1.003,0.6637,15.50552,1.0
45,3032707816811804288,109.17566355664,-13.74284988445,-1.475,0.991,0.7646,14.254277,1.0
46,3032683524477176192,109.32810185741,-14.06633517602,-1.52,0.99,0.6633,12.480964,0.9
47,3032684795787461504,109.43694881878,-14.02677670346,-1.477,0.797,0.7324,16.367702,1.0
48,3032683661916191360,109.35477779027,-14.04415716125,-2.129,0.777,0.8438,17.482073,0.5
49,3032686818706355328,109.28934839159,-14.03009673261,-1.688,0.97,0.7149,14.133341,1.0
50,3032706889098882688,109.17206185256,-13.77494454332,-1.968,1.322,0.6844,16.396658,0.3
51,3032702108790199296,109.29602534605,-13.886670949,-1.409,0.741,0.764,17.79937,0.6
52,3032685517341975552,109.39516420011,-14.00143353084,-1.506,1.072,0.6514,12.507501,1.0
