,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3424108079113271296,89.33111002306,22.06726122998,1.424,-4.218,0.5372,15.560241,0.5
1,3424015277756407040,89.54084789804,21.73914469569,1.374,-3.475,0.7565,15.93667,0.1
2,3424018473212068864,89.55426592376,21.7777731646,1.509,-3.996,0.5354,14.058419,0.4
3,3424018541931546240,89.53550618517,21.78936543536,1.042,-4.039,0.5894,15.281943,1.0
4,3424015101660361472,89.56028138066,21.74155159772,1.595,-3.421,0.4413,17.437592,0.2
5,3424052107098101888,89.66959281481,22.02201553905,1.18,-4.02,0.4591,17.002485,0.8
6,3424057398497650176,89.54955142398,21.96154323215,0.972,-4.136,0.5299,12.076387,1.0
7,3424045617405080576,89.58127610962,21.96215611401,0.913,-4.152,0.5471,13.97908,1.0
8,3424056028405847808,89.48113081528,21.93931823182,1.706,-3.45,0.6497,12.503764,0.2
9,3424056337643510144,89.4266350539,21.93320570752,0.815,-4.156,0.4586,15.916214,0.9
10,3424057643313511808,89.55141107266,21.98025137874,1.063,-4.092,0.5478,14.683616,1.0
11,3424044620972942464,89.64187712049,21.91809288616,1.038,-4.119,0.6472,16.420088,0.8
12,3424037439787415680,89.31360957272,22.00781908994,0.359,-4.518,0.6397,15.548368,0.1
13,3424058708465405056,89.49676981391,22.01910144656,1.627,-4.209,0.3722,16.367899,0.6
14,3424045681826923648,89.60593219654,21.96466176781,0.835,-4.231,0.483,17.297197,0.8
15,3424057368435603968,89.56940298791,21.96609536957,1.1,-4.092,0.5718,14.120641,1.0
16,3424058742825141888,89.50436559636,22.01776542286,0.156,-4.521,0.6572,17.384449,0.3
17,3424032796925816064,89.39586394948,21.89777835698,1.351,-3.663,0.2791,17.480844,0.1
18,3424057540234287872,89.56893553256,21.99073536778,0.996,-4.103,0.5454,14.043827,1.0
19,3424042005335572352,89.5525980762,21.80059763266,1.101,-3.383,0.2682,17.531197,0.2
20,3424045720484292480,89.58581910953,21.96579605454,0.986,-3.979,0.4332,16.837626,0.8
21,3424059700600209792,89.42547605192,21.98507123843,0.647,-4.13,0.5051,17.164148,0.3
22,3424061624747042048,89.40420422817,22.08497150789,0.947,-4.597,0.3111,17.018858,0.6
