,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3325923889775634944,98.64191015179,7.51629204598,-0.177,-2.381,0.5659,17.534119,0.5
1,3325917503163186560,98.5892926782,7.38018810826,0.243,-2.436,0.5329,15.614855,0.1
2,3325927222673235840,98.22364545117,7.40243858654,0.262,-2.519,0.7161,16.217356,0.1
3,3325918224717696512,98.57494398853,7.38273974698,0.016,-2.359,0.5446,15.078233,0.3
4,3325908775789738496,98.44966403406,7.23915370886,0.099,-2.483,0.5129,16.164125,0.2
5,3325913689232307584,98.39038200959,7.33639010338,-0.303,-1.901,0.6389,16.49741,0.2
6,3325923825355209344,98.60645826872,7.5123313374,-0.209,-1.829,0.6712,16.687462,0.1
7,3325922588404418816,98.57064112589,7.51739173864,0.123,-2.268,0.5299,14.797688,0.2
8,3325958219452917504,98.83301576577,7.79134907661,-0.288,-2.354,0.6664,15.229628,0.4
9,3325970241062064384,98.75335629736,7.81539223668,0.071,-2.088,0.6779,16.02317,0.2
10,3325975051425028096,98.74645019978,7.93339506307,-0.002,-2.283,0.5632,12.394518,0.4
11,3325966564571042048,98.57281186387,7.80856589545,-0.28,-2.446,0.6662,17.412085,0.4
12,3325988593461332608,98.21544383724,7.68619259808,0.068,-2.463,0.5277,13.932358,0.2
13,3325952167839281792,98.78010903379,7.75328008128,-0.082,-2.245,0.6591,13.494126,0.6
14,3325947774092486144,98.87580389979,7.67573774946,-0.392,-2.413,0.7135,15.596576,0.2
15,3325982644929915520,98.17526733452,7.65789129926,-0.558,-2.227,0.6131,17.481743,0.1
16,3325975880357795072,98.64632165349,7.95048721749,-0.038,-1.952,0.7133,16.467356,0.3
17,3325962888078855552,98.6347785847,7.72694123993,0.076,-2.421,0.5557,16.499426,0.3
18,3325975880357798016,98.64151942575,7.9490887683,-0.083,-2.557,0.6673,15.686508,0.6
19,3325995499768650240,98.20069501014,7.85917655971,0.317,-2.139,0.5525,17.220446,0.2
20,3325937431811369984,98.52289517216,7.62190163907,0.106,-1.942,0.5662,14.317164,0.1
21,3325969180208898432,98.5500700643,7.86501970323,-0.117,-2.38,0.593,13.404224,0.9
22,3325962067743700736,98.66235478451,7.71653676306,-0.074,-2.518,0.6288,15.465299,0.6
23,3325960177957941504,98.96206184035,7.85836400507,-0.184,-2.2,0.6158,16.143005,0.4
24,3325959078446314752,98.99581160472,7.82409340499,-0.124,-2.28,0.5786,14.098149,0.6
25,3325947701073501696,98.84473392988,7.67167860137,-0.182,-2.606,0.6522,15.094966,0.6
26,3325974574687755520,98.67524105981,7.88445185622,0.065,-2.341,0.6841,17.978294,0.1
27,3325984057976000256,98.04306938261,7.6417981225,0.113,-2.038,0.6963,16.422585,0.2
28,3325976254015869696,98.68684486808,7.97652514734,-0.041,-2.385,0.6746,12.34014,0.4
29,3325962136463176832,98.64816231081,7.73090802543,0.325,-2.155,0.5471,17.667826,0.1
30,3325968797954081536,98.56303346423,7.82639532,-0.072,-2.212,0.6006,13.95196,0.6
31,3325976670632361344,98.8191088817,7.97153222917,-0.136,-2.199,0.73,16.082253,0.1
32,3325969283288729856,98.56212572554,7.8812386639,-0.376,-2.189,0.5403,17.499939,0.3
33,3325969248928355840,98.57873236231,7.87891901033,-0.147,-2.311,0.6147,13.766147,0.5
34,3325965709875382656,98.53796452879,7.74913698288,-0.157,-2.661,0.6228,14.463393,0.3
35,3325984367213679488,97.99322561045,7.63310261834,-0.156,-2.239,0.5997,14.49685,0.4
36,3325994812573808128,98.34415852997,7.86124285046,0.153,-2.009,0.6141,14.984442,0.2
37,3325934854831058432,98.45834828866,7.50934205209,-0.374,-2.171,0.5454,14.640495,0.1
38,3325936297939515008,98.38471172692,7.57141137909,-0.176,-2.173,0.584,14.447681,0.3
39,3325995495470864128,98.21185693413,7.85770186357,-0.332,-2.422,0.6196,17.591179,0.2
40,3325983989256544896,98.00934166632,7.63942121092,-0.035,-2.307,0.7313,16.15755,0.1
41,3325960551615899008,98.96918657736,7.86427312953,-0.112,-2.687,0.679,15.737942,0.6
42,3325988181144406528,98.33438906526,7.69514452114,-0.58,-2.155,0.5422,13.848989,0.3
43,3325992098154630016,98.18329783006,7.74332664012,0.174,-2.615,0.6539,16.002924,0.1
44,3325944505617729024,98.84903599406,7.57623026774,-0.319,-2.453,0.6273,16.65113,0.3
45,3325951618083734016,98.73677226169,7.71512835186,-0.484,-2.385,0.528,17.498198,0.1
46,3325946330983486976,98.90586613567,7.61308258409,-0.293,-2.306,0.6117,17.465174,0.1
47,3325935606447966592,98.45053840259,7.55518469264,-0.105,-2.027,0.6343,16.837471,0.2
48,3325958764909466112,98.8709742927,7.82994149883,-0.314,-1.908,0.5425,17.149544,0.2
49,3325975158803258368,98.73998310611,7.93384297963,-0.166,-2.652,0.6353,15.110517,0.5
50,3325973887493536640,98.90127779804,7.95645565803,0.027,-2.703,0.677,16.123888,0.2
51,3325937942908674432,98.55525365994,7.64824384699,-0.39,-2.366,0.7158,16.932182,0.1
52,3325969489446492544,98.63510504501,7.89052563493,-0.188,-2.232,0.6232,14.022598,0.6
53,3325952928053194240,98.98931801605,7.68671470017,-0.198,-2.479,0.6043,14.105804,0.7
54,3325996290042942208,97.90473590016,7.64061125207,-0.409,-2.465,0.6709,16.731121,0.1
55,3326001478362730624,97.89141715344,7.78992908037,-0.621,-2.293,0.6052,13.461765,0.1
56,3325973921853268608,98.91289257416,7.96835030689,-0.41,-2.507,0.7054,11.730731,0.1
57,3325968733532256128,98.63608284203,7.87675296154,-0.306,-2.127,0.6995,16.468569,0.1
58,3325976979869354496,98.77803262952,7.98223757385,-0.214,-2.534,0.7186,16.687008,0.6
59,3325970898196342784,98.84809385987,7.87096927032,-0.289,-2.63,0.6863,13.334282,0.3
60,3326027724905945856,98.56880072268,8.06847318642,-0.387,-2.196,0.5204,17.419565,0.1
61,3326044256237048704,98.54341221959,8.26691557212,-0.633,-2.185,0.6102,15.232471,0.2
62,3326020925974865792,98.44125177864,7.99274749549,0.021,-2.371,0.5762,14.036504,0.4
63,3326039995625609728,98.23985090192,8.18896494097,0.136,-2.399,0.7107,17.31804,0.5
64,3326050234831676672,99.07875622547,7.84074126828,-0.265,-2.221,0.6047,15.196086,0.2
65,3326038827398161792,98.31879510413,8.1571633904,-0.165,-2.289,0.517,15.957027,0.5
66,3326006701042906112,98.04400572356,7.8814760881,-0.362,-2.582,0.579,14.984306,0.2
67,3326041335659347072,98.47750158838,8.18827830662,-0.088,-2.344,0.6108,13.447119,0.8
68,3326039995629272704,98.23996361471,8.18837546198,-0.062,-2.365,0.6372,13.248851,0.7
69,3326018211555498496,98.51729821366,7.99656284374,-0.204,-2.243,0.551,16.732616,0.2
70,3326023842255409792,98.55775513439,7.99523603643,-0.288,-1.966,0.558,16.302412,0.1
71,3326062363819193600,99.22188371866,8.03528776458,0.278,-2.153,0.6036,17.044357,0.2
72,3326028175879616256,98.47991491591,8.04956129313,-0.094,-2.353,0.6167,13.20997,0.8
73,3326038105843673728,98.26702595107,8.10434439397,-0.126,-2.407,0.6077,14.544871,0.6
74,3326058034492136064,99.34826728506,7.96833953455,-0.299,-2.475,0.7264,15.078689,0.2
75,3326026526612066816,98.69331411603,8.09307707961,-0.068,-2.378,0.7016,16.056648,0.2
76,3326016596647830912,98.5237974636,7.9199262732,-0.217,-2.148,0.6504,14.592931,0.3
77,3326042946270312192,98.51531032612,8.22111481784,-0.022,-2.305,0.6812,17.003471,0.4
78,3326019173628272256,98.35577202783,7.93662318226,-0.069,-2.014,0.5655,17.900978,0.2
79,3326051746660090240,99.22152042539,7.91152602853,-0.229,-2.385,0.5223,17.173332,0.4
80,3326046554042902272,98.37439757764,8.27519707634,-0.134,-2.244,0.6208,13.526048,0.7
81,3326021303931980544,98.45070931815,8.00018556449,-0.082,-2.68,0.6461,13.305595,0.5
82,3326024392011240576,98.60770404592,8.02787312344,0.009,-1.935,0.5565,14.2692,0.1
83,3326057377361128192,99.1328761986,8.02943696768,-0.129,-2.561,0.6023,16.857628,0.4
84,3326029069232772352,98.48927494615,8.12575713245,-0.091,-2.421,0.6597,15.652441,0.5
85,3326019272410053760,98.40049407573,7.95149719497,0.118,-2.602,0.53,16.850866,0.1
86,3326006731105337472,98.0902336372,7.8678442179,-0.027,-2.009,0.5517,16.953407,0.1
87,3326045527547122944,98.38699423862,8.23604959931,-0.341,-2.069,0.5279,16.35614,0.1
88,3326019276707461760,98.40189084502,7.95314011973,-0.161,-2.326,0.6175,16.210577,0.7
89,3326022231645867008,98.43635337382,8.03182419008,-0.082,-2.219,0.5491,15.127953,0.4
90,3326024602466779904,98.59450674564,8.04213908425,0.159,-2.155,0.6249,12.62558,0.2
