,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,202391370232501504,76.1195627613,42.96862874071,-0.203,-2.325,0.8416,14.093233,0.1
1,202402468427654528,75.91729048154,43.09284761982,-1.049,-3.159,0.7899,14.837921,0.1
2,202394393889475712,76.10268896172,42.98989444921,0.01,-2.583,0.8832,16.401014,0.4
3,202403288768656512,75.76478505997,43.01650312618,-0.405,-2.646,0.8043,17.215597,0.2
4,202392882060980736,76.15428457313,43.00036590527,0.065,-2.516,0.8134,16.673557,0.3
5,202395012364442624,76.01705114168,43.00393739273,-0.335,-2.878,0.8425,15.368711,0.3
6,202403323121978496,75.71181460241,42.99688930555,-0.34,-2.774,0.9607,12.876167,0.4
7,202407897266231040,76.09007145087,43.13043136429,0.58,-2.425,0.8393,17.415472,0.1
8,202385185479412352,75.68937173935,42.75403866702,0.111,-2.718,0.8711,16.476479,0.3
9,202384257766694016,75.90230660204,42.82360065668,-0.415,-3.173,0.9797,14.638957,0.1
10,202408683242189440,76.06901843537,43.14993323554,-0.397,-2.657,0.9174,17.072298,0.3
11,202396867790605184,76.24795976694,43.12150309667,-0.084,-2.609,0.8732,13.315917,0.6
12,202386486850319360,75.69951430598,42.82294310252,0.01,-2.803,0.8098,13.616426,0.5
13,202395592181605248,76.1117100024,43.07507732854,-0.999,-2.765,0.886,17.289679,0.1
14,202406591596215168,75.90500436606,43.17732503559,-0.467,-2.217,0.7987,15.495625,0.1
15,202406866474106752,75.90342460667,43.20149744055,-0.267,-2.601,0.8057,14.937245,0.2
16,202406866470558976,75.88857990019,43.18670028136,-0.384,-2.416,0.8083,17.899227,0.2
17,202387345843871488,75.90142784412,42.86922457911,-1.027,-2.964,0.8344,16.144989,0.1
18,202474001106347648,75.52122419165,43.38405016705,-0.431,-3.29,0.8572,12.010895,0.1
19,202483660489110784,75.86896322655,43.6519368364,-0.325,-2.88,0.9221,14.787646,0.6
20,202476818604890496,75.74886976663,43.5433206428,-0.09,-2.893,0.8257,12.532285,0.4
21,202472562293751296,75.80857185789,43.46349443378,-0.011,-2.152,0.8945,14.306549,0.2
22,202473760588317056,75.5857632489,43.41283480812,0.069,-3.404,0.7906,16.75546,0.1
23,202456271480153216,75.70853385573,43.22823882677,-0.73,-2.994,0.8201,14.796528,0.2
24,202471492845556096,75.76994527789,43.38644939841,0.2,-3.318,0.8716,13.786305,0.1
25,202460742543734144,76.04048417199,43.34908594065,-0.202,-2.656,0.8197,10.794961,0.4
26,202421606801705728,76.31612230258,43.21440681843,0.334,-2.826,0.8982,14.955752,0.1
27,202456546357957888,75.62157424415,43.20846395894,0.51,-2.963,0.9522,16.630056,0.1
28,202460291568214784,75.98591919585,43.28080475643,0.281,-3.318,0.9611,13.03953,0.2
29,202473524366539136,75.60986932683,43.38597837647,-0.175,-2.22,0.7891,13.25247,0.1
30,202433426551689344,76.30661449968,43.24553445482,-0.151,-2.739,0.8996,12.734738,0.5
31,202461665959474688,75.95844207107,43.34960371823,0.276,-3.317,0.9029,13.904399,0.1
32,202509945688774784,76.25184365703,43.86989563024,-0.935,-3.302,0.8888,15.807095,0.1
33,202509121050939776,76.25828994041,43.84455326924,0.032,-2.319,0.9061,16.948214,0.1
34,205079160767072896,74.39190236563,43.08364521369,-0.418,-2.442,0.9738,17.905634,0.1
35,205087441463270144,74.58187039637,43.28261237695,0.537,-3.291,0.9245,15.810463,0.2
36,205057995168367872,74.48107625691,42.80222604415,0.221,-2.165,0.8442,17.371653,0.1
37,205082798599974528,74.63790378659,43.16845947106,0.612,-2.508,0.8493,12.392767,0.2
38,205083833691339136,74.81554173299,43.20546465811,-0.705,-3.146,0.926,15.985473,0.3
39,205066859980674432,74.7666588671,43.01778291299,0.606,-3.0,0.855,16.363499,0.1
40,205071322447427968,74.70148561552,43.10778480599,-0.626,-2.233,0.9694,13.86457,0.1
41,205085860915981568,74.56718132756,43.1634291571,-0.163,-2.364,0.8714,17.618797,0.1
42,205071498545322624,74.7086045062,43.13374436143,-0.552,-2.961,0.958,15.919968,0.2
43,205080466436506624,74.41350042418,43.14589021965,0.005,-2.428,0.8103,16.77872,0.4
44,205074968879004160,74.47202907659,43.00085623271,-0.439,-2.586,0.8422,15.002659,0.1
45,205071940922851584,74.76721147856,43.16661468674,0.204,-2.107,0.7891,16.6244,0.2
46,205068715406563072,74.67092559381,43.03039947942,-0.171,-2.715,0.8773,14.878114,0.5
47,205071670340145792,74.77664741753,43.14137695895,0.183,-2.263,0.959,13.970198,0.2
48,205077369760282624,74.27836553652,42.99905074215,-0.077,-3.243,0.8923,17.504461,0.1
49,205072013941353728,74.80749584255,43.17759563949,0.187,-2.609,0.851,14.543886,0.4
50,205071670343991168,74.78525582581,43.14226448027,0.241,-2.644,0.9143,14.925142,0.3
51,205071773423198336,74.79335772539,43.15449542432,-0.075,-2.766,0.8148,14.809003,0.5
52,205158767983172096,74.57879910577,43.70563525958,0.597,-3.241,0.8812,16.647375,0.1
53,205114963614064384,75.07176378205,43.54978183139,-0.296,-2.864,0.8938,14.647143,0.4
54,205140282443221888,74.585631069,43.41663856815,-0.225,-3.201,0.8619,16.20536,0.2
55,205131074032772480,74.23697171002,43.25481415989,-0.398,-3.297,0.8415,17.308786,0.1
56,205098264781297152,75.0865298805,43.36901299731,-0.914,-3.318,0.8512,15.152633,0.2
57,205154305513989120,74.62556391003,43.59218232295,-0.203,-2.651,0.8285,13.988581,0.4
58,205108813221070208,74.83853304914,43.32336972697,-0.536,-3.41,0.8077,7.369924,0.1
59,205127019581694720,74.24963362972,43.18661243852,-0.322,-2.723,0.8004,9.869545,0.3
60,205096198897931136,74.9732044747,43.28328328422,-0.375,-2.333,0.8963,12.440335,0.2
61,205119499099452032,75.28726343849,43.60435459547,-0.035,-2.629,0.8182,16.918036,0.3
62,205136953846152192,74.73087134682,43.43406636858,0.217,-2.031,0.8648,15.720281,0.2
63,205136885126674944,74.73232712733,43.43370070742,0.145,-2.136,0.9683,14.262424,0.2
64,205105274167809920,75.36145012256,43.45013089153,-0.301,-2.712,0.8259,15.160152,0.2
65,205120839129319552,75.08443576915,43.55449515251,-0.263,-2.821,0.8368,14.369803,0.4
66,205093420058267392,75.05351128876,43.22136969009,-0.742,-3.214,0.8766,15.968188,0.2
67,205122106142877568,75.13050423303,43.64415792636,0.079,-2.717,0.8032,16.020836,0.3
68,205102147431653632,75.30748290938,43.4025794786,0.364,-2.937,0.9622,14.931472,0.3
69,205102250510835840,75.38203270159,43.43072909717,-0.193,-2.616,0.8329,12.355402,0.4
70,205112966450242560,74.83204140934,43.40803217065,0.598,-3.027,0.8239,13.647725,0.1
71,205121075351348736,75.19051877883,43.58190594944,-0.094,-2.528,0.8228,17.897295,0.2
72,205120873489045248,75.10786259643,43.56908757497,-0.309,-3.025,0.8903,15.582695,0.3
73,205134892261989248,74.47140711358,43.29258737895,-0.354,-3.233,0.9741,16.373573,0.1
74,205102009992678528,75.36764629249,43.41584126478,-0.385,-2.95,0.8946,15.858257,0.2
75,205119426084419072,75.27795557331,43.57968806047,-0.242,-2.792,0.9078,13.766321,0.7
76,205156057860712320,74.38494899417,43.58008679818,0.447,-3.108,0.8554,17.294615,0.1
77,205098672801191808,75.24097275159,43.25850246834,-0.112,-2.841,0.8332,12.366764,0.6
78,205113722365671808,74.86700651895,43.47404572601,-0.249,-2.515,0.8828,13.813261,0.4
79,205123240014945024,75.32066382134,43.66864247509,-0.412,-2.87,0.9189,17.955906,0.1
80,205158806639673344,74.61323460695,43.71863893107,-0.457,-2.91,0.8289,16.931177,0.2
81,205111149683170176,75.04167720259,43.42217831763,-0.294,-2.74,0.8702,14.207095,0.6
82,205105888346930688,75.44830962112,43.52232634518,0.295,-3.649,0.9141,17.62006,0.2
83,205098157405136896,75.09977842164,43.35226960855,-0.018,-2.744,0.947,16.748856,0.2
84,205092041369745920,75.06960045268,43.1404717044,-0.53,-2.064,0.9516,17.96494,0.1
85,205122552820181376,75.1871008592,43.66932291057,-0.591,-3.227,0.979,15.426992,0.3
86,205104621332825472,75.21908661723,43.42927064891,-0.114,-2.897,0.8891,13.897507,0.6
87,205103899774164864,75.28679970243,43.4363808952,-0.312,-2.685,0.8587,15.51778,0.5
88,205103899778301312,75.28733552669,43.43566451207,-0.2,-2.549,0.8989,16.798355,0.2
89,205116475442568064,75.13064049006,43.47187608404,-0.343,-2.846,0.8476,13.342159,0.2
90,205144817927716736,74.29762218191,43.34350169644,-0.066,-2.776,0.819,13.048235,0.2
91,205100360725280768,75.28899628274,43.36026012429,-0.481,-2.755,0.9414,13.894209,0.4
92,205093999877214848,75.14675379373,43.28756183978,-0.458,-2.645,0.9748,17.9292,0.3
93,205134544366535168,74.5532046798,43.30250487415,0.423,-2.977,0.8848,13.901081,0.1
94,205155336306111488,74.65524854803,43.65751984509,-0.298,-2.664,0.8395,14.968197,0.5
95,205107026514434816,75.35548418155,43.53372111883,-0.14,-2.742,0.9098,14.65029,0.5
96,205170969987495808,75.17297284589,43.76922311402,-0.031,-2.481,0.9478,16.491964,0.3
97,205163960600961664,75.00163285941,43.62731351274,-0.419,-2.65,0.8161,16.44393,0.5
98,205169797461001344,75.14514292613,43.71312466511,-0.591,-2.638,0.9525,17.832163,0.5
99,205164132399064448,75.00459023334,43.65295667065,-0.245,-2.526,0.8659,14.457194,0.4
