,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4314066332735610112,287.8377365778,13.08918599918,0.123,-3.074,0.7225,13.476995,0.9
1,4314066706328991232,287.8543914086,13.09008426297,-0.17,-3.371,0.625,17.447807,0.3
2,4314067466606985216,287.83959144152,13.10873332577,-0.06,-3.077,0.6875,14.793883,0.4
3,4314067466606987520,287.83874595575,13.11021866551,-0.024,-3.193,0.7099,15.453504,0.4
4,4314067565322714624,287.84614901627,13.12273438419,-0.487,-2.72,0.7278,16.870108,0.5
5,4314067462243539968,287.83670419946,13.104667491,-0.051,-3.272,0.7061,17.248043,0.6
6,4314067153005893376,287.82691782699,13.10312174521,0.1,-3.286,0.7162,14.73992,0.8
7,4314067496603276416,287.84952604752,13.10785923431,0.264,-3.017,0.6626,14.038926,0.8
8,4314067913283600384,287.85210765331,13.15764861301,-0.214,-3.06,0.7523,11.784911,0.3
9,4314067775844650112,287.83546477254,13.13467640355,-0.189,-3.105,0.6424,16.611008,0.2
10,4314067363527805440,287.80663974174,13.12061690905,0.151,-3.466,0.8173,16.919418,0.5
11,4314066259652316544,287.8511747364,13.08000430038,0.243,-3.542,0.8034,17.497677,0.8
12,4314067810157047040,287.8063484754,13.14043811353,-0.201,-2.935,0.7091,17.372414,0.5
13,4314069459471831168,287.85782331685,13.17332112804,-0.102,-3.228,0.7328,14.839121,0.2
14,4314066259652284544,287.84705597392,13.07519634142,0.239,-3.339,0.6392,16.243843,0.9
15,4314067535326467456,287.83223295549,13.10591769098,0.418,-2.948,0.7287,14.66833,0.9
16,4314067569638735744,287.84604493138,13.12347853231,0.228,-3.75,0.7355,17.851389,0.6
17,4314067908920312832,287.84629423901,13.14979932255,0.347,-3.208,0.7839,17.43897,0.9
18,4314066053493830400,287.86293451194,13.06772507018,0.194,-3.141,0.7643,17.628983,0.7
19,4314067810204404352,287.81151724273,13.1288984824,0.253,-3.307,0.7214,13.369552,0.9
20,4314066912487331840,287.79903958354,13.07450643424,-0.311,-3.102,0.6363,15.771401,0.2
21,4314067329168066432,287.79910182468,13.10547125209,-0.598,-3.638,0.7397,15.124247,0.2
22,4314067432247290240,287.78980215465,13.12527431729,0.347,-2.346,0.5953,15.088659,0.3
23,4314066882491400704,287.88610110612,13.12370711424,0.137,-3.2,0.6725,13.476418,0.9
24,4314067535279035520,287.83069365429,13.11938747535,-0.021,-3.055,0.6889,14.824154,0.4
25,4314067638405656320,287.8748245723,13.12561076925,0.143,-3.083,0.7581,15.153621,0.8
26,4314066431450937344,287.87019920614,13.07033018038,-0.071,-3.164,0.7394,16.833912,0.3
27,4314066676332969088,287.86937523808,13.093442785,0.067,-2.68,0.688,16.766212,0.2
28,4314066637615782784,287.86738244695,13.0853727665,0.252,-3.043,0.6954,13.410781,0.9
29,4314068359960143232,287.89768872105,13.12726671266,-0.13,-3.237,0.7002,16.45557,0.2
30,4314067153011855744,287.82310941877,13.10551242001,0.057,-3.32,0.6918,13.073835,0.7
31,4314067569686205056,287.84278287072,13.12181860391,-0.511,-2.74,0.6837,13.113824,0.5
32,4314067088649868928,287.82873874092,13.10109731309,-0.089,-2.991,0.7765,16.883348,0.6
33,4314067707125156864,287.8632593356,13.15142250017,0.195,-3.216,0.7814,16.054195,0.9
34,4314067771481203584,287.82952243116,13.13186139303,0.009,-3.264,0.7052,16.885675,0.7
35,4314067153027386752,287.82905575232,13.10553135667,-0.237,-3.356,0.7347,15.894382,0.1
36,4314067569686201344,287.84501008085,13.11898180094,0.118,-3.209,0.71,13.98384,0.9
37,4314067535326477696,287.82471564889,13.11137057759,0.064,-3.152,0.6951,14.196282,0.7
38,4314067535326475520,287.83045731332,13.11691901229,0.045,-3.122,0.7586,9.422359,0.8
39,4314067535326471296,287.83505476399,13.1179962893,-0.059,-3.151,0.6858,9.348247,0.4
40,4314067500966706176,287.86216622603,13.11377124562,-0.084,-3.177,0.6803,14.908749,0.4
41,4314067500966714496,287.85361497536,13.11523376405,0.368,-3.313,0.7046,13.422709,0.9
42,4314066332735608320,287.83984313013,13.09037549822,0.415,-3.041,0.6779,13.638191,0.9
43,4314067049926384384,287.82066767092,13.09085337512,-0.004,-3.049,0.7515,15.585076,0.5
44,4314067088649861632,287.83144066604,13.09148173938,-0.114,-3.126,0.7268,13.728017,0.3
45,4314067466606983424,287.83718904891,13.10070261376,0.035,-3.205,0.7364,13.860365,0.9
46,4314069390752332544,287.87353246866,13.16084845568,0.382,-3.373,0.6852,17.726723,0.6
47,4314067500966719616,287.84589614559,13.11110785225,0.003,-2.99,0.7351,14.164819,0.9
48,4314067466606978944,287.84315967262,13.1035779693,-0.272,-3.102,0.6295,15.456655,0.3
49,4314067294807986816,287.77603740541,13.09874956652,-0.091,-3.475,0.6387,16.996183,0.2
50,4314067638405661568,287.86933963097,13.129329502,-0.14,-3.282,0.7551,16.544014,0.3
51,4314079664316103936,287.80110524626,13.16580333307,0.0,-3.201,0.7046,15.314232,0.5
52,4314079733035563520,287.82499728998,13.17364932041,0.247,-2.988,0.5938,17.292566,0.5
53,4314081206139232640,287.84065276167,13.17283595456,0.118,-3.139,0.6611,17.943703,0.3
54,4314079733035555200,287.83160491875,13.1682514868,-0.087,-3.161,0.6736,11.379188,0.2
55,4314079591231421056,287.80158694963,13.15158933898,0.143,-3.152,0.7602,16.244045,0.7
