,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4152527183828869248,276.55390763133,-13.06779041384,-0.409,-1.538,0.3662,17.823061,0.5
1,4152526977681497472,276.53829222867,-13.0958820542,-0.543,-2.014,0.4583,16.985846,0.6
2,4152526771520198528,276.53852957154,-13.10429701436,-0.453,-1.737,0.4263,17.63724,1.0
3,4152527007733020416,276.51632764313,-13.09699703882,-0.521,-2.527,0.5171,17.154652,0.4
4,4152526767217658368,276.54095675354,-13.10717521967,0.142,-2.063,0.1364,17.262098,0.4
5,4152526732855091072,276.534462126,-13.10667801394,-0.828,-1.889,0.3327,16.72671,0.6
6,4152526908962002816,276.56871686128,-13.08378397967,-0.691,-0.673,0.5297,16.181746,0.5
7,4152527076452573184,276.54349854828,-13.08172548139,-0.549,-1.366,0.3904,16.865063,0.8
8,4152527591848770048,276.5655901418,-13.04546627773,-1.15,-1.494,0.5575,17.637691,0.6
9,4152527076452544512,276.54283501862,-13.0835771204,-0.616,-0.778,0.5319,17.903227,0.5
10,4152526767214814720,276.54207312117,-13.10639926306,0.194,-1.088,0.3896,16.415117,0.2
11,4152527007733043456,276.51677260416,-13.09094753183,-1.118,-2.22,0.2618,16.917675,0.7
12,4152527179531822976,276.54840419777,-13.06738661607,-1.451,-1.497,0.6299,17.075638,0.5
13,4152527012030235264,276.50726541306,-13.0944868608,0.034,-1.462,0.3767,17.539888,0.6
14,4152521132217765376,276.50471350793,-13.0974841055,-0.518,-0.766,0.1418,17.693413,0.6
15,4152521102166273152,276.48963327594,-13.10886947181,-0.667,-1.207,0.6702,13.328785,0.5
16,4152526732855060864,276.53199017603,-13.11234399583,-0.442,-1.526,0.3245,16.388046,0.8
17,4152527149480215680,276.5333178094,-13.07954242047,-0.519,-1.572,0.3505,17.000912,1.0
18,4152568037568888064,276.48625433825,-13.10853001022,-0.683,-2.472,0.323,16.882162,0.5
19,4152568411217846528,276.46056367425,-13.07353111592,-0.658,-1.317,0.3588,14.631526,0.8
20,4152568415526096384,276.46069964511,-13.06081561708,-1.053,-1.634,0.5572,16.787035,0.6
21,4152568101980112384,276.47209672452,-13.09596867423,-0.445,-2.012,0.6006,16.428055,0.4
22,4152568342498357632,276.48039303713,-13.07544205861,-1.015,-1.159,0.2713,17.750824,0.5
23,4152568071928639360,276.49389429135,-13.09221392099,-0.51,-0.868,0.4581,15.49419,0.5
24,4152568106288407168,276.47092258127,-13.09179598365,0.105,-2.314,0.6796,16.644136,0.3
25,4152574840797162880,276.51060967435,-13.0236378169,-1.011,-2.181,0.6262,17.496716,0.7
26,4152574875156900736,276.53143007636,-13.00513629233,-1.349,-1.986,0.2903,16.653513,0.5
27,4152573981803643008,276.51025747986,-13.0737907683,-0.722,-1.233,0.5323,16.921041,0.4
28,4152574565919198976,276.54610995124,-13.03830024511,-0.676,-1.821,0.3021,16.21433,0.8
29,4152574497199708672,276.54698489821,-13.04731446444,-0.585,-1.408,0.3441,12.785671,1.0
30,4152574080574680576,276.52310584665,-13.07262662454,-0.492,-1.741,0.4612,15.432981,0.9
31,4152574153602348416,276.5186332011,-13.05572860913,-0.58,-1.443,0.4091,15.38783,1.0
