,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2058821332442689792,302.2997991553,35.21521917337,-3.019,-6.09,0.4251,17.416008,0.1
1,2058821611634585216,302.27435736603,35.2456029888,-2.617,-6.287,0.421,16.782509,0.1
2,2058813434015984256,302.00316412643,35.30618722975,-3.189,-6.323,0.502,15.981655,0.1
3,2058821474195590016,302.3285308776,35.24050158851,-3.234,-6.421,0.4223,16.139023,0.1
4,2058843773666314752,302.42700732429,35.51474692088,-2.651,-7.142,0.6009,17.008133,0.3
5,2058839650497873280,302.14952219693,35.45234513669,-3.437,-5.918,0.4491,14.381464,0.2
6,2058844907537747840,302.31270548212,35.48050485523,-2.537,-6.359,0.451,15.449945,0.2
7,2058845903970259072,302.20117621161,35.53157125526,-2.888,-6.248,0.4632,17.064642,0.1
8,2058839856656309376,302.15119772509,35.4752814466,-3.326,-7.082,0.521,13.164256,0.5
9,2058838894583140864,302.10468815911,35.38693164948,-3.245,-6.172,0.5193,17.563175,0.2
10,2058845487339391104,302.20509892344,35.47442341674,-2.791,-7.402,0.4433,17.900673,0.2
11,2058847140920888064,302.37247764864,35.56358526743,-3.406,-6.714,0.6321,17.007347,0.6
12,2058844907537752576,302.30465400926,35.47966752711,-3.908,-6.741,0.5923,14.86286,0.2
13,2058845251128304768,302.28105006382,35.51471232673,-2.606,-7.242,0.4458,17.914078,0.6
14,2058839719217358080,302.13361322738,35.46440495753,-3.467,-6.857,0.6124,16.064535,0.4
15,2058846728603891712,302.34640210985,35.54824661765,-3.009,-6.118,0.5254,16.33451,0.1
16,2058836283242974080,302.14362843494,35.31843566915,-3.441,-7.428,0.4287,17.382822,0.3
17,2058848201758897152,302.34848311606,35.61722971154,-3.096,-6.068,0.4688,17.225916,0.1
18,2058837932510413312,302.17733425714,35.35578418075,-3.39,-6.943,0.5033,13.692049,0.6
19,2058841162326217216,302.32192257129,35.40867692692,-3.292,-5.915,0.4951,17.568876,0.2
