,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2333153679752698368,-0.64633850868,-29.04211046067,18.533,2.166,4.2766,15.040868,1.0
1,2333161479413305984,-0.52023197632,-28.96201726014,18.891,2.143,4.4703,17.361666,1.0
2,2333306099552537728,-0.17299078158,-28.35778670415,19.219,2.262,4.353,15.385542,1.0
3,2333308401655007872,-0.06309218471,-28.25635240942,18.998,1.732,4.3383,12.387129,0.9
4,2333284998377999872,-0.72953940885,-28.07005430059,19.08,2.42,4.1573,17.77598,1.0
5,2333202779818803584,-0.44711588578,-28.60392771837,19.21,2.439,4.0717,17.17102,1.0
6,2333385333109198208,-0.35313425169,-27.83928347275,19.862,2.628,4.3552,17.047653,0.8
7,2333465253860212352,1.83311521139,-28.16131933928,18.787,3.328,4.1794,17.958715,0.9
8,2333990820418626048,-1.41808103171,-28.58375527596,19.221,1.862,4.514,16.450613,1.0
9,2333832353305053312,0.55566972461,-27.06717937902,19.216,2.649,4.2904,10.125443,1.0
10,2334037755821224576,-0.74654656398,-27.92326033298,19.18,1.929,4.2008,10.340158,1.0
11,2334177599956226688,-0.05405204921,-27.32805646639,18.742,1.962,4.1466,12.367704,0.9
12,2334138636012819328,-0.63654581372,-27.69308454652,18.505,2.091,4.1297,14.596557,0.9
13,2319629338837989632,3.65187341602,-30.88188192397,18.253,3.43,4.1766,17.391338,1.0
14,2319579036180868352,3.27230508717,-31.38303749418,19.189,2.822,4.332,17.980492,0.9
15,2319648103550670208,2.40462046367,-31.68706045593,18.255,3.594,4.1333,16.77383,1.0
16,2319815366757378560,3.24214381893,-30.82107616511,19.364,3.738,4.3981,16.724674,0.8
17,2319914700760997504,2.83769635082,-30.1407612958,18.061,3.262,4.1116,13.346388,1.0
18,2319866352313739648,2.39835567355,-30.73337944763,18.894,3.549,4.1534,17.649733,0.9
19,2319734582716691200,1.81115939146,-31.25738992772,18.731,3.005,4.1815,17.584875,1.0
20,2319807635816183552,2.74630826811,-30.86771145707,19.399,3.54,3.8549,17.829006,1.0
21,2319829900926671744,2.94209519405,-30.81930328987,18.606,3.263,4.0783,17.985136,0.9
22,2319857319997858944,2.62959011261,-30.716495106,19.001,2.973,4.4405,15.631808,0.9
23,2319797499693367680,2.72911114925,-31.01808507552,18.815,2.938,4.141,17.475174,1.0
24,2319797465333629440,2.72761498686,-31.02867364943,17.487,2.942,4.0831,15.720074,0.9
25,2319909478080738944,2.76195126087,-30.24721185368,18.578,3.219,4.1832,13.792335,1.0
26,2320411160324629120,3.89797894632,-29.53362347916,18.554,3.131,4.3933,17.458916,0.9
27,2320273446494092288,3.0954404033,-30.19211618824,18.957,3.734,4.4566,17.757206,0.6
28,2320513689784124032,1.45627873229,-30.76163922792,18.934,2.511,4.2937,17.937582,1.0
29,2320523967641801088,1.91039001449,-30.84041062198,18.218,3.114,4.1369,14.88105,1.0
30,2320506719053074432,1.43727661974,-30.97465772927,18.445,2.754,4.0741,15.528103,1.0
31,2320211225302895232,3.74783285199,-30.30972282525,19.403,3.836,4.3389,13.380293,0.8
32,2320887936054365696,0.55844645263,-29.65638671458,18.121,2.397,4.4064,17.418793,1.0
33,2320790289973970432,0.79516071584,-30.18025730602,18.868,2.967,4.1678,11.170905,1.0
34,2320902234000398336,1.39761528563,-29.95150598597,19.681,3.332,4.2308,14.177574,0.9
35,2320882438497310720,0.86791360189,-29.6142723958,18.668,2.297,4.1839,16.539001,1.0
36,2320883233066327552,0.83266443622,-29.60904234967,19.126,2.41,4.2986,17.75478,1.0
37,2320817159289455104,1.01685633219,-29.97401296903,18.953,2.576,4.2184,12.868057,1.0
38,2320803724631758336,1.11422751869,-30.08268630505,19.399,2.415,4.4154,16.175726,0.9
39,2320908178235983360,1.32324294077,-29.78258319406,19.201,2.251,4.2432,13.219247,1.0
40,2320697484320217728,1.74072975146,-30.15475178703,18.764,2.846,4.2055,14.864262,1.0
41,2320696762765711360,1.64190984876,-30.14611595243,18.513,2.235,4.0389,16.200384,1.0
42,2320834304798813568,0.4872786327,-30.20220480261,18.547,2.266,4.2381,14.885303,1.0
43,2320950333339180544,1.85571945502,-29.37376447908,18.95,3.041,3.9623,16.05065,1.0
44,2320834476597504256,0.5176619619,-30.17620561388,18.24,2.845,4.2497,13.996653,1.0
45,2320572994692595584,0.81187624521,-30.67486096357,18.402,2.51,3.9209,17.83165,1.0
46,2320834476597503232,0.51549804132,-30.17359395445,19.498,2.727,4.1336,14.639164,1.0
47,2320786540467288320,0.47693562643,-30.28541059635,18.235,2.537,3.909,16.587406,1.0
48,2320895671291615488,0.75738162322,-29.52884236953,18.352,2.512,4.4017,17.228136,1.0
49,2320762321146962944,0.67252726083,-30.62697666345,18.326,2.388,4.3446,17.277407,1.0
50,2320734867715638144,2.28341593561,-29.80781962491,18.981,2.92,4.3285,12.840494,1.0
51,2320963875371996032,1.72853262416,-29.25628863569,19.598,2.677,4.2876,17.96629,0.9
52,2320563958081386752,1.21680504008,-30.70420468978,18.501,2.925,3.9768,17.553658,1.0
53,2320832621171630976,0.39454398698,-30.21849518431,18.618,1.989,4.263,17.490765,1.0
54,2320798639390461056,1.13202906303,-30.244902113,18.213,2.946,4.1939,11.56224,1.0
55,2320834614036455424,0.47739864516,-30.17734629669,18.321,3.355,3.8999,17.36302,1.0
56,2320834751475408128,0.49072402281,-30.15795505584,18.003,2.327,4.1832,9.881991,1.0
57,2320776644862584960,0.87084865579,-30.32421563665,18.115,2.061,4.0013,10.506609,1.0
58,2320816231576490496,0.95913970339,-30.06546282627,18.342,2.3,4.1872,10.936608,1.0
59,2320842551136015872,0.61755577898,-30.07872916539,18.339,2.56,4.0282,12.706314,1.0
60,2320611649398413312,1.40689986698,-30.34444234079,19.091,2.705,4.432,17.725458,1.0
61,2320833445805349760,0.36956987233,-30.20582594298,18.089,2.304,4.3184,10.729133,1.0
62,2320833617604040704,0.34876788442,-30.20354047179,18.156,2.401,3.9044,17.841007,1.0
63,2320958721411240704,1.70109126781,-29.2657120767,18.992,2.546,4.4992,17.511906,0.9
64,2320842619855491968,0.60477072413,-30.07317248204,18.311,2.908,4.0962,17.51159,1.0
65,2320606564157139200,1.28253898699,-30.33358258736,17.896,2.577,4.4147,17.937975,1.0
66,2320540803913561088,1.57188862128,-30.57542978226,18.428,2.766,4.1969,14.942327,1.0
67,2320822549472113280,0.84383433879,-29.86469735575,18.353,2.425,4.3709,17.740175,1.0
68,2320877151392638720,0.83856134174,-29.70472767601,19.345,2.921,4.1211,16.928099,1.0
69,2320766684833726592,0.57058992949,-30.54088685838,19.046,2.822,4.2899,12.031643,1.0
70,2320903848908950656,1.3789974912,-29.88559066864,18.373,2.429,4.3232,11.13123,1.0
71,2320771220319192448,0.85443341233,-30.43505940868,18.073,3.769,4.3126,11.839226,0.8
72,2320902234001248256,1.3981861659,-29.9518158359,18.141,3.066,4.4199,12.408645,0.9
73,2320902062202556544,1.42908118192,-29.96061449249,18.722,3.06,4.2243,9.8398,1.0
74,2320805580057632768,1.23373426,-30.11471592641,18.757,2.951,4.0812,15.828494,1.0
75,2320838943363481984,0.41614458122,-30.07734423578,19.048,2.256,4.1867,14.301308,1.0
76,2320906872565926528,1.36201486642,-29.85569630038,18.954,2.14,4.2442,12.431136,1.0
77,2320903883268688896,1.39506503921,-29.86305737998,18.842,2.706,4.3944,16.492418,0.9
78,2320877220112116224,0.88296316395,-29.7179778591,19.122,3.505,4.1405,10.053291,1.0
79,2320876601636825984,0.92355547659,-29.71515777346,18.294,2.767,4.4409,17.558525,0.9
80,2320841520343862400,0.47271074229,-30.10355559723,18.559,2.592,4.2095,15.093597,1.0
81,2320903642750520704,1.39484598475,-29.89495963686,18.622,2.078,4.3537,16.854815,1.0
82,2320878628861388928,0.97531390578,-29.6531447469,19.634,1.852,4.1795,13.786061,1.0
83,2320842001380199680,0.53206533563,-30.07849580001,19.352,2.893,4.0857,16.700794,1.0
84,2320850144638182912,0.23066830028,-30.06415715856,18.495,2.429,4.3249,8.403922,1.0
85,2320558082565935744,1.00211741414,-30.77264304354,18.933,2.434,4.1795,12.91031,1.0
86,2320881991820717056,0.79806183191,-29.59915097653,18.799,3.31,3.9584,17.207367,1.0
87,2320945699070402816,1.7230540415,-29.3538046874,19.022,2.819,4.1393,14.861427,1.0
88,2320733901347207936,2.08003821003,-29.73797826805,18.863,3.126,4.4284,17.75143,0.9
89,2320550046683235328,1.75925485614,-30.35496081437,18.645,2.449,4.2228,11.586123,1.0
90,2320779604095346688,0.5553166503,-30.44285223703,18.412,1.647,4.122,16.19481,0.9
91,2320548534854747648,1.80513786926,-30.4470037845,19.079,2.699,4.1831,17.727812,1.0
92,2320807641641939712,1.29571605364,-30.06143288636,18.02,2.925,4.2634,16.438698,1.0
93,2320768986936193664,0.6633207345,-30.44503008943,18.093,2.749,4.0627,17.745491,1.0
94,2320777469496305024,0.89047963289,-30.26222490463,18.108,2.368,4.2384,12.327809,1.0
95,2320895774370830464,0.79844551899,-29.50428518126,18.523,2.57,4.1353,16.122498,1.0
96,2320802075364296960,0.935067572,-30.16498679913,18.236,2.875,4.2872,16.044252,1.0
97,2320769193094622464,0.64294118249,-30.42921775858,18.691,2.483,4.138,13.197062,1.0
98,2320831895321931520,0.32153972211,-30.29569406216,19.093,2.324,3.9854,17.684887,1.0
99,2320915599939527168,1.48165088907,-29.67066111578,18.668,2.641,4.2295,17.071693,1.0
100,2320551519855979776,0.97574112274,-30.94709962993,18.426,2.101,4.2115,17.442337,1.0
101,2320793897745374208,0.59024622148,-30.13932833066,18.121,2.74,4.1544,10.615004,1.0
102,2320874054720005248,0.77868821064,-29.74626757789,18.187,2.918,4.2365,14.599089,1.0
103,2320783933422373504,0.49599454886,-30.33912683457,19.013,2.572,4.3382,17.652239,0.9
104,2320898798027762432,0.60202124346,-29.48321838397,18.882,2.79,4.1151,15.833942,1.0
105,2320895495197912832,0.83057047031,-29.52609394846,19.025,3.358,4.2828,17.691141,0.9
106,2320584887457843968,1.09498952181,-30.3851176083,18.814,3.247,4.1504,17.302332,1.0
107,2320584406421507456,1.03216032942,-30.4279475718,18.093,3.113,4.1124,15.963703,1.0
108,2320788812505222016,0.67435210434,-30.27328290985,18.369,2.709,4.2664,16.694439,1.0
109,2320583547428048768,1.04225649055,-30.44542917143,18.168,3.537,4.4189,17.637175,0.8
110,2320888902423048576,0.47925953232,-29.69528579247,18.999,3.488,4.0455,17.512363,0.9
111,2320602926320492672,1.21215676732,-30.49873416766,18.684,3.319,4.1231,14.764709,1.0
112,2320932951607396992,1.33485107719,-29.51560357664,18.742,2.946,4.1783,15.156586,1.0
113,2320780566168018688,0.54937720965,-30.39232274659,18.426,2.273,4.2839,14.614534,1.0
114,2320886222363524992,0.54877690031,-29.69428171336,18.897,2.519,4.1982,11.728803,1.0
115,2320788331468887040,0.75239870564,-30.26223673905,18.033,2.204,4.1819,15.108883,1.0
116,2320933157765826560,1.32674800543,-29.50155165254,18.116,3.234,4.098,11.210258,1.0
117,2320652988459060480,2.02173264258,-30.13058818072,18.859,2.474,4.1284,17.54502,1.0
118,2320893334829367040,0.7199150561,-29.61595828979,19.138,1.804,4.3192,17.568949,1.0
119,2320820114226919808,0.79821100666,-29.96953964918,17.973,2.938,4.103,17.275005,1.0
120,2320589319864133632,1.50409265273,-30.46696276226,18.433,3.014,4.1316,16.721378,1.0
121,2320728369429818624,2.22324006552,-29.87165941348,18.718,2.379,4.3292,17.579308,1.0
122,2320558396099548800,1.04446371662,-30.7582464691,18.459,2.526,3.9673,17.203426,1.0
123,2320618319483339648,1.39608250489,-30.14292048355,18.435,1.62,4.1417,17.560099,0.9
124,2320617116892496256,1.37100095722,-30.14222577039,17.862,2.304,4.1978,13.210715,1.0
125,2320572827189658240,0.84748869305,-30.6897076137,18.352,2.487,4.1639,14.009586,1.0
126,2320620204973694464,1.39442910741,-30.03741310227,19.804,2.52,4.3282,17.563232,0.9
127,2320713049281688704,1.51799613867,-30.0366150978,19.149,3.06,4.2007,15.323053,1.0
128,2320596123092361088,1.57957974514,-30.37288255089,18.49,1.548,4.1835,12.912848,0.9
129,2320862200611102848,0.44371752389,-29.77742361743,18.505,2.382,4.2086,12.079936,1.0
130,2320606121776189824,1.35642589995,-30.30985803902,18.795,2.668,4.169,15.187153,1.0
131,2320869729688113536,0.85171986664,-29.81372419716,18.392,2.805,4.0998,10.540326,1.0
132,2320603540500120320,1.30581050777,-30.44119067995,18.533,2.936,4.1595,17.905182,1.0
133,2320855676556049920,0.08360431083,-29.93929340029,17.418,3.022,4.5384,16.829916,0.8
134,2320863270058227200,0.28841352842,-29.81326882416,19.358,2.511,4.3535,16.579763,1.0
135,2320646082151622400,1.85218591985,-30.26256054997,18.576,3.168,4.0969,17.343412,0.9
136,2320860074602561408,0.34518355092,-29.84349559769,18.669,2.801,4.3369,12.613679,1.0
137,2320794413142569344,0.72589211052,-30.11554097633,18.971,3.108,4.2123,16.145302,1.0
138,2320652022091035648,2.08654795333,-30.15660604487,19.497,2.904,4.4817,17.839375,1.0
139,2320602273485524864,1.54520210782,-30.22949944723,18.395,3.038,4.0983,16.227348,1.0
140,2320709647667590784,1.56823045932,-30.09918274638,18.822,2.938,4.2936,11.580837,1.0
141,2320708891753346816,1.57415196098,-30.1082269848,18.628,3.355,4.121,16.817942,1.0
142,2320714286232269312,1.43554102593,-29.98732890545,18.563,2.57,4.2377,16.624132,1.0
143,2320932053958599552,1.46318311894,-29.45807169664,19.184,2.893,4.1306,17.632772,1.0
144,2320820522248749056,0.7961365821,-29.92198912733,18.027,2.116,4.0312,17.68882,0.9
