,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5975492994248453504,259.60888484851,-35.58849701638,0.14,-1.319,0.6379,15.224783,0.2
1,5975490833888220032,259.47798301943,-35.70392443538,-0.111,-1.009,0.6599,15.702929,0.1
2,5975491070104994176,259.49174345998,-35.6488425566,-0.779,-1.157,0.5684,16.844158,0.6
3,5975493101631692544,259.56053565722,-35.59104642154,-0.04,-1.291,0.592,14.010698,0.7
4,5975491074399004800,259.49165090442,-35.64916745309,-0.59,-1.62,0.5907,16.51758,0.3
5,5975467125668744192,259.45815497099,-35.72972385448,-0.267,-1.25,0.5431,13.462746,0.8
6,5975516294454088832,259.20701493725,-35.7075642387,-0.029,-1.741,0.7013,16.89104,0.2
7,5975518424758180480,259.24865632431,-35.62406738083,-0.124,-1.176,0.5895,11.593129,0.7
8,5975514782625880704,259.33166913158,-35.70397672059,-0.298,-1.398,0.5629,15.181051,0.7
9,5975514816977489920,259.3019657038,-35.708768381,-0.56,-1.778,0.5557,15.530119,0.4
10,5975518935852930048,259.2952978112,-35.5912241401,-0.414,-1.267,0.5473,14.096757,0.9
11,5975518592255487488,259.32028276085,-35.62248638653,-0.294,-1.19,0.4688,14.906898,0.8
12,5975514267229795712,259.39579922529,-35.71369037378,-0.121,-1.38,0.4897,15.433111,0.6
13,5975516908628251520,259.24045833343,-35.6472070053,-0.251,-1.187,0.6017,17.630083,0.7
14,5975518832773727360,259.34691962872,-35.58318805749,-0.277,-1.204,0.5713,13.303489,0.7
15,5975519867867200384,259.31091015319,-35.55552678556,-0.293,-1.199,0.5571,13.688352,0.8
16,5975517462685235200,259.14791417304,-35.64717077359,-0.483,-1.454,0.583,15.775706,0.5
17,5975518179938558592,259.30486534052,-35.65291998371,-0.445,-1.24,0.5687,17.884241,0.4
18,5975519107651684480,259.31669566394,-35.55461942117,-0.327,-1.11,0.644,16.660402,0.7
19,5975519863565929600,259.30865027434,-35.55371508401,-0.587,-1.354,0.6489,17.957672,0.6
20,5975519799148308224,259.28481562918,-35.56234849974,-0.752,-1.511,0.49,17.64252,0.5
21,5975519008873731712,259.32035249647,-35.5757923798,-0.168,-1.333,0.6291,15.454963,0.5
22,5975520211464601088,259.27843144777,-35.52062651642,-0.351,-1.522,0.5983,15.17662,0.7
23,5975517050368646784,259.14743067548,-35.69257202955,-0.122,-1.563,0.6078,15.431649,0.7
24,5975516912929688192,259.23068354912,-35.6516206596,-0.253,-1.335,0.4658,16.764776,0.6
25,5975513476955526144,259.2551810372,-35.72157535216,-0.308,-0.949,0.6012,17.092674,0.3
26,5975515637316994688,259.3369586944,-35.63389746086,-0.26,-1.466,0.5594,13.15504,0.8
27,5975515401101178880,259.36366194386,-35.64279714795,0.034,-1.689,0.6569,13.40242,0.3
28,5975515023143747584,259.30788431862,-35.69515838705,-0.27,-1.493,0.5676,14.82941,0.7
29,5975518557895765760,259.27850865334,-35.61291722412,-0.454,-1.375,0.5473,15.57467,0.9
30,5975532954625128704,259.18039470553,-35.47047940343,-0.277,-1.241,0.5904,12.371262,0.7
31,5975532267430361600,259.23091117036,-35.47885107495,-0.215,-1.28,0.5804,12.379254,0.7
32,5975532267430361728,259.21974928716,-35.48001259047,-0.333,-1.2,0.6274,9.131061,0.7
33,5975538142946591488,259.44837268432,-35.63617676842,-0.506,-1.486,0.4931,14.451133,0.7
34,5975532198712131456,259.23542239781,-35.48608015347,-0.179,-1.759,0.7201,17.775465,0.5
35,5975543438647730688,259.31787469185,-35.51527911982,-0.432,-1.175,0.531,15.222135,0.9
36,5975544155899059200,259.35028233242,-35.47136402829,-0.123,-1.007,0.4185,17.871267,0.7
37,5975543369928829312,259.33747116868,-35.52389761692,-0.14,-1.438,0.5303,14.454854,0.6
38,5975532787128880896,259.14767874258,-35.47798004666,-0.352,-1.519,0.6527,16.870275,0.4
39,5975529866550806912,259.12952069036,-35.60435755199,-0.254,-1.162,0.5826,15.389399,0.8
40,5975529522953429504,259.09145605043,-35.60972172195,-0.035,-1.389,0.6835,17.087175,0.1
41,5975543335568508416,259.31392343656,-35.53985215682,-0.254,-1.219,0.5596,15.163669,0.8
42,5975543335568508544,259.31826720606,-35.5363316351,-0.448,-1.31,0.4816,17.812002,0.5
43,5975538211666077824,259.43977104595,-35.62965307602,-0.315,-1.436,0.7105,16.785751,0.7
44,5975533233805484800,259.1598716577,-35.45428125022,-0.409,-1.274,0.5887,14.640814,0.8
45,5975543541726942976,259.33291964306,-35.51112019783,0.0,-1.233,0.6195,16.593828,0.6
46,5975538211666090368,259.43676620825,-35.62339976881,0.014,-1.419,0.5953,17.7997,0.3
47,5975541200961483520,259.48067094463,-35.52106795689,-0.333,-1.131,0.548,16.930195,0.7
48,5975543331278657408,259.32356411483,-35.54162648165,-0.23,-1.23,0.5457,13.236762,0.8
49,5975542506639788800,259.34259344946,-35.55232964733,-0.174,-1.381,0.5397,13.408368,0.9
50,5975542850230949376,259.40596683101,-35.52673015891,-0.277,-1.026,0.4349,17.843554,0.7
51,5975542781511469952,259.40934162538,-35.5277001604,-0.612,-0.995,0.4901,17.863323,0.4
52,5975542575359254400,259.33088475792,-35.55470640334,-0.016,-1.096,0.4699,17.033035,0.6
53,5975545534592613504,259.40361771094,-35.44170897099,-0.477,-1.67,0.5749,16.371141,0.5
54,5975532920266642560,259.206231081,-35.48345809462,-0.302,-1.341,0.7061,15.783689,0.7
55,5975545053556142464,259.48095552889,-35.43352517815,-0.756,-1.556,0.6343,14.946858,0.6
56,5975543743584217856,259.31337150091,-35.48890943857,0.005,-1.159,0.5298,17.866749,0.6
57,5975539006241438336,259.39245991199,-35.61986973381,-0.221,-1.023,0.53,13.216054,0.8
58,5975545152331567360,259.52782784987,-35.41268939092,-0.472,-1.151,0.6827,17.756178,0.6
59,5975529071975603200,259.12104768582,-35.66140074284,-0.208,-1.57,0.5454,17.098862,0.5
60,5975542648373731072,259.36253685869,-35.53667217869,-0.443,-0.931,0.638,7.79432,0.6
61,5975538937521958784,259.40635340205,-35.62349094891,-0.084,-1.271,0.6598,14.886596,0.5
62,5975545255410781056,259.47390855312,-35.41431007842,-0.119,-1.338,0.6119,16.223438,0.7
63,5975543365633240320,259.33451863379,-35.53188755283,-0.205,-1.351,0.5973,12.004972,0.8
64,5975542506633501440,259.34317189363,-35.56296160409,0.033,-1.557,0.484,13.840763,0.3
65,5975543335568506624,259.32045560063,-35.54606036266,-0.181,-1.148,0.5073,13.964225,0.8
66,5975542717093213056,259.35344100588,-35.52865935024,-0.16,-1.296,0.5399,14.44952,0.7
67,5975542579654256640,259.33716448729,-35.5486733091,-0.267,-1.498,0.6173,7.813742,0.9
68,5975538623981021312,259.51806821612,-35.57886625048,0.06,-1.354,0.5589,16.418432,0.4
69,5975541411423859328,259.48089454964,-35.51248358524,-0.473,-1.203,0.5496,15.112664,0.8
