,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3336066717040247040,85.55728868463,8.7323385705,1.704,-3.13,2.6368,14.291728,0.7
1,3336065205211765376,85.54666678022,8.71401626134,0.486,-2.453,2.3685,17.193739,1.0
2,3336159071720837120,86.00867348126,9.26036390809,2.36,-2.518,2.5597,15.057566,0.3
3,3336168043908536704,85.68058095119,9.2879693592,1.356,-2.731,2.589,16.435856,0.7
4,3336171308083686528,85.62966345195,9.31412594914,1.727,-2.59,2.3822,14.747352,1.0
5,3336163641566167168,85.945010672,9.37230910308,2.405,-2.039,2.417,17.339497,0.4
6,3336143820292866304,85.31320532028,9.13380167311,1.385,-2.84,2.1687,16.296337,0.5
7,3336130145117285760,85.30293020824,8.91026166637,1.084,-2.506,2.595,14.832528,1.0
8,3336155189070384384,85.72981867899,9.24698896428,2.005,-2.235,2.4575,16.02574,0.5
9,3336153853336605056,85.75063158979,9.17037699493,1.44,-2.858,2.4315,11.349273,0.8
10,3336144679286317824,85.35781533362,9.19833745045,2.515,-2.5,2.3233,7.433301,0.3
11,3336144404408411392,85.36927711761,9.17950975048,1.723,-2.489,2.4378,15.658165,1.0
12,3336180585212965376,85.81403706685,9.49186603648,1.995,-2.325,2.4464,14.699038,0.6
13,3336176187166453760,85.9025468941,9.41540535634,1.713,-2.448,2.3746,14.22447,1.0
14,3336139662764765312,85.36150689561,9.06832110852,1.548,-2.27,2.4464,17.125177,1.0
15,3336145675718723968,85.43685123596,9.21838188401,1.702,-2.479,2.4512,14.231127,1.0
16,3336146122395323520,85.40825107385,9.23415275736,1.629,-2.558,2.338,16.800875,0.7
17,3336146191114802048,85.38456126506,9.21587894718,2.073,-2.736,2.3048,17.799688,0.4
18,3336145950596635264,85.37893374459,9.20227602321,1.61,-2.485,2.4382,14.16903,1.0
19,3336145125962914560,85.39791839005,9.183045312,1.529,-2.417,2.3875,17.033045,1.0
20,3336156048063746304,85.94070598611,9.1717317732,1.401,-2.541,2.3684,17.319056,1.0
21,3336144644926581120,85.34219052102,9.19275988546,1.411,-2.347,2.4433,10.999327,1.0
22,3336102897844569856,85.97291040084,9.11990180316,1.472,-2.601,2.3843,16.284773,1.0
23,3336156292877976064,85.96113126575,9.20691984328,2.259,-2.652,2.3548,16.161398,0.7
24,3336131107189964800,85.24576328659,8.93856718253,1.834,-2.502,2.5516,17.058886,0.7
25,3336143197519784064,85.37306463158,9.12232121252,1.423,-2.68,2.5213,13.043657,0.8
26,3336161549917961088,85.80240170023,9.28381216418,2.108,-2.574,2.5751,15.177587,0.3
27,3336145843220305920,85.48160049481,9.24301622628,1.393,-2.518,2.5373,17.634153,1.0
28,3336152375867856512,85.74710294419,9.16455551385,1.355,-2.655,2.4332,15.047966,0.9
29,3336149455287469824,85.84663322763,9.09180432119,2.143,-2.131,2.5528,16.0297,0.4
30,3336164053883045376,85.97158689967,9.39166052684,1.588,-1.573,2.6153,17.699642,0.4
31,3336156121079561344,85.91498825977,9.17802657781,2.396,-2.427,2.6583,16.691805,0.3
32,3336168314489240704,85.66043439991,9.3103323729,1.961,-2.127,2.4414,14.597427,0.8
33,3336143197522028928,85.37431845868,9.12229024793,0.99,-3.17,2.6759,17.64957,0.4
34,3336159557053093248,85.98578943247,9.3046716731,2.352,-2.274,2.6571,16.342152,0.3
35,3336159282175185792,86.00680151363,9.28909372204,2.777,-2.687,2.4604,14.770971,0.3
36,3336159419614147584,85.96811091088,9.28343579824,2.458,-2.733,2.4192,15.750795,0.3
37,3336144365751496064,85.35960316267,9.17333084799,1.377,-2.423,2.4146,16.665934,1.0
38,3336170895766679168,85.49906059482,9.31436855238,1.706,-2.522,2.5031,16.294628,0.8
39,3336149519712868736,85.83717576719,9.10195550007,2.369,-2.588,2.5209,12.572297,0.4
40,3336171514241966720,85.56560722112,9.32857795463,0.026,-1.843,2.2002,17.745686,0.3
41,3336166188482701440,85.5536078013,9.24480242126,2.171,-2.132,2.1528,15.113021,0.3
42,3336157873425924992,85.96864927962,9.26658547692,2.151,-2.595,2.7049,17.449749,0.3
43,3336160690924950272,85.87341066465,9.28338037078,2.781,-2.359,2.5228,16.425724,0.3
44,3336141346391879936,85.56118013259,9.14985624995,1.649,-2.487,2.5814,17.188072,0.9
45,3336146912669499008,85.4094770169,9.27252010754,2.501,-1.738,2.608,15.656486,0.5
46,3336177454181082496,85.890384978,9.49643566563,1.85,-2.852,2.3343,17.32815,0.5
47,3336326029985617280,85.19732359155,9.15047539213,1.283,-2.659,2.4639,15.242121,1.0
48,3336344790402760832,84.99502424862,9.34939250344,1.552,-2.13,2.4709,13.667163,1.0
49,3336274593457351040,85.86379462959,9.53710854099,1.471,-2.006,2.5247,17.281803,0.7
50,3336388118032655744,85.43805932636,9.74466218536,1.494,-1.716,2.4542,9.786093,1.0
51,3336373549503587200,85.59221276477,9.61014572493,1.593,-2.714,2.3778,10.628238,0.9
52,3336370250968703488,85.63514228683,9.57300894418,1.551,-2.57,2.7169,15.69051,0.9
53,3336379626881457408,85.3439306436,9.61628321924,2.316,-2.77,2.234,17.953125,0.3
54,3336338326475610752,85.26396275546,9.31192131963,1.285,-2.422,2.2914,16.826328,0.9
55,3336335474617325568,85.27968060426,9.31205134454,1.66,-2.293,2.4692,17.370892,1.0
56,3336337811079530368,85.15781063176,9.30779808616,1.292,-2.756,2.4057,17.98453,1.0
57,3336278373028872704,85.96081116094,9.67837838378,2.259,-1.868,2.359,17.492294,0.2
