,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3325078472711509376,93.53987741001,6.87795285791,0.302,-0.255,0.5356,16.821028,0.4
1,3325078541430987520,93.52680391374,6.88767579237,-0.023,0.019,0.4283,15.251116,0.6
2,3325072459757337216,93.4987456149,6.83843050182,0.185,-0.1,0.5287,15.230352,0.3
3,3325078674574013952,93.54844414778,6.90708988859,-0.636,-0.566,0.262,17.143126,0.1
4,3325072111863792384,93.47136167542,6.82978914959,-0.787,0.414,0.2819,17.417028,0.1
5,3325072597196265088,93.52536591683,6.8610896619,-0.405,0.237,0.3635,15.532024,0.5
6,3325085585177367296,93.45198611972,6.92892669299,0.141,0.237,0.4314,14.327171,0.7
7,3325086684689077248,93.31690404098,6.88122631791,-0.367,0.356,0.4114,15.605142,0.8
8,3325085585177367424,93.44968343719,6.93096514543,-0.185,0.381,0.3815,14.609145,0.7
9,3325084206491808512,93.43183937325,6.87510152172,0.002,0.199,0.513,17.651062,0.8
10,3325085855758470400,93.42482929475,6.94695804712,-0.206,0.519,0.4203,13.73338,0.9
11,3325094724867760256,93.43156269134,6.97128329602,-0.236,0.209,0.5094,15.719296,1.0
12,3325091391973139712,93.4804436964,6.92514491639,0.16,0.164,0.5946,16.256786,0.6
13,3325088608834382976,93.3390809784,6.95099232401,-0.214,0.189,0.4163,14.327743,1.0
14,3325089772768693248,93.34670293737,6.97568753797,-0.264,0.374,0.3652,16.63738,0.8
15,3325095034105407744,93.40262488573,6.99307058107,0.241,0.38,0.3938,17.894033,0.4
16,3325143653135154560,93.39517602801,7.08856588256,0.271,0.215,0.4413,14.92503,0.5
17,3325091563771805952,93.5018382456,6.95299514954,-0.288,0.162,0.4452,15.095202,0.9
18,3325091460692617216,93.45932523291,6.94237914847,-0.428,0.327,0.3965,17.461786,0.5
19,3325092281029625984,93.48399655766,6.99113818549,-0.111,0.4,0.4184,17.379875,0.7
20,3325085340363211648,93.42627319086,6.88911827917,-0.15,0.247,0.5522,15.327103,1.0
21,3325091666851050880,93.45042111959,6.94410184287,-0.117,0.188,0.3495,16.51763,0.6
22,3325085821398716672,93.41473128066,6.9421875973,-0.211,0.219,0.5224,15.018751,1.0
23,3325094690508027008,93.42283014036,6.96928801734,-0.198,0.176,0.4133,15.264354,1.0
24,3325095480781944448,93.4951205508,7.03849944808,-0.223,0.189,0.4608,14.123114,1.0
25,3325090288165543808,93.52330557366,6.89118929512,-0.438,0.191,0.525,17.253633,0.5
26,3325085241580024448,93.39388840759,6.89944211447,-0.565,0.207,0.3104,17.81253,0.2
27,3325091735570529024,93.43733969155,6.95397628219,-0.197,0.181,0.4822,12.591231,1.0
28,3325094690508029440,93.42956623738,6.95975656566,-0.389,0.108,0.3725,16.392292,0.8
29,3325091735570528256,93.43312533759,6.95909977516,-0.395,0.378,0.4731,16.184504,0.9
30,3325084309571014784,93.46629857073,6.86328676418,0.106,0.363,0.2768,17.548021,0.3
31,3325094793587228672,93.43035331651,6.98499885123,-0.364,0.303,0.3117,16.8105,0.3
32,3325091731276675456,93.43544779093,6.95301685914,-0.16,-0.002,0.4669,12.450528,0.8
33,3325084245147601408,93.4756655786,6.84886505682,-0.73,0.15,0.5367,16.644468,0.3
34,3325098293983340672,93.45357483269,7.10593741564,-0.564,0.528,0.265,17.317574,0.1
35,3325137502739187840,93.28337457834,7.05067904289,-0.96,0.066,0.4402,17.707024,0.1
36,3325089021151611520,93.35836573922,6.96621189565,-0.095,-0.539,0.3688,14.472241,0.1
37,3325091662554265472,93.44931796563,6.95404437522,0.261,0.11,0.5258,16.89804,0.6
38,3325095893098858624,93.38540258065,7.02239310083,0.718,0.433,0.5713,17.420715,0.3
39,3325096266759400320,93.36656708961,7.04888985312,-0.115,0.216,0.429,17.99494,0.6
40,3325143824933838080,93.39184208943,7.10954421868,-0.277,0.121,0.3794,16.175976,0.6
41,3325085447738442240,93.41734309189,6.90867281045,-0.378,0.169,0.4475,13.043728,0.9
42,3325088746273326592,93.37348720541,6.94563705623,0.484,-0.48,0.2993,16.566488,0.2
43,3325091593834679936,93.48232733564,6.95591192533,-0.261,0.221,0.404,13.325562,1.0
44,3325085825695545344,93.41984268447,6.94062447543,-0.264,0.175,0.4088,13.505294,1.0
45,3325096167976767488,93.36623133645,7.03655313745,-0.483,0.184,0.4243,16.365444,0.7
46,3325094754930749952,93.40872308393,6.97193204378,0.3,-0.08,0.4527,17.664724,0.4
47,3325089124230825600,93.3696482701,6.97744447242,-0.552,0.367,0.3966,17.305246,0.6
48,3325085722616344064,93.40267094661,6.93055125118,-0.282,0.096,0.4264,16.105633,0.9
49,3325088986791501184,93.34963180924,6.9494790163,-1.155,0.448,0.4665,16.212519,0.3
50,3325089085573922048,93.40155299721,6.97391256961,-0.123,0.051,0.4295,17.896036,0.5
51,3325086856488098432,93.29012765548,6.89095537773,0.634,0.362,0.3026,17.312704,0.1
52,3325137429725946112,93.29617075685,7.04214200815,-0.163,-0.273,0.3623,17.795765,0.2
53,3325084653168441856,93.47717233876,6.88793158428,-0.162,0.329,0.4001,15.589031,1.0
54,3325091735570521856,93.44904107882,6.95575469537,-0.499,0.247,0.4353,16.150953,0.7
55,3325089119933657216,93.3703158236,6.97208065722,-0.619,0.535,0.3655,17.952255,0.4
56,3325091769930258432,93.44616280329,6.96161468744,-0.516,0.684,0.4617,16.878,0.6
57,3325088776336227200,93.40840031674,6.94936168026,0.412,-0.331,0.4726,17.511358,0.4
58,3325091873009460480,93.45500375085,6.9784852109,-0.187,0.153,0.518,15.412822,0.9
59,3325096202336493824,93.38386332617,7.04454005482,-0.843,0.953,0.3124,17.043432,0.1
60,3325144336032741760,93.33205666904,7.10311817666,0.014,0.791,0.3366,17.963184,0.1
61,3325091804289985536,93.46967935536,6.96240880057,-0.11,0.224,0.3659,15.030795,0.9
62,3325095102824867840,93.43066674979,6.99850734005,-0.406,0.389,0.2655,17.758034,0.2
63,3325085447738433664,93.43390445379,6.90825052613,-0.423,0.297,0.4288,14.817909,0.9
64,3325085855758452608,93.42199605621,6.94157204778,-0.071,0.272,0.5217,17.79587,0.5
65,3325094827946962304,93.45107937195,6.97858736281,-0.199,0.03,0.6072,17.612026,0.8
66,3325090803560698880,93.50791341641,6.94402802408,-0.105,0.331,0.4581,12.546786,1.0
