,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2066574126366570752,310.6205142056,42.96645730197,-2.522,-4.792,0.2472,17.3186,1.0
1,2066567632376015872,310.73281869087,42.96219508968,-2.397,-4.086,0.3371,17.950285,1.0
2,2066562310912751360,310.64065977676,42.94757886824,-2.367,-5.224,0.1134,16.744377,1.0
3,2066562139114273280,310.60977547376,42.91943324253,-2.46,-5.043,0.244,15.160436,0.9
4,2066574504323703808,310.62484619162,42.99173875096,-2.736,-4.706,0.234,17.684698,0.9
5,2066562448351694976,310.69069449892,42.9450173617,-2.709,-4.53,0.3022,13.487727,1.0
6,2066574057647423104,310.63683581692,42.96081128511,-2.989,-4.569,0.1695,17.516352,0.9
7,2066561898596098944,310.64511859238,42.88989355676,-2.699,-4.983,0.3567,17.130568,0.9
8,2066562242193492224,310.65040879745,42.93023883287,-2.784,-4.637,0.1614,17.231718,0.9
9,2066567671031922816,310.75251772185,42.97272760995,-3.164,-4.571,0.2587,15.503677,0.6
10,2066562310912970624,310.64407137936,42.94340237048,-2.716,-5.523,0.463,16.663826,0.6
11,2066562310912970496,310.64357429816,42.94139084816,-2.812,-4.558,0.309,16.109493,1.0
12,2066562276553228288,310.63097457098,42.92241398272,-2.781,-4.559,0.227,16.990063,1.0
13,2066562031738064768,310.66799601673,42.92082545125,-3.088,-4.932,0.0992,17.88499,0.7
14,2066562173474012288,310.62363897667,42.92005596971,-3.02,-4.914,0.3027,16.25009,0.6
15,2066562688869872128,310.65176447861,42.95528245261,-2.525,-4.163,0.2707,15.245207,1.0
16,2066561692437443712,310.7405033165,42.9376851404,-2.083,-3.997,0.2872,17.776081,1.0
17,2066562620150392960,310.65296102059,42.94511309486,-2.401,-4.673,0.1333,17.63143,1.0
18,2066562310912748928,310.64883276093,42.94529967432,-2.31,-4.494,0.228,16.766975,1.0
19,2066562310912754816,310.63446562758,42.95109899135,-2.821,-4.588,0.2537,17.35226,0.9
20,2066574886577012480,310.64515753504,43.02681773757,-3.298,-5.236,0.0588,17.63312,0.6
21,2066562723229610752,310.66803462623,42.97193253943,-1.942,-4.105,0.313,16.200136,1.0
22,2066574852217277056,310.63389831525,43.02504290136,-3.459,-5.31,0.3508,17.31008,0.6
23,2066574336821197440,310.60006258367,42.97755972332,-3.713,-4.655,0.2046,17.786015,0.6
