,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2934262489157774080,107.5873594531,-18.48981718724,-1.878,2.501,0.2436,15.479174,1.0
1,2934263318096009344,107.60898396094,-18.41993143057,-1.665,2.371,0.2503,17.369768,0.8
2,2934250673712363648,107.60601990069,-18.50920521663,-2.236,2.338,0.4002,15.458671,0.3
3,2934263455526020736,107.51875717124,-18.45968602084,-1.451,3.039,0.2822,17.826748,0.4
4,2934263691748611712,107.53120281747,-18.44599959826,-1.825,2.47,0.2905,12.000048,1.0
5,2934262596541578496,107.56230865094,-18.48012473898,-1.629,3.319,0.2679,17.964584,0.5
6,2934264142729727488,107.59416626002,-18.40482412739,-1.966,2.678,0.2919,15.083183,1.0
7,2934262493462349696,107.58960097815,-18.48365112607,-1.959,2.613,0.2839,13.032516,1.0
8,2934263592973976064,107.54388874108,-18.45035931081,-1.69,2.826,0.2974,15.974115,0.8
9,2934262424742874752,107.60743823501,-18.49683710377,-1.855,2.019,0.401,16.2353,0.1
10,2934263210712883968,107.60009995337,-18.42647052331,-1.911,2.684,0.1179,17.839663,0.7
11,2934250330114972928,107.64668135036,-18.52913095528,-1.648,2.743,0.2809,17.814064,0.7
12,2934264245808951680,107.57391962624,-18.40274506384,-1.825,2.513,0.3696,17.23256,0.8
13,2934262699620783744,107.5696647819,-18.47440976765,-1.614,2.058,0.3323,17.951958,0.4
14,2934264074010260480,107.60123234321,-18.42213205703,-2.639,3.147,0.3065,16.404242,0.8
15,2934263592973969024,107.54635101751,-18.44243925875,-1.605,2.357,0.3285,17.85457,0.7
16,2934263592973968128,107.54671767369,-18.44086604231,-2.023,2.553,0.2121,16.286373,0.9
17,2934250742431819648,107.66503107896,-18.52322206573,-1.747,2.642,0.3165,17.151117,0.6
18,2934263592973974400,107.54299267094,-18.4474957524,-1.542,2.683,0.2638,17.615473,0.5
19,2934263627333698688,107.5496575861,-18.43357352277,-2.122,3.199,0.295,17.520468,0.7
