,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5350574672861038720,160.02043212246,-59.1992961711,-5.312,2.442,0.1483,17.676445,1.0
1,5350585015162616064,159.95347334779,-59.19594539533,-5.14,2.17,0.2299,17.543348,0.6
2,5350574775960650880,160.06871807588,-59.17455513589,-5.731,2.699,0.1289,16.95352,0.2
3,5350574844680127232,160.03605759393,-59.1607174688,-5.267,2.149,0.1526,17.288948,1.0
4,5350574844680127104,160.05054926557,-59.16718121095,-5.431,2.511,0.1016,14.583876,0.9
5,5350584980802873600,159.94270566415,-59.19728399992,-5.167,2.611,0.2593,16.50653,0.9
6,5350572783096059904,160.03892889704,-59.26524858343,-5.449,2.41,0.0979,16.852777,0.7
7,5350584946422744448,159.99678772136,-59.20645778113,-5.448,2.254,0.1883,15.431767,0.9
8,5350575218321000448,160.05638022096,-59.1680059939,-5.619,2.648,0.1889,16.61683,0.5
9,5350573603416926464,160.12466641994,-59.24362006904,-5.111,2.158,0.0029,17.592705,0.5
10,5350585015162625280,159.95487017908,-59.18524915781,-5.349,2.441,0.2061,15.862713,0.8
11,5350584946443145984,159.99320256425,-59.20583716115,-5.347,2.433,0.214,15.82163,1.0
12,5350584804689099008,159.96480905942,-59.22412402229,-4.773,2.256,0.1507,17.561476,0.2
13,5350584946443147008,159.98228016455,-59.19968162699,-5.383,2.434,0.2084,14.004165,1.0
14,5350584946443143168,159.98017841186,-59.20309354978,-5.256,2.499,0.1122,16.399603,1.0
15,5350584946422747648,159.9837511346,-59.20087386481,-6.017,2.121,0.3975,16.969435,0.1
16,5350574707241445248,160.01811458204,-59.18752640989,-5.326,2.412,0.1266,15.718166,1.0
17,5350573195412624384,160.00270521344,-59.2099462884,-5.316,2.449,0.1727,16.085825,1.0
18,5350574672881379072,160.0113751351,-59.20805218796,-5.514,2.494,0.1595,16.420832,0.8
19,5350573195392220160,160.0045095398,-59.21157041595,-5.822,3.077,0.1363,17.174898,0.2
20,5350586557035810432,160.01249238707,-59.16725508864,-5.65,2.276,0.1381,17.616394,0.6
21,5350586492631380224,159.9517949822,-59.18042791084,-5.249,2.378,0.1986,15.133665,1.0
22,5350575149602675840,160.06580885969,-59.16314268671,-5.149,2.557,0.2716,17.739145,0.9
23,5350572916222144640,160.07199908954,-59.24274318289,-5.292,2.318,0.3326,17.941929,0.5
24,5350574329284314240,160.10761224757,-59.24474890765,-5.113,2.287,0.2972,17.661665,0.7
25,5350574672881384704,160.02231765161,-59.2073159589,-5.342,2.459,0.1969,16.97507,0.9
26,5350586423911902976,159.98809915301,-59.19660142274,-5.352,2.821,0.0965,17.264414,0.7
27,5350586458271964416,159.99452309941,-59.18252612509,-5.259,2.351,0.117,15.510509,1.0
28,5350574329284316288,160.09770313783,-59.23560670011,-5.504,3.14,0.169,17.056023,0.2
29,5350584946443150208,159.97693035445,-59.19393735049,-5.32,2.418,0.1509,15.397402,1.0
30,5350585221300635392,159.925782475,-59.18159726713,-5.673,2.178,0.2154,17.870195,0.7
31,5350586660113924096,159.99134684808,-59.14379940222,-5.708,2.865,0.3038,16.98951,0.1
32,5350574672881391616,160.01432438463,-59.19667775743,-5.278,2.322,0.244,14.622001,0.9
33,5350575050838602880,160.14317482746,-59.15466371497,-5.963,2.785,0.0902,16.912485,0.2
34,5350574806004113792,160.03046344047,-59.18162405286,-5.34,2.51,0.2335,17.103796,0.9
35,5350586423911908608,159.99616311776,-59.19324531803,-5.235,2.412,0.095,17.348385,1.0
36,5350574879040162816,160.12342834677,-59.1918224946,-5.161,1.979,0.2327,16.004328,0.8
37,5350574707241132800,160.01679067309,-59.19508317018,-5.349,2.37,0.1151,17.36403,1.0
38,5350586526991133568,159.98257813536,-59.17738713025,-5.264,1.968,0.2259,17.299026,0.9
39,5350585217004833536,159.94403320615,-59.18395007763,-5.432,2.293,0.3298,16.961487,0.7
40,5350584912083398784,159.98167158573,-59.21197139333,-4.827,2.451,0.3011,17.01089,0.1
41,5350586801869037824,159.92123485643,-59.15321070024,-5.416,2.394,0.2503,14.969121,0.2
