,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5862455094343160832,198.16848845841,-62.72637777069,-6.955,0.14,-0.0021,17.77893,0.5
1,5862455059983419392,198.14595306771,-62.73599746008,-7.189,-0.34,0.0832,16.983353,1.0
2,5862455197422378752,198.20832963418,-62.71155175832,-6.574,-0.419,0.1232,16.960281,0.1
3,5862503438498877568,198.07606640197,-62.65551361694,-6.366,-0.484,0.0651,16.666044,0.2
4,5862503060541754368,198.04793480709,-62.65527445497,-6.898,-0.226,0.3033,14.392408,0.5
5,5862502059777393408,198.13915656359,-62.71258829335,-6.392,-0.822,0.4838,16.602282,0.3
6,5862502064109434752,198.13182796986,-62.71557502886,-6.904,-0.177,0.1738,15.878437,0.5
7,5862502132828913152,198.1817393305,-62.71425172821,-6.893,-0.51,-0.0623,17.1019,0.5
8,5862502029749698176,198.16280258266,-62.71325260559,-6.8,-0.293,-0.0003,17.417412,0.5
9,5862501995389953664,198.1328964356,-62.73288660972,-7.117,-0.073,-0.1776,16.585295,0.5
10,5862502064109432320,198.12047694125,-62.7192924184,-6.908,-0.208,0.0681,17.646946,0.7
11,5862502029749692416,198.15727744724,-62.7272286101,-7.024,0.002,0.047,17.015327,0.8
12,5862503434170280832,198.09048088105,-62.6457228816,-7.198,-0.94,0.0281,17.518513,0.5
13,5862503262368529920,198.178925527,-62.65653151116,-6.882,0.086,0.4262,17.606604,0.4
14,5862502270267695104,198.11597659975,-62.7134379254,-7.332,-0.814,0.2829,16.54561,0.3
15,5862502235908141440,198.2055299899,-62.68824481912,-6.748,-1.364,0.1702,14.612245,0.6
16,5862502334663637632,198.10377106934,-62.70381727906,-7.29,-0.094,0.0923,17.933659,0.7
17,5862502338966369536,198.1086710978,-62.70015621532,-6.844,-0.487,0.1764,16.928875,0.6
18,5862501892310569856,198.09390005909,-62.71579386024,-7.256,-0.744,0.2131,16.699888,0.8
19,5862502338966369024,198.10816769446,-62.69924946852,-6.891,-0.235,0.0543,15.980308,0.7
20,5862501991057845888,198.12699779282,-62.7309986627,-6.972,-0.126,0.0609,17.72546,0.7
21,5862502265935866496,198.1208745441,-62.70329372919,-7.204,-0.485,-0.0149,17.403128,0.8
