,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,523960931809137536,10.63416492565,64.06067431319,-2.697,-0.448,0.3919,15.720113,0.9
1,523959591779368704,10.69393302127,63.99732338949,-2.671,-0.474,0.3429,17.932554,0.7
2,523960828729924992,10.63060915209,64.05335283437,-2.639,-0.596,0.3853,13.836751,0.9
3,523961034888355712,10.61948568832,64.05131300526,-2.865,-0.537,0.3873,14.0537,0.8
4,523960931809138688,10.63764887223,64.05716514158,-2.699,-0.27,0.4154,17.010628,0.5
5,523961034888354432,10.61315583182,64.05325070542,-2.741,-0.533,0.2713,16.074583,0.5
6,523961034888354560,10.62463987378,64.05408502512,-2.728,-0.298,0.3814,15.718783,0.4
7,523960828729926656,10.62964174022,64.04962758402,-2.675,-0.7,0.3623,14.125422,0.8
8,523961000528618752,10.61750148672,64.04677027646,-2.981,-0.729,0.3553,17.060404,0.2
9,523961000528617600,10.61028850033,64.05004446083,-2.716,-0.393,0.3506,10.218228,0.6
10,523961000528618112,10.59475629043,64.04706013983,-2.726,-0.352,0.4606,17.576996,0.9
11,523960863089667072,10.67968017303,64.04902488307,-2.698,-0.441,0.3732,16.291716,0.7
12,523960828729929472,10.66073624927,64.04506763361,-2.713,-0.614,0.3296,16.015976,0.7
13,523963508789522304,10.53504094004,64.03400048084,-2.673,-0.578,0.3753,15.661317,1.0
14,523958148670386816,10.63570751133,63.91717954939,-2.783,-0.346,0.2923,15.23477,0.2
15,523960141535162624,10.72369687683,64.04958272162,-2.766,-0.399,0.3897,16.64608,0.5
16,523960828729930112,10.63927451913,64.04220143365,-2.552,-0.544,0.2962,16.7009,0.5
17,523960107175433728,10.7346669976,64.02646890255,-2.573,-0.503,0.4035,17.368458,0.7
18,523960828729931776,10.6596864271,64.04132394654,-2.61,-0.616,0.3365,16.752678,0.5
19,523961000528623872,10.6217284809,64.0375161374,-2.789,-0.514,0.4667,16.209332,0.8
20,523964608301133312,10.3967600109,64.0755264321,-2.615,-0.426,0.3283,17.175636,0.4
21,523960931809141632,10.65283569762,64.05185864143,-2.734,-0.566,0.3459,16.266901,0.7
22,523964058545320448,10.54609509579,64.08222658267,-2.85,-0.423,0.2828,17.049232,0.5
23,523964024185582848,10.51761152717,64.07475469888,-2.802,-0.51,0.3689,14.34901,0.9
24,523961172327300224,10.63529014795,64.07692950749,-2.801,-0.533,0.3265,16.51416,0.7
25,523961137967561600,10.60384135136,64.07454448849,-2.82,-0.409,0.3489,16.353592,0.8
26,523959827996495616,10.80203941966,64.01260665793,-2.679,-0.311,0.3576,17.81454,0.4
27,523964054241667968,10.55303003676,64.07421527767,-2.526,-1.424,0.3549,17.771269,0.1
28,523960377749608320,10.62578929563,64.01804111362,-2.762,-1.003,0.2913,17.267813,0.1
