,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2020854581781193088,296.6811904472,24.7660577688,-0.989,-4.026,0.4408,17.388767,0.1
1,2020851592483947264,296.67818102346,24.74559449491,-1.342,-4.776,0.589,16.900076,0.6
2,2020851077087870464,296.6582940231,24.71200510918,-1.35,-5.163,0.3838,17.811413,0.5
3,2020854478702025088,296.62438183202,24.76886629334,-1.449,-5.123,0.3752,16.424448,0.2
4,2020854925378621952,296.65268249101,24.80882211906,-1.353,-4.933,0.4461,16.580162,0.3
5,2020855612573443840,296.58399679056,24.82334272736,-1.72,-5.355,0.5383,17.134567,0.2
6,2020851004043511424,296.65954457867,24.70650211949,-1.273,-5.026,0.4812,15.464966,0.4
7,2020851867361762176,296.80078062344,24.72702243139,-1.551,-4.983,0.5047,17.514208,0.2
8,2020850115015150336,296.71691474759,24.70330981683,-1.256,-5.106,0.4616,15.996248,0.2
9,2020854096420018432,296.62702736254,24.74374509466,-1.469,-3.859,0.4418,17.460133,0.1
10,2020849943216467328,296.67805513329,24.66697549421,-1.505,-4.74,0.4443,17.987553,0.3
11,2020849874496973696,296.7000811199,24.65467256487,-1.374,-4.901,0.4232,16.988255,0.5
12,2020857360595427584,296.65915308644,24.84889233311,-1.397,-4.328,0.3752,17.828749,0.2
13,2020851210201977600,296.67102993813,24.73381740644,-1.216,-4.243,0.4563,17.20791,0.5
14,2020849908856704768,296.7173815878,24.66532701207,-1.419,-4.902,0.3995,15.728488,0.2
15,2020854822299392512,296.6540281289,24.78337505981,-2.246,-3.922,0.4769,16.236618,0.1
16,2020855372055271040,296.56843094272,24.78123086124,-2.046,-4.499,0.3781,17.24966,0.1
17,2020567437444148992,296.68061674245,24.54917287399,-1.535,-4.16,0.4912,15.85917,0.4
18,2020567437444151680,296.67634660606,24.545064204,-1.826,-5.391,0.437,17.481342,0.1
19,2020566337932442752,296.71877887957,24.50459962756,-1.566,-5.093,0.5029,16.067171,0.3
20,2020565204061229568,296.56727174927,24.46583226992,-1.574,-4.628,0.3769,16.744135,0.4
21,2020567231285948160,296.69006464516,24.54237388807,-1.41,-4.412,0.4075,17.960949,0.4
22,2020566853328526592,296.74367603732,24.55318621617,-1.546,-4.821,0.4071,10.670522,0.3
23,2020565169701502464,296.55163068956,24.45989392539,-1.649,-4.651,0.4512,14.574866,0.5
24,2020567334364956032,296.66142593042,24.54540552242,-1.733,-3.961,0.503,17.990988,0.1
25,2020565955657774464,296.73257646231,24.48508779654,-1.649,-4.785,0.4595,17.43168,0.4
26,2020564757384523264,296.66118850583,24.47360996545,-1.264,-4.777,0.5347,15.660158,0.5
27,2020568021559685376,296.72644212066,24.60517450097,-1.267,-3.83,0.4801,15.332147,0.1
28,2020566200493503488,296.69895880833,24.49052509823,-1.485,-5.001,0.405,16.601688,0.3
29,2020567403084455808,296.65264491943,24.56140621938,-1.807,-4.747,0.4819,16.167545,0.6
30,2020565822536475392,296.64302568189,24.52762920545,-1.397,-4.791,0.3892,15.437711,0.3
31,2020566475362821120,296.75887900065,24.51667481572,-1.633,-4.597,0.3876,16.592321,0.1
32,2020567059477405568,296.69124282342,24.5234578909,-1.623,-5.112,0.6004,17.155216,0.3
33,2020564551226082176,296.65163670369,24.44358342966,-1.255,-4.453,0.3973,17.580944,0.4
34,2020568017239873152,296.73289947575,24.60343153744,-1.326,-4.346,0.4984,13.428051,0.9
35,2020567948520836864,296.69273128538,24.58792162961,-1.118,-4.839,0.3781,17.899246,0.1
36,2020567196925943680,296.71081323719,24.54946948763,-1.722,-4.729,0.4614,14.427285,0.8
37,2020568021559683328,296.72834819026,24.60525596781,-1.367,-3.875,0.5576,16.420172,0.1
38,2020566028694784896,296.71695661563,24.48468688684,-1.387,-4.735,0.4559,15.428276,0.6
39,2020565616378009984,296.65662001568,24.50519764763,-1.794,-5.381,0.4464,17.417702,0.1
40,2020751399496665728,296.42160741852,24.54818070517,-1.634,-4.738,0.4516,15.342053,0.5
41,2020748066601945600,296.48933100775,24.49942588751,-1.243,-5.113,0.3939,17.074049,0.3
42,2020747035809759488,296.52115287943,24.47274659411,-1.326,-4.824,0.5218,15.792958,0.5
43,2020747241968200832,296.51023666108,24.49029687062,-1.21,-3.908,0.4602,16.168734,0.1
44,2020748272760442624,296.43037223005,24.51343498309,-1.333,-3.991,0.5518,16.528015,0.1
45,2020757000134496768,296.62399643945,24.66745475426,-1.335,-4.555,0.5361,15.139748,0.8
46,2020756141141037696,296.57939804017,24.59665792255,-1.574,-4.498,0.494,17.712965,0.5
47,2020757000134499712,296.62116395731,24.67112456565,-1.449,-4.642,0.4931,15.792046,1.0
48,2020756244220254336,296.58677323459,24.61276040087,-1.484,-4.59,0.4814,12.596332,0.9
49,2020756278579988224,296.59983024463,24.61466581814,-1.308,-4.636,0.3909,17.08121,0.7
50,2020756278579986944,296.60465537898,24.6171424677,-1.242,-4.487,0.5475,17.086147,0.4
51,2020756244220251648,296.58906072904,24.60874489678,-1.248,-4.606,0.4718,14.061264,0.8
