,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5311142921744740352,137.74081670987,-53.89810190822,-5.914,5.697,0.8084,16.182795,0.9
1,5311137114948821504,137.60213793403,-53.98625294168,-5.971,5.711,0.8554,13.992658,1.0
2,5311140546602246912,137.56730356577,-53.90173203293,-5.954,5.501,0.9404,17.236366,0.9
3,5311140924563251200,137.61760071506,-53.87923476193,-5.857,5.771,0.994,17.68748,0.5
4,5311142165830067712,137.59546842913,-53.81236239476,-5.402,5.744,0.8796,12.484172,0.2
5,5311140997598944512,137.60745593709,-53.86532366729,-6.036,5.71,0.8698,12.863206,1.0
6,5311141031958683648,137.63874255491,-53.87997296436,-6.028,5.518,0.7683,11.703026,0.8
7,5311141066318427904,137.64837542393,-53.86837227598,-6.015,5.549,0.8696,14.442961,1.0
8,5311137973942142208,137.63264503015,-53.89300786296,-5.943,5.582,0.8939,12.684045,1.0
9,5311141409915816832,137.59224519027,-53.82590066984,-5.953,5.683,0.8655,15.124813,1.0
10,5311144467932700928,137.7410437896,-53.82531950862,-5.939,5.88,0.8724,14.519457,0.7
11,5311142028391093504,137.55865400755,-53.84393315017,-5.622,5.117,0.9542,17.94013,0.1
12,5311140276044607872,137.42770942994,-53.88274421244,-5.909,5.681,0.8382,14.778369,1.0
13,5311140928879462784,137.62127108048,-53.88290953784,-6.005,5.592,0.9788,15.090119,0.8
14,5311147044912926976,137.65894830486,-53.8250852338,-5.703,5.625,0.9041,15.379207,0.6
15,5311136698315135360,137.74480319274,-53.95441459417,-5.991,5.789,0.8132,15.878691,1.0
16,5311147251071359744,137.64735370407,-53.81494742654,-6.067,5.72,0.9431,16.414175,0.8
17,5311136530833777536,137.7424939696,-53.98959379193,-5.276,5.303,0.7313,17.115274,0.1
18,5311141577394439680,137.51166647059,-53.87129431253,-6.274,5.131,1.0105,16.99811,0.3
19,5311140928879461888,137.62258847153,-53.88447973445,-6.035,5.727,0.8257,8.214473,1.0
20,5311143712018720128,137.70139668786,-53.88084508722,-5.834,5.924,0.8679,17.018583,0.5
21,5311140997598936576,137.60086390455,-53.87756518352,-6.044,5.698,0.9062,13.353107,1.0
22,5311143776422456448,137.74526598386,-53.87568207233,-5.929,5.601,0.8225,16.126415,0.9
23,5311137900906113152,137.64654447441,-53.91432842268,-5.978,5.775,0.859,14.331516,1.0
24,5311141684793698816,137.51789616233,-53.8483547412,-5.71,5.602,0.9291,16.235762,0.6
25,5311136633912569600,137.75851373548,-53.96101302601,-5.599,5.534,0.9102,16.191229,0.5
26,5311140654001529984,137.53044234282,-53.90202181701,-6.074,5.751,0.8504,14.076385,1.0
27,5311137011869705728,137.72550079251,-53.9257689095,-5.621,5.683,0.8032,10.57272,0.5
28,5311137419860845824,137.58387925773,-53.93718835562,-5.977,5.597,0.8271,12.599367,1.0
29,5311136943150223744,137.7254195195,-53.93148140387,-5.938,5.739,0.8781,14.049335,1.0
30,5311139966806750720,137.48344767416,-53.90431428735,-5.973,5.614,0.8886,13.562856,1.0
31,5311138042661862656,137.67518896121,-53.89072369216,-5.759,5.895,0.7502,17.860716,0.1
32,5311136943150233984,137.74192726523,-53.92749042237,-5.907,5.661,0.9011,15.401153,0.9
33,5311141512994986752,137.48322120998,-53.88386504891,-6.332,5.309,0.9251,16.962029,0.6
34,5311140447843097984,137.55241687157,-53.91909091603,-6.537,5.305,0.8659,15.606085,0.7
35,5311140722721005312,137.51523747908,-53.89828993154,-5.967,5.708,0.8575,14.287985,1.0
36,5311141199437821952,137.58639908145,-53.86319631928,-5.787,5.443,0.8754,16.921133,0.7
37,5311140722721006208,137.52108413467,-53.8980608878,-5.929,5.76,0.859,12.808013,1.0
38,5311141581714472192,137.51581041453,-53.87752439838,-5.959,5.671,0.8405,15.301644,1.0
39,5311142887384980096,137.73648319312,-53.91585078416,-5.867,5.78,0.9047,16.483442,1.0
40,5311141581714475136,137.51280512447,-53.86799650802,-5.732,5.733,0.822,10.364748,0.9
41,5311140104245684608,137.41247696234,-53.91508346325,-5.979,6.047,0.8576,17.15952,0.3
42,5311140791440495360,137.5662489303,-53.88791081997,-5.966,5.621,0.8574,11.563426,1.0
43,5311143712018716288,137.70443257757,-53.88793709387,-5.986,5.714,0.8733,13.648704,1.0
44,5311141684793696512,137.52168920649,-53.85407726197,-6.356,5.642,0.8279,16.189074,0.8
45,5311329460759202560,137.42196604325,-53.85389056476,-5.796,5.578,0.9278,16.796244,0.6
46,5311329632557926144,137.4717440547,-53.82216762209,-5.391,5.855,0.9048,16.725977,0.1
