,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3442648666951713920,85.49714528051,28.89693755078,0.68,-1.61,0.4228,16.528143,0.3
1,3442631246564366208,85.65371784806,28.72329864647,0.639,-1.361,0.0277,17.605976,0.1
2,3442643749212132608,85.49393563474,28.75273629855,0.729,-1.891,0.3607,16.736088,0.3
3,3442632071198088192,85.62330329742,28.74248630603,-0.155,-1.739,0.2643,16.66302,0.1
4,3442644161529056512,85.58371101608,28.78863642087,0.757,-1.825,0.3818,17.55425,0.1
5,3442630864312399360,85.65693149589,28.69116586393,-0.639,-1.984,0.1372,16.372776,0.1
6,3442649865245875712,85.39929800624,28.92093561679,0.918,-1.373,0.1445,17.907375,0.1
7,3442648697014698624,85.45757143732,28.87483508636,0.78,-1.771,0.0674,14.279717,0.2
8,3442630731168298112,85.62167480562,28.6987589478,0.988,-1.571,0.2849,17.247345,0.2
9,3442631796320189696,85.56804943789,28.7238982721,0.444,-2.5,0.2619,14.18322,0.1
10,3442632101260832000,85.63206853438,28.75879624308,0.071,-1.682,0.5426,17.906996,0.1
11,3442644818661028608,85.49211551869,28.80870615889,0.86,-1.766,0.1893,13.58326,0.1
12,3442649354146255232,85.36015135455,28.90110831607,0.553,-2.123,0.141,17.777756,0.2
13,3442646364849265536,85.41032728738,28.79770685641,0.5,-2.404,0.1416,15.359912,0.2
14,3442645123601778944,85.52013610841,28.8121137326,1.065,-1.786,0.198,17.657122,0.2
15,3442644264608323456,85.59063497188,28.81439057817,-0.708,-1.355,0.0048,17.35907,0.3
16,3442645123601782272,85.52276360607,28.81317086093,0.214,-1.14,0.5136,17.82659,0.1
17,3442627909374884096,85.6705804962,28.68455476241,-0.359,-1.717,0.3425,16.319513,0.4
18,3442631521442284288,85.57555176955,28.70786477805,-0.372,-1.303,0.4673,16.67091,0.3
19,3442644333327794688,85.55261853312,28.80500422852,0.699,-1.583,0.2545,17.078537,0.1
20,3442644333327794816,85.55259896887,28.80816791531,0.732,-1.861,0.0463,17.961855,0.2
21,3442642065584932096,85.49519945061,28.73307698725,-0.312,-1.544,0.4508,16.036453,0.4
22,3442627462698207104,85.64057004993,28.64996925605,0.322,-2.601,0.3066,17.80766,0.2
23,3442648593938444544,85.51036430681,28.88509664135,-0.67,-1.391,0.263,17.668932,0.3
24,3442649010548875008,85.39351706521,28.86166246305,-0.559,-1.847,0.1935,17.152803,0.4
25,3442627737576168704,85.70348359221,28.67419834333,0.859,-1.436,0.3279,17.942047,0.1
26,3442648525216005120,85.47965577715,28.87466813486,0.781,-1.813,0.0289,17.9561,0.2
27,3442642958938137600,85.44132928668,28.74001813452,0.488,-1.41,0.1684,17.286709,0.2
28,3442629077605923584,85.5750787139,28.65516549256,0.078,-1.803,0.4334,16.71147,0.1
29,3442648460793288064,85.48953158217,28.86217535707,0.777,-1.812,0.2333,13.477731,0.1
30,3442647941100360064,85.41480101323,28.82573523238,0.223,-2.385,0.1638,16.823841,0.2
31,3442627741871053568,85.71014530734,28.67245198491,-0.011,-1.141,0.3596,15.856458,0.1
32,3442630623794193024,85.58009304352,28.67327121955,-0.347,-1.67,0.528,17.783646,0.3
33,3442647906740611200,85.44859170356,28.82221238904,-0.58,-2.295,0.3392,17.73614,0.4
34,3442644024090051072,85.56260462587,28.76181789398,0.187,-2.271,0.4589,16.52402,0.1
35,3442643199456322944,85.40814486311,28.75303122672,-0.469,-2.053,0.2921,17.833815,0.1
36,3442643409911766912,85.41424102524,28.78181770893,0.246,-2.65,0.1278,16.038406,0.1
37,3442649865245895936,85.39966688622,28.93544560188,-0.628,-1.659,0.4627,17.750675,0.2
38,3442643646132936960,85.54798733218,28.76532993964,-0.143,-1.412,0.3195,17.78152,0.1
39,3442643444271503104,85.42438763433,28.79428423173,-0.433,-0.839,0.5026,17.23067,0.1
40,3442627948029482752,85.69685108243,28.68782852023,0.649,-2.039,0.2706,15.6712,0.1
41,3442626951597068672,85.73431338763,28.66712716996,-0.175,-1.888,0.5228,14.861639,0.2
42,3442698037599163264,85.36070337233,28.99851023065,-0.678,-1.271,0.1062,17.999048,0.2
43,3442697217261777664,85.39047587723,28.98385251318,0.089,-1.738,-0.0427,16.493618,0.1
44,3442696869368003456,85.38416676269,28.95117735317,0.388,-1.58,0.3442,17.952461,0.1
45,3442696461347554048,85.34987218226,28.9226130359,0.747,-1.734,0.3219,14.731987,0.1
46,3443388359102735616,86.08172175894,28.92024937739,-0.384,-1.189,0.3552,16.041624,0.2
47,3443385575963769472,86.06973034219,28.82160683391,0.78,-1.882,0.3466,16.684595,0.2
48,3443386434957286400,86.06294227474,28.85181824195,0.578,-1.896,0.2955,16.338556,0.2
49,3443388256023501824,86.09068446038,28.90487580548,0.738,-2.198,0.2937,17.491468,0.1
50,3443386439254388096,86.0747252625,28.85727256329,0.929,-2.027,0.2793,15.769602,0.1
51,3443385850841637120,86.01755610535,28.80148373453,0.598,-2.033,0.3424,17.313257,0.1
52,3443386301815437056,86.04817939273,28.83144376888,0.921,-1.852,0.3195,14.70822,0.3
53,3443386336175174784,86.07165457432,28.83120878356,0.815,-1.792,0.4251,17.231092,0.1
54,3443386507973866880,86.0433947331,28.84325474392,0.871,-2.197,0.4721,16.800945,0.3
