,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2061243389073373056,304.43376734399,38.08696049662,-2.479,-3.829,0.1976,15.758702,0.1
1,2061243492152480896,304.54251774759,38.04150129544,-3.239,-4.862,0.2092,16.622545,0.6
2,2061245897334295552,304.39290129617,38.07443545501,-3.201,-4.994,0.3126,14.880398,1.0
3,2061241945942072704,304.51664101224,38.00850409472,-3.02,-5.393,0.3022,16.189402,0.1
4,2061242835004121728,304.39578868692,38.0323089521,-3.134,-4.904,0.271,15.155744,1.0
5,2061242461360286464,304.40941850676,37.99875975849,-3.287,-5.006,0.1797,16.139357,0.7
6,2061242564439501184,304.42053241526,38.01137906146,-2.996,-4.626,0.2212,16.270283,0.2
7,2061243182914919552,304.43553071638,38.04689589509,-3.189,-4.97,0.2912,13.758724,1.0
8,2061243148555169280,304.47882174923,38.08295008258,-2.756,-4.287,0.2512,17.621191,0.1
9,2061242358281069184,304.4012092204,37.97770847674,-3.298,-5.221,0.2263,16.78918,0.1
10,2061242598799237888,304.43910748457,38.02655475758,-3.264,-4.948,0.2416,16.351767,0.8
11,2061241877244712704,304.48780231528,37.99923821497,-3.096,-4.86,0.1966,16.675642,0.5
12,2061242495720021760,304.42459859155,38.00237377824,-3.471,-5.026,0.3251,15.27042,0.3
13,2061242358281066368,304.41244926574,37.97989738161,-3.178,-4.855,0.2641,16.74193,0.8
14,2061242736215960448,304.3919450705,38.02800596789,-2.256,-4.495,0.1998,17.375141,0.3
15,2061242530079756544,304.44049320306,38.00979429524,-3.042,-4.942,0.1634,17.478579,0.5
16,2061242908036878080,304.45202522321,38.02147695036,-3.097,-3.849,0.141,17.117937,0.3
17,2061241774165510656,304.44571321645,38.0032858587,-3.273,-4.824,0.3505,16.087744,0.5
18,2061241774165508480,304.45753171478,38.00852130236,-3.096,-4.833,0.2191,17.189575,0.5
19,2061242835003646592,304.39781653626,38.04120897038,-2.556,-4.376,0.2738,17.48803,0.1
20,2061243114195429760,304.46277668674,38.05968586927,-2.006,-4.485,0.336,14.35207,0.2
21,2061242083403149312,304.47378038414,38.0088862003,-1.933,-4.348,0.3343,16.72993,0.1
22,2061241705446025216,304.46991662498,37.99630067725,-3.028,-4.939,0.2577,17.501333,0.2
23,2061241842862668544,304.50039187278,37.98974960695,-2.876,-4.13,0.1641,16.124031,0.5
24,2061243148555164032,304.48283395835,38.07821033789,-2.289,-4.176,0.2941,16.69008,0.3
25,2061243114195424256,304.46942058587,38.05959790168,-2.228,-4.38,0.221,17.455736,0.1
26,2061246064819593600,304.36490840824,38.07455213208,-2.608,-4.606,0.2128,17.58149,0.1
27,2061243075521824384,304.48399320607,38.05924685629,-2.701,-4.273,0.1848,17.52127,0.1
28,2061242903728440832,304.45906121361,38.03151349346,-3.257,-4.66,0.2026,17.27408,0.3
29,2061241911582392960,304.4943249141,38.0112982121,-3.055,-4.797,0.2443,17.218868,0.4
30,2061241877244710656,304.48920393967,37.99387270579,-2.753,-4.526,0.2672,17.112288,0.1
31,2061241499287587712,304.47487967668,37.97205843575,-2.92,-4.864,0.2621,15.901048,0.1
32,2061244557304418944,304.49642109922,38.0727619833,-2.498,-3.849,0.2213,17.001513,0.3
33,2061241808525230976,304.48783756664,37.98044910415,-2.25,-4.417,0.2031,16.897377,0.2
34,2061242942396723840,304.46085935611,38.04050249517,-2.203,-3.891,0.3183,15.811514,0.2
35,2061241842884967680,304.49993890099,37.98967624734,-3.033,-3.595,0.1771,17.65702,0.4
36,2061245824300775680,304.3943865875,38.05646339068,-3.463,-4.061,0.3482,17.722317,0.2
37,2061243831436591744,304.51834284288,38.07082988247,-3.58,-4.857,0.1442,17.098598,0.6
38,2061242736238203904,304.38590770737,38.0264868352,-3.293,-4.892,0.193,15.9627,0.5
39,2061244557304423296,304.49192835444,38.07491257736,-3.49,-4.891,0.2585,15.803622,0.4
40,2061241430568106752,304.48535208393,37.96926212958,-2.739,-4.651,0.1507,17.963053,0.3
41,2061242942396717312,304.46614292599,38.03807800462,-3.4,-4.917,0.2922,16.6932,0.3
42,2061243423433100800,304.45932178521,38.09934034715,-3.355,-4.887,0.1587,16.293377,0.3
43,2061243767008257024,304.53856053393,38.0617553381,-3.243,-4.203,0.325,17.977531,0.1
44,2061241907290594688,304.50268535927,38.0084071688,-2.886,-3.654,0.1579,17.881058,0.3
45,2061242942396713088,304.4672051836,38.03163874753,-3.266,-4.971,0.2159,15.259802,1.0
46,2061241769857074304,304.45773396825,38.00725287246,-2.821,-5.071,0.3392,17.97411,0.1
47,2061241877244712192,304.48724846885,37.99700899542,-1.967,-4.972,0.3049,16.250153,0.3
48,2061243178601038464,304.42738463598,38.05477408438,-3.59,-4.888,0.2708,15.210158,0.3
49,2061242186482461184,304.47230311468,38.02317417059,-2.637,-4.508,0.2081,17.180412,0.1
50,2061242800649217152,304.42741797804,38.03990018653,-2.961,-4.96,0.2692,15.986765,0.4
