,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4046237940229653120,274.92622312726,-31.39762573838,-0.552,-5.026,1.1153,15.10121,0.1
1,4046240895173622528,275.44570509726,-31.56112131463,-0.715,-5.349,1.0864,17.732542,0.1
2,4046243162916315136,275.24854122592,-31.55163332138,-0.732,-5.366,1.2056,17.729408,0.1
3,4046236123570756864,274.88000324884,-31.51862391658,-0.398,-5.273,0.9842,16.56511,0.1
4,4046256082171231360,275.09687168451,-31.4889652491,0.969,-4.808,1.1171,17.37872,0.1
5,4046242922398142976,275.23267561938,-31.59103444284,0.409,-4.645,1.1835,13.916697,0.8
6,4046260102260736640,275.02965181509,-31.45104725111,0.13,-4.688,1.1086,16.01755,0.5
7,4046262236898315776,275.09560591087,-31.36436529928,-0.334,-5.469,1.1546,16.80791,0.1
8,4045783743249860864,274.3496815841,-32.61175138559,-0.298,-4.433,1.0909,14.177059,0.2
9,4045481411888306944,274.40920715748,-32.9969918787,0.607,-4.558,1.1903,16.743156,0.4
10,4045784700925798528,274.28557130976,-32.5883113487,-0.847,-4.805,1.2967,16.956863,0.1
11,4045795489883899136,274.29665370115,-32.42060472862,0.804,-5.207,1.3047,16.15494,0.1
12,4045792294427606784,274.55908909568,-32.44929031596,0.324,-4.358,1.1803,13.303679,0.5
13,4045795696043549952,274.28816452067,-32.40809300234,-0.097,-5.243,1.164,17.640276,0.2
14,4045494193743629952,274.3180925681,-32.94801103549,0.152,-4.765,1.1405,13.906354,1.0
15,4045509960452035328,275.10699839725,-33.18698533778,0.738,-5.106,1.0818,15.353601,0.1
16,4045505356246857856,274.84567520295,-33.29503293142,-0.391,-5.11,1.0098,14.072429,0.2
17,4045509792953723776,275.1205708703,-33.19054598225,0.424,-4.944,0.9765,15.728645,0.4
18,4045806454947283840,274.04960268341,-32.32719501899,0.243,-4.615,1.0248,17.65312,0.3
19,4045801713395694720,274.11114469226,-32.43228711492,0.008,-5.432,1.2905,17.770472,0.1
20,4045803908017413760,273.93575442682,-32.43375605024,0.791,-5.01,1.2423,17.695555,0.1
21,4045804599521550848,273.9327796134,-32.38535300515,0.159,-5.415,1.2733,17.851763,0.2
22,4045805900881165312,274.01010670521,-32.36613392256,0.889,-4.815,1.1543,16.95958,0.2
23,4045523571300690688,274.72956164183,-33.11931141253,0.232,-4.835,1.1709,14.937308,1.0
24,4045521990667663744,274.67247031766,-33.15144713504,0.212,-5.349,1.1727,17.690752,0.2
25,4045522574783856512,274.58751753154,-33.14176253391,-0.012,-3.907,1.1916,17.668137,0.1
26,4045515526731383424,275.12938928455,-33.04042496559,0.648,-5.036,1.0335,16.264015,0.4
27,4045527449560622720,274.91492689446,-33.02214747818,-0.868,-4.555,1.2027,17.394804,0.2
28,4045520238322142848,274.82051220084,-33.13939517504,0.492,-4.936,1.2237,15.884746,0.3
29,4045520685082867584,274.85494429718,-33.12395981396,0.626,-4.483,1.0057,17.742636,0.1
30,4045510750726957568,275.23068281039,-33.16691609535,0.59,-4.86,0.9657,17.972784,0.2
31,4045511167345198592,275.22272005387,-33.11562692656,0.196,-3.859,1.1705,17.126417,0.2
32,4045512507373465216,275.02158584449,-33.19768737394,0.337,-3.833,1.1174,16.072842,0.2
33,4045525323564411776,274.72648183797,-33.01027539693,-0.394,-4.643,1.288,17.018871,0.4
34,4045519890415936640,274.88737209126,-33.12643363309,-0.226,-4.74,1.1665,11.84304,0.7
35,4045818549670086784,274.71518035823,-32.28317957261,0.145,-4.98,1.2681,14.938558,0.9
36,4045817239597660672,274.50572473616,-32.33531337643,0.015,-4.893,1.0876,13.093263,1.0
37,4045817072116627328,274.54606934638,-32.35486164754,0.402,-4.062,1.0529,17.990368,0.3
38,4045822977674890752,274.60505879237,-32.20912178215,0.019,-4.638,1.0461,15.840322,0.5
39,4045820435053443072,274.45970832005,-32.32321740083,-0.611,-4.565,1.3106,14.187019,0.2
40,4045822569759844224,274.58187946084,-32.22146827665,-0.201,-4.145,1.1623,17.111803,0.2
41,4045825455978853504,274.75490252815,-32.1841239773,0.614,-4.873,1.178,12.836936,0.1
42,4045824420779558272,274.57325979325,-32.12416337457,-0.306,-4.614,1.1566,13.14668,0.3
43,4045529034500260224,274.98692636016,-32.96334740029,-0.793,-4.956,1.1199,17.144083,0.1
44,4045531950686736640,274.83525548704,-32.92038924662,0.132,-5.384,1.0472,14.228559,0.5
45,4045530030932326272,274.86244667083,-33.02994023858,0.073,-4.525,1.211,14.94911,0.8
46,4045544251475914368,275.39937318246,-32.90939080872,-0.686,-4.66,0.9816,17.362234,0.1
47,4045548477719945216,275.41372059971,-32.77639351638,0.233,-3.901,1.0775,11.949822,0.2
48,4045550779822410240,275.40802998085,-32.73884605467,0.082,-5.558,1.2878,13.437814,0.1
49,4045558137193867776,275.01938643683,-32.74414990785,0.668,-5.092,1.0894,17.279985,0.3
50,4045552399117093632,275.10605958646,-32.89670587831,0.314,-4.876,1.1822,15.547093,0.9
51,4045558549510529024,275.09437091556,-32.77620193845,0.279,-5.417,1.0966,14.811158,0.4
52,4045552944487178368,275.13859937798,-32.85311166201,0.079,-4.87,1.2376,14.34301,1.0
53,4045569127925462784,275.28153653145,-32.49441912352,-0.205,-4.61,1.102,13.22385,0.5
54,4045565146581492736,275.17350017317,-32.69286320066,0.508,-5.181,1.0645,16.177195,0.3
55,4045570124354246784,274.60679925986,-33.07159651294,0.675,-4.792,0.9981,15.093547,0.2
56,4045570845907962624,274.50615893587,-33.08288649645,-0.045,-3.891,1.2809,17.410109,0.1
57,4045565417076190592,275.14705844763,-32.66054016083,0.141,-4.914,1.0393,17.942642,0.4
58,4045562427775755392,275.26575093558,-32.67285745023,0.192,-4.796,1.0655,15.289933,0.9
59,4045566963261662080,275.21821295337,-32.56476763718,0.109,-4.56,1.1026,14.340405,0.8
