,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5241651171207578112,164.0494363206,-62.99948425922,-6.078,2.296,0.1578,17.891691,0.4
1,5241651686601709312,164.17586504791,-62.99309466386,-6.333,1.255,0.3352,17.532206,0.1
2,5241652756090598400,164.09831688059,-62.95914351925,-5.982,1.856,0.2624,16.234777,0.1
3,5241652476875217664,164.16723548565,-62.97952766669,-6.337,2.21,0.2569,12.283892,0.9
4,5241652305078502272,164.15083041809,-63.01744883054,-6.19,2.211,0.3557,17.96075,0.2
5,5241652893529400448,164.18076913078,-62.95643874773,-6.211,1.223,0.243,15.569594,0.1
6,5241652515572417664,164.13614151123,-62.98852852243,-6.675,1.355,0.2954,16.042177,0.2
7,5241651828377502464,164.25171733571,-62.99571167129,-5.939,2.189,0.2546,16.87669,0.1
8,5241651828377503616,164.24970324308,-62.99283081196,-6.585,1.981,0.1636,17.808374,0.3
9,5241652515572417536,164.13580273962,-62.98903802642,-6.859,1.478,0.3411,15.634965,0.2
10,5241651068127904256,164.06670572156,-63.02081002545,-6.781,1.292,0.3586,17.724287,0.2
11,5241651656578802176,164.24082635828,-63.00442021962,-6.254,2.316,0.1951,13.467668,0.9
12,5241652579954901888,164.08866820929,-62.99685112298,-6.062,2.183,0.3192,17.235317,0.4
13,5241651690938534400,164.19937329959,-63.0022812231,-5.947,2.24,0.2973,13.879245,0.3
14,5241652721730685696,164.08282317108,-62.96286970016,-6.441,2.443,0.237,16.326351,0.4
15,5241650827612242816,164.1259627926,-63.01951281053,-6.091,2.324,0.2226,17.831745,0.6
16,5241652717395381632,164.09346441882,-62.96625434621,-5.813,1.878,0.2227,17.756641,0.1
17,5241649801152899456,164.23696978551,-63.06375103292,-6.413,2.146,0.3039,16.17293,0.6
18,5241650346575899904,164.06338241533,-63.05890925977,-6.455,2.262,0.2617,13.38224,0.7
19,5241651587813924352,164.19298473743,-63.01606477579,-6.199,1.742,0.1657,17.201185,0.3
20,5241652309368414464,164.14257030316,-63.00920030104,-6.226,2.203,0.2329,14.808451,0.9
21,5241651656578801280,164.23350268775,-63.00360413032,-6.183,1.6,0.3482,14.362525,0.1
22,5241651553454167552,164.17576559185,-63.02131877296,-6.428,2.095,0.1865,10.542842,0.7
23,5241652408156212480,164.12266808529,-62.99509645694,-6.233,2.059,0.261,16.226467,0.8
24,5241651656533447424,164.23230300114,-62.99970285119,-6.692,1.72,0.3342,17.515928,0.2
25,5241652481212519424,164.16914747423,-62.98751309015,-6.206,2.17,0.2819,16.370558,0.5
26,5241651416015258112,164.23846107587,-63.01429377439,-6.62,2.325,0.2999,15.677814,0.4
