,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5410322031643796096,141.70595057991,-48.1359041219,-6.587,4.061,0.6738,17.011547,0.7
1,5410359930435654528,141.87035929197,-47.7016400506,-6.327,3.97,0.6946,14.777132,0.2
2,5410319798260786688,141.59986341709,-48.23371611203,-6.72,4.258,0.6485,14.444135,0.9
3,5410307325675880960,141.72223019996,-48.2762756518,-6.815,4.156,0.5665,17.281498,0.5
4,5410324402465671040,141.48376934545,-48.12413543873,-6.826,4.073,0.7468,13.924282,1.0
5,5410324608624103552,141.51310204191,-48.11236373805,-6.66,4.094,0.714,13.322808,1.0
6,5422344023059741952,141.56408953599,-47.85002572552,-6.94,4.235,0.6655,16.790836,0.7
7,5422336944953628416,141.57352554603,-47.93052830287,-6.483,4.411,0.6815,16.340137,0.5
8,5422334952088782464,141.47400631335,-48.02712692478,-7.042,4.152,0.6194,16.676468,0.6
9,5422335123887461632,141.35438846471,-48.06092104735,-6.751,4.212,0.7547,15.023461,1.0
10,5422335123887460096,141.35108552704,-48.07480088443,-6.826,4.138,0.7192,16.152895,1.0
11,5422338697300156928,141.27080931431,-47.99882235897,-6.58,4.237,0.7792,16.496162,0.7
12,5422341411719516672,141.42003918581,-47.84834159429,-6.841,4.085,0.7489,14.537825,1.0
13,5422338662940420992,141.30152588834,-47.99061603685,-6.72,4.07,0.6973,14.926286,1.0
14,5326272442235353728,141.0487582117,-48.06763779178,-6.72,4.076,0.7063,12.660773,1.0
15,5326260618188521600,141.08368946355,-48.09194249625,-6.391,3.948,0.7295,16.993353,0.6
16,5326262099954129152,141.20692613252,-48.03854788378,-6.83,3.94,0.7512,16.414703,1.0
17,5326258457822073088,141.30029578035,-48.08250170017,-6.78,3.983,0.7167,13.983215,1.0
18,5326274125862553984,141.11041051837,-48.00987103807,-6.777,4.232,0.6756,16.461384,0.9
19,5326258251663646208,141.36009282418,-48.08419103902,-6.686,4.103,0.7202,13.393841,1.0
20,5326261309680140416,141.21419574219,-48.06645882518,-6.942,3.978,0.7876,16.025133,1.0
21,5326261309680140288,141.20411870336,-48.06182241959,-6.525,4.139,0.6758,13.676998,0.9
22,5326261275320403456,141.22269264531,-48.06763297518,-6.948,3.917,0.6954,14.847827,0.9
23,5326258389102593664,141.31172860714,-48.10075141846,-6.537,4.052,0.7826,16.279694,0.9
24,5326262134313863808,141.17797930769,-48.04182143764,-6.889,4.097,0.7013,14.292594,1.0
25,5326261447119308544,141.25967403582,-48.0754183978,-6.831,4.048,0.6449,15.105845,1.0
26,5326261447119309312,141.2549954165,-48.07053153821,-6.679,3.782,0.7398,11.912341,1.0
27,5326262821508641152,141.17168079203,-47.99061223855,-6.71,4.023,0.7157,15.038602,1.0
28,5326262409191772544,141.14474611299,-48.0167088805,-6.609,4.076,0.7608,15.124599,1.0
29,5326260897363478144,141.20788911526,-48.1161934609,-6.796,4.041,0.6872,14.786282,1.0
30,5326255537244267264,141.20336331851,-48.23245123885,-6.692,3.92,0.7,13.515849,1.0
31,5326257701907814528,141.31688312231,-48.14626931831,-6.546,4.151,0.7573,15.08418,1.0
32,5326260828644000640,141.22727947694,-48.12879358274,-6.873,4.003,0.7425,12.223059,1.0
33,5326260897363478400,141.20617067621,-48.11343924791,-6.709,4.263,0.7699,16.448492,1.0
34,5326258354742853376,141.29439242246,-48.09913041852,-6.288,3.963,0.6854,13.677223,0.2
35,5326254231574196224,141.25568884834,-48.32983963148,-6.886,4.161,0.6207,17.898449,0.6
36,5326257976785724288,141.2847578401,-48.1247345713,-6.767,4.146,0.7455,15.120245,1.0
37,5326272751472877568,141.02633880018,-48.03231582953,-6.709,4.152,0.6916,16.48851,0.9
38,5326262065594384896,141.19606088979,-48.05689298418,-6.749,4.217,0.6536,16.771402,0.9
39,5326252994623619456,141.08627616549,-48.22568251822,-6.349,3.919,0.7489,16.745943,0.5
40,5326257873706499968,141.24786910691,-48.14260711372,-6.714,4.205,0.75,15.253673,1.0
41,5326259626053156608,141.18076900389,-48.11069525927,-6.498,4.361,0.679,16.824867,0.7
42,5326259419894725760,141.20207886258,-48.1222871866,-6.737,4.139,0.7405,12.902897,1.0
43,5326262924587862016,141.21764155362,-47.97900008194,-6.509,3.791,0.8031,17.067701,0.6
44,5326273163789647232,140.98337901531,-48.02838298591,-7.096,4.37,0.5728,17.696133,0.5
45,5326258354742850688,141.29918067322,-48.11313615721,-6.604,4.062,0.8732,16.112326,1.0
46,5326256671115660160,141.35397529609,-48.17704235102,-6.591,4.165,0.7417,15.670694,0.9
47,5326259793550833152,141.06767603771,-48.17471952216,-6.639,4.148,0.5532,17.733397,0.6
48,5326252582306749312,141.09804116183,-48.28179564483,-6.572,4.367,0.6611,16.166626,0.7
49,5326251929471501056,140.95344068581,-48.26576259496,-6.36,3.849,0.8198,16.36386,0.6
50,5326261447119310080,141.25444253521,-48.06674110262,-6.613,3.938,0.6842,12.9347,1.0
51,5326262134313864448,141.17799326505,-48.03853053439,-6.904,4.034,0.7153,13.295861,1.0
52,5326261790716491648,141.27041201261,-48.02946163533,-6.685,4.027,0.6591,15.760765,1.0
53,5326266841597770496,140.88008756733,-48.10558621329,-6.679,4.136,0.7125,15.041528,1.0
54,5326259832211357312,141.0734564883,-48.14702644318,-6.7,3.991,0.6603,15.397132,1.0
55,5326262443551515776,141.16310171827,-48.00386307699,-6.565,4.308,0.6286,16.950413,0.4
56,5326261618918007040,141.28402929673,-48.03296889985,-6.764,3.906,0.7514,16.19262,1.0
57,5326261756356748928,141.23688936192,-48.03639410383,-6.844,4.226,0.6982,14.485804,1.0
58,5326251860752022656,140.9170248495,-48.26461428264,-6.727,4.184,0.7111,13.597327,1.0
59,5326261756356749312,141.23171123742,-48.03289918547,-6.666,4.029,0.7398,15.689289,1.0
60,5326262752789163008,141.19268186095,-48.01004193239,-6.87,4.022,0.7521,16.120857,1.0
61,5326260244528227968,141.07263841638,-48.09685110388,-6.71,4.504,0.5577,17.847973,0.5
62,5326260343306720896,141.12170179846,-48.11880499174,-6.385,3.836,0.6254,17.940458,0.6
63,5326260244528225152,141.07413416103,-48.10884561239,-6.935,4.184,0.6466,16.608913,0.8
64,5326259969650318592,141.09968453026,-48.12022539843,-6.575,4.099,0.669,16.387373,0.8
65,5326257594527591168,141.2602767222,-48.16305564698,-6.979,4.302,0.6932,17.338898,0.8
66,5326271926839267328,141.023930754,-48.09755618732,-6.698,4.077,0.6618,15.476754,1.0
67,5326262031234644224,141.17506449121,-48.05670182105,-6.672,4.04,0.7124,14.629429,1.0
68,5326272270436660992,141.03892622897,-48.06756026699,-6.865,4.391,0.6882,12.989978,1.0
69,5326259621752212480,141.18016354638,-48.11958407287,-6.475,3.925,0.5994,17.413837,0.8
70,5326261206600918528,141.19910659655,-48.08378583773,-6.626,4.092,0.6495,15.594295,1.0
71,5326262203033331840,141.13325448293,-48.05099571715,-6.651,4.175,0.7115,15.22077,1.0
72,5326262271752809728,141.12415516507,-48.04015443217,-6.742,4.152,0.6467,14.350497,0.9
73,5326261309680140032,141.21041608595,-48.0664369315,-6.517,4.255,0.5748,14.291051,0.6
74,5326260244528226944,141.07189188691,-48.10223078043,-6.77,4.067,0.6391,17.476202,0.9
75,5326260381967184768,141.12076476515,-48.10919750025,-6.734,3.974,0.7308,16.470554,1.0
76,5326261309680138752,141.20585972371,-48.06969214626,-6.711,4.089,0.6681,15.784047,1.0
77,5326260553765872768,141.09915650775,-48.11270167544,-6.68,4.098,0.6978,14.001482,1.0
78,5326272545314577152,141.09992156354,-48.05113453689,-6.525,3.933,0.6827,17.53045,1.0
79,5326272545314577792,141.08908793404,-48.04367440232,-6.628,3.836,0.6008,17.975067,0.8
80,5326259145016592512,141.12310709131,-48.1585289138,-6.768,4.052,0.6901,13.147639,1.0
81,5326274121561933184,141.10626196929,-47.99849222982,-6.315,4.126,0.5872,17.463146,0.7
82,5326252646725166464,141.0832916526,-48.25448538884,-6.473,4.149,0.6219,17.884407,0.7
83,5326272059977551872,141.04657130844,-48.08215137312,-6.792,4.064,0.7609,17.426584,1.0
84,5326259694772425216,141.17044683939,-48.09451997037,-6.766,4.309,0.7352,14.830746,1.0
85,5326260244528224384,141.0759593674,-48.11144285397,-6.889,4.192,0.7217,16.90999,1.0
86,5326261825076231936,141.28023897549,-48.02282710038,-6.607,4.131,0.7079,15.347221,1.0
87,5326255674683217408,141.14918054526,-48.23087244199,-6.937,3.857,0.6631,13.206004,0.8
88,5326261790716490368,141.26185656631,-48.03347040867,-6.806,4.241,0.6864,17.437351,0.9
89,5326257220871491072,141.40434880443,-48.13665339064,-6.633,4.138,0.7175,15.029884,1.0
90,5326262649709953280,141.24644697882,-48.00281577868,-6.728,4.067,0.6576,15.78631,1.0
91,5326261447119307264,141.2522995209,-48.07619843538,-6.664,3.895,0.7072,16.647425,1.0
92,5326258075563965312,141.33090086274,-48.13474399857,-6.638,4.197,0.6832,17.574192,0.9
93,5326274881776665344,141.13298973251,-47.95077582528,-6.588,4.493,0.6243,17.59172,0.6
94,5326262233092407680,141.15386919532,-48.05179812107,-6.791,4.168,0.8126,17.389053,1.0
95,5422353059670691328,141.13984359334,-47.83610606293,-6.532,4.299,0.7409,17.40924,0.6
96,5422407137598623232,141.08395471148,-47.56772341518,-6.708,4.397,0.555,17.906958,0.3
97,5422356392565319168,141.08055325285,-47.77338274714,-6.872,4.112,0.7382,15.731974,1.0
98,5422353162749910784,141.13243584602,-47.81065749237,-6.809,3.898,0.753,16.35228,1.0
99,5422352819152523392,141.16881688629,-47.84704443897,-6.588,4.112,0.7693,16.246922,0.8
100,5422351754000745600,141.2067547628,-47.89669724595,-6.776,4.438,0.6695,15.964835,0.8
101,5326276939061363072,140.98197781899,-47.94820362623,-6.927,3.895,0.6727,17.336298,0.8
102,5326330750710908160,140.67378729864,-47.71439637251,-7.11,4.002,0.5803,14.714105,0.6
103,5326317453492242816,140.61534053699,-48.03181067886,-6.245,4.195,0.6106,17.798418,0.4
104,5326318621723361024,140.73995141092,-47.97516285361,-6.996,4.036,0.7808,17.369263,0.8
105,5326317625290941312,140.64080410566,-47.98393857897,-6.804,4.133,0.7293,15.351915,1.0
106,5326318965320754304,140.75516493838,-47.93161115818,-6.914,4.024,0.6,15.602926,0.8
107,5326280516773572096,140.98997471436,-47.77347634979,-6.538,4.562,0.6792,17.904734,0.5
108,5326279069365296768,141.03809584273,-47.86998577899,-6.513,3.758,0.7554,16.395153,0.8
109,5326276561104133120,140.86683769149,-48.00282543611,-7.043,4.245,0.7512,17.633854,0.4
110,5326277183879054336,140.94458583682,-47.923674834,-6.828,4.01,0.6878,16.571583,1.0
111,5314210868398280704,141.18103780353,-48.64122199734,-6.475,4.358,0.6051,16.625359,0.5
112,5314221073240728320,141.50537829498,-48.55041124096,-6.689,4.102,0.6092,13.66203,0.9
113,5314245125057355904,141.33723950328,-48.28308526841,-6.749,4.126,0.6865,15.049903,1.0
114,5314243785027693952,141.39750975693,-48.3611287177,-6.844,4.13,0.7462,15.504182,1.0
115,5314239696218804736,141.49254229733,-48.43000218628,-6.855,3.988,0.7229,16.497334,1.0
116,5314240830090174208,141.46590886556,-48.37462695616,-6.845,3.991,0.7696,15.873929,1.0
117,5314228838541630336,141.71949312358,-48.39759725498,-6.717,4.421,0.678,16.27235,0.6
118,5314229315276598784,141.63262107261,-48.40670009536,-6.761,4.232,0.7035,15.638798,1.0
