,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5618133989904042240,109.6411496466,-22.7657518919,0.812,-4.189,0.6879,17.084541,0.4
1,5618133989904045568,109.63664980742,-22.76402587234,1.093,-4.019,0.6296,15.995853,0.9
2,5618134367861154304,109.62842369863,-22.72472417123,0.903,-3.88,0.6489,16.700207,0.6
3,5618131893960076928,109.56580295707,-22.8227202246,1.008,-4.088,0.7112,17.958889,0.2
4,5618132065758782080,109.53950516045,-22.81823972676,1.161,-4.398,0.7077,16.632586,0.2
5,5618182608935859200,109.5251592304,-22.66569617941,0.851,-3.854,0.5301,14.633686,1.0
6,5618182608935858176,109.52685736203,-22.66744259488,1.722,-4.261,0.6125,14.568321,0.1
7,5618185563873360256,109.5192687329,-22.66022565378,0.929,-4.084,0.6543,15.982061,0.8
8,5618184017685189760,109.47134881785,-22.67389822341,0.978,-4.065,0.5329,14.28933,1.0
9,5618186697744727936,109.48795984753,-22.60887790348,0.919,-4.107,0.5491,13.91783,1.0
10,5618183188743958912,109.56932981335,-22.62114721133,0.959,-4.158,0.4391,15.978111,1.0
11,5618185598233093888,109.51988014692,-22.65064385268,0.915,-4.083,0.5425,12.872556,1.0
12,5618185598233095040,109.51583965869,-22.64596533107,1.383,-3.943,0.587,15.962572,0.7
13,5618186869543414272,109.48270094172,-22.5875467058,0.751,-4.102,0.5054,16.95937,0.7
14,5618182608935856384,109.53021729302,-22.67026724584,1.012,-4.203,0.5232,16.617514,0.9
15,5618184395642315392,109.45178410152,-22.64594943681,1.168,-4.221,0.609,17.527872,0.9
16,5618182540216374656,109.54129455168,-22.67952727305,0.908,-3.998,0.4986,17.72515,1.0
17,5618184395642315264,109.45414378917,-22.64968740007,0.97,-4.106,0.5969,14.712949,0.9
18,5618185456486737024,109.42973396323,-22.61441854277,0.839,-3.857,0.6715,16.263412,0.7
19,5618186903903147008,109.48814444911,-22.58653243146,0.928,-4.16,0.6767,15.402481,0.7
20,5618182334057943936,109.54601551767,-22.68664497024,1.111,-4.122,0.5484,12.228213,1.0
21,5618186044909688320,109.4988540475,-22.60612293772,1.261,-4.236,0.6563,15.396561,0.6
22,5618187178781055744,109.47056102174,-22.55943156399,0.956,-4.105,0.6102,15.427986,0.8
23,5618182540216375936,109.54079093045,-22.68091864682,0.91,-4.231,0.6862,15.709961,0.6
24,5618185976190206336,109.5137457874,-22.61974490406,0.837,-3.949,0.5871,15.126204,0.8
25,5618185598233083904,109.52768446875,-22.64391416525,1.004,-4.105,0.6119,14.595408,0.9
26,5618185834443745280,109.48196466204,-22.63943026275,0.988,-3.983,0.6523,17.415419,0.8
27,5618182643295584768,109.5353431734,-22.65743981809,0.94,-4.183,0.5656,15.214784,0.8
28,5618181097107407744,109.500856316,-22.69297571608,0.955,-3.968,0.5823,15.679685,1.0
29,5618186800823930752,109.49727197021,-22.59841739544,0.839,-3.92,0.587,16.03708,0.9
30,5618181131467125248,109.51473783505,-22.67891545482,1.111,-4.339,0.5699,16.845,0.7
31,5618184052044913920,109.48410977991,-22.6751109185,0.753,-3.954,0.4751,17.01093,1.0
32,5618184876678717696,109.38397150958,-22.65711375751,0.143,-4.514,0.5603,15.836902,0.1
33,5618179207322204416,109.54113049538,-22.7824236346,0.916,-4.093,0.6182,14.636285,0.7
34,5618186766464218368,109.46802847828,-22.59957626468,1.073,-3.876,0.6021,15.554654,1.0
