,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5931887565684151040,245.69639446856,-55.15606421149,-2.123,-10.666,1.3384,9.85033,1.0
1,5931877708818633600,245.72274195359,-55.29021378051,-1.57,-10.658,1.3385,14.401172,1.0
2,5931882759702002560,245.57582632883,-55.12166136975,-1.642,-10.501,1.3889,9.885718,1.0
3,5931895301006707200,245.36797774252,-55.10145746885,-1.806,-10.696,1.4671,14.133327,1.0
4,5931574793392992512,244.19857604009,-55.70817789449,-2.124,-10.819,1.4243,14.167027,0.6
5,5931903336827945472,245.69623795968,-54.9184015353,-1.936,-10.681,1.3765,17.563717,0.8
6,5931905608929298560,245.43741504756,-54.90060856645,-2.032,-10.573,1.4355,10.309123,1.0
7,5931906433563212928,245.26497018448,-54.87807508088,-1.719,-10.661,1.3548,13.629632,1.0
8,5931911312646768256,245.98605333146,-54.94974807739,-1.81,-10.728,1.4802,16.02294,0.9
9,5931896812835252992,245.31674428108,-55.09360598369,-2.255,-11.473,1.3219,13.72037,0.1
10,5931904887374642944,245.39554165551,-54.98717871868,-1.873,-10.357,1.4786,14.85406,1.0
11,5931900867285028608,245.56839606553,-55.03625795174,-1.469,-10.449,1.2771,17.532804,0.9
12,5931908529507291776,245.36111682727,-54.81631595915,-1.727,-10.565,1.4408,12.512084,1.0
13,5931898015426293504,245.15059729511,-55.06605940656,-2.025,-10.438,1.4757,17.029762,0.9
14,5931910041336286080,246.04982913829,-55.02191552483,-1.955,-10.749,1.4899,10.355492,0.6
15,5931898771340381184,245.3847143546,-55.04722697064,-1.94,-10.422,1.4126,11.292924,1.0
16,5931901794998066688,245.43798019976,-55.02664617092,-1.702,-10.695,1.4386,14.247983,1.0
17,5931905123514127360,245.38218853936,-54.96361187624,-1.686,-10.572,1.4227,12.247177,1.0
18,5931900111370409472,245.29231606642,-54.95000113596,-1.809,-10.579,1.4481,14.649211,1.0
19,5931898255944284800,245.34082804109,-55.07457887011,-2.022,-10.754,1.5001,17.59179,0.6
20,5931902276034468992,245.5193216959,-54.964339923,-1.901,-10.669,1.5135,15.97058,0.7
