,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5972659007359788032,259.74042060679,-38.81858758789,-1.043,-2.447,0.1837,13.70997,0.9
1,5972659316597366016,259.81322757171,-38.86080316924,-0.663,-2.563,0.104,17.631786,0.5
2,5972660141231153408,259.81927496816,-38.78878532169,-0.452,-2.317,0.3429,16.43343,0.1
3,5972657564250705280,259.72362536972,-38.90037382906,-1.002,-2.851,0.2707,16.730358,0.2
4,5972657839128610304,259.80038571408,-38.87287759679,-0.659,-1.789,0.1441,17.101501,0.1
5,5972660450468796160,259.7688545814,-38.81020237177,-1.141,-2.449,0.3234,13.552789,0.5
6,5972657907848097664,259.78123940809,-38.86635316965,0.226,-2.172,0.2342,13.991328,0.1
7,5972658972999276928,259.72038074715,-38.82887834336,-0.76,-2.499,0.3418,15.714113,0.3
8,5972660450468795392,259.77518862675,-38.80791272449,-0.088,-2.019,0.2669,17.443611,0.1
9,5972659007359787648,259.742900878,-38.81802002938,-1.177,-2.508,0.2127,14.417963,0.9
10,5972658526322678912,259.65895940792,-38.86946067602,-1.101,-2.424,0.3239,17.026432,0.5
11,5972660794041982464,259.73316867984,-38.760997895,-0.094,-2.464,0.251,17.29105,0.3
12,5972660416109059328,259.75874305518,-38.8126938429,-0.94,-2.588,0.3503,15.899245,0.3
13,5972660519188308608,259.75716080565,-38.78425351814,-0.041,-2.075,0.3629,15.633138,0.1
14,5972660514859111296,259.76379313599,-38.79321385509,-0.276,-2.786,0.3729,17.461288,0.1
15,5972660858455403776,259.77647743086,-38.76059970438,-0.285,-1.815,0.3285,16.5733,0.2
16,5972660411778740224,259.76157264243,-38.81851219663,-0.958,-2.315,0.2248,16.533386,0.5
17,5972660484828556544,259.74371676666,-38.80077722521,-1.198,-2.592,0.2092,14.860744,0.7
18,5972658869920056832,259.7208369872,-38.8424122044,-1.198,-2.458,0.3694,17.103434,0.4
19,5972660897145459968,259.74967108302,-38.76328503659,-0.025,-2.189,0.3187,17.213732,0.2
20,5972659213518237952,259.73282408661,-38.8045432739,-0.439,-2.789,0.1994,16.08891,0.1
21,5972659793304601856,259.79775460919,-38.8025977401,-0.941,-2.327,0.1823,16.57253,0.5
22,5972659076078498560,259.69991252021,-38.82498638897,0.183,-2.313,0.2778,16.35483,0.2
23,5972660794066243200,259.7399654736,-38.76877186712,-1.18,-2.433,0.3319,16.510271,0.6
24,5972659106109813120,259.68400875754,-38.81626718132,-0.696,-1.364,0.2368,17.746466,0.2
25,5972659076078499712,259.70772011393,-38.81837014365,0.013,-2.435,0.2612,17.22224,0.1
26,5972659110438237440,259.68706673569,-38.83343697052,-1.077,-2.578,0.165,12.808048,1.0
27,5972657804768869120,259.78873190327,-38.88046826305,-0.308,-2.196,0.3375,14.854763,0.3
28,5972659140469554560,259.69084460077,-38.8155428572,-0.929,-2.525,0.1838,17.433414,0.5
29,5972658629401897088,259.67235524502,-38.85036020408,-0.824,-2.224,0.2286,16.792223,0.4
30,5972659655864485248,259.76974588518,-38.83055637108,-0.938,-2.675,0.1966,14.238009,0.9
31,5972660450468808064,259.76120970241,-38.80196213215,-1.037,-2.571,0.2214,15.577343,0.8
32,5972660897145469440,259.74744843418,-38.7570297944,0.1,-2.039,0.2537,17.532185,0.2
33,5972659213493760768,259.73401955145,-38.80188612321,-1.051,-2.413,0.1172,17.06584,0.5
34,5972659312267076352,259.80674900297,-38.86603156828,-0.946,-2.495,0.2176,15.678774,0.7
35,5972657834799446400,259.78695449371,-38.87492063287,-0.853,-2.591,0.3362,17.627699,0.3
36,5972660411786442368,259.75568335824,-38.81608460655,-0.828,-2.434,0.1958,14.495273,0.6
37,5972658762515392512,259.72201098427,-38.86309021538,-0.172,-1.575,0.3369,17.571022,0.3
38,5972659419676612608,259.80596253262,-38.82859071093,0.005,-2.2,0.2008,17.145082,0.1
39,5972659660194800128,259.76978511431,-38.82323890567,-0.721,-2.513,0.0803,16.776539,0.7
40,5972659385316855808,259.7982129893,-38.85154348888,-0.549,-2.227,0.2185,17.025574,0.2
41,5972660416109049088,259.75862647424,-38.82275752969,-1.12,-2.43,0.245,14.905917,0.8
42,5972657907848103424,259.77658863148,-38.86255718916,-1.0,-2.76,0.1959,13.734952,0.4
43,5972659522755820800,259.81779171456,-38.83039406946,-0.784,-1.999,0.271,17.700298,0.1
44,5972659385316864000,259.79248802887,-38.84489778899,0.172,-2.353,0.1183,16.920599,0.2
45,5972658182726047360,259.75707350747,-38.83095472868,-0.286,-2.093,0.2434,16.685543,0.1
46,5972659694554537600,259.78604338458,-38.81818229815,-0.033,-1.971,0.3168,16.931404,0.2
47,5972659724583977472,259.79508828585,-38.81498963195,-0.676,-2.645,0.1999,12.37792,0.5
48,5972658659437730432,259.68054902834,-38.84630381114,-0.615,-2.088,0.357,17.35579,0.2
49,5972658938640296960,259.75699877776,-38.82525862814,-1.145,-2.472,0.3637,17.191666,0.4
50,5972659209187915264,259.72774232046,-38.80222381585,-1.188,-2.614,0.2063,14.892709,0.9
51,5972658659434710144,259.68313803473,-38.84621022857,-0.486,-2.269,0.376,15.209611,0.2
52,5972660450444205568,259.7711856558,-38.8101715463,-0.898,-2.47,0.244,16.557737,0.6
53,5972660656627263104,259.78679381323,-38.77230473988,-1.04,-2.749,0.2765,17.386433,0.4
54,5972657907848093824,259.78325505518,-38.87095768007,-0.737,-2.667,0.058,16.792122,0.8
55,5972660721024696704,259.75191100536,-38.78397623652,-0.354,-1.326,0.2521,17.433634,0.3
56,5972658938615725952,259.75046981275,-38.81708771895,-1.219,-2.494,0.1582,16.849285,0.8
57,5972658831233388288,259.71194388159,-38.85471485431,0.067,-2.173,0.3616,16.060783,0.1
58,5972659449706049280,259.82833766347,-38.83718586494,-0.15,-2.285,0.1201,17.197824,0.3
59,5972659655864492672,259.77860711012,-38.82184293246,-0.58,-2.386,0.2327,16.921227,0.4
