,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5878340460385789952,218.29997858349,-61.46188135069,-5.393,-2.59,0.3177,14.693185,0.3
1,5878339773190816384,218.38067978388,-61.45092882654,-5.911,-3.151,0.4208,16.199816,0.1
2,5878340662214386944,218.32641376493,-61.43081338556,-5.411,-2.463,0.2633,17.409554,0.2
3,5878340597824726656,218.34658934185,-61.44049721897,-4.633,-3.074,0.4002,16.866179,0.1
4,5878340597824726400,218.33837685954,-61.43702187872,-5.86,-3.242,0.3643,16.999363,0.2
5,5878340597824726272,218.33739487395,-61.43633481812,-4.648,-3.085,0.3797,16.523535,0.1
6,5878339837580642304,218.36523645857,-61.4398418775,-5.284,-2.036,0.4556,16.37753,0.3
7,5878339773191014656,218.36818582279,-61.46729152524,-4.846,-3.212,0.2954,17.346687,0.1
8,5878340494745515904,218.32484045685,-61.44929810938,-5.99,-3.072,0.2832,16.689302,0.1
9,5878340907062187904,218.34705072941,-61.40394228552,-5.156,-2.061,0.3422,17.242048,0.2
10,5878339567032382592,218.39183483442,-61.46513191008,-5.059,-2.754,0.5117,9.909788,0.1
11,5878339498312902272,218.41719544212,-61.47853206816,-4.871,-3.259,0.3668,16.934736,0.1
12,5878336577735138048,218.43469956859,-61.490721459,-6.052,-1.984,0.2637,17.566507,0.2
13,5878340456070248448,218.31340049112,-61.45949717389,-5.906,-2.235,0.4675,17.704514,0.1
14,5878340838342773760,218.28609023065,-61.4063195404,-5.35,-2.8,0.3622,16.528591,0.2
15,5878339567000311040,218.39880840244,-61.46503888476,-5.718,-2.161,0.4151,17.904037,0.1
16,5878377843758492032,218.34423448321,-61.28376435974,-4.938,-2.81,0.5255,10.271728,0.1
17,5878377259669002240,218.41491839131,-61.25439004936,-5.227,-3.347,0.4061,16.888134,0.1
18,5878378530979321344,218.5306496388,-61.24119011015,-5.871,-2.899,0.4298,17.490183,0.1
19,5878378668418273664,218.47674953987,-61.24909882208,-4.637,-2.856,0.2856,14.14379,0.1
20,5878377461494673920,218.32439772735,-61.28234801633,-4.999,-2.286,0.4841,17.393204,0.6
21,5878377981223513216,218.40276232878,-61.25057413333,-5.291,-2.385,0.3568,15.736657,0.6
22,5878377465827413120,218.33595613923,-61.28378478345,-5.162,-2.721,0.4089,16.482862,0.2
23,5878378427900086272,218.51170277442,-61.26474206877,-5.055,-2.306,0.5627,9.8874,0.8
24,5878378393540348800,218.49787624295,-61.26530953715,-5.144,-2.422,0.4419,15.536323,1.0
25,5878377431467672192,218.31435760146,-61.28952020024,-5.368,-2.909,0.282,17.50127,0.2
26,5878378526646711296,218.51962551458,-61.24608682809,-5.033,-2.071,0.3348,17.339394,0.2
27,5878378530979305600,218.53535162138,-61.25576804646,-4.696,-2.08,0.3763,15.745932,0.1
28,5878378427900090368,218.50467549919,-61.25951057291,-5.533,-3.098,0.2924,11.635853,0.2
29,5878377156589776256,218.42016190082,-61.2638951864,-5.362,-2.93,0.2843,16.03579,0.1
30,5878378496619575680,218.4995641996,-61.252536314,-4.716,-2.302,0.375,17.289701,0.4
31,5878378427900098560,218.51581632882,-61.25065029378,-5.381,-2.542,0.5196,15.736408,0.5
32,5878378737138165248,218.46040505151,-61.23559627568,-4.817,-3.221,0.2941,17.585411,0.1
33,5878378664085662848,218.47303982439,-61.24683307169,-5.365,-2.06,0.3796,15.948811,0.1
34,5878377431467660672,218.30414737134,-61.30517785686,-5.186,-2.466,0.4248,15.855312,0.7
35,5878377019150803072,218.37476247372,-61.29272954854,-4.648,-3.29,0.295,17.249365,0.1
36,5878377053510548096,218.40221026093,-61.28148005557,-5.237,-2.375,0.3761,11.85654,0.6
37,5878377843758560384,218.35760477676,-61.27617337538,-4.631,-2.158,0.358,17.820292,0.1
38,5878377362748533632,218.23903785511,-61.31410767709,-5.199,-2.203,0.3257,16.165037,0.2
