,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,470720070529104896,64.97675615888,58.1749913771,0.937,-1.969,0.1793,15.440904,0.2
1,470719653909424640,64.94299908245,58.13829996846,0.248,-0.415,0.3654,17.843307,0.2
2,470720173608314752,65.01741313926,58.17388091839,1.75,-1.053,0.1745,17.091745,0.8
3,470720238025105792,64.99776037992,58.18296264473,1.613,-1.234,0.1935,17.338797,0.7
4,470720448486217984,65.00293748194,58.18854859672,0.181,-0.607,0.0176,17.974043,0.1
5,470719658212257664,64.95620998634,58.14606571885,0.074,-0.969,0.0901,17.461304,0.1
6,470720001809636352,64.92397968899,58.17563799807,1.214,-1.77,0.0568,15.783635,0.1
7,470720689004359168,65.06579341886,58.24576104869,1.44,-0.133,0.0548,17.971548,0.1
8,470722097753630208,65.10518256317,58.23886503825,1.467,-1.37,0.1394,16.235525,0.4
9,470722097753632768,65.0905894619,58.2358955802,1.603,-0.877,0.3387,16.984093,0.7
10,470720620284886784,65.08022885024,58.22877216769,-0.211,-0.709,0.0625,17.578491,0.2
11,470720001809633408,64.93377259191,58.17748843383,1.884,-1.197,0.3886,17.33334,0.9
12,470720482845945344,65.01730393672,58.20955484394,0.104,-0.076,0.1885,14.835458,0.2
13,470720001809636864,64.93018646905,58.17164633291,1.676,-1.2,0.3403,15.877808,0.8
14,470720482845948288,65.02341314108,58.20112790952,-0.176,-1.304,0.0974,16.27168,0.1
15,470908636771326208,65.04812987957,58.28283658112,1.845,-1.187,0.2426,15.903016,1.0
16,470909427045313408,64.99588483622,58.28927335964,1.582,-0.057,0.3051,17.340158,0.1
17,470909633203746560,64.92200815787,58.30775424397,0.76,0.601,0.252,17.486744,0.1
18,470907640338954624,64.8902459655,58.17722874853,1.717,-1.89,0.2749,16.336355,0.1
19,470907674698692224,64.90646905443,58.18640649394,1.805,-1.386,0.2969,16.380316,0.8
20,470907915216860672,64.87076097051,58.20171274784,2.034,-1.365,0.2634,17.342552,1.0
21,470907915216860544,64.88099977378,58.2002339535,1.718,-1.216,0.1013,15.473963,1.0
22,470907983936337024,64.87251312865,58.20501342679,1.649,-1.076,0.2279,16.755966,1.0
23,470907983936336640,64.87458734117,58.2079190728,0.274,-1.33,0.0974,16.92,0.1
24,470907949576598016,64.89074559022,58.20354290733,1.663,-1.001,0.2656,17.015455,0.9
25,470908155735015552,64.94184386349,58.24763732636,1.722,-1.245,0.1721,16.666313,1.0
26,470908808570056448,64.85059958864,58.23058009768,1.699,-1.189,0.3857,17.771482,0.8
27,470909014728486016,64.82567596159,58.24554595616,1.978,-1.064,0.1201,16.795912,1.0
28,470907777777904512,64.93877794136,58.2044466236,1.99,-1.199,0.2784,17.46859,1.0
29,470908774210315392,64.88767133804,58.23218862743,1.83,-1.114,0.2687,15.615735,1.0
30,470909049088221312,64.84975339396,58.25163014727,1.84,-1.096,0.2053,15.248163,1.0
31,470911282471164928,65.02186632893,58.35303490086,0.663,-0.912,0.2777,17.514734,0.1
32,470908774204241024,64.88330501361,58.23039819709,1.422,-1.086,0.1785,16.445618,0.6
33,470910320398489728,65.10986701269,58.32559777727,0.174,-0.221,0.1249,17.789959,0.2
34,470909319664171648,64.96392871065,58.27992978063,1.38,-1.55,0.0836,17.692413,0.4
35,470909147865480064,64.89012145948,58.27794088985,1.894,-1.169,0.2304,17.367016,0.9
36,470910354758224640,65.12069756952,58.33485872561,0.062,-0.224,0.4229,17.711786,0.1
37,470911351190634368,65.08044104421,58.35931668312,1.462,-1.205,0.2289,17.263937,0.6
38,470911179391941504,65.09662851483,58.3552079635,1.459,-0.827,0.1767,17.78869,0.4
39,470911385550368000,65.08999102197,58.36876523682,1.989,-1.259,0.1056,17.092182,0.9
40,470911312529083136,65.03066187101,58.36359033573,1.316,-0.062,0.0908,17.674639,0.3
41,470909079145986816,64.81883855494,58.24876331765,2.044,-0.976,0.1071,17.552685,0.9
42,470907876555125120,64.95992512478,58.22784730033,1.979,-0.932,0.3067,17.25606,1.0
43,470908327533693440,65.03653351217,58.25174944681,1.907,-1.229,0.2916,17.246359,0.7
44,470908774210354432,64.87698419446,58.23670323855,1.762,-1.182,0.268,16.089994,1.0
45,470910182959547136,65.05994672073,58.30469212925,1.422,-1.588,0.3291,17.273796,0.3
46,470908946009045248,64.90341870494,58.2562919195,0.558,-1.461,0.3307,13.91599,0.1
47,470908980368782976,64.92763927457,58.26985530274,1.331,-0.392,0.1923,17.663435,0.1
48,470909701923287040,64.9857438157,58.31847206329,1.238,-2.165,0.2871,16.385859,0.1
49,470909083447959424,64.83304729427,58.2595276769,1.442,-0.537,0.3096,17.081823,0.2
50,470908842929789056,64.87681967966,58.24910834611,1.691,-0.939,0.277,16.512695,0.9
51,470909117807694976,64.85220391103,58.26133330042,1.635,-1.219,0.2446,15.12834,1.0
52,470909049088218112,64.86445094632,58.25731488085,1.521,-1.043,0.2783,16.282038,1.0
53,470909049088217728,64.86397325424,58.2591651524,0.727,-1.757,0.2453,17.02411,0.1
54,470909083447959296,64.83662501255,58.25876424674,1.739,-1.133,0.1863,16.243668,0.9
55,470908946009002752,64.8838308347,58.25164683587,2.152,-1.564,0.236,17.692427,0.8
56,470909117807693440,64.85649097463,58.26509063476,1.861,-1.377,0.2571,17.663908,0.8
57,470909152167431552,64.87357111018,58.2597099665,1.201,-0.841,0.3643,17.780758,0.2
58,470909117807692288,64.85827377145,58.26753010176,1.7,-1.114,0.1501,15.414424,1.0
59,470909117807691904,64.86229486482,58.26762473112,1.671,-1.257,0.2091,13.765247,1.0
60,470908946008999936,64.89688657533,58.25485765206,1.607,-1.154,0.2192,17.230453,1.0
61,470908946009000320,64.89195874897,58.25544650791,2.077,-1.617,0.3385,16.70827,0.3
62,470908877289523456,64.91102693878,58.24874985186,1.874,-1.127,0.3104,17.257936,1.0
63,470908087015540608,64.94251043547,58.23808372184,0.891,-2.166,0.2418,16.55436,0.1
64,470908258814230144,64.97500654293,58.23651995316,1.091,0.261,0.0563,17.717157,0.1
65,470907743418168192,64.90835119233,58.19472235805,1.436,-1.312,0.3063,17.826704,0.7
66,470909152167426816,64.89289560667,58.26791224027,0.193,-0.033,0.2985,16.018414,0.1
67,470909220886901120,64.88020435532,58.28069114569,1.592,-1.237,0.1183,16.142721,0.8
