,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5543148602558847360,124.79508827835,-35.64405038585,-2.552,3.554,0.0423,17.345072,0.8
1,5543148327680942080,124.81547579884,-35.67328888712,-1.673,3.198,0.0275,16.218412,0.6
2,5543148362040684032,124.79416452257,-35.65203306145,-2.493,3.449,0.1659,15.751357,0.6
3,5543148362040683520,124.80244288914,-35.66101187001,-2.483,3.341,0.1191,16.625969,0.9
4,5543148362040683392,124.80084998915,-35.65892783072,-2.129,3.801,0.0679,16.72376,0.8
5,5543148362040686208,124.79294414388,-35.65510586506,-2.421,3.41,-0.0481,17.378057,0.9
6,5543148362040687616,124.79149522759,-35.65565761532,-2.005,3.545,0.1994,17.718304,0.4
7,5543148357735474176,124.79059230309,-35.65922276111,-2.062,3.835,0.222,17.598866,0.2
8,5543146815852487552,124.70273625477,-35.59539556571,-3.263,3.97,0.1658,17.175352,0.1
9,5543148632613403264,124.77707999992,-35.64334096732,-2.576,3.484,0.0416,17.512056,0.7
10,5543130357537802112,124.82110965567,-35.72835010208,-2.371,3.673,0.1377,17.7544,0.7
11,5543143620396846464,124.69470600125,-35.65271389089,-1.77,2.968,0.1963,15.682476,0.1
12,5543143414238417792,124.70479798923,-35.67024933479,-2.499,3.293,0.1696,16.980976,0.5
13,5543148568199126400,124.78215443118,-35.65809811967,-2.294,3.613,0.1672,17.203949,0.7
14,5543148568199128576,124.7791895996,-35.65713262061,-2.279,3.577,0.0636,15.138314,0.9
15,5543142692683872768,124.77168290342,-35.65891369249,-2.628,3.513,0.0969,15.846485,0.7
16,5543142967561820928,124.70616528974,-35.6775877443,-2.405,3.524,0.2508,14.917858,0.5
17,5543148568199120000,124.78646966129,-35.65282166659,-2.165,3.656,0.1251,15.70256,0.9
18,5543130490671436032,124.77070670501,-35.73216867237,-2.601,4.351,-0.0219,17.901297,0.1
19,5543137229485389440,124.87437485866,-35.61823994144,-2.839,3.71,0.153,10.129845,0.1
20,5543136507930931584,124.83921001547,-35.67802757554,-2.506,3.505,-0.0035,17.339674,0.8
21,5543149186674365056,124.81672786617,-35.5957831492,-2.925,3.317,0.1663,15.069736,0.1
22,5543148602550380288,124.79451910812,-35.64954779052,-2.43,3.479,0.111,16.381798,0.8
23,5543137122101068544,124.87148343237,-35.63028292373,-1.565,3.691,0.191,16.364416,0.2
24,5543136748449067904,124.88698936699,-35.66944808649,-1.784,3.708,0.166,17.479021,0.2
25,5543137160765900800,124.89551505246,-35.62396994388,-2.012,3.163,0.1027,17.794764,0.4
26,5543137229485388032,124.87770474401,-35.62033777705,-2.729,3.131,0.1641,15.586186,0.1
27,5543143513012397440,124.75230998612,-35.63395567358,-2.982,3.724,0.258,17.131086,0.1
28,5543148396391944704,124.79653766713,-35.64938611233,-2.296,3.477,0.1126,17.491758,0.8
29,5543130426257301120,124.78619732792,-35.73791495767,-2.3,3.737,0.0377,15.773911,0.9
30,5543142727043629696,124.74328129835,-35.66314805891,-3.048,3.165,0.1029,17.555565,0.1
31,5543149908228887424,124.76188138692,-35.56520407713,-2.475,3.434,0.2289,17.1762,0.5
