,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,251064482251472512,60.67699446954,52.46253647599,-0.014,-0.537,0.1291,16.617813,0.1
1,251064482251472128,60.6812443321,52.46216927058,-0.349,0.296,0.1536,16.59027,0.7
2,251064069934621312,60.63648706034,52.43675491104,0.121,0.198,0.1318,14.933382,0.9
3,251040464794373376,60.59827285622,52.40349659244,0.106,0.297,0.1155,17.461742,0.8
4,251791396876509184,60.53212340386,52.43955669866,-0.508,0.052,0.1282,15.763708,0.9
5,251791358217790976,60.57468357387,52.44015975236,-0.204,0.195,0.0588,17.447075,0.8
6,251792049711539200,60.51010345529,52.44576706517,0.266,0.38,0.1213,17.75545,0.8
7,251791362516765696,60.57170068526,52.43868280639,0.11,0.185,0.1932,17.248905,0.6
8,251792255869956864,60.53525480715,52.48048475916,-0.152,0.237,0.1789,17.115475,0.6
9,251792015351812864,60.48559884878,52.42177517017,-0.521,0.071,0.1413,16.97815,0.7
10,251791259437569280,60.49098016052,52.41809870493,-0.375,0.437,0.1703,17.27671,0.5
11,251791083339778944,60.58853941366,52.41873550144,-0.462,0.025,0.2168,16.35569,0.8
12,251791121998766080,60.54709733992,52.40686433648,-0.774,0.164,-0.0016,17.119192,0.8
13,251791362516768640,60.54937214441,52.43833505269,-0.283,0.14,0.1209,16.72256,0.9
14,251791156358946432,60.57735108713,52.43758257565,0.154,-0.191,0.2087,15.699326,0.3
15,251791358217750912,60.55165607878,52.4406535424,-0.398,-0.149,0.1601,17.792225,0.5
16,251814795858909696,60.63840609602,52.47685440259,-0.106,0.069,0.1232,13.503723,0.9
17,251814795858909312,60.64428413691,52.47793139531,0.129,-0.233,0.1502,17.482828,0.2
18,251815036377077248,60.61507973066,52.49286463508,0.049,0.889,0.1838,17.895346,0.4
19,251814658419960448,60.60976599866,52.4582966063,-0.178,0.314,0.1429,16.785334,0.9
20,251814555340747392,60.60334734693,52.4323255744,0.058,0.142,0.1567,17.050974,0.6
21,251814555340747008,60.59989383297,52.4352651051,0.054,0.216,0.0769,15.46571,0.9
22,251814898938129280,60.57802468738,52.46611986992,-0.172,0.257,0.068,16.23888,1.0
23,251814692779698048,60.64045199187,52.45170121032,0.035,0.079,0.004,15.954265,0.9
24,251814825919097472,60.58194927175,52.45223278969,0.363,0.176,0.0321,17.983398,0.6
25,251814624060251904,60.57834300405,52.43765560222,-0.451,0.83,0.0688,16.51707,0.5
26,251814830218681472,60.5807190684,52.44553739976,-0.472,-0.18,0.2675,17.00541,0.5
27,251814830218681216,60.59097104147,52.45507778103,-0.39,0.3,0.1305,16.886997,0.9
28,251814864578419456,60.60209834019,52.46104190162,-0.347,0.281,0.2275,16.152264,0.6
29,251814624060251648,60.57858892164,52.43879470632,-0.02,0.303,0.046,13.061514,0.8
30,251814933297865856,60.59744525347,52.47484390376,-0.177,0.199,0.0783,15.454726,0.9
31,251814830218653568,60.57972957143,52.45071181451,-0.361,0.116,0.0731,15.563167,0.9
32,251814830218654080,60.57247149211,52.44538264285,-0.15,0.273,0.0983,16.80548,0.9
33,251814860278853248,60.59134072596,52.46523656791,-0.464,-0.026,0.0855,17.174034,0.8
