,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3425512086743359104,92.32860186824,24.13094841982,0.543,-1.837,0.4792,17.91626,0.3
1,3425513048816242432,92.37291467711,24.19439943875,1.142,-1.748,0.3912,17.736217,0.1
2,3425512739580066688,92.38300089011,24.17620721192,0.884,-2.347,0.3654,16.471989,0.5
3,3425512395981060608,92.33210071855,24.14813249134,0.629,-2.66,0.248,17.397062,0.2
4,3425512846952825216,92.3603245152,24.16514965494,-0.022,-2.32,0.2584,17.168425,0.1
5,3425512945736992128,92.36347361884,24.18300621362,1.519,-1.618,0.518,16.13027,0.2
6,3425512327261530240,92.29468283947,24.13103514136,1.038,-2.735,0.3918,17.0736,0.2
7,3425515080336468352,92.42389502585,24.24963497548,0.095,-2.544,0.4199,16.390022,0.1
8,3425512503356093696,92.33048097584,24.15833018759,0.495,-2.217,0.2713,16.505661,0.2
9,3425512464700556288,92.30968236449,24.15365419403,0.546,-2.404,0.2813,15.91634,0.6
10,3425512915672300416,92.35322025048,24.1785273809,0.867,-1.791,0.4053,16.714558,0.1
11,3425512842657755648,92.35565197492,24.1766958914,0.006,-1.514,0.2982,17.472055,0.1
12,3426264530652048128,92.22357008423,24.23675910762,0.837,-2.137,0.3997,13.13504,0.8
13,3426269856411484032,92.27116355923,24.34421146865,1.035,-2.48,0.4998,11.339345,0.5
14,3426261232117014400,92.10233893198,24.1965067639,-0.268,-2.29,0.5075,17.027142,0.3
15,3426271132020738048,92.23625963672,24.39784510858,1.097,-1.613,0.399,16.421354,0.1
16,3426263087542941056,92.30306008851,24.16718795948,0.317,-1.581,0.5976,15.632003,0.1
17,3426269993852524160,92.30202943537,24.35787683242,-0.088,-2.26,0.2626,17.760847,0.1
18,3426261373855115904,92.14641541506,24.2003155755,0.492,-1.46,0.236,16.91068,0.2
19,3426260991598840320,92.1409872769,24.18336175186,0.297,-1.797,0.2355,16.249653,0.1
20,3426257010168342272,92.23367396585,24.12494964301,-0.164,-2.015,0.4397,15.567855,0.3
21,3426268585101372288,92.17496857968,24.27976563187,0.561,-2.33,0.3717,16.71077,0.6
22,3426264015257910272,92.32978142465,24.24132547469,1.023,-2.255,0.2944,16.64409,0.4
23,3426263431140342784,92.27105456184,24.19722126691,0.775,-2.171,0.4352,17.029863,0.8
24,3426264530653985664,92.23521647767,24.23968378099,0.844,-1.992,0.5693,17.562693,0.5
25,3426261266476970112,92.11444669423,24.20218616011,0.625,-1.813,0.6116,17.187956,0.2
26,3426269718974612992,92.31564435668,24.3420674675,1.113,-2.676,0.4045,17.133947,0.4
27,3426266145559743488,92.43077247141,24.31077368726,0.738,-1.355,0.4506,13.367771,0.1
28,3426261408214849536,92.16021976865,24.20529148594,0.824,-2.463,0.4122,15.015333,0.7
29,3426263431140337408,92.27259005688,24.18772119178,0.825,-2.638,0.3447,16.311611,0.8
30,3426262782604386048,92.09203851503,24.26100462661,0.85,-2.321,0.4129,17.24083,0.6
31,3426269031777766784,92.20882394826,24.30816210588,0.814,-2.341,0.2696,12.328567,0.6
32,3426261511294062080,92.16236407989,24.21379974151,0.692,-2.417,0.3413,15.344384,0.8
33,3426268619462919040,92.19320842225,24.29756677435,0.978,-2.53,0.3879,17.222002,0.6
34,3426267794829197824,92.20710364344,24.27359751353,0.444,-3.1,0.3784,17.150734,0.2
35,3426262610805689344,92.12249668724,24.25315958913,-0.119,-1.671,0.2287,16.967665,0.1
36,3426268619462919296,92.19002092053,24.29605000487,0.915,-1.935,0.3859,17.895761,0.2
37,3426264393215021184,92.20064245916,24.21378155921,-0.156,-2.289,0.3644,15.594917,0.3
38,3426262709586053760,92.09745762918,24.24748037801,0.591,-1.625,0.2203,17.340303,0.2
39,3426266557878619264,92.31699496193,24.2879637049,1.499,-2.037,0.5551,17.89037,0.1
40,3426268928708814592,92.13997103381,24.32035425805,0.609,-1.946,0.5655,13.876287,0.6
41,3426264427574762112,92.21670878706,24.21912045082,-0.051,-1.592,0.2584,17.316343,0.1
42,3426265939403327616,92.43290126616,24.30557961303,0.695,-2.16,0.5113,17.323042,0.4
43,3426269066137504000,92.1860300593,24.31791977744,0.768,-2.265,0.3434,12.125493,1.0
44,3426258345898975744,92.1580105709,24.1742849752,-0.096,-1.692,0.4435,16.62954,0.1
