,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2010922590146035456,353.51268277249,58.37857080067,-2.667,-2.503,0.5542,15.784652,0.8
1,2010918673135831040,353.12011073577,58.31487076015,-2.797,-2.536,0.5248,14.310037,0.7
2,2010922761945012096,353.60790880607,58.38724102224,-3.048,-2.688,0.5738,15.296892,0.3
3,2010918432617675648,353.15154585575,58.29986987916,-2.76,-2.653,0.3786,17.02444,0.3
4,2010920803439658112,353.31668894505,58.30240677204,-3.58,-2.255,0.5552,17.77604,0.1
5,2010923444843184896,353.28608888332,58.31661976337,-3.551,-2.771,0.3699,17.608181,0.1
6,2010923341758380544,353.25280235317,58.29680967502,-3.019,-2.344,0.4519,17.599163,0.2
7,2010921108378826624,353.48824176336,58.2933909925,-2.484,-2.512,0.445,17.82218,0.4
8,2010922517124933376,353.49626217107,58.35782957033,-1.839,-2.956,0.491,16.043518,0.1
9,2010926953833079296,353.51526775736,58.46955142957,-2.982,-3.054,0.3955,15.946112,0.2
10,2010979004535757184,353.51485353827,58.62509968115,-2.877,-2.88,0.4377,17.381702,0.4
11,2010972171249804928,353.32305993859,58.42692089819,-2.686,-2.537,0.5485,16.544878,0.7
12,2010972308688758144,353.39041083725,58.44595347639,-2.494,-2.612,0.3996,16.190886,0.6
13,2010990068371505024,353.23287034711,58.62536133535,-2.392,-2.429,0.5862,17.66056,0.3
14,2010925064047162496,353.37349328099,58.39734071552,-2.693,-2.584,0.5265,16.997948,0.8
15,2010975740363494400,353.56256707069,58.59681886292,-1.989,-2.469,0.4263,17.30156,0.1
16,2010974576431601920,353.61656314124,58.55346339313,-2.442,-2.125,0.4837,17.438879,0.2
17,2010973579999020160,353.27469038115,58.48666153837,-2.874,-2.678,0.526,14.81738,0.7
18,2010972171249806208,353.32011122565,58.42442783563,-2.683,-2.641,0.4877,13.361785,1.0
19,2010926335357792896,353.58146755779,58.46263694939,-3.483,-2.342,0.5821,15.895057,0.1
20,2010926266638317312,353.59168250131,58.45390078376,-2.062,-2.273,0.4066,17.567654,0.3
21,2010973545639286528,353.31309488951,58.49260932683,-2.814,-2.592,0.523,14.463405,0.7
22,2010976908591570048,353.31103566898,58.55790097518,-2.811,-2.741,0.5438,16.894619,0.7
23,2010926404077271424,353.63739714772,58.46119050468,-2.742,-2.651,0.5031,13.906446,1.0
24,2010974954388559744,353.40247284669,58.51735776101,-2.602,-2.734,0.4266,17.370571,0.4
25,2010926438437007616,353.62554856925,58.4753944657,-2.769,-2.598,0.4792,16.416588,0.8
26,2010973442560073216,353.34441802562,58.49986883958,-2.605,-2.897,0.4272,16.148922,0.3
27,2010973167682165248,353.22758994534,58.46857923292,-2.525,-2.623,0.3577,17.369837,0.2
28,2010983578682812032,353.08312872165,58.56466018996,-2.589,-2.489,0.4814,14.553678,0.9
29,2010989797795457792,353.26373590501,58.61373493534,-3.481,-2.172,0.445,16.487715,0.1
30,2010976668073325056,353.32681500082,58.52813472778,-2.648,-2.858,0.55,17.669285,0.6
31,2010983372524387840,353.10170899558,58.55909317998,-2.832,-2.13,0.4577,16.85174,0.1
32,2010979627313113472,353.37436981351,58.63698096505,-2.628,-2.772,0.6063,17.638218,0.3
33,2010973511279545856,353.28852783695,58.48805879958,-2.325,-2.166,0.6183,17.143194,0.4
34,2010972166947265280,353.33410526807,58.42800792101,-3.031,-2.533,0.5221,17.384695,0.2
35,2010989385478601472,353.20050753674,58.58826127198,-3.269,-2.347,0.4808,16.180876,0.1
36,2010973064602945792,353.18537248165,58.46045486571,-2.557,-1.839,0.3784,14.036146,0.2
37,2010973339480864256,353.30697513182,58.4810450399,-2.79,-2.446,0.4941,15.022645,0.6
38,2010972652279227264,353.37194324233,58.4760098808,-2.663,-2.695,0.4197,17.912992,0.4
39,2010971273594344576,353.12329299072,58.50994198776,-2.604,-3.05,0.4342,16.378176,0.6
40,2010974194172088960,353.46144250243,58.50004349667,-2.87,-2.723,0.4517,17.60058,0.5
41,2010975259327156096,353.419780258,58.54713874914,-2.739,-2.586,0.4596,14.02414,0.9
42,2010979421154690176,353.44070375333,58.61534118321,-2.497,-2.67,0.4083,17.113907,0.4
43,2010973339480861312,353.32103357989,58.48895902482,-2.682,-2.663,0.4494,14.921986,0.7
44,2010976225699034496,353.22619700587,58.50029909219,-2.627,-2.615,0.5333,16.177647,0.9
45,2010984334597042048,353.03377556472,58.57617679653,-2.488,-3.08,0.3909,17.964481,0.1
46,2010972544904481024,353.35439397396,58.45368075364,-3.261,-2.436,0.6377,17.516108,0.3
47,2010972102530312832,353.26057381654,58.43104227694,-2.705,-2.618,0.5472,15.082206,1.0
48,2010926949531735808,353.51789843102,58.47180889325,-2.078,-2.21,0.5984,17.78875,0.3
49,2010973305121131136,353.28827107351,58.4700107668,-2.679,-2.61,0.4826,14.592073,1.0
50,2010973339480869632,353.31697498415,58.47788426384,-2.728,-2.527,0.5009,14.006829,0.8
51,2010973713135785856,353.33537055003,58.51338202359,-2.474,-2.664,0.5905,15.934458,0.8
52,2010972514847159936,353.32031767175,58.46453081677,-2.655,-2.597,0.5774,16.096289,1.0
53,2010974885662174336,353.41995792113,58.50608899683,-2.067,-2.553,0.6016,17.858702,0.1
54,2010972549206914560,353.34569223264,58.45140683743,-2.823,-2.679,0.4664,14.731982,0.8
55,2010972544904484608,353.33664780617,58.45441587028,-2.676,-2.636,0.5398,15.082381,1.0
56,2010973373840614912,353.34389670285,58.47451532668,-2.818,-2.436,0.5438,13.968188,0.5
57,2010972102530304384,353.2612599945,58.44171268122,-2.537,-2.552,0.492,16.613642,0.9
58,2010974473352391040,353.61298030921,58.53312799961,-2.923,-2.665,0.4668,17.872868,0.1
