,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3426299203926866176,92.68162469637,24.57057388385,0.218,-0.171,0.3234,17.325146,0.2
1,3426309546207728256,92.38024337612,24.5956041403,0.332,-1.427,0.2225,17.871939,0.1
2,3426303533253901440,92.60110301553,24.63849743842,0.432,-1.375,0.4067,16.454865,0.1
3,3426304662829137280,92.53762136616,24.67682666136,0.518,-0.355,0.3351,17.452982,0.5
4,3426310263466996992,92.34215514642,24.59603738284,0.558,-0.255,0.4275,16.872002,0.4
5,3426302910482310912,92.52160527944,24.59542863495,0.599,-0.629,0.3296,16.422525,0.7
6,3426304735844739072,92.63776781386,24.63839681759,0.431,-0.661,0.0137,16.979944,0.4
7,3426309404472813056,92.35499270217,24.56940354883,0.519,-1.517,0.2595,16.742308,0.1
8,3426316418155789696,92.53064110632,24.70032360104,0.242,-0.431,0.1473,13.335842,0.4
9,3426309713710543744,92.42825245297,24.61079129012,-0.081,-1.182,0.1758,16.807514,0.1
10,3426295523138356864,92.39845180825,24.49694772392,0.046,-1.064,0.1254,15.417419,0.3
11,3426293152321982976,92.4999735902,24.48613666221,0.256,-0.455,0.339,17.711359,0.4
12,3426295012038860160,92.36473997634,24.4631931915,1.128,-1.007,0.4072,17.76972,0.1
13,3426292396402081024,92.57611588672,24.4567814546,0.701,-0.425,0.2661,16.955944,0.5
14,3426291777926751232,92.56376797307,24.43142969157,0.013,-0.566,0.2177,13.809488,0.1
15,3426303739412349440,92.50650640369,24.61284451679,0.612,-0.27,0.272,15.980978,0.8
16,3426295385699342080,92.37754242288,24.46737260406,0.292,-1.568,0.3004,17.943804,0.1
17,3426293702077971712,92.5545394059,24.53552631397,-0.086,-0.219,0.3905,17.38691,0.3
18,3426309340050023296,92.38402618479,24.57351453837,-0.195,-0.847,0.2896,15.95062,0.1
19,3426316620018136960,92.47016154501,24.70329864317,0.951,-0.438,0.1999,17.82623,0.3
20,3426310022948238592,92.38462404343,24.63132142434,0.383,-1.437,0.0323,16.51192,0.1
21,3426302605540988288,92.53620069928,24.56040829223,0.832,0.126,0.2498,15.886748,0.4
22,3426298035695787520,92.46823462338,24.60618266839,0.456,-0.423,0.1538,15.612805,0.9
23,3426296970543899776,92.49916721392,24.56677025195,0.62,-0.562,0.1051,16.128069,0.7
24,3426300196062986624,92.63643556001,24.60006482312,0.435,-0.484,0.0117,14.996429,0.4
