,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2030532100856700672,299.54498033283,30.91619706719,-2.261,-4.848,0.2174,17.642838,0.5
1,2030530696451115904,299.49462021157,30.88063595623,-2.679,-4.628,0.0878,17.601013,0.2
2,2030527427931835264,299.51436354667,30.84065302649,-2.707,-5.004,-0.103,16.38556,0.4
3,2030528634866951680,299.58411277427,30.84400121984,-2.691,-5.312,0.2174,17.81089,0.1
4,2030530318493992320,299.47756333903,30.85164417898,-3.035,-5.656,0.1601,16.597788,0.1
5,2030530662091375744,299.49301964038,30.87411844337,-2.326,-3.974,0.3068,17.78263,0.3
6,2030531967761635328,299.52670065539,30.88420537622,-2.564,-5.073,0.2399,17.557735,0.2
7,2030528875385134592,299.55725498042,30.8560040599,-2.929,-5.675,0.1411,16.322205,0.1
8,2030530146695315072,299.45350302076,30.84870339745,-2.704,-5.149,0.004,15.874001,0.3
9,2030530490275193984,299.50946286228,30.88546393784,-2.469,-5.219,0.0422,17.799696,0.3
10,2030530524652433664,299.46789742965,30.86239924302,-2.856,-4.597,0.0504,17.619226,0.7
11,2030528669226701184,299.56413794268,30.85365860459,-2.454,-5.012,0.1465,17.038149,0.5
12,2030530559012173568,299.47016860957,30.86931963296,-3.578,-5.234,0.0562,15.864728,0.2
13,2030530524652432256,299.46307468544,30.85206065444,-2.678,-4.621,0.0454,16.29354,0.5
14,2030531933401888512,299.5443974352,30.87890828809,-2.562,-4.82,0.0541,16.434967,0.9
15,2030531899042149248,299.53542279631,30.87883339018,-2.507,-4.912,0.152,17.184889,0.5
16,2030532208262391424,299.51474081347,30.91125175973,-2.748,-4.95,0.0978,17.316196,0.4
17,2030528703586435328,299.57431513765,30.85032995123,-3.178,-5.512,0.1245,15.726896,0.2
18,2030528703586450432,299.58005222294,30.86022449212,-2.604,-4.989,0.0841,16.353956,0.8
19,2030530730810873856,299.46934390197,30.88689876728,-2.102,-4.294,0.2564,17.56842,0.1
20,2030529042839830016,299.58118178743,30.89068097365,-2.394,-5.333,0.2318,17.916456,0.1
21,2030532723675982720,299.55109309867,30.93523642072,-2.035,-4.497,0.1092,16.61572,0.3
22,2030527290492680576,299.4963157614,30.81891650563,-2.34,-4.846,0.0518,17.926155,0.2
23,2030528978464379520,299.54382397374,30.8746122237,-2.708,-4.782,0.1514,17.660854,0.6
24,2030530593371917696,299.45664153309,30.8635483268,-2.747,-4.954,0.231,16.348124,0.5
25,2030528944104627200,299.53820149389,30.86737502146,-2.531,-5.045,-0.0057,17.881998,0.8
26,2030530348509624320,299.48343398051,30.84966569472,-2.523,-4.634,0.2644,17.989784,0.4
27,2030528978464365056,299.55279491414,30.86633839845,-2.296,-4.512,0.2158,16.757502,0.2
28,2030529012824103808,299.57522639149,30.86578395164,-2.264,-4.825,0.0164,17.362705,0.3
29,2030531894698116480,299.53093438022,30.8746441409,-2.731,-4.601,0.2069,17.803993,0.5
30,2030527397916189056,299.53672079918,30.84827377249,-2.728,-5.157,0.1967,17.447947,0.4
31,2030528909744886528,299.5542572371,30.86562053462,-3.194,-4.759,0.0196,17.33074,0.2
32,2030528875385146496,299.55295447271,30.86468436157,-2.656,-4.91,0.1145,14.938744,0.8
33,2030531894698119424,299.52869086374,30.88017494444,-2.909,-4.733,-0.0159,17.759794,0.6
34,2030529253342339200,299.62086111996,30.8973195343,-2.867,-5.099,0.1993,17.350586,0.4
35,2030532002121409664,299.52969889524,30.90109089211,-2.576,-4.67,0.1306,15.613252,0.4
36,2030532208279854336,299.52572771399,30.90769598677,-2.726,-4.073,0.1741,16.548817,0.1
37,2030532242639592576,299.50101983174,30.90857251838,-2.031,-4.383,0.2271,15.569455,0.1
38,2030532242639593088,299.50533965154,30.90865415396,-2.446,-4.984,0.0187,17.625479,0.7
39,2030532105200636800,299.54159584281,30.90547861966,-2.425,-4.794,0.113,17.800316,0.9
40,2030529115903395840,299.57341708587,30.90277844111,-2.714,-4.886,0.004,17.304281,0.7
41,2030532208279848832,299.52422809036,30.90453726371,-3.472,-5.102,0.2141,16.61518,0.1
42,2030531933384154496,299.54108715481,30.87913345247,-2.564,-4.853,-0.0001,17.146004,0.8
43,2030529493860530688,299.58673237011,30.90915327664,-3.458,-4.773,0.0092,17.917881,0.1
44,2030532105200644864,299.53377950879,30.91032431496,-2.876,-5.094,0.2755,16.509483,0.1
45,2030531555444831232,299.45104390974,30.91346073924,-3.31,-5.18,-0.0847,17.900566,0.1
46,2030532311359074048,299.52963446753,30.91090534801,-2.53,-4.809,0.0964,15.428141,0.9
47,2030529425141048320,299.59576403068,30.90599689667,-3.139,-5.535,0.1114,17.973558,0.3
48,2030532105200641408,299.53617508715,30.90822209835,-2.462,-4.712,0.1334,15.886706,0.7
49,2030529253342355712,299.62062731227,30.90485821336,-2.962,-5.497,0.1236,16.444777,0.1
50,2030530657747440896,299.49241666821,30.8741515953,-2.866,-4.717,0.2455,17.89586,0.1
51,2030532276999346304,299.51508737392,30.91542527454,-2.543,-4.762,0.2622,17.406641,0.4
52,2030528703568505344,299.57299523727,30.85182036463,-2.563,-5.011,0.084,16.475075,0.8
53,2030530417237181568,299.51734127102,30.86176129905,-2.865,-5.445,-0.0398,17.887547,0.4
54,2030530387194809728,299.50331130444,30.8533058748,-2.527,-4.775,-0.0383,17.941095,0.4
55,2030529455156796544,299.61290912583,30.90923053262,-3.569,-5.282,0.0501,16.661184,0.1
56,2030532105200652800,299.54144523089,30.91358266608,-2.915,-5.243,0.1169,17.156237,0.1
57,2030528669226485888,299.56512182685,30.83639978844,-2.945,-5.712,-0.06,17.542315,0.1
58,2030532311359084160,299.52667741609,30.91472483763,-2.571,-4.218,0.1448,15.926881,0.1
59,2030530455914297984,299.50783436025,30.86381907738,-2.343,-4.73,0.0801,17.192545,0.5
60,2030532105200649088,299.53518807045,30.91204721624,-2.449,-5.317,0.0578,16.639631,0.3
61,2030532276999341440,299.50748065665,30.91335433986,-2.274,-4.737,0.1017,17.613916,0.3
62,2030532105200637184,299.54352444564,30.9057591935,-2.663,-4.477,0.2036,17.655853,0.1
63,2030532311359092864,299.5372305975,30.91803845387,-2.571,-4.97,0.2011,17.451391,0.2
64,2030532311359090816,299.52998115015,30.91739961326,-3.01,-4.295,0.1635,16.739534,0.2
65,2030532139560400256,299.55536617633,30.91700218159,-2.717,-4.948,0.1761,17.092747,0.3
66,2030532139560397440,299.55981731149,30.91565783758,-2.659,-5.021,0.1362,16.572777,0.4
67,2030530249755873536,299.48816780667,30.83677324379,-1.909,-4.649,0.1005,17.78364,0.3
68,2030532311359088000,299.52604994287,30.91628792107,-2.78,-4.651,-0.0232,17.233627,0.9
69,2030532036481148672,299.55879654302,30.90038432278,-2.581,-4.609,0.2335,17.320225,0.5
70,2030529489516538368,299.58393283509,30.91112091993,-3.377,-4.49,0.2327,16.71791,0.1
71,2030529081543625088,299.55750052758,30.88921519659,-2.81,-4.678,0.1621,17.621004,0.7
72,2030530455914302464,299.50563049425,30.86262861282,-2.368,-4.67,0.247,16.124298,0.2
73,2030527844592749184,299.57773094525,30.82364995411,-2.666,-4.852,0.1713,16.978498,0.4
74,2030532448798050304,299.56621451382,30.91875920418,-2.498,-4.852,-0.0017,17.929575,0.6
75,2030532998553864960,299.49311046244,30.92194786702,-2.354,-4.91,0.1976,14.665947,0.8
76,2030527466635674112,299.52984438147,30.85342668454,-2.488,-5.113,0.1809,16.692629,0.5
77,2030530520310765568,299.464116008,30.84682383706,-2.183,-4.976,0.1382,17.908499,0.2
78,2030530490292680192,299.50082986291,30.87639813477,-2.672,-4.735,0.0317,16.944593,1.0
79,2030531933401899392,299.54201781774,30.88476253004,-3.029,-5.071,0.1281,16.998575,0.2
80,2030530520310765440,299.46405954713,30.86060615513,-2.724,-4.744,0.0778,17.624361,0.7
81,2030529214638565760,299.61051614583,30.89266106502,-2.635,-4.76,0.0057,17.584005,0.5
82,2030529493843129472,299.5817790995,30.91487213692,-2.179,-4.403,0.1302,16.791807,0.1
83,2030532208279997824,299.51860603666,30.89981283852,-2.683,-4.683,0.1782,16.555054,0.6
84,2030528737946179200,299.59959938293,30.85329324629,-3.284,-5.128,0.17,15.28583,0.1
85,2030531933401913856,299.54170143784,30.89151233752,-2.837,-5.156,0.2689,16.03992,0.1
86,2030531933401909248,299.5474397554,30.88945193179,-2.991,-5.475,0.0084,16.15365,0.2
87,2030528939757096832,299.53759939365,30.86690665699,-2.56,-4.735,0.1343,17.286987,0.4
88,2030527290492735360,299.50074186736,30.82522095404,-2.861,-4.648,0.0231,17.513002,0.4
89,2030532002121387520,299.52786998545,30.89069646091,-2.64,-4.861,0.1492,15.467815,0.8
90,2030528841025454080,299.59726437233,30.8862734999,-2.816,-4.875,-0.0177,16.897055,0.6
91,2030531933401908480,299.5365127471,30.88954723955,-2.619,-4.812,0.1045,15.148063,0.8
92,2030532036481124224,299.55537702215,30.88915198813,-2.631,-4.943,0.0718,15.394184,0.8
93,2030529455156752512,299.60939719933,30.900674745,-1.865,-4.75,0.2458,17.749105,0.1
94,2030528596165433600,299.57044148522,30.82815930611,-2.768,-4.283,-0.0061,17.780989,0.2
95,2030530765170817664,299.48757248115,30.89718638559,-3.122,-5.416,0.2469,11.015536,0.1
96,2030531933401921536,299.53988405359,30.89490265013,-2.044,-4.782,0.1482,17.571415,0.4
97,2030532036481138304,299.55070224349,30.89546157091,-2.856,-4.661,0.238,16.246622,0.2
98,2030530387213449344,299.51252740508,30.86014891582,-2.73,-4.731,0.0913,16.27305,1.0
99,2030531933384172032,299.53888495943,30.88106261838,-2.721,-4.643,0.0627,17.538088,0.5
100,2030529425141018624,299.59198368977,30.89227025977,-3.014,-5.214,0.1518,17.732443,0.1
101,2030531967761658880,299.52189464461,30.89524344393,-2.784,-4.759,0.0573,15.946418,0.8
102,2030529115903373952,299.57672341274,30.89309263412,-2.21,-4.976,0.0701,16.809298,0.2
103,2030528939762813312,299.54644844048,30.86917369796,-2.661,-5.086,0.0708,17.697317,0.3
104,2030532002121394944,299.5282033055,30.89394928469,-3.11,-5.428,0.0644,17.57469,0.2
105,2030530520308381568,299.47105422972,30.85811942766,-2.187,-4.866,0.2445,17.251926,0.4
106,2030529081543633280,299.55993773194,30.89316800424,-2.651,-4.737,-0.0687,16.636362,0.6
107,2030532478813886976,299.58621934124,30.9322149693,-2.673,-5.431,0.1365,17.607971,0.2
108,2030530730811075712,299.47667827479,30.89608582839,-2.676,-4.778,0.1974,16.715717,0.8
109,2030529115903370752,299.57062108965,30.89184670504,-2.824,-4.695,-0.0052,16.56179,0.7
110,2030532173920084736,299.5100382897,30.893726053,-2.551,-5.278,0.1949,17.673687,0.3
111,2030530589024544512,299.45325893323,30.87424717186,-2.778,-5.36,-0.0143,17.829447,0.2
112,2030532002121393280,299.52823569631,30.89316230182,-3.234,-4.925,0.1007,17.96055,0.3
113,2030532002121407872,299.52428365465,30.9004282315,-3.196,-5.43,0.1475,15.269171,0.3
114,2030529077199504768,299.55990991987,30.88066511094,-2.744,-4.824,0.1453,17.422895,0.7
115,2030533131656481152,299.51022113184,30.94236817793,-2.775,-5.251,-0.008,16.849365,0.3
116,2030530765170824192,299.4834438552,30.90082908025,-3.313,-5.339,0.1624,16.349344,0.3
117,2030529425141027584,299.58815511963,30.89692766985,-3.174,-5.443,0.1461,17.59081,0.1
118,2030529081543641088,299.56517850232,30.89652450539,-1.973,-4.199,0.167,16.66889,0.2
119,2030532002121403392,299.54024757864,30.89793964697,-2.871,-5.516,0.0365,17.170973,0.1
120,2030529115903380352,299.57014306528,30.896721494,-2.449,-4.505,0.0265,17.738916,0.6
121,2030533303443933056,299.4749434841,30.94977596204,-2.615,-4.906,0.1043,17.463161,0.3
122,2030532994212090368,299.48355636005,30.91260032024,-2.285,-4.837,0.1346,17.927612,0.1
123,2030529115903377408,299.57133885398,30.89485791382,-2.086,-4.851,0.3193,15.69306,0.2
124,2030532002121401600,299.52509690605,30.89728739072,-2.754,-4.841,-0.0835,17.526608,0.6
125,2030527466635671424,299.53384206182,30.85410195974,-3.256,-5.551,0.1444,14.632744,0.2
126,2030532994209942912,299.48569876888,30.92869208254,-2.759,-4.469,0.1199,17.761423,0.3
127,2030528767961732352,299.60306846436,30.86084397359,-3.194,-5.439,-0.0279,17.541487,0.2
128,2030532105200628352,299.54092704745,30.90214822834,-2.528,-4.73,0.0903,15.926238,0.6
129,2030529425141035264,299.59544867102,30.90009270386,-3.233,-5.476,0.2793,15.27391,0.1
130,2030532002121414144,299.52891357415,30.90288304667,-2.809,-5.579,0.0443,16.931414,0.2
131,2030530765170829312,299.49179712072,30.90287823551,-2.558,-4.853,0.0248,16.711231,0.6
132,2030531551100809600,299.45856484405,30.90626838686,-2.928,-5.072,-0.0388,17.728798,0.1
133,2030529115903388160,299.57958451442,30.89983803662,-2.921,-4.269,0.1427,17.951283,0.2
134,2030532002121408896,299.52700180602,30.9008612836,-2.856,-4.903,0.2102,17.281511,0.3
135,2030529008480021248,299.5765873942,30.87988479923,-3.511,-5.305,0.0675,17.684893,0.1
136,2030532478813878784,299.59207738934,30.93056223985,-2.904,-4.646,0.1788,17.834703,0.1
137,2030529042842035456,299.58792041048,30.88603882094,-2.536,-4.789,-0.0575,17.838396,0.6
138,2030532998536414080,299.48116788369,30.91623775158,-3.008,-4.896,0.1738,16.862503,0.1
139,2030531967744043904,299.522265507,30.89462984341,-1.909,-5.37,0.2519,16.999445,0.1
140,2030527226117497728,299.51318890514,30.81427221187,-2.654,-4.898,0.1825,15.821759,0.6
141,2030527329196727808,299.50553449452,30.83554956218,-2.688,-4.713,0.1449,16.55062,0.5
142,2030530421573179648,299.52241360348,30.8578559765,-2.87,-5.209,0.0862,17.868568,0.1
143,2030527432275942656,299.51124761293,30.84350300024,-2.05,-5.366,0.2042,16.600525,0.1
144,2030528939757101312,299.54458923631,30.87220265814,-3.272,-5.037,0.2246,17.880713,0.2
145,2030528974120301952,299.55736379374,30.88224502959,-2.406,-4.912,0.1941,17.955883,0.4
146,2030527294836983936,299.50451884792,30.821819562,-2.895,-4.807,0.2867,15.873164,0.2
147,2030527466635675008,299.53188860749,30.85998815252,-2.465,-5.258,0.2707,17.148281,0.1
148,2030532758018549632,299.55725053753,30.94920838875,-2.356,-4.084,0.2014,17.828894,0.2
149,2030530627713094912,299.47256861304,30.87824545877,-2.579,-5.298,0.2973,17.59743,0.1
150,2030532036481137920,299.5460715351,30.89526363953,-2.556,-4.949,0.0767,17.051905,0.5
