,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2168746901519321472,316.01411123019,50.24568948612,1.151,-3.461,1.421,17.05074,1.0
1,2168746931572895104,316.02967716831,50.25532398081,1.599,-3.085,1.6557,17.703634,1.0
2,2168747073318011904,316.05449227992,50.27213661073,1.436,-3.489,1.7539,17.050531,1.0
3,2168746931577366400,316.02394689842,50.24662535567,2.031,-3.672,1.6522,17.653318,1.0
4,2168746931577367168,316.02872914104,50.24495525017,1.079,-3.972,1.7208,17.95002,0.9
5,2168746901519322624,316.01072725405,50.23583623761,1.287,-3.312,1.7153,17.275478,1.0
6,2168746764080380288,316.06762504352,50.22642989197,1.743,-3.512,1.6182,17.585863,1.0
7,2168744805575294464,315.95369836491,50.16806397797,1.288,-3.361,1.522,17.657354,1.0
8,2168746832799852672,316.02848414256,50.22165115644,1.387,-3.396,1.5196,15.988181,1.0
9,2168745973806403840,316.10668185212,50.22808925037,1.155,-3.574,1.9198,17.600687,0.9
10,2168745939446667648,316.09681743563,50.21681650117,1.201,-3.451,1.7003,17.123234,1.0
11,2168747073314061824,316.05495894343,50.27239779841,1.244,-3.552,1.5722,14.104978,1.0
12,2168746897213146752,316.01874852462,50.23376391225,1.27,-3.262,1.8265,17.707819,1.0
13,2168746935879060352,316.02662293763,50.24626559894,0.7,-3.478,1.6073,13.404764,1.0
14,2168746935879058944,316.02758663766,50.25607140347,1.629,-3.459,1.6654,16.3439,1.0
15,2168746867159586176,316.0388085697,50.24055561016,1.543,-3.676,1.5445,16.465899,1.0
16,2168746867159585792,316.03661636254,50.24251950998,1.399,-3.252,1.666,17.203772,1.0
17,2168746867159585920,316.03630766403,50.24045661582,1.931,-3.531,1.4886,16.96831,1.0
18,2168746450536542592,316.01541454096,50.2230325938,1.333,-3.818,1.3145,16.538586,0.8
19,2168758652549843456,316.00122537221,50.23891124981,1.829,-3.003,1.3644,17.665693,1.0
20,2168759236665389312,315.91444810067,50.26467959252,1.072,-3.877,1.6855,15.521083,0.9
21,2168758686909578496,316.01311547956,50.26142188846,1.789,-3.203,1.5755,16.491156,1.0
22,2168758274592720128,315.99585880889,50.2414959455,1.044,-3.218,1.7025,16.923016,1.0
23,2168758652549842560,316.00574329532,50.24503302077,1.251,-2.795,1.5061,16.220047,1.0
24,2168758652549841408,315.9955064435,50.24755514644,1.446,-3.283,1.601,15.636055,1.0
25,2168758339006034176,315.97272501318,50.24439640318,1.711,-3.389,1.5469,17.425121,1.0
26,2168758098487830272,315.94662011891,50.19102390954,1.028,-3.659,1.5929,16.750227,1.0
27,2168758652549842944,316.00806805821,50.24537367265,1.254,-3.29,1.6213,17.033464,1.0
28,2168758339005340160,315.97595695365,50.25276002038,0.972,-3.537,1.6507,12.217856,1.0
29,2169122316016537344,316.08133204336,50.26607823891,1.559,-4.063,1.5316,14.73968,1.0
30,2169122659613918208,316.14945276756,50.31803604374,1.437,-3.534,1.6999,17.430027,1.0
31,2169122483514915712,316.1200428257,50.30677345288,1.817,-3.146,1.7369,17.940588,1.0
32,2169134234545535104,316.05532060016,50.32374495642,1.346,-3.601,1.4999,17.697453,1.0
