,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3012344483498913920,85.71582958508,-8.45145098246,0.042,-0.413,2.3984,17.529465,0.8
1,3012342181396446080,85.62756833728,-8.54868627724,0.531,-0.099,2.3916,12.925281,0.3
2,3012722509340910336,85.94376331631,-8.31449132098,0.393,-0.495,2.4756,16.222733,0.7
3,3012729450008052864,86.00907703736,-8.2082466208,0.575,-0.279,2.3117,17.53651,0.6
4,3015416037950917248,85.3084537853,-8.1326209863,0.107,-0.26,2.3452,15.290746,0.9
5,3015365288617345792,85.54592656399,-8.24497545861,-0.051,-0.421,1.9956,17.094332,0.9
6,3015417682922382336,85.35564466788,-8.09853410896,0.348,0.137,2.4295,12.499839,0.2
7,3015348727223491840,85.70472881392,-8.34363267989,0.204,-0.657,2.2311,16.513895,1.0
8,3015352266276543232,85.65801424485,-8.28407530553,0.12,-0.133,2.3376,13.677205,0.9
9,3015347833870294528,85.73726844219,-8.3806434406,-0.097,-0.679,2.1772,16.312971,1.0
10,3015347833870294656,85.72900422124,-8.37500314552,-0.579,-0.187,2.0591,17.173357,1.0
11,3015352197557067520,85.63107868372,-8.29553285874,0.357,0.294,2.2393,16.37917,0.7
12,3015345669206779776,85.66397661076,-8.44119551701,-0.073,-0.635,2.2172,15.392404,1.0
13,3015351476002562816,85.61790491637,-8.35339109225,-0.401,-0.637,2.0486,17.200525,1.0
14,3015346803078146176,85.59448189542,-8.39883062773,0.014,-1.183,2.1603,16.46035,1.0
15,3015348761583229568,85.72334784548,-8.33962669384,-0.038,-0.252,2.1254,16.284836,1.0
16,3015351991398636672,85.67943505609,-8.30974358801,-0.343,-0.497,2.0591,16.911621,1.0
17,3015349998533774336,85.53585400318,-8.37049824341,0.238,-0.174,2.2293,14.727471,0.8
18,3015741390314308096,85.61950460326,-8.15343461319,0.433,-0.664,2.3247,15.015466,0.9
19,3015796911355479552,85.43999827467,-7.93195698852,-0.105,-0.649,2.4766,17.449785,1.0
20,3015727783857916160,85.67543308974,-8.25421736822,0.274,-0.044,2.5037,17.17111,0.7
21,3015723042214020736,85.80917226099,-8.35432363462,0.719,-0.852,2.2459,17.555298,0.8
22,3015794128216616576,85.4572555082,-8.00896593699,1.029,-0.268,2.413,11.343456,0.5
23,3015745028150886400,85.54375971854,-8.12642115119,-0.472,-0.11,2.4284,17.662506,0.9
24,3015727508980008832,85.70063623449,-8.27361392715,-0.111,-0.364,2.201,15.90685,1.0
25,3015727818217654016,85.6898581862,-8.24840749854,0.357,-0.547,2.4005,16.160831,0.8
26,3015727749498176512,85.70412766366,-8.25010968024,0.17,-0.863,2.3874,17.16797,0.9
27,3015749975951858176,85.8539358244,-8.02163428145,0.859,-0.434,2.141,17.829159,0.8
28,3015729914161691392,85.7853827597,-8.19230799684,0.173,-0.533,2.2744,17.17626,1.0
29,3015750495644968192,85.74311304511,-8.01719774337,-0.067,-0.151,2.3224,16.204006,1.0
30,3015729158247448320,85.70747676583,-8.20285699923,0.462,-0.463,1.9958,17.0423,1.0
31,3015732869099186048,85.91194702507,-8.17810008559,0.517,0.208,2.5161,16.223253,0.2
