,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5867270611670584448,211.1969415539,-60.21789170391,-7.962,-4.563,1.3581,14.950431,1.0
1,5867271505023284992,210.83448004878,-60.28424159918,-7.783,-4.623,1.3081,15.04007,1.0
2,5867322151281817728,210.98772559333,-60.07343909804,-7.069,-4.681,1.4689,13.355814,0.1
3,5867322426159851392,211.08230597096,-60.05351298038,-7.801,-4.463,1.3419,15.89515,1.0
4,5867322013842845824,210.94012380045,-60.09675040358,-7.949,-4.477,1.3011,13.475412,1.0
5,5867344691271386368,210.79265909846,-59.74379022868,-8.344,-5.052,1.2883,15.227999,0.5
6,5867920251264145408,211.29176016898,-59.34167920194,-7.918,-3.618,1.2528,17.594452,0.4
7,5867919598429407104,211.1227273253,-59.34637171699,-8.586,-4.574,1.2568,17.5687,0.1
8,5867959146492485888,211.73263928537,-58.88157606983,-8.356,-4.987,1.2392,16.139433,0.1
9,5867969896745532800,211.40797872596,-58.80507388898,-8.148,-4.617,1.2931,16.771626,0.6
10,5867951175032089600,211.61652276388,-59.04829138264,-7.483,-4.351,1.4364,16.730095,0.8
11,5867991891297897088,210.96449140155,-58.90210392359,-7.781,-4.457,1.384,17.966423,0.3
12,5867525045546699008,210.30107056431,-59.84423629042,-8.156,-4.922,1.2308,16.21932,0.4
13,5867529301820735360,210.14646795928,-59.77262606594,-7.501,-4.17,1.4277,12.557025,0.9
14,5867533596784552320,210.7110421909,-59.6659444603,-7.881,-4.284,1.3494,17.59637,0.5
15,5867543496727620992,210.10422740026,-59.62316878377,-7.627,-5.013,1.178,9.574389,0.3
16,5867601977006498048,210.14123033043,-59.3742051824,-8.558,-3.954,1.2808,13.769271,0.2
17,5867636027492668288,211.6498773329,-60.0837056083,-7.778,-4.332,1.2358,17.140182,1.0
18,5867638226516526080,211.93569899986,-60.0925090247,-7.061,-5.161,1.2432,16.422215,0.3
19,5867633347433089536,211.36408481989,-60.21976197449,-7.944,-3.959,1.2831,17.58139,0.3
20,5867661007024681472,211.85011356421,-59.78596756487,-8.29,-4.952,1.2367,10.593652,0.2
21,5867661728579209344,211.69079426294,-59.77910093086,-7.707,-4.552,1.3596,14.795506,1.0
22,5867661384981851904,211.85414358972,-59.74476882908,-7.611,-4.654,1.3777,16.45726,1.0
23,5867670726504017152,212.24972078752,-59.75063590563,-7.487,-4.698,1.2685,16.575678,0.9
24,5867659976232498048,211.67703023722,-59.8192381902,-8.198,-4.232,1.3344,13.36104,0.5
25,5867661037057275008,211.89761670344,-59.78254366388,-7.894,-5.313,1.2964,11.654031,0.6
26,5867668978484765952,212.15672614895,-59.80262115782,-8.015,-4.765,1.3508,11.509102,0.9
27,5867668600527624064,212.17444355687,-59.8527779965,-7.788,-4.778,1.2927,12.687377,1.0
28,5867668394369191808,212.04621468553,-59.86445430839,-7.881,-4.579,1.2888,14.52289,1.0
29,5867656673370511104,212.01343351787,-59.85917185031,-7.838,-4.56,1.3649,8.776681,0.9
30,5867661247542868992,211.79458554371,-59.77457777893,-7.239,-4.491,1.2986,12.315307,0.5
31,5867653924600551808,211.72642064378,-60.00855409545,-7.43,-4.491,1.4108,17.475733,0.6
32,5867656712057463296,211.9771426761,-59.86968926006,-8.527,-4.003,1.352,12.377859,0.4
33,5867657016968128512,211.97052937159,-59.82248118774,-7.933,-4.584,1.2886,16.435274,1.0
34,5867661964770782848,211.73606450957,-59.74320419358,-7.799,-4.449,1.2538,17.301458,0.9
35,5867651042699765632,211.26866092967,-60.03810731611,-8.044,-5.242,1.2734,15.662694,0.6
36,5867655200228646272,211.59530900991,-59.96061194382,-7.672,-4.705,1.2927,14.960604,1.0
37,5867644342550129280,211.91174974839,-59.92855652588,-7.712,-4.687,1.3279,13.23354,1.0
38,5867656849496190464,211.88999569037,-59.86953000388,-7.478,-4.465,1.4136,16.42937,0.8
39,5867659323397347840,211.5081033224,-59.89882311285,-7.846,-4.667,1.2814,16.472666,1.0
40,5867644067672201344,211.93354030143,-59.96992190269,-7.83,-4.706,1.3688,15.823744,1.0
41,5867670760863228032,212.27207791962,-59.73912125234,-7.627,-4.36,1.3129,12.313484,1.0
42,5867662480166970624,211.81600080517,-59.70294901091,-7.714,-4.534,1.3023,15.240219,1.0
43,5867650213741638144,211.29498445266,-60.05760608656,-7.802,-4.249,1.37,12.419232,1.0
44,5867654130749311360,211.65104327842,-60.00570312906,-6.883,-4.734,1.4531,17.496557,0.2
45,5867672311379822720,212.69151023064,-59.75672297382,-6.809,-4.562,1.3494,15.333184,0.3
