,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5964026943396680960,253.75902986028,-45.16141766538,-0.586,-1.481,0.4122,17.140705,0.3
1,5964027737983804288,253.71412453793,-45.15535932811,-0.04,-2.284,0.2281,17.331066,0.2
2,5964027768030414592,253.72351401472,-45.15035761437,-0.182,-1.804,0.2929,15.444318,0.6
3,5964026947709801344,253.74808406722,-45.16541228797,-0.477,-2.062,0.3091,15.296087,0.6
4,5964026531079755392,253.78652003064,-45.20954588766,0.342,-1.623,0.2226,17.8558,0.5
5,5964027016429283584,253.74393311643,-45.16138371046,-0.266,-1.478,0.3868,15.467872,0.1
6,5964027600544835968,253.70606283409,-45.18348290547,-0.266,-2.027,0.3609,14.967629,0.6
7,5964026982069548928,253.72798315444,-45.16517652908,-0.281,-2.021,0.3031,13.722701,0.8
8,5964027458792732416,253.66363854732,-45.18010453365,-0.073,-1.796,0.2609,17.14425,0.4
9,5964027291307200384,253.68598752532,-45.1797097675,0.045,-1.597,0.3659,16.202585,0.3
10,5964027291307198720,253.69018349797,-45.18091486063,-0.395,-2.219,0.2719,17.119915,0.3
11,5964027115195571712,253.66223893092,-45.21133370554,0.007,-1.158,0.3639,17.862492,0.1
12,5964026496719982592,253.78709855788,-45.23872087147,-0.634,-1.807,0.2312,17.241428,0.1
13,5964026359281051520,253.73330176516,-45.22044983721,-0.297,-1.207,0.2593,17.812695,0.1
14,5964027188227964288,253.6980720259,-45.20415709668,-0.358,-2.159,0.4531,15.721619,0.3
15,5964026844630580992,253.71925923682,-45.19123069925,-0.22,-2.308,0.459,15.821112,0.2
16,5964026565439485952,253.76762361017,-45.2173287012,-0.069,-1.887,0.3078,16.302118,0.5
17,5964026501033148928,253.77272327867,-45.22828226212,-0.534,-1.904,0.3769,14.758659,0.4
18,5964027046475809536,253.68114852561,-45.2299472214,-0.836,-1.882,0.3099,17.085766,0.1
19,5964026741551352704,253.77111462183,-45.18044834152,-0.059,-2.865,0.3164,16.008595,0.1
20,5964026604112378624,253.77858804841,-45.20460881955,-0.4,-1.906,0.2679,13.641677,0.8
21,5964026668518729856,253.79198104091,-45.19327692704,0.128,-1.268,0.3739,17.538736,0.3
22,5964026535393100288,253.78997599595,-45.22452962163,-0.139,-1.972,0.2095,16.764515,0.5
23,5964026329234480000,253.71563030492,-45.22800921618,-0.427,-2.048,0.3296,14.201274,0.7
24,5964026707191604608,253.77843718053,-45.1886693701,-0.302,-2.066,0.3282,14.61711,0.6
25,5964026432313707904,253.70974008276,-45.21524245856,-0.56,-2.083,0.2759,15.962603,0.2
26,5964027703624077312,253.69216512567,-45.14961166657,-0.115,-1.932,0.3751,15.870929,0.1
27,5964026810270835200,253.73969116458,-45.18911778021,-0.696,-1.856,0.3391,13.827641,0.3
28,5964026359281047040,253.73010948468,-45.22402225035,-0.22,-1.729,0.4616,16.742498,0.2
29,5964026496720001920,253.77492284485,-45.22252476675,-0.4,-1.866,0.3863,16.392027,0.7
30,5964027046475817984,253.68827321201,-45.22103329119,-0.701,-2.124,0.4412,17.08162,0.1
31,5964120612370637440,253.77833732306,-45.14612177883,-0.62,-2.109,0.3152,13.562525,0.4
32,5964108582134867200,253.88905891453,-45.19423438944,0.392,-1.419,0.3694,17.415628,0.1
33,5964120612370632064,253.77451698237,-45.15434640689,-0.317,-2.076,0.3424,13.271511,0.7
34,5964120681090106880,253.80333200202,-45.13946674484,-0.768,-2.048,0.274,14.888003,0.2
35,5964108895699816448,253.8202157203,-45.16491000755,-0.493,-1.741,0.425,15.640634,0.2
36,5964108552102357888,253.89340910137,-45.21238030499,-0.22,-1.955,0.2629,15.293605,0.6
37,5964108552102372352,253.88583786725,-45.19792744738,-0.186,-2.035,0.4432,16.25017,0.4
38,5964108723886577792,253.84686533816,-45.18814177766,-0.285,-1.914,0.4084,15.595555,0.5
39,5964120715435455360,253.78899224411,-45.14818427214,-0.163,-1.712,0.4518,16.937067,0.3
40,5964109239297192320,253.8535583286,-45.1557766821,-0.336,-1.934,0.4478,17.19884,0.1
41,5964108517742651136,253.85317657805,-45.1964652064,-0.441,-1.549,0.3197,17.758741,0.1
42,5964108586462118016,253.88340804389,-45.18929242473,0.527,-1.826,0.3295,17.016321,0.2
43,5964108792620598400,253.81679952387,-45.17128839214,-0.113,-1.782,0.2831,17.386599,0.4
44,5964120814210940544,253.75901983846,-45.1358589883,-0.088,-2.055,0.2595,16.607857,0.4
45,5964120573684118784,253.77388737026,-45.15617769907,-0.386,-2.011,0.3652,15.68037,0.7
46,5964026084402928768,253.77365359746,-45.25283677407,-0.651,-1.983,0.27,11.506051,0.2
47,5964026187482359936,253.7580349432,-45.22092912268,-0.386,-2.271,0.2676,15.89444,0.4
48,5964014333372407680,253.79314447111,-45.27093085993,-0.355,-2.002,0.3051,12.064471,0.5
49,5964024263336902528,253.68475112667,-45.29582374251,-0.099,-1.8,0.2809,17.485846,0.3
50,5964026118762666112,253.77339818457,-45.23301112517,-0.452,-1.991,0.3267,12.4516,0.5
51,5964025985637049344,253.77096640029,-45.26562279431,-0.375,-2.147,0.211,14.981283,0.8
52,5964024233290391552,253.686638586,-45.3159871909,0.124,-2.525,0.3441,14.633957,0.1
53,5964025538960495744,253.67629052632,-45.25415708098,-0.32,-1.881,0.3766,10.819606,0.4
54,5964012516619556480,253.78878433865,-45.33192479448,-0.669,-1.805,0.3866,17.229261,0.2
55,5964024744373291136,253.71830623291,-45.26312671087,-0.269,-1.885,0.3713,17.699497,0.2
56,5964013959728568448,253.83292063387,-45.30483852924,-0.095,-1.729,0.4442,17.262466,0.1
57,5964025538947241344,253.67794341187,-45.25446199351,-0.222,-1.991,0.3326,12.648767,0.6
58,5964014642610250240,253.85757084367,-45.2357414592,-0.337,-1.903,0.3182,13.397307,0.6
59,5964024370729325568,253.738715055,-45.31777150632,-0.714,-2.585,0.2406,14.848724,0.1
60,5964025573307011200,253.67913408004,-45.23725723248,-0.35,-1.751,0.2289,17.442709,0.3
61,5964012654058520320,253.79815125751,-45.31411952273,-0.706,-1.839,0.4074,16.680609,0.1
62,5964025642039739008,253.6588023448,-45.22432841318,-0.659,-2.597,0.3509,13.761097,0.1
63,5964026015683602688,253.74446713744,-45.26808506119,-0.267,-2.481,0.2134,16.797327,0.6
64,5964024439448798976,253.76450683328,-45.3068607821,-0.226,-2.43,0.3435,14.96341,0.2
65,5964026191795518848,253.75080605282,-45.21981673406,-0.605,-1.867,0.3998,17.475698,0.1
66,5964012654058526208,253.79505638642,-45.30672738933,0.205,-2.11,0.3443,14.608959,0.1
67,5964025809525508864,253.64111752739,-45.22382712298,-0.767,-1.972,0.3073,14.834423,0.1
68,5964024302009834368,253.75185251359,-45.33003130212,-0.584,-1.873,0.2742,15.534578,0.3
69,5964024748686496256,253.71645328978,-45.25572767416,-0.051,-2.456,0.454,13.768476,0.1
70,5964026118762854016,253.78923992013,-45.24433348139,-0.245,-2.418,0.1706,14.651734,0.5
71,5964024267650140672,253.67924352688,-45.30504387421,-0.284,-2.006,0.3696,16.666807,0.2
72,5964026123076012800,253.78157235418,-45.24524783683,-0.266,-2.128,0.301,16.410421,0.7
73,5964026123076014464,253.78048634408,-45.24342635275,-0.432,-2.03,0.3111,13.096789,0.9
74,5964026088716276352,253.77093203727,-45.24774734688,-0.307,-2.045,0.3214,14.100259,0.9
75,5964026019996801920,253.73698351843,-45.26451127663,0.027,-1.389,0.3216,17.255331,0.6
76,5964024267650144512,253.68267329503,-45.29672365171,-0.465,-1.896,0.2719,16.484426,0.4
77,5964026123076016640,253.77603346331,-45.2418617685,-0.651,-2.224,0.2654,15.062612,0.3
78,5964026157435763840,253.75695647545,-45.24187358526,-0.415,-1.941,0.2535,14.657177,0.6
79,5964026123076018176,253.77605362574,-45.24027763654,-0.347,-1.834,0.3024,16.059044,0.4
80,5964026157435761920,253.76176902147,-45.24107877274,-0.597,-2.099,0.4274,10.961394,0.1
81,5964014887441572608,253.80873884429,-45.22025285528,-0.6,-1.958,0.2745,16.166859,0.5
82,5964026157435760896,253.76355679786,-45.24197775171,0.312,-1.47,0.2887,17.51467,0.2
83,5964012447886624640,253.81243330086,-45.31918078138,-0.268,-1.53,0.3014,16.91068,0.1
84,5964026157435761152,253.76100514135,-45.24314770267,0.04,-1.873,0.1677,16.500036,0.7
