,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,6704797377627546752,277.90629855993,-48.78242122804,5.091,-19.793,2.1073,16.268915,0.8
1,6704795247323865088,277.66610187497,-48.78547435974,5.027,-19.642,2.1923,13.962683,1.0
2,6704809163017456128,276.66452607553,-49.14836028435,5.212,-19.79,2.2653,16.26053,0.7
3,6704792288083614080,277.37108962434,-48.95695043426,4.916,-19.873,2.246,10.843677,1.0
4,6704782087543886464,278.10215776707,-48.87211877902,5.272,-20.073,2.1501,9.905712,0.9
5,6704815622648429696,277.21783326725,-48.96881898877,4.624,-20.037,2.1536,15.350658,1.0
6,6704813904662200960,277.16856914863,-48.99924267529,4.78,-19.924,2.1614,15.427905,1.0
7,6704805486525438464,276.61145878156,-49.23433789668,4.569,-20.433,2.2523,14.169233,1.0
8,6704801157198822528,277.79850048854,-48.74823353557,5.581,-20.507,2.3718,15.252408,0.7
9,6704819711457314048,277.16268964172,-48.91096451903,4.649,-19.878,2.1297,10.897533,0.9
10,6703985903685932288,277.04193167115,-49.56284635171,4.546,-20.177,2.2806,15.772897,1.0
11,6703969131836960512,277.19228477557,-49.82307437976,4.935,-20.235,2.2169,17.658735,0.9
12,6703965425281233664,276.74377465766,-49.91364317719,4.743,-20.971,2.4223,16.516335,1.0
13,6703972675186420352,277.45060487513,-49.66632353146,5.246,-20.57,2.2149,11.899449,1.0
14,6655493695687911168,277.02811204544,-51.8027462976,5.123,-21.963,2.1881,15.688626,0.9
15,6655506649309244672,277.45553941786,-51.52334220926,5.247,-21.597,2.2464,14.422813,0.9
16,6655494073645016192,277.15426220775,-51.75223658103,4.949,-21.538,2.1961,14.097788,1.0
17,6655506473212950272,277.77816139855,-51.38480413541,5.484,-21.757,2.246,14.304601,0.6
18,6655514723848769152,278.09826411308,-51.44090599873,5.149,-20.134,1.9975,14.535876,0.6
19,6655504308549164672,277.61075348279,-51.46606017614,4.942,-21.347,2.2675,14.334241,1.0
20,6655498093734448000,277.01575670822,-51.70654324922,4.9,-21.074,2.1243,15.844851,1.0
21,6655498437331820800,277.11902355852,-51.6674019756,5.12,-21.576,2.2395,13.871946,1.0
22,6704852593727176832,278.06997440672,-48.46060336999,5.198,-20.383,2.2687,14.090894,1.0
23,6704834348706407296,277.14693977794,-48.72162481134,4.763,-20.179,2.2017,15.378312,1.0
24,6704849909367775360,277.79268898968,-48.59459461832,6.373,-21.27,2.145,15.700419,0.3
25,6655524305917405696,278.26652421128,-51.32047736381,5.623,-21.401,2.234,17.900173,0.4
26,6655548396391421952,277.19243800309,-51.53524736006,5.512,-22.174,2.3042,13.849263,0.3
27,6655561590531842176,277.5773590916,-51.25029729846,5.03,-22.085,2.1443,14.535168,0.9
28,6655577563512606464,277.46981766562,-51.08970025949,5.143,-21.33,2.1509,14.381236,0.9
29,6655616080777441920,278.42141634601,-50.5498389214,4.618,-20.939,2.0048,17.821487,0.6
30,6655582202077087488,277.88394364144,-51.17090762038,5.207,-21.361,2.26,13.961195,1.0
31,6655641442563221248,278.93669880959,-50.78711966443,5.931,-21.345,2.1864,13.624797,0.4
32,6655598626034344704,278.49663376419,-50.71890677626,5.9,-20.58,2.1149,10.064104,0.7
33,6655598630329663872,278.4953377746,-50.71884168476,5.729,-21.542,2.023,9.967491,0.1
34,6704894989348289920,278.39700117874,-48.54972931959,5.246,-20.019,2.1979,12.096521,1.0
35,6704894989342055552,278.39936416241,-48.5502157998,5.222,-19.43,2.1548,11.193928,1.0
36,6704884612701113856,278.56831790692,-48.65895302156,5.154,-20.03,2.2879,11.332419,1.0
37,6704014933364868992,277.65672389578,-49.38391158257,5.057,-19.651,2.154,17.477488,0.7
38,6704052080540523520,278.59519092478,-49.252350534,5.073,-19.661,2.0719,15.661551,0.9
39,6704070733580740864,279.15132703032,-49.12484170773,5.396,-21.341,2.197,17.836708,0.5
40,6655703457594978176,279.14737758391,-50.40302574718,4.646,-22.724,2.4336,15.354849,0.9
41,6704136395041371392,279.12016019637,-48.84715955292,5.692,-19.893,2.2148,17.690828,0.9
42,6704125507301638016,278.5371986958,-48.84155852292,5.289,-20.503,2.2538,15.269576,1.0
43,6704130347727342208,278.79466712708,-48.75558960744,5.658,-20.203,2.1518,12.536072,1.0
44,6655746785222187904,279.51757030125,-50.0118505108,5.915,-20.787,2.2327,16.272068,0.7
45,6655744620558319872,279.34316871859,-50.10727647706,6.053,-21.906,2.3297,12.242717,0.3
46,6705016382298746496,276.69994799335,-48.8127515327,4.316,-19.989,2.1977,11.883883,1.0
47,6705018546962260992,276.86525743989,-48.71675545845,4.601,-19.835,2.1909,12.522549,1.0
48,6705038991007254400,276.55103815291,-48.50520372125,4.403,-19.365,2.2466,17.415354,0.9
49,6705019753854344576,276.88135956705,-48.65510929032,4.571,-19.789,2.2204,14.83702,1.0
50,6652844972175608576,276.67979671673,-53.6839775382,4.097,-22.363,2.366,15.596782,0.9
51,6652797345279251840,275.48193614388,-53.69743273569,4.27,-22.829,2.2721,16.007315,1.0
52,6652801159210249216,275.39338815652,-53.64396976379,4.368,-22.927,2.298,17.069412,1.0
53,6652887780111015296,276.27360408018,-53.5230884591,5.072,-21.531,2.0871,17.85598,0.4
54,6652908331533301376,276.58843205271,-53.46799003149,4.249,-22.101,2.2103,10.726061,1.0
55,6652921383938582528,276.93968007225,-53.20488282586,4.902,-19.617,2.1405,17.508762,0.7
56,6706013261387112320,272.45292257546,-50.06417433662,3.487,-21.41,2.0776,17.546019,0.1
57,6701629405448036992,273.18121293713,-52.34734645938,4.401,-22.49,2.2452,12.224527,1.0
58,6706062601971864064,273.00616183182,-49.62509157583,3.057,-19.933,2.3153,16.475008,0.2
59,6704743909576667136,277.06144029454,-49.42916319105,4.994,-20.415,2.0455,9.019725,0.9
60,6704743982593454976,277.10661296508,-49.41965631782,4.768,-19.963,2.2931,15.642966,1.0
61,6704754049996952832,276.8686274866,-49.35861669682,4.325,-20.15,2.1652,16.205767,1.0
62,6704756382163745536,276.69457556029,-49.33783473367,4.47,-19.953,2.2466,17.840448,1.0
63,6704749961187919488,277.31834308023,-49.25130280761,4.758,-20.618,2.1962,12.264476,1.0
64,6704761884017280640,277.09520937714,-49.18828588592,4.221,-19.506,2.2083,16.113998,0.9
65,6704736457810786304,276.87791403554,-49.55703164818,4.451,-19.863,2.2494,12.858556,1.0
66,6654162633778381184,277.54176876634,-53.52435455829,6.537,-20.646,2.3591,17.647932,0.4
67,6654182558134689920,278.56665943176,-53.23603485318,4.464,-20.329,2.1379,17.640697,0.7
68,6654162629485394560,277.5409880862,-53.52472376978,6.285,-20.516,2.1676,16.348295,0.6
69,6702735277931062784,272.87634469854,-51.00207233407,2.951,-22.123,2.06,13.109987,0.1
70,6703297059652116992,275.90066072566,-49.50563792976,3.897,-20.23,2.3182,11.061292,0.7
71,6701841198879667584,273.09965916201,-51.95585746372,5.919,-22.217,2.4385,17.964325,0.1
72,6654420606697969408,277.31349160056,-53.13095636034,3.824,-21.611,2.3655,11.811621,0.8
73,6654452110281065344,277.78280534174,-52.58786351172,4.867,-21.946,2.1415,11.678868,0.9
74,6654439294097924480,277.2560606761,-52.90333851564,5.18,-22.029,2.3652,16.799559,0.5
75,6701920264934109952,273.80564877085,-52.66053966788,3.685,-22.508,2.436,16.369444,0.3
76,6654475650999796480,278.30230236764,-52.44339732137,4.932,-20.516,2.2734,13.281875,1.0
77,6701958301165450752,274.78402443751,-52.19105209823,4.057,-21.546,2.1682,15.101259,0.9
78,6701928369530875904,274.05281148406,-52.5516321244,3.636,-21.414,2.1781,12.392364,0.8
79,6701945278823890432,273.98533276021,-52.25441559413,3.425,-21.582,2.3015,16.327404,0.7
80,6701952352629826944,274.30648530113,-52.17904231263,3.784,-22.04,2.1719,17.015041,0.9
81,6703388903233263872,274.7388297332,-49.61040929415,3.985,-21.119,2.2496,14.7314,1.0
82,6701975309236135296,274.67175846348,-52.05589044579,4.453,-22.015,2.3637,16.97375,0.8
83,6654522174084828800,279.5274794522,-52.21378367143,5.228,-21.03,2.1727,15.710138,1.0
84,6654551684801349504,280.02220008597,-51.92326654885,2.99,-21.846,2.3503,17.797222,0.1
85,6702034304906951296,275.00686974732,-51.7336276074,4.424,-21.668,2.0557,17.488976,0.4
86,6702038114539695616,274.90589530416,-51.69253710951,3.76,-21.749,2.2626,17.633814,0.9
87,6703447452227768448,274.71226802367,-49.23165053615,3.529,-19.695,2.1783,13.181959,0.4
88,6702061788396887424,275.44238052101,-51.88517319093,4.588,-21.574,2.2711,12.901597,1.0
89,6702071722660351872,276.10156576933,-51.62431020909,4.623,-21.88,2.1854,10.738408,1.0
90,6702056398218998272,274.92811463174,-51.4527008831,4.316,-21.654,2.0427,16.099064,0.6
91,6702096182497209088,276.31168389626,-51.50633514254,4.502,-21.547,2.2653,17.298283,1.0
92,6702092166704963328,275.67848198155,-51.44892710957,4.223,-20.906,2.3937,17.013968,1.0
93,6702093438015202176,275.94979314705,-51.36115016006,4.566,-21.188,2.225,13.489109,1.0
94,6703505966861569280,276.03987396407,-49.11596223223,4.155,-20.32,2.1019,14.635198,0.9
95,6703495521502187904,275.54821702117,-49.1681447522,4.834,-20.586,2.246,9.173417,1.0
96,6702125525715371008,276.87540584932,-51.01300703131,4.696,-21.144,2.419,17.902008,1.0
97,6702122403274456704,276.60114301689,-51.15565149241,4.931,-20.884,2.2811,14.286691,1.0
98,6702135185097018112,275.27796711443,-51.48086535564,3.339,-21.107,2.2484,17.301655,0.5
99,6702110510506930560,276.72216219428,-51.24236101288,4.935,-21.455,2.2437,11.793324,1.0
100,6702118726782621056,276.14834842642,-51.22362267897,4.354,-21.401,2.291,10.279553,1.0
101,6702105429563636992,276.57406970035,-51.33876951482,4.952,-21.558,2.2273,13.915188,1.0
102,6702128759826642048,276.82003640221,-50.97515797035,4.739,-21.675,2.1456,14.415048,1.0
103,6702117799069617408,276.24112871927,-51.27138148368,4.881,-20.436,2.0357,15.89393,0.8
104,6702121406842146688,276.45841043365,-51.077458628,4.759,-21.241,2.278,9.505021,1.0
105,6702105257764937472,276.60591134,-51.33784826562,5.559,-21.467,2.2582,10.180864,0.6
106,6702134905920829696,275.28533783268,-51.50022144074,3.88,-22.349,2.2958,17.843386,0.8
107,6702146592530574848,275.94289300979,-51.16038218308,4.654,-20.872,2.1693,15.028687,1.0
108,6702170472548664576,276.18015035829,-51.08659866898,5.524,-19.646,2.1735,9.818254,1.0
109,6702190981012554240,276.26302973821,-50.76916967219,4.453,-20.677,2.189,15.698702,1.0
110,6702192909458322304,276.58729851565,-50.74462331086,4.518,-21.43,2.2266,16.142424,1.0
111,6702192630278797568,276.57943308758,-50.77224267417,4.642,-21.036,2.1007,12.473443,1.0
112,6702166108861837568,276.18149142184,-51.18256447427,3.537,-21.62,2.2516,15.631658,0.7
113,6702198784973599744,276.63465114485,-50.62606404617,4.607,-20.332,2.2049,13.57982,1.0
114,6702195314640288000,276.67363342468,-50.68669629624,4.644,-20.809,2.28,14.210432,1.0
115,6702184452661610752,276.03255457104,-50.97083312408,4.267,-22.185,2.2768,13.585439,1.0
116,6702182940833926400,276.80291300956,-50.70508717164,4.655,-20.488,2.4195,17.956924,0.8
117,6702174836235818752,276.57019968555,-50.99726941917,4.437,-21.491,2.2848,11.917845,1.0
118,6702174526998175104,276.54727498571,-51.00278224639,4.863,-21.239,2.1915,16.385382,1.0
