,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4094735199107963520,273.76990454989,-19.08695263175,0.279,-1.447,0.6937,16.642508,0.1
1,4094738124007953280,273.75725120923,-19.09013542868,0.199,-2.304,0.5312,15.119555,0.1
2,4094738055288509824,273.72962310891,-19.09287570895,0.546,-2.274,0.423,16.573606,0.3
3,4094739601476901760,273.68425785042,-19.00883001065,0.425,-2.048,0.4262,15.443796,0.1
4,4094735130386510080,273.79729403532,-19.09500080353,0.032,-2.317,0.5712,11.420147,0.1
5,4094734825472956288,273.79648599385,-19.12890013196,0.974,-2.442,0.5903,17.631702,0.2
6,4094739494075479680,273.69644610421,-19.0284092182,1.353,-2.187,0.5623,17.941284,0.1
7,4094738261446976256,273.71049062469,-19.08296022361,0.649,-2.259,0.6081,14.885795,0.5
8,4094735100350936960,273.77621493639,-19.09989850456,0.652,-2.186,0.5491,14.566833,0.5
9,4094738364526205056,273.71216446532,-19.07164937432,0.796,-2.319,0.5103,15.899567,0.5
10,4094735065991217024,273.75567477947,-19.10688875044,0.461,-2.062,0.453,15.318269,0.1
11,4094738119685734784,273.75493218128,-19.08443421815,1.269,-2.977,0.4059,17.71748,0.1
12,4094738428923497472,273.74560411743,-19.05645619358,0.169,-2.656,0.5076,14.949881,0.1
13,4094734859824547456,273.81092918308,-19.12219967666,-0.172,-2.216,0.5836,16.765491,0.1
14,4094735031631484672,273.74492600754,-19.11203000514,0.891,-2.275,0.48,16.416374,0.4
15,4094738467595177600,273.72422164116,-19.05206472998,0.568,-2.97,0.4237,17.69112,0.3
16,4094738222765018752,273.75166285126,-19.06913869305,1.012,-2.237,0.551,14.625793,0.8
17,4094735065991230080,273.75334744511,-19.09991644894,0.864,-2.488,0.4935,14.799429,0.6
18,4094735096028662528,273.77847636026,-19.10607145073,0.019,-2.282,0.4249,16.043104,0.1
19,4094834159497279744,273.77921468777,-18.93293751226,0.568,-2.123,0.4649,15.988226,0.3
20,4094833747180324864,273.78745473859,-18.96844782738,0.04,-2.363,0.4539,14.50299,0.1
21,4094832853802030720,273.81595946639,-18.99377612952,0.821,-2.246,0.5972,14.677314,0.8
22,4094832991240919936,273.84071145587,-18.97850800618,0.021,-1.953,0.4823,17.579353,0.1
23,4094832024848818432,273.78399075982,-19.05375506583,0.887,-2.187,0.4912,16.21376,0.8
24,4094835396447789440,273.82395179623,-18.9247685183,0.215,-2.75,0.5704,15.698173,0.2
25,4094832746403271424,273.82899075384,-18.99219250674,0.716,-2.23,0.6476,11.804355,0.5
26,4094833815875045632,273.81132110337,-18.95940832957,0.837,-2.393,0.5465,17.902237,0.2
27,4094828043463230720,273.86964419048,-19.09418709037,1.289,-2.139,0.5219,17.12277,0.1
