,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,428945775498282624,5.63411149012,61.63331298978,-3.705,-0.472,0.4836,17.759594,0.2
1,428948215044202240,5.54295632386,61.5953256103,-2.474,-1.132,0.2926,16.905424,0.3
2,428947218611782528,5.36243082976,61.5782665796,-2.603,-0.872,0.1847,16.689531,0.1
3,428944602969050240,5.70719385792,61.58394315589,-2.504,-0.864,0.1774,17.33103,0.1
4,428945294466435968,5.5806824287,61.60591117807,-3.179,-1.01,0.2978,15.008067,0.2
5,428962371256268544,5.10936678417,61.7282153337,-3.195,-0.882,0.2445,15.32113,0.1
6,428946080437649536,5.48698600391,61.5264647493,-3.14,-1.089,0.311,15.074804,0.1
7,428949520714178944,5.30043934663,61.65485364027,-3.582,-1.232,0.2177,17.933725,0.2
8,428948313819276800,5.50264813515,61.63209567377,-4.037,-0.768,0.3741,17.370564,0.2
9,428946668855992192,5.51036441942,61.57759745496,-3.089,-1.473,0.27,15.78211,0.1
10,428946668856001280,5.51307058193,61.56828957495,-3.536,-0.916,0.208,14.742521,0.2
11,428947081172845696,5.33686648799,61.55938344004,-2.766,-1.947,0.5505,14.190003,0.1
12,428959480734258816,5.16520820761,61.62598072787,-3.159,-1.185,0.2467,17.363167,0.2
13,428945466265149440,5.68073755731,61.60048265878,-3.351,-0.993,0.3808,16.991762,0.2
14,428960137873293696,5.14571989684,61.69961756413,-3.268,-0.437,0.5481,15.377058,0.2
15,428961512262830592,5.24732376988,61.70948707468,-3.52,-1.638,0.2883,15.082458,0.5
16,428946634496266880,5.50818406841,61.5631135522,-3.23,-1.225,0.443,14.092599,0.2
17,428950173549167232,5.34974017389,61.72745257559,-3.458,-1.328,0.5602,17.046703,0.6
18,428950139189432064,5.34361952086,61.72087188452,-3.284,-1.755,0.4585,17.019228,0.5
19,428961443543359872,5.27729445442,61.70222154142,-3.106,-2.16,0.243,16.693739,0.2
20,428961409183624192,5.26068632861,61.69494680797,-3.969,-0.605,0.538,16.764389,0.1
21,428950139189436672,5.35800523162,61.713516492,-2.452,-1.152,0.2991,17.540548,0.3
22,428960103513567232,5.16170293416,61.67904719501,-3.436,-0.931,0.4094,17.82529,0.1
23,428945019588574336,5.64730235308,61.57261938796,-3.385,-1.963,0.1809,17.159933,0.5
24,428949898671269888,5.39761127977,61.71619297191,-2.446,-1.229,0.3657,15.109403,0.2
25,428946565776806656,5.54167653123,61.55218663564,-3.337,-1.562,0.2774,16.5113,0.5
26,428946497057330176,5.49561586154,61.54581938791,-3.197,-1.307,0.3175,11.459414,0.2
27,428962435671955584,5.08382198161,61.73533348083,-3.516,-1.175,0.3588,16.528418,0.4
28,428960721988862208,5.12811944937,61.66722179479,-4.126,-1.441,0.471,14.036606,0.1
29,428945191387262336,5.61600125391,61.57184984089,-2.573,-1.548,0.4522,16.197145,0.1
30,428949516410208256,5.29133184509,61.66533803463,-2.717,-0.722,0.5595,17.917389,0.1
31,428945260106708608,5.57556033136,61.59469639148,-2.559,-0.81,0.1907,17.124756,0.1
32,428961271744683008,5.24984866286,61.67219741909,-2.361,-1.091,0.4092,16.969263,0.3
33,428961271744682880,5.26138906045,61.67412086197,-3.566,-1.173,0.4292,15.837092,0.6
34,428944572911989632,5.72182970383,61.56914055793,-3.368,-1.494,0.3059,13.692858,0.6
35,428954258055634176,5.1063216683,61.60081379032,-3.85,-0.749,0.3366,17.13069,0.1
36,428945775502747136,5.61769149304,61.63738082896,-3.037,-1.241,0.3571,15.161557,0.1
37,428962165097831680,5.18174307872,61.75296429146,-2.788,-0.911,0.3337,17.600689,0.2
38,428959588117509632,5.14971594603,61.64950319223,-2.67,-1.289,0.4394,17.90019,0.1
39,428949726872606464,5.40834826289,61.67324914321,-3.481,-1.448,0.3527,13.494635,0.7
40,428961233081119488,5.0228109831,61.73958975787,-2.534,-1.278,0.4013,17.865406,0.2
41,428947867144306944,5.28661627279,61.61098219078,-4.207,-0.831,0.2472,17.616486,0.2
42,428963058451010432,5.13343664331,61.78701564672,-2.871,-0.705,0.5427,16.879326,0.3
43,428948451259872000,5.45196477535,61.61993471745,-3.53,-1.392,0.3524,14.767528,0.8
44,428948970958379904,5.45403126014,61.65768664089,-3.597,-0.7,0.3897,14.772097,0.1
45,428960378391470592,5.05970113534,61.67172298736,-3.816,-1.184,0.3694,17.666641,0.1
46,428954296717825664,5.108869763,61.61126624967,-2.687,-1.386,0.3614,15.116942,0.1
47,428946600132132992,5.52062430967,61.56602367147,-3.391,-1.208,0.2179,10.543854,0.2
48,428950036105648128,5.35123236833,61.70026996569,-3.596,-0.92,0.2203,17.28203,0.1
49,428948730440228224,5.53087726741,61.64828063799,-2.489,-0.902,0.3092,16.920292,0.4
50,428961817196634496,5.28264454075,61.72034062958,-3.488,-1.577,0.5347,17.84268,0.4
51,428959175800693120,5.20110430711,61.60185620871,-3.845,-1.514,0.3396,17.470346,0.1
52,428961507958996096,5.22219891907,61.7212829257,-3.186,-0.9,0.3386,16.43197,0.1
53,428944121932615424,5.73470653542,61.55208243249,-3.246,-1.622,0.3395,14.726368,0.5
54,428948730440228096,5.52101688124,61.64694741931,-3.483,-1.472,0.4226,15.8671,1.0
55,428949314556080512,5.41499340943,61.64590307698,-4.108,-0.726,0.2444,16.277588,0.3
56,428959107081512320,5.23274042024,61.59017615809,-3.088,-1.714,0.1897,17.308035,0.5
57,428948455562622336,5.4259879772,61.63142021565,-3.162,-1.019,0.3295,16.709625,0.2
58,428945844222206976,5.58070370438,61.65348259457,-2.998,-1.403,0.3971,12.822475,0.2
59,428963402048375168,5.02057423709,61.83150216672,-3.448,-1.252,0.2755,16.168756,0.2
60,428947905806498944,5.29055594496,61.62490891849,-2.992,-1.457,0.4254,16.659405,0.1
61,428945809862476800,5.57664261941,61.64223346763,-3.49,-1.417,0.3022,15.026273,0.5
62,428948318123379584,5.50757020253,61.63112860965,-2.986,-0.82,0.2955,16.545382,0.2
63,428948318123389440,5.52393613331,61.62216312738,-3.08,-1.306,0.4401,17.037298,0.3
64,428953334645188736,5.16211364575,61.57361150892,-3.45,-1.089,0.3338,13.114598,0.1
65,428948318123392128,5.52051375365,61.61843570373,-2.681,-1.683,0.5368,16.822939,0.1
66,428947424770187520,5.31217323075,61.59859455639,-3.2,-2.04,0.4778,15.217796,0.1
67,428946252236380672,5.40938678328,61.53733012303,-3.067,-0.889,0.2614,17.628242,0.2
68,428945668126809344,5.56472621544,61.61796600198,-3.226,-0.499,0.3428,17.807184,0.1
69,428947940166235520,5.32501970838,61.63201287101,-3.432,-1.296,0.2069,16.663261,0.3
70,428948352483137152,5.45690870154,61.60305461533,-3.339,-0.911,0.3721,15.258165,0.1
71,428945672423546624,5.56942870346,61.61622643734,-3.299,-0.588,0.383,17.784925,0.1
72,428945668121022720,5.58020136461,61.60933969635,-3.526,-1.569,0.3178,17.92767,0.3
73,428948588697248256,5.42557082933,61.65853653196,-2.661,-1.778,0.5131,17.896358,0.1
74,428946424035063680,5.51931858227,61.53836485925,-2.567,-1.284,0.2274,17.175589,0.1
75,428948352483144064,5.46706943819,61.59689148099,-3.362,-1.455,0.257,15.860112,0.3
76,428947386107878912,5.3261527421,61.57859357897,-4.05,-0.675,0.4093,17.093914,0.2
