,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5932751511316978176,240.36257993245,-54.12938011212,-2.329,-2.917,0.3637,14.785797,0.3
1,5932751511316976768,240.36078067582,-54.13104764001,-2.403,-2.902,0.3989,15.751391,0.2
2,5932751923633906304,240.35084135643,-54.08300709375,-2.317,-2.972,0.3959,16.074057,0.8
3,5932752645120835200,240.29215112611,-54.0640667554,-1.885,-3.092,0.3857,16.914368,0.1
4,5932750033848211072,240.36579979928,-54.14058280814,-2.253,-2.963,0.4417,12.435285,0.5
5,5932752365947495680,240.36082635003,-54.03897080942,-2.696,-2.982,0.3585,17.504768,0.1
6,5932749239200619392,240.30674203099,-54.23910276145,-2.473,-3.141,0.4301,13.060425,0.3
7,5932748556379426816,240.43211414545,-54.13979404822,-2.275,-2.984,0.3836,15.110939,0.8
8,5932752335950803456,240.3636117852,-54.04702851787,-2.339,-2.974,0.3733,11.612251,0.5
9,5932746872752218624,240.36322053273,-54.18661784271,-2.138,-3.162,0.3523,15.004322,0.6
10,5932746254276847872,240.36050309516,-54.25482918453,-2.328,-3.06,0.3994,15.696037,0.6
11,5932748414567459328,240.4172610032,-54.15818917725,-2.233,-2.816,0.3793,17.376322,0.1
12,5932749587171585536,240.24706175747,-54.20174538787,-1.995,-3.19,0.4245,16.883877,0.3
13,5932749965128710016,240.38020755949,-54.15310723606,-2.213,-3.036,0.4013,15.10434,0.7
14,5932750721043059712,240.18827583491,-54.14363232439,-2.456,-2.903,0.4334,15.732065,0.1
15,5932746563514530176,240.39894874243,-54.21006754547,-2.338,-3.02,0.3955,12.252162,0.7
16,5932747010191201536,240.38800858692,-54.15591424051,-2.276,-3.075,0.4076,13.74904,0.8
17,5932748487659950592,240.40971892863,-54.1479022006,-2.111,-2.967,0.4202,15.670279,0.7
18,5932747456867718528,240.51330987211,-54.17696566327,-2.373,-3.014,0.4318,17.572002,0.2
19,5932748487659953920,240.40882743932,-54.14713543736,-2.339,-2.816,0.3852,14.751528,0.1
20,5932745841959970048,240.49362978596,-54.22199790042,-2.425,-3.028,0.3788,15.477789,0.3
21,5932751717475425792,240.3508778028,-54.12116169926,-2.217,-2.999,0.4229,12.968837,0.9
22,5932751442597469312,240.3889942169,-54.14270999628,-2.205,-2.998,0.4301,12.678802,0.6
23,5932748483286431104,240.40521683007,-54.14715583987,-2.313,-2.884,0.4444,12.683544,0.7
24,5932748483286431232,240.40455166093,-54.15121224598,-2.184,-2.929,0.4095,13.041614,0.7
25,5932748448926551168,240.43240693074,-54.14470097132,-2.19,-3.036,0.3894,9.596584,0.9
26,5932748483286289664,240.39540189939,-54.14668477811,-2.163,-3.136,0.4215,12.38566,0.4
27,5932752095432583552,240.41890883725,-54.06943843515,-2.764,-2.836,0.3996,17.34791,0.1
28,5932746632233985920,240.44927301878,-54.20832606494,-2.565,-3.375,0.4243,16.72907,0.1
29,5932751511316983040,240.37001247362,-54.12174275751,-2.221,-3.055,0.3686,13.870045,0.9
30,5932752026713087616,240.42622203376,-54.08150003728,-1.997,-3.044,0.3823,15.957814,0.5
31,5932743677226450816,240.21986002233,-54.22355137502,-2.23,-2.996,0.4085,17.276602,0.5
32,5932751373878139776,240.24059588987,-54.07744406305,-2.329,-2.815,0.3992,13.660862,0.1
33,5932753194944294400,240.32256076688,-54.01785358466,-2.045,-3.235,0.3713,16.585613,0.3
34,5932752542109217408,240.30226610455,-54.08478516358,-2.09,-2.89,0.3531,16.639502,0.1
35,5932748418940451712,240.42528995179,-54.15914247454,-2.176,-3.083,0.3917,13.630315,0.9
36,5932751889206417024,240.37447344621,-54.07316951428,-2.484,-3.166,0.4144,16.201382,0.2
37,5932746907111950976,240.39573531919,-54.18070045328,-2.119,-3.14,0.3969,13.55541,0.8
38,5932747972263844864,240.53010566354,-54.12946770846,-2.053,-2.988,0.3944,15.804788,0.3
39,5932751541303690752,240.37078822404,-54.11234083993,-2.122,-3.163,0.4372,17.174507,0.4
40,5932748625098930944,240.42704829949,-54.12404646361,-2.301,-3.079,0.3905,16.897072,0.5
41,5932748762537845504,240.48915743923,-54.12825882287,-2.069,-3.069,0.3559,15.259238,0.5
42,5932751580036452736,240.3985454713,-54.11814326226,-2.705,-3.123,0.3988,17.151281,0.1
43,5932748002250618240,240.55291378017,-54.13342597092,-2.107,-2.881,0.39,17.928743,0.1
44,5932749449664441472,240.30016033366,-54.19056861746,-2.185,-3.284,0.4417,15.269874,0.1
45,5932750373087744384,240.24637168275,-54.18016690553,-2.166,-3.312,0.4384,17.924234,0.1
46,5932748453300195584,240.44082303163,-54.1492921456,-2.213,-3.121,0.4224,13.272967,0.9
47,5932749793329995520,240.33683087684,-54.18318678914,-2.684,-3.03,0.3692,17.582525,0.1
48,5932747869184585856,240.54230461514,-54.16102630182,-2.192,-3.144,0.3541,16.198591,0.5
49,5932749106135298304,240.46990094765,-54.08576147601,-2.298,-3.045,0.4331,16.883844,0.3
50,5932748144062505856,240.46352788035,-54.1774502823,-2.655,-2.809,0.4317,17.403402,0.1
51,5932746426075593984,240.33829563495,-54.21620845452,-2.334,-2.997,0.4197,15.352077,0.6
52,5932771268168018432,240.62970269136,-54.13342998164,-2.338,-2.988,0.4143,16.18093,0.2
53,5932771508686194432,240.57213276419,-54.11166263334,-2.077,-3.066,0.3866,15.575166,0.8
54,5932772333319930624,240.5491636687,-54.09178037412,-2.014,-2.965,0.4359,14.663877,0.3
55,5932772779996613632,240.52771456206,-54.02974551181,-2.274,-2.876,0.3632,13.286241,0.2
56,5932772745636879360,240.51156809791,-54.03239167502,-2.217,-2.935,0.4303,17.150719,0.2
57,5932771680484894720,240.60692080215,-54.08296125521,-2.266,-2.881,0.4313,14.715883,0.3
58,5932772367679678080,240.54953938372,-54.08113850224,-2.176,-2.925,0.3919,14.947364,0.6
59,5932775627479598208,240.46572315494,-54.04975880303,-2.563,-2.941,0.3924,11.030264,0.1
60,5932772814356644352,240.50417358487,-54.03612122768,-2.217,-2.904,0.3982,14.249018,0.3
61,5932772470758909312,240.55735764393,-54.06258916906,-2.272,-2.859,0.3621,16.509148,0.4
62,5980789139918945664,240.15722355831,-54.13167925803,-2.654,-2.969,0.4452,17.5419,0.1
