,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5328530770401631360,134.64140596872,-47.88484544206,-4.787,4.156,0.4658,13.548621,0.2
1,5328529258573070080,134.47743879045,-47.95859831622,-4.901,4.43,0.4766,12.729424,0.3
2,5328529499091206912,134.41982732597,-47.92707426049,-4.324,3.887,0.5352,16.69921,0.3
3,5328526200556481152,134.6696521808,-47.98552143509,-4.797,4.248,0.5789,16.793928,0.3
4,5328527849823896960,134.67911725873,-47.88838123527,-5.039,4.193,0.5095,14.178369,0.3
5,5328523073820146816,134.40218242771,-48.02757433047,-5.397,3.791,0.4947,10.651077,0.5
6,5328527437507020032,134.65036110972,-47.89815409185,-5.193,4.239,0.5118,12.220381,0.5
7,5328525440341521024,134.63912659132,-47.99698468287,-4.891,4.409,0.5185,17.621887,0.1
8,5328529499091209984,134.42824602513,-47.92918107784,-5.029,4.184,0.5013,12.005135,0.2
9,5328527162629136640,134.66574711319,-47.93617707265,-5.117,3.871,0.5675,17.049044,0.2
10,5328526956470711424,134.65607185699,-47.96840725047,-4.975,4.185,0.4717,14.462496,0.3
11,5328527128269402496,134.66513342279,-47.94964007658,-4.997,4.273,0.4705,13.630509,0.3
12,5328527609305765888,134.72754861376,-47.90568995161,-4.889,4.234,0.4799,14.676818,0.2
13,5328530839121098112,134.64087225813,-47.86562554859,-4.945,4.671,0.4706,16.981752,0.1
14,5328531320157391488,134.55066005891,-47.8890308674,-5.254,4.249,0.5736,15.716805,0.8
15,5328527128269401600,134.6637902022,-47.94887772916,-5.269,4.152,0.4673,15.356789,0.8
16,5328521390192941952,134.29899200417,-48.05721714283,-5.516,4.362,0.5781,16.500359,0.2
17,5328531113998979456,134.61084780987,-47.85136450797,-6.039,4.347,0.542,16.828346,0.2
18,5328521390192942336,134.3014172944,-48.05721325874,-5.875,4.369,0.5205,17.420471,0.1
19,5328528571378342656,134.54940029945,-47.97137757761,-4.733,4.142,0.4851,16.517576,0.1
20,5328549496459870080,134.01234255105,-48.01033976611,-5.236,4.212,0.5127,15.747334,0.7
21,5328521184034513152,134.28411644529,-48.09836678893,-5.053,4.107,0.4782,15.245329,0.2
22,5328522558424065152,134.36078944864,-48.07542620832,-5.66,4.046,0.5259,15.263327,0.1
23,5328527231348596224,134.63365903189,-47.94195539308,-5.128,3.902,0.4639,15.319432,0.1
24,5328519122450297088,134.5064410749,-48.06315238469,-5.56,4.731,0.5052,16.124756,0.1
25,5328548495723094144,134.07610962254,-48.04693274776,-5.356,5.005,0.4504,16.252123,0.1
26,5328548568746952320,134.06607593108,-48.04880859707,-4.865,4.35,0.5727,16.32899,0.1
27,5328532243567116928,134.57786596964,-47.78811713738,-5.764,5.064,0.562,13.824498,0.1
28,5328530804761375360,134.65583978347,-47.87518587974,-5.235,4.288,0.4792,14.906457,0.5
29,5328530804761377408,134.66342060595,-47.86700143904,-5.54,4.021,0.4705,15.891953,0.4
30,5328527059549932672,134.67795130039,-47.9484890654,-4.938,4.192,0.4489,15.124099,0.1
31,5328525612137381632,134.56215047791,-48.00503696373,-5.271,4.766,0.5081,17.480133,0.3
32,5328522214826722944,134.47042827255,-48.03090183688,-5.289,4.459,0.5257,16.334265,0.6
33,5328522111747516672,134.47287281572,-48.05698374915,-4.989,4.279,0.5243,15.978703,0.3
34,5328522146107255936,134.48758972369,-48.03490150165,-4.958,4.247,0.4884,15.338084,0.2
