,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5587851893482090880,114.10081228673,-36.84364345003,-20.78,15.499,5.2284,16.177233,1.0
1,5587886631174615936,114.38609842995,-36.51877075674,-20.439,15.599,5.2608,15.866319,1.0
2,5587943771423346432,113.40205824682,-36.2563648852,-21.832,15.735,5.0191,15.31974,0.9
3,5587909961440258560,114.30969055642,-36.18281756306,-20.26,15.368,5.1562,17.013191,1.0
4,5587987477010155520,114.48208233558,-36.27737171966,-19.69,13.921,4.9896,17.784435,1.0
5,5588125637517514496,113.37213562329,-36.23776022936,-22.033,15.167,5.0104,16.247124,1.0
6,5588125637517512064,113.3697724626,-36.23468489431,-23.292,15.206,4.9159,13.81646,0.6
7,5588179444868432000,113.46800099378,-35.65564145944,-19.207,14.699,5.1279,17.222237,0.9
8,5588237822065034624,113.43867710844,-35.41533794859,-20.682,14.803,5.2819,16.19337,0.9
9,5588232152708295424,113.29528005261,-35.48095648344,-19.469,14.771,5.0721,15.605858,1.0
10,5588530670115602688,115.19275393996,-34.61060654396,-21.136,14.214,5.2092,9.464732,1.0
11,5538853600902466048,116.54762844398,-37.53065458299,-19.825,17.071,5.1271,11.143021,0.8
12,5538862671873178240,116.69755006958,-37.32746557628,-21.227,15.237,5.0234,13.002675,1.0
13,5538853188585632768,116.4796850983,-37.50574810709,-21.571,14.627,4.9634,16.586893,1.0
14,5538855559407502080,116.53706621119,-37.3990504729,-20.761,14.605,5.1432,10.538746,1.0
15,5538854116298514560,116.54363369044,-37.46353293395,-21.172,15.153,5.2418,15.693069,1.0
16,5538944065787169664,117.93704842874,-38.06523048398,-20.63,14.663,4.8111,12.081726,1.0
17,5586829210231592064,115.30200698882,-37.61733805338,-20.446,14.845,5.0692,15.982993,1.0
18,5586823300356847744,115.41076502133,-37.77177965256,-20.904,14.736,5.2054,16.568481,1.0
19,5586837280468301440,115.54672361101,-37.43135801712,-19.52,16.178,5.1275,15.650203,1.0
20,5586837284761099008,115.54628482907,-37.43104003535,-20.816,14.018,5.1203,17.90094,0.9
21,5586820929534988672,115.32604503643,-37.89682576471,-21.469,15.371,5.3248,9.877697,1.0
22,5586839105836156544,115.1740111525,-37.65663442468,-20.711,14.424,4.9914,16.373182,1.0
23,5586818043315386496,114.83871312223,-37.70781056789,-19.083,15.75,4.9671,16.349087,1.0
24,5586818043315384960,114.83720369587,-37.7067947642,-18.113,15.168,5.4873,11.235395,0.2
25,5586838384281719296,115.49889943937,-37.37276341475,-20.611,14.629,5.0251,17.609976,1.0
26,5586830786476904832,115.45104856497,-37.67168769236,-21.667,14.742,5.3882,17.15912,0.8
27,5586853601340295040,115.20728957638,-37.32517258161,-21.775,15.158,5.2004,11.972496,1.0
28,5586843022846201856,115.07161556503,-37.61060252549,-20.254,14.602,5.0682,11.996205,1.0
29,5586861748901598592,115.9161259369,-37.72563196435,-20.725,15.607,5.1367,14.859652,1.0
30,5586858072409632128,115.97830005699,-37.77511569584,-20.748,15.233,5.1475,15.451077,1.0
31,5586889369831336448,116.00485012747,-37.30748661391,-20.749,14.864,5.0645,17.358892,1.0
32,5586846252661519616,115.07885693857,-37.46546410128,-20.102,15.204,5.1078,15.829669,1.0
33,5586880818556287872,115.88897019741,-37.48438346028,-20.458,14.819,5.0158,15.773774,1.0
34,5586871644506541952,116.21934631383,-37.49898083054,-20.755,15.136,5.1553,17.423998,1.0
35,5586875183559211776,115.80243682414,-37.62602489338,-23.265,15.159,5.2218,14.272362,1.0
36,5586914972137328256,116.09462879846,-37.13812263611,-21.997,15.219,5.0859,13.995711,1.0
37,5586944109195874048,115.48174935194,-37.32802682615,-20.784,14.586,5.0913,13.88943,1.0
38,5586943559440201856,115.83124767646,-37.05061701466,-20.693,14.936,4.9612,17.082977,1.0
39,5586943937397293184,115.8556612541,-37.00178435741,-21.421,14.78,5.1965,16.01136,1.0
40,5586902052875518208,116.51564572216,-37.21658796951,-21.441,14.189,5.1436,11.230351,1.0
41,5586933973073374976,115.68607100228,-37.25104179782,-20.472,14.905,5.0814,15.712454,1.0
42,5586934243647438720,115.62098596288,-37.27345895743,-20.967,15.178,5.0556,16.78096,1.0
43,5586939573710517504,115.92353544897,-37.09627951294,-20.934,14.06,5.0907,16.161032,1.0
44,5586942425568817408,115.89551927447,-37.10628636421,-21.142,14.912,5.1691,11.450512,1.0
45,5586979667225338368,115.84845998937,-36.91697046158,-20.752,14.609,5.0796,17.813656,1.0
46,5587003890836278016,114.59984554102,-37.65703443687,-20.309,15.084,5.0017,17.240072,1.0
47,5586965270494703232,116.03412955242,-36.97959942087,-22.264,15.189,5.2873,17.630795,1.0
48,5586964823818188160,116.15219766646,-36.95783663403,-21.578,15.03,5.2287,17.812218,1.0
49,5586960120834019840,115.73475826644,-36.90501032966,-20.725,15.614,5.4192,12.749991,1.0
50,5586947957486929792,115.55950680099,-37.14095273615,-21.75,14.322,5.2994,16.807392,1.0
51,5586992036728606848,116.14208311262,-36.55883439534,-19.912,13.859,4.8679,17.61803,0.9
52,5587001657452951680,114.52979759167,-37.75337352295,-19.719,15.892,5.2703,11.90993,1.0
53,5587029179605935744,114.47146959353,-37.32904000401,-19.313,14.75,4.8318,16.633127,1.0
54,5587050590024209408,114.84338087919,-37.24542289948,-20.278,15.556,5.0417,17.760637,1.0
55,5587015405651716992,114.49332551797,-37.62137756945,-19.754,14.139,5.1546,11.186213,0.9
56,5587037567683661696,114.82191798738,-37.37505505078,-20.759,15.596,5.2805,10.527534,1.0
57,5587049834109973120,114.808449053,-37.30265486376,-20.235,14.956,5.0475,16.326303,1.0
58,5587015405651719296,114.49025387638,-37.62192849061,-19.94,15.609,5.0985,13.44866,1.0
59,5587057255813373696,114.82778841075,-37.0418841963,-19.622,14.449,5.1082,15.606158,1.0
60,5587009633215442816,114.90409152686,-37.50653844781,-19.819,15.975,4.9393,9.189624,1.0
61,5587025198176714496,114.57765241236,-37.40494601697,-19.84,15.055,5.0574,17.491825,1.0
62,5587030352137453824,114.64549209158,-37.29479698413,-20.694,15.608,5.2391,17.77951,1.0
63,5587009014740136704,114.83514245846,-37.55300221156,-21.829,16.199,5.3824,16.492609,1.0
64,5587008872999959808,114.91291574532,-37.51072684198,-19.184,14.912,4.9544,16.21516,1.0
65,5587035952775808128,115.04696252305,-37.32662625788,-21.594,15.828,5.189,14.04866,1.0
66,5539186546765976448,117.69480682218,-37.3644582826,-21.727,14.348,5.0356,17.498892,0.9
67,5539190807373362432,118.00681440335,-37.26654947103,-23.334,14.537,5.0199,17.174631,0.7
68,5539172665430567296,117.42993755436,-37.49163726853,-21.999,14.342,5.3258,17.110897,1.0
69,5587131541569120512,114.75481535448,-36.63641682139,-20.376,14.766,5.0674,14.514076,1.0
70,5587067456354103296,114.23813079234,-37.50707154906,-20.593,15.279,5.0889,17.425585,1.0
71,5587096219757431936,114.35146539544,-37.0069725136,-20.273,14.953,4.9419,17.23284,1.0
72,5587093230460052992,114.08985832855,-37.03197128174,-19.983,15.637,5.059,17.299057,1.0
73,5587127929493511424,114.37565107689,-36.71452534402,-20.876,15.864,5.3061,12.316827,1.0
74,5587119068984126080,114.74568222611,-36.70334207353,-20.212,15.327,5.2216,16.698471,1.0
75,5587081067112924032,114.41155654982,-37.18891849252,-20.276,15.368,5.1712,15.886831,1.0
76,5539193831030327424,117.98583008217,-37.13801164373,-22.75,14.362,5.1345,15.948271,0.9
77,5539238670490126080,116.81870919018,-37.2046171613,-21.463,14.814,5.299,15.642395,1.0
78,5539260351485536768,117.41670316061,-36.82090090151,-22.393,15.115,5.1835,15.84187,1.0
79,5539273889222600192,117.13565372221,-36.86018149581,-21.745,14.107,4.9676,17.311148,1.0
80,5587197546625397248,115.53079105037,-36.35518943917,-20.284,14.91,5.0876,16.643452,1.0
81,5587145968354595072,115.34044948717,-36.84238893442,-20.193,15.114,5.0678,17.545734,1.0
82,5587137966838686336,115.3040079336,-37.11009251101,-20.31,14.487,4.8472,15.980727,1.0
83,5587196683332322560,115.38812469271,-36.36794483023,-21.528,13.218,5.2103,16.235088,0.9
84,5587138825832077440,115.29271639111,-37.07611009789,-20.547,14.428,5.0346,15.089456,1.0
85,5587147278327534976,115.50367902149,-36.88111813601,-20.102,14.075,4.8992,17.36288,0.9
86,5587228023714080256,114.87005938061,-36.470784149,-20.726,14.934,5.1835,15.75376,1.0
87,5587222624933560192,114.99889819062,-36.40685513996,-20.478,14.707,5.0689,16.001938,1.0
88,5587278876125814144,116.76876485169,-37.10396251014,-21.11,14.876,5.1812,16.646841,1.0
89,5587213077227911936,114.92866611775,-36.61065053276,-20.597,14.729,5.1664,15.888025,1.0
90,5587213077220637440,114.92876085694,-36.61021244828,-20.28,14.35,5.1554,16.901323,0.8
91,5539357967499516288,117.83706711173,-36.69439959615,-21.757,13.696,5.0828,13.898547,1.0
92,5587300419681869696,116.47782167587,-36.86379116673,-21.473,14.708,5.2163,16.754694,1.0
93,5587291898466476288,116.81197155922,-36.83122053926,-22.568,15.474,4.8791,14.140526,0.8
94,5587291898461700864,116.8117271926,-36.83149380833,-22.664,14.144,5.2782,15.843474,0.9
95,5539389406660272896,117.60822314585,-36.24183251324,-21.805,13.911,5.0679,7.237489,1.0
96,5587337699998409344,116.90352158803,-36.40712516803,-21.239,14.496,5.1234,16.514454,1.0
97,5587358522000537600,116.58183827353,-36.47660875396,-21.535,14.537,5.0522,14.658509,1.0
98,5587389617564670592,116.57324783911,-36.25084559329,-21.912,14.345,5.2454,17.371073,1.0
99,5585039617614940032,114.15805347787,-39.763188809,-20.212,16.375,5.1133,17.0705,1.0
100,5585053838244683008,113.94746304386,-39.72908376484,-20.44,16.795,5.1948,17.614544,0.9
101,5585082532923187456,114.20578151269,-39.41630465015,-20.724,15.515,4.8021,17.703712,0.6
102,5585142383292557568,114.05428700027,-39.14340665027,-19.476,15.605,5.0203,17.172085,1.0
103,5585134965888380160,114.07276438385,-39.26127972693,-19.69,16.293,5.1755,17.106937,1.0
104,5587580829506389120,115.91639291136,-36.04939750754,-20.486,13.995,5.121,15.738342,1.0
105,5587582508831567488,115.79981952169,-36.05002862688,-20.694,14.072,4.8878,5.564395,1.0
106,5587584639135569920,115.89991400636,-35.9775412307,-20.927,14.127,4.9878,16.734295,1.0
107,5587576324077137024,116.14347088671,-35.9831865149,-20.318,14.158,4.9634,12.461048,1.0
108,5585202379695825408,114.60930580898,-38.70515610209,-19.375,17.472,4.9891,8.078184,0.5
109,5585208358291239296,114.84101226025,-38.85873168877,-20.913,15.141,5.2076,16.519234,1.0
110,5585242718030087552,114.25108921349,-38.87571880302,-20.7,16.147,5.3182,16.25968,1.0
111,5585244882693738112,114.31623980194,-38.78997242299,-20.967,15.912,5.0261,15.825212,0.9
112,5585212069142901632,115.16269321944,-38.78214930163,-21.178,15.509,5.2019,13.149899,1.0
