,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5538853291664841088,116.4800140645,-37.48143433231,-8.981,4.881,2.9251,15.258921,0.8
1,5538884524665695872,118.05501794377,-38.36775362981,-11.061,3.908,2.7659,12.684745,0.9
2,5538852668885283328,116.45251294097,-37.54665039983,-10.641,4.442,2.7233,9.146295,1.0
3,5538853046844946944,116.45539760653,-37.52727385167,-9.633,4.29,2.7656,17.431507,1.0
4,5538853012482664576,116.40659992968,-37.50743424972,-9.883,4.616,2.8448,12.85603,1.0
5,5538884799543607296,118.03377717873,-38.34459320162,-11.087,4.1,2.8076,16.74727,0.9
6,5538851947333102592,116.5075716025,-37.58186686278,-8.701,4.347,2.6404,16.779655,0.9
7,5538851981692850816,116.51015343434,-37.5794885727,-9.323,4.683,2.5812,16.634115,1.0
8,5586837078611776640,115.56030489877,-37.43386452839,-9.417,4.997,2.6974,13.818937,1.0
9,5586824636089948544,115.3714424457,-37.70235583266,-9.684,4.695,2.6247,16.711487,1.0
10,5586806940815606528,114.79470639967,-37.93137565594,-10.624,3.802,2.6944,10.140118,0.7
11,5586801619360594688,115.1380889774,-37.83145550215,-8.671,4.571,2.5389,15.089596,0.9
12,5586802169116411520,115.18289734756,-37.79501855719,-9.606,5.073,2.7344,13.235975,1.0
13,5586813267312256384,114.91221464597,-37.85171148997,-9.17,4.822,2.5993,17.754152,1.0
14,5538995609702201600,117.94238327788,-37.44917829597,-10.332,3.689,2.5754,13.018197,0.5
15,5538968740385639424,117.84134135921,-37.6276338686,-10.993,4.716,2.7506,16.921972,0.8
16,5538990455741436288,118.03039671205,-37.55959489148,-10.451,3.798,2.585,15.330232,0.6
17,5586880028274395776,115.74328604669,-37.49601636397,-8.224,4.681,2.566,17.942982,1.0
18,5586863329449965056,116.06530460359,-37.65013670919,-9.492,4.634,2.7275,16.049383,1.0
19,5586858484726550016,116.12189012049,-37.77894771866,-9.914,4.897,2.764,12.583604,1.0
20,5586856113904603392,116.02364840545,-37.89333192246,-10.459,4.219,2.7155,10.564465,1.0
21,5586873053255665024,116.13352097469,-37.42242431785,-10.142,4.666,2.7953,10.253568,1.0
22,5586885182238150400,116.1080532124,-37.36121536091,-9.739,4.849,2.7362,11.776914,1.0
23,5586882399104596480,115.82651367937,-37.37430761739,-9.733,5.017,2.8232,13.858438,1.0
24,5586866181307916160,116.16448286257,-37.64356548468,-10.184,4.693,2.7213,17.722183,0.9
25,5586863329449594624,116.05791649203,-37.64781766392,-9.534,4.706,2.6729,9.843963,1.0
26,5586853365127392896,115.23957112731,-37.33672408277,-9.181,4.743,2.7242,15.583492,1.0
27,5586860374512117376,116.1147644348,-37.6633229642,-9.457,4.886,2.6471,8.276407,1.0
28,5586884078429027456,115.96656301628,-37.42082879696,-9.537,4.548,2.6028,17.887758,1.0
29,5586859373776492928,116.06578527989,-37.76538825065,-9.433,3.5,2.7173,15.393979,0.9
30,5586864703839079680,115.99611189535,-37.58130483129,-10.768,5.024,2.9695,12.26027,0.4
31,5586853227689035776,115.1941948007,-37.3397042781,-10.477,4.908,2.934,16.894173,0.7
32,5586866967281249152,116.20402793267,-37.56244177575,-10.073,5.119,2.8246,17.764578,0.8
33,5586881402671797760,115.79791428857,-37.47249786219,-9.465,5.076,2.8959,17.982538,0.9
34,5586875733315023488,115.83737587393,-37.58180156429,-10.655,4.201,2.6521,17.013885,1.0
35,5586852368695038976,115.28905181993,-37.36357933387,-9.048,4.775,2.5757,13.903314,0.9
36,5586868655209310592,116.225232315,-37.52960159069,-10.194,4.644,2.6472,17.749678,0.9
37,5586876519286285440,115.97439900453,-37.55955278792,-9.369,5.013,2.9286,17.397568,1.0
38,5586865116148666880,116.21261608588,-37.66865678164,-8.946,5.234,2.7846,10.621418,0.9
39,5586878756971977984,115.81550135174,-37.54885118264,-9.753,4.653,2.6568,17.346138,1.0
40,5586866108287609856,116.16600338782,-37.64259055389,-9.595,4.614,2.7182,10.741846,1.0
41,5586858622165484928,116.06739878947,-37.78795312788,-8.822,4.404,2.5955,17.10844,1.0
42,5586859648654419712,116.03128622362,-37.74859411064,-9.181,4.949,2.6001,17.366152,0.9
43,5586865936489025792,116.23836875434,-37.61022169326,-9.347,4.693,2.6691,17.722324,1.0
44,5586875080479991552,115.78034055304,-37.64278589649,-9.647,4.955,2.7121,17.788008,1.0
45,5586890404923557248,115.98579602571,-37.25132060413,-11.624,3.916,2.7359,15.683682,0.9
46,5586933182799420160,115.69046656658,-37.31869635396,-9.826,4.333,2.6221,14.435184,1.0
47,5586904629855917952,116.48531074794,-37.22420501174,-9.843,4.799,2.7332,16.22095,1.0
48,5586931670970603392,115.59685946315,-37.37174925602,-9.467,4.907,2.746,17.622992,1.0
49,5586924524144407552,116.35049255477,-36.9528575549,-9.835,4.713,2.7524,17.555,1.0
50,5586901640558684032,116.48724801358,-37.23672127341,-9.802,4.45,2.7369,17.18354,1.0
51,5586895971202153984,116.26932216603,-37.40804660558,-10.11,4.156,2.7209,10.597807,1.0
52,5586942425568811392,115.89507289026,-37.08765070766,-8.264,3.823,2.5306,16.717808,0.6
53,5586896894613849600,116.25334704845,-37.36109804883,-9.456,4.578,2.7945,17.473995,1.0
54,5586904041438743936,116.65528360159,-37.13385675335,-9.546,5.776,2.5194,12.400604,0.5
55,5586915075216520192,116.13901172506,-37.11936422485,-9.377,3.796,2.8092,10.848731,0.8
56,5586935686761592832,115.85003485732,-37.28021016837,-8.861,4.71,2.5627,17.808956,0.8
57,5586945101324894592,115.52926159506,-37.22951675113,-9.571,5.482,2.6783,17.965914,1.0
58,5586917274239713152,116.21955885921,-37.02820780704,-9.195,4.598,2.5588,13.715918,1.0
59,5586915075210126336,116.13879517322,-37.11908491953,-10.81,4.039,2.604,10.960747,0.6
