,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,413823161292406784,20.160006488,58.13887849443,-1.626,-0.647,0.237,17.205645,0.5
1,413827250101219072,19.98812472633,58.21233848899,-1.536,-0.749,0.3424,13.447675,1.0
2,413823607969011712,20.29306735982,58.13372734777,-1.513,-0.963,0.1842,17.82232,0.1
3,413828143454414848,20.17514488331,58.21956885999,-1.608,-0.816,0.3523,12.004498,0.9
4,413826013150696960,20.08983450763,58.1303408328,-1.523,-0.679,0.2953,15.572217,0.9
5,413823676688487040,20.27554805828,58.13647662016,-1.519,-0.681,0.2462,17.86107,0.6
6,413820446873179136,20.58128698866,58.27358099219,-1.586,-0.568,0.2094,17.452415,0.3
7,413832060464745472,20.44542606378,58.27435796672,-1.503,-0.76,0.1958,17.842777,0.3
8,413828040375192704,20.09786821565,58.22986483468,-1.318,-0.756,0.1925,17.389519,0.1
9,413820515592651264,20.56339115814,58.27943471915,-1.569,-0.976,0.3904,11.31628,0.3
10,413790244662199424,19.85784967656,57.71230488406,-1.707,-0.757,0.2342,16.752337,0.2
11,413826352446947072,20.06022778673,58.17708366479,-1.457,-0.796,0.3689,17.184498,0.5
12,413811650780278528,20.46107769301,58.08429127868,-1.554,-0.516,0.3214,15.844371,0.9
13,413834564421593344,20.12534756401,58.31291184838,-1.604,-0.708,0.2011,17.87866,0.5
14,413844086374529152,19.32962477577,57.94031483395,-1.355,-0.698,0.2447,17.06249,0.4
15,413829517835583488,20.00520305111,58.28976299319,-1.404,-0.936,0.3626,17.381653,0.5
16,413819519160251648,20.70192800715,58.25722082755,-1.407,-0.669,0.3659,15.662469,0.7
17,413782410642119936,20.35416145758,57.80751848086,-1.509,-1.105,0.2965,15.390862,0.1
18,413844979727693440,19.28576363878,58.02416642047,-2.024,-0.566,0.2129,17.256481,0.3
19,413834701860639104,20.15112504746,58.3341394821,-1.771,-0.514,0.3791,17.91322,0.7
20,413833881530830592,20.37724754975,58.41911590864,-1.416,-0.604,0.2582,17.33589,0.4
21,413830686075218816,20.36416630587,58.25579726413,-1.395,-0.624,0.2914,15.061468,0.7
22,413831064032340352,20.32304542566,58.25546192969,-1.517,-0.309,0.2613,16.400978,0.2
23,413830651715483392,20.38516268137,58.25038164157,-1.538,-0.655,0.3215,12.612523,1.0
24,413829169942555648,19.96114613003,58.28121282062,-1.717,-0.458,0.2683,16.949806,0.6
25,413796803071270912,20.20909739199,57.89153636137,-1.324,-1.056,0.2585,17.79357,0.2
26,413826459827251968,20.06283158307,58.19777932798,-1.428,-0.697,0.275,17.488499,0.5
27,413827215741490816,20.02653037258,58.2036157117,-1.838,-0.432,0.438,17.102314,0.6
28,413778562351307904,20.42414586613,57.71302234817,-1.585,-1.031,0.254,17.060701,0.1
29,413824466962458752,20.26400604962,58.15259827534,-1.486,-0.651,0.2871,16.396759,0.7
30,413778940308428928,20.4549751652,57.7176221162,-1.348,-0.472,0.2275,17.88721,0.1
31,413826970922237824,19.92399241347,58.17759291855,-1.773,-0.635,0.3073,17.39473,0.6
32,413782238843292800,20.35763407964,57.7685826875,-1.624,-0.778,0.3583,17.780098,0.5
33,413835393359137920,20.0890968952,58.33678086544,-1.493,-0.722,0.3757,14.630445,1.0
34,413815842668305536,20.67487901697,58.16265196757,-1.359,-0.318,0.3174,16.942774,0.1
35,413838966773713536,19.58675701305,57.83786649678,-1.462,-0.58,0.1867,17.223497,0.1
36,413820618671856256,20.61514398665,58.30590581734,-1.589,-0.653,0.4215,16.203043,0.9
37,413827250101223552,20.00294413448,58.20820733907,-1.829,-0.541,0.3136,14.654181,0.7
38,413826769064928512,19.9275625642,58.14588595959,-1.598,-0.503,0.315,17.862091,0.2
39,413831613788129408,20.34833468319,58.30956278411,-1.431,-0.523,0.4261,16.815424,0.5
40,413826116230072832,20.13239696015,58.15872901392,-1.57,-0.581,0.3271,14.143045,1.0
41,413796562553189376,20.04511227122,57.93101544833,-1.524,-0.631,0.2539,16.65272,0.8
42,413835358999401856,20.06630389685,58.33366821344,-1.504,-0.677,0.3447,15.662114,1.0
43,413815018034837760,20.86821694099,58.13790904764,-1.509,-0.73,0.2131,17.33962,0.3
44,413807866903629056,20.46412324446,57.89548105446,-1.332,-0.891,0.3727,17.156446,0.3
45,413808524044159872,20.52226767056,57.96920536758,-1.767,-0.913,0.3314,15.667173,0.1
46,413827181381749376,20.01040368096,58.205618468,-1.675,-0.779,0.3065,14.538675,1.0
47,413826081870164352,20.11141993709,58.14638906132,-1.197,-0.385,0.2562,14.390402,0.1
48,413827555036233088,19.94413898398,58.24362048675,-1.37,-0.776,0.353,16.837234,0.2
49,413828761921443328,20.01220579407,58.23671204447,-1.78,-0.553,0.2581,17.45274,0.4
50,413829655282838016,20.02152604243,58.32048180262,-1.671,-0.652,0.327,15.138627,1.0
51,413826940863596928,19.95489067308,58.18255006814,-1.66,-0.555,0.1955,15.784424,0.5
52,413828414028200704,20.11132783438,58.25061378278,-1.537,-0.408,0.204,17.781042,0.1
53,413829620923100544,19.99749963431,58.31907826667,-1.609,-0.675,0.3683,14.745173,1.0
54,413812269255629312,20.78124980311,57.99550763822,-1.339,-0.305,0.2113,16.825705,0.2
55,413827043942813568,19.99644359041,58.18119231752,-1.512,-0.648,0.366,16.47668,0.8
56,413829724002312448,20.01291692912,58.32662159238,-1.535,-0.739,0.3317,16.52942,1.0
57,413829620923103488,19.9990298794,58.31412826474,-1.531,-0.631,0.3389,13.230842,1.0
58,413826906503863168,19.92958350421,58.17273414787,-1.671,-0.655,0.3954,14.994502,1.0
